Topic	Title	Link	EDAM topic	EDAM operation	Creation	Last modification	Version	Tutorial	Slides	Video	Workflows	Tools	Servers with precise tool versions	Servers with tool but different versions	Feedback number	Feedback mean note	Visitors	Page views	Visit duration	Video views
Assembly	Genome Assembly Quality Control	https://training.galaxyproject.org//topics/assembly/tutorials/assembly-quality-control/tutorial.html	Biodiversity, Sequence assembly, Data quality management	Scaffolding, Phasing, Genome assembly, k-mer counting, Visualisation, De-novo assembly, Sequence assembly validation	2022-08-26	2025-06-04	6	True	True	False	True	meryl, busco, quast, chromeister, merqury	UseGalaxy.eu, UseGalaxy.fr, UseGalaxy.org.au	UseGalaxy.cz	0		1960876	4601999	4.483333333333333	0
Assembly	Large genome assembly and polishing	https://training.galaxyproject.org//topics/assembly/tutorials/largegenome/tutorial.html	Genomics, Sequence assembly, Biodiversity	Mapping assembly, Cross-assembly, Sequence composition calculation, Box-Whisker plot plotting, Validation, Sequence assembly visualisation, Genome assembly, Base-calling, Variant calling, Scatter plot plotting, Pairwise sequence alignment, De-novo assembly, Sequence assembly validation, Sequence assembly, Statistical calculation, Visualisation, Sequencing quality control, Sequence contamination filtering	2023-03-06	2025-06-04	14	True	False	True	True	racon, fastqc, bandage_image, meryl, busco, medaka_consensus_pipeline, minimap2, genomescope, nanoplot, quast, multiqc, flye, fasta-stats, barchart_gnuplot, fastp	UseGalaxy.eu, UseGalaxy.org.au	UseGalaxy.cz	0		7130	9279	2.033333333333333	0
Assembly	ERGA post-assembly QC	https://training.galaxyproject.org//topics/assembly/tutorials/ERGA-post-assembly-QC/tutorial.html	Genomics, Sequence assembly, Biodiversity	Sequence alignment, Sequence alignment analysis, Sequence trimming, Genotyping, Sequence assembly visualisation, Genome assembly, Data parsing, Pairwise sequence alignment, Scaffolding, Phasing, De-novo assembly, Sequence assembly validation, Data handling, Visualisation, Data deposition, k-mer counting	2023-06-23	2025-06-04	8	True	False	True	True	blobtoolkit, busco, genomescope, pretext_map, samtools_stats, collapse_dataset, smudgeplot, meryl, minimap2, bg_diamond, interactive_tool_blobtoolkit, bwa_mem2, gfastats, bellerophon, tp_find_and_replace, pretext_snapshot, bandage_image, merqury, __EXTRACT_DATASET__, CONVERTER_gz_to_uncompressed	UseGalaxy.eu	UseGalaxy.org (Main), UseGalaxy.org.au	0		1879	2409	1.95	0
Assembly	Chloroplast genome assembly	https://training.galaxyproject.org//topics/assembly/tutorials/chloroplast-assembly/tutorial.html		Sequence alignment, Mapping assembly, Generation, Cross-assembly, Box-Whisker plot plotting, Coding region prediction, Read alignment, Genome indexing, Scatter plot plotting, Genome assembly, Gene prediction, Genome annotation, Read mapping, De-novo assembly, Genome visualisation, Sequence assembly, Sequence assembly visualisation, Analysis	2020-12-04	2025-05-15	21	True	False	True	True	jbrowse, pilon, prokka, bwa_mem, bandage_image, nanoplot, flye, bandage_info, upload1, fasta-stats	UseGalaxy.eu	GalaxyTrakr, UseGalaxy.be, UseGalaxy.cz, UseGalaxy.fr, UseGalaxy.no, UseGalaxy.org (Main)	0		7846	12165	2.8	0
Assembly	Assembly of the mitochondrial genome from PacBio HiFi reads	https://training.galaxyproject.org//topics/assembly/tutorials/mitochondrion-assembly/tutorial.html	Genomics, Sequence assembly, Biodiversity, Mitochondria		2024-09-03	2025-06-04	4	True	False	True	True	mitohifi, compress_file	UseGalaxy.cz, UseGalaxy.eu, UseGalaxy.org (Main), UseGalaxy.org.au		0		817	1001	2.0166666666666666	0
Assembly	Decontamination of a genome assembly	https://training.galaxyproject.org//topics/assembly/tutorials/assembly-decontamination/tutorial.html	Genomics, Sequence assembly, Biodiversity	Data handling, Taxonomic classification	2024-09-04	2025-06-04	5	True	False	True	True	Filter1, Cut1, ncbi_dustmasker_wrapper, kraken2, gfastats, tp_sed_tool, ncbi_blastn_wrapper, tp_cat, parse_mito_blast	UseGalaxy.eu, UseGalaxy.org (Main), UseGalaxy.org.au	UseGalaxy.cz	0		1543	1928	2.55	0
Assembly	Unicycler Assembly	https://training.galaxyproject.org//topics/assembly/tutorials/unicycler-assembly/tutorial.html	Sequence assembly, Genomics, Microbiology	Aggregation, Sequence composition calculation, Sequence assembly validation, Validation, Coding region prediction, Visualisation, Genome assembly, Statistical calculation, Gene prediction, Sequencing quality control, Genome annotation	2017-10-11	2025-05-15	24	True	True	False	True	unicycler, fastqc, prokka, quast, multiqc	UseGalaxy.eu, UseGalaxy.org (Main), UseGalaxy.org.au	Galaxy@AuBi, GalaxyTrakr, MISSISSIPPI, UseGalaxy.be, UseGalaxy.cz, UseGalaxy.fr, UseGalaxy.no	0		2876306	7578142	4.5	0
Assembly	Unicycler assembly of SARS-CoV-2 genome with preprocessing to remove human genome reads	https://training.galaxyproject.org//topics/assembly/tutorials/assembly-with-preprocessing/tutorial.html		Aggregation, Read mapping, Pairwise sequence alignment, Sequence file editing, Box-Whisker plot plotting, Validation, Data handling, Genome assembly, Scatter plot plotting, Sequence assembly visualisation, Sequencing quality control, Sequence contamination filtering	2020-04-21	2025-05-15	14	True	True	True	True	seqtk_sample, unicycler, fastp, bowtie2, collapse_dataset, bandage_image, samtools_view, minimap2, nanoplot, __ZIP_COLLECTION__, multiqc, bandage_info, fasta_filter_by_length, fasterq_dump, samtools_fastx, samtools_stats	UseGalaxy.eu, UseGalaxy.org.au	Galaxy@AuBi, MISSISSIPPI, UseGalaxy.be, UseGalaxy.cz, UseGalaxy.fr, UseGalaxy.no, UseGalaxy.org (Main)	0		2869255	7565860	5.716666666666667	0
Assembly	Vertebrate genome assembly using HiFi, Bionano and Hi-C data - Step by Step	https://training.galaxyproject.org//topics/assembly/tutorials/vgp_genome_assembly/tutorial.html	Genomics, Sequence assembly, Biodiversity	Scaffolding, Sequence alignment, Phasing, Primer removal, Sequence trimming, k-mer counting, De-novo assembly, Sequence assembly validation, Mapping, Data handling, Genome assembly, Read pre-processing, Visualisation, Pairwise sequence alignment, Read binning	2021-06-04	2025-06-04	57	True	False	True	True	busco, genomescope, pretext_map, bedtools_bamtobed, purge_dups, Convert characters1, collapse_dataset, meryl, yahs, quast, minimap2, hifiasm, gfa_to_fa, collection_column_join, cutadapt, cat1, tp_grep_tool, bwa_mem2, gfastats, bellerophon, tp_cut_tool, Add_a_column1, sort1, salsa, tp_find_and_replace, pretext_snapshot, bionano_scaffold, merqury		UseGalaxy.cz	0		15580	23604	1.9833333333333334	0
Assembly	Genome assembly using PacBio data	https://training.galaxyproject.org//topics/assembly/tutorials/hifi-assembly/tutorial.html	Genomics, Sequence assembly, Biodiversity	Mapping assembly, Genome assembly, Cross-assembly, Visualisation, De-novo assembly, Sequence assembly validation	2021-11-29	2025-06-04	2	True	False	False	True	busco, quast, flye, hifiasm, gfa_to_fa, fasta-stats	UseGalaxy.eu, UseGalaxy.fr, UseGalaxy.org (Main), UseGalaxy.org.au	GalaxyTrakr, UseGalaxy.cz	0		715	845	1.4833333333333334	0
