Topic	Title	Link	EDAM topic	EDAM operation	Creation	Last modification	Version	Tutorial	Slides	Video	Workflows	Tools	Servers with precise tool versions	Servers with tool but different versions	Feedback number	Feedback mean note	Visitors	Page views	Visit duration	Video views
Assembly	Genome Assembly of MRSA from Oxford Nanopore MinION data (and optionally Illumina data)	https://training.galaxyproject.org//topics/assembly/tutorials/mrsa-nanopore/tutorial.html	Sequence assembly, Whole genome sequencing, Public health and epidemiology, Genomics, Microbiology, Antimicrobial resistance	Mapping assembly, Sequence alignment, Filtering, Cross-assembly, Read mapping, Sequence composition calculation, Sequencing error detection, Box-Whisker plot plotting, De-novo assembly, Sequence assembly validation, Visualisation, Genome assembly, Scatter plot plotting, Statistical calculation, Sequence assembly visualisation, Sequencing quality control, Sequence contamination filtering	2021-03-24	2024-11-29	15	True	False	False	True	polypolish, CONVERTER_bz2_to_uncompressed, bwa_mem2, fastqc, bandage_image, quast, nanoplot, flye, upload1, filtlong, porechop, fastp	UseGalaxy.eu	UseGalaxy.cz, UseGalaxy.fr	0		10207	15303	3.4166666666666665	0
Assembly	Genome Assembly of a bacterial genome (MRSA) sequenced using Illumina MiSeq Data	https://training.galaxyproject.org//topics/assembly/tutorials/mrsa-illumina/tutorial.html	Sequence assembly, Whole genome sequencing, Public health and epidemiology, Genomics, Microbiology	Sequence composition calculation, Read mapping, Sequence assembly validation, Visualisation, Genome assembly, Statistical calculation, Sequence assembly visualisation, Sequencing quality control, Sequence contamination filtering	2021-03-24	2025-03-20	16	True	False	True	True	falco, fastqc, bandage_image, quast, bandage_info, upload1, shovill, fastp	UseGalaxy.be, UseGalaxy.cz, UseGalaxy.eu, UseGalaxy.fr, UseGalaxy.org (Main)		0		9892	15288	3.6166666666666667	0
Assembly	Assembly of metagenomic sequencing data	https://training.galaxyproject.org//topics/assembly/tutorials/metagenomics-assembly/tutorial.html	Metagenomics, Sequence assembly	Sequence alignment analysis, Sequence composition calculation, Sequence trimming, Local alignment, Sequence file editing, Sequence assembly visualisation, Genome assembly, Variant calling, Primer removal, Read pre-processing, Read mapping, Formatting, Sequence assembly validation, Data handling, Statistical calculation, Visualisation, Sequencing quality control, Sequence contamination filtering	2025-10-21	2025-10-21	0	True	False	True	True	megahit_contig2fastg, bowtie2, fastqc, megahit, ngsutils_bam_filter, bg_uniq, bandage_image, cutadapt, quast, filter_tabular, metaspades, bamtools, coverm_contig, random_lines1, bandage_info, collection_column_join, tp_cat, seqtk_subseq		UseGalaxy.cz, UseGalaxy.eu	0		10	11	0.08333333333333333	0
Assembly	Unicycler Assembly	https://training.galaxyproject.org//topics/assembly/tutorials/unicycler-assembly/tutorial.html	Sequence assembly, Genomics, Microbiology	Aggregation, Sequence composition calculation, Sequence assembly validation, Validation, Coding region prediction, Visualisation, Genome assembly, Statistical calculation, Gene prediction, Sequencing quality control, Genome annotation	2017-10-11	2025-05-15	24	True	True	False	True	unicycler, fastqc, prokka, quast, multiqc	UseGalaxy.eu, UseGalaxy.org (Main), UseGalaxy.org.au	Galaxy@AuBi, GalaxyTrakr, MISSISSIPPI, UseGalaxy.be, UseGalaxy.cz, UseGalaxy.fr, UseGalaxy.no	0		2876306	7578142	4.5	0
Assembly	Making sense of a newly assembled genome	https://training.galaxyproject.org//topics/assembly/tutorials/ecoli_comparison/tutorial.html	Sequence assembly, Genomics, Microbiology	Sequence alignment, Mapping, Genome visualisation, Read mapping, Sequence visualisation	2018-06-14	2024-06-24	29	True	False	False	True	Filter1, fasta_compute_length, tp_replace_in_line, bedtools_intersectbed, collapse_dataset, circos_interval_to_tiles, tp_sed_tool, addValue, fasta_filter_by_length, lastz_wrapper_2, Grep1, circos, cat1, Cut1, tp_grep_tool, tp_replace_in_column, jbrowse, random_lines1, upload1, tp_sort_header_tool, mergeCols1, bedtools_sortbed, datamash_ops, join1, tp_cat, bedtools_complementbed, circos_aln_to_links			0		6719	12969	2.933333333333333	0
Ecology	Checking expected species and contamination in bacterial isolate	https://training.galaxyproject.org//topics/ecology/tutorials/bacterial-isolate-species-contamination-checking/tutorial.html	Whole genome sequencing, Genomics, Microbiology, Microbial ecology	Taxonomic classification, Expression analysis, Cross-assembly, Statistical calculation	2024-03-04	2024-06-27	4	True	False	False	True	est_abundance, kraken2, recentrifuge, upload1	UseGalaxy.eu, UseGalaxy.fr	Galaxy@AuBi, GalaxyTrakr, UseGalaxy.cz, UseGalaxy.org (Main)	0		817	1096	3.3333333333333335	0
Evolution	Identifying tuberculosis transmission links: from SNPs to transmission clusters	https://training.galaxyproject.org//topics/evolution/tutorials/mtb_transmission/tutorial.html	Genomics, Microbiology, Infectious disease, DNA polymorphism	Antimicrobial resistance prediction, Phylogenetic tree generation, Phylogenetic tree visualisation, Variant calling	2022-03-16	2025-05-26	13	True	False	False	True	tp_easyjoin_tool, bcftools_consensus, tp_replace_in_line, tb_variant_filter, snp_dists, collapse_dataset, samtools_view, tp_sed_tool, addName, snippy, Grep1, tp_grep_tool, tb_profiler_profile, clustering_from_distmat, upload1, __MERGE_COLLECTION__, tp_cat, trimmomatic, snp_sites	UseGalaxy.eu		0		2675	3841	2.85	0
Evolution	Tree thinking for tuberculosis evolution and epidemiology	https://training.galaxyproject.org//topics/evolution/tutorials/mtb_phylogeny/tutorial.html	Genomics, Microbiology, Phylogeny, Infectious disease	Phylogenetic tree analysis, Sequence analysis	2022-03-16	2025-06-04	12	True	False	False	True	interactive_tool_rstudio, upload1, raxml	UseGalaxy.eu		0		2173	3135	2.2666666666666666	0
Evolution	Phylogenetic analysis for bacterial comparative genomics	https://training.galaxyproject.org//topics/evolution/tutorials/bacterial-comparative-genomics/tutorial.html	Genomics, Microbiology, Phylogeny	Phylogenetic tree generation (maximum likelihood and Bayesian methods), Phylogenetic tree generation (from molecular sequences)	2025-03-14	2025-03-14	1	True	False	False	False	upload1, fasttree	GalaxyTrakr, MISSISSIPPI, UseGalaxy.be, UseGalaxy.cz, UseGalaxy.eu, UseGalaxy.fr, UseGalaxy.no, UseGalaxy.org (Main)	Galaxy@AuBi	0		81	102	3.966666666666667	0
Genome Annotation	Genome annotation with Prokka	https://training.galaxyproject.org//topics/genome-annotation/tutorials/annotation-with-prokka/tutorial.html	Genomics, Microbiology, Gene and protein families, Sequence analysis	Gene prediction, Genome visualisation, Genome annotation, Coding region prediction	2018-03-06	2025-03-19	26	True	True	True	True	prokka, jbrowse	UseGalaxy.be, UseGalaxy.eu, UseGalaxy.org (Main)	Galaxy@AuBi, GalaxyTrakr, MISSISSIPPI, UseGalaxy.cz, UseGalaxy.fr, UseGalaxy.no, UseGalaxy.org.au	0		2881854	7587373	4.35	0
