Suite ID	Suite owner	Description	To keep	Deprecated
abacas	nml	Order and Orientate Contigs	False	False
assemblystats	nml	Summarise an assembly (e.g. N50 metrics)	False	False
bam2mappingstats	nml	Generates mapping stats from a bam file.	False	False
combine_assemblystats	nml	Combine multiple Assemblystats datasets into a single tabular report	False	False
filter_spades_repeats	nml	Remove short and repeat contigs/scaffolds	False	False
get_pairs	genouest	Separate paired and unpaired reads from two fastq files	False	False
plasmidspades	nml	Genome assembler for assemblying plasmid	False	False
promer	nml	Aligns two sets of contigs and reports amino acid substitutions between them	False	False
rdeval	richard-burhans	rdeval is a General purpose, multithreaded read analysis and manipulation tool.		
spades_fasta_header_fixer	nml	Fixes Spades Fasta ids	False	False
