Galaxy wrapper id	Description	To keep	Deprecated
TrimNs	TrimNs is used to trim and remove fake cut sites from bionano hybrid scaffold data in the VGP pipeline		
abacas	Order and Orientate Contigs		
abyss	Assembly By Short Sequences - a de novo, parallel, paired-end sequence assembler		
adapter_removal	Removes residual adapter sequences from single-end (SE) or paired-end (PE) FASTQ reads.		
agat	GTF/GFF analysis toolkit		
align_back_trans	Thread nucleotides onto a protein alignment (back-translation)		
assembly-stats	Assembly metric visualisations to facilitate rapid assessment and comparison of assembly quality.		
assemblystats	Summarise an assembly (e.g. N50 metrics)		
atactk_trim_adapters	Trim adapters from paired-end HTS reads.		
bam2mappingstats	Generates mapping stats from a bam file.		
barcode_splitter	A utility to split sequence files using multiple sets of barcodes		
berokka	Berokka is used to trim, circularise, orient & filter long read bacterial genome assemblies.		
bionano	Bionano Solve is a set of tools for analyzing Bionano data		
biscot	Bionano scaffolding correction tool		
blast_rbh	BLAST Reciprocal Best Hits (RBH) from two FASTA files		
blast_to_scaffold	Generate DNA scaffold from blastn or tblastx alignments of Contigs		
blast_unmatched	Extract unmatched query sequences from blast		
blastparser_and_hits	Parse blast outputs and compile hits		
blastx_to_scaffold	Generate DNA scaffold from blastx alignment of Contigs		
blobtoolkit	Identification and isolation non-target data in draft and publicly available genome assemblies.		
cap3	cap3 wrapper		
cdhit	Cluster or compare biological sequence datasets		
cherry_pick_fasta	Pick fasta sequence with specific header content		
circexplorer2	Comprehensive and integrative circular RNA analysis toolset.		
clc_assembly_cell	Galaxy wrapper for the CLC Assembly Cell suite from CLCBio		
combine_assembly_stats	Combine multiple Assemblystats datasets into a single tabular report		
convert_solid_color2nuc	Convert Color Space to Nucleotides		
count_roi_variants	Count sequence variants in region of interest in BAM file		
coverage_stats	BAM coverage statistics using samtools idxstats and depth		
cutadapt	Flexible tool to remove adapter sequences (and quality trim) high throughput sequencing reads (fasta/fastq).		
disco	DISCO is a overlap-layout-consensus (OLC) metagenome assembler		
ear	A tool to compile assembly reports and stastics from assembly pipeline		
emboss_5	Galaxy wrappers for EMBOSS version 5.0.0 tools		
fasplit	faSplit is a tool to split a single FASTA file into several files		
fasta_clipping_histogram	Length Distribution chart		
fasta_compute_length	Compute sequence length		
fasta_concatenate_by_species	Concatenate FASTA alignment by species		
fasta_filter_by_id	Filter FASTA sequences by ID (DEPRECATED)		
fasta_filter_by_length	Filter sequences by length		
fasta_formatter	FASTA Width formatter		
fasta_merge_files_and_filter_unique_sequences	Concatenate FASTA database files together		
fasta_nucleotide_changer	RNA/DNA converter.		
fasta_to_tabular	FASTA-to-Tabular converter		
fastk	FastK: A K-mer counter (for HQ assembly data sets)		
fastq_combiner	Combine FASTA and QUAL into FASTQ		
fastq_filter	Filter FASTQ reads by quality score and length		
fastq_filter_by_id	Filter FASTQ sequences by ID (DEPRECATED)		
fastq_groomer	Convert between various FASTQ quality formats.		
fastq_info	FASTQ info allows to validate single or paired fastq files		
fastq_manipulation	Manipulate FASTQ reads on various attributes.		
fastq_masker_by_quality	FASTQ Masker by quality score		
fastq_pair	Paired-end fastq pairer		
fastq_paired_end_deinterlacer	FASTQ de-interlacer on paired end reads.		
fastq_paired_end_interlacer	FASTQ interlacer on paired end reads		
fastq_paired_end_joiner	FASTQ joiner on paired end reads		
fastq_paired_end_splitter	FASTQ splitter on joined paired end reads		
fastq_quality_boxplot	Draw quality score boxplot		
fastq_quality_converter	Quality format converter (ASCII-Numeric)		
fastq_quality_filter	Filter by quality		
fastq_quality_trimmer	FASTQ trimmer based on quality		
fastq_stats	FASTQ Summary Statistics by column		
fastq_to_fasta	FASTQ to FASTA converter		
fastq_to_tabular	FASTQ to Tabular converter		
fastq_trimmer	FASTQ Trimmer by quality		
fastq_trimmer_by_quality	FASTQ Quality Trimmer by sliding window		
fastqc	Read QC reports using FastQC		
fastqsolexa_to_fasta_qual	FASTQSOLEXA-to-FASTA-QUAL extracts sequences and quality scores from FASTQSOLEXA data		
fastqtofasta	FASTQ to FASTA converter		
fastx_artifacts_filter	Remove sequencing artifacts		
fastx_barcode_splitter	Barcode Splitter		
fastx_clipper	Clip adapter sequences		
fastx_collapser	Collapse sequences		
fastx_nucleotides_distribution	Draw nucleotides distribution chart		
fastx_quality_statistics	Compute quality statistics		
fastx_renamer	Rename sequences		
fastx_reverse_complement	Reverse-Complement		
fastx_trimmer	Trim sequences		
fermikit	FermiKit is a de novo assembly based variant calling pipeline for deep Illumina resequencing data.		
fetch_fasta_from_ncbi	Fetch fasta sequences from NCBI using eutils wrappers		
filter_by_fasta_ids	Filter FASTA on the headers and/or the sequences		
filter_spades_repeats	Remove short and repeat contigs/scaffolds		
filtlong	Filtlong - Filtering long reads by quality		
