Suite ID	Tool IDs	Tool output formats	Description	Suite first commit date	Homepage	Suite version	Suite conda package	Latest suite conda package version	Suite version status	ToolShed categories	EDAM operations	EDAM reduced operations	EDAM topics	EDAM reduced topics	Suite owner	Suite source	Suite parsed folder	bio.tool ID	bio.tool name	bio.tool description	biii ID	Number of tools on UseGalaxy.org (Main)	Number of tools on UseGalaxy.org.au	Number of tools on UseGalaxy.eu	Number of tools on UseGalaxy.fr	Number of tools on APOSTL	Number of tools on MBAC Metabiome Portal	Number of tools on ChemFlow	Number of tools on Coloc-stats	Number of tools on Galaxy@AuBi	Number of tools on Galaxy@Pasteur	Number of tools on GalaxyTrakr	Number of tools on GASLINI	Number of tools on HyPhy HIV NGS Tools	Number of tools on ImmPort Galaxy	Number of tools on InteractoMIX	Number of tools on IPK Galaxy Blast Suite	Number of tools on Mandoiu Lab	Number of tools on Oqtans	Number of tools on Palfinder	Number of tools on PepSimili	Number of tools on PhagePromotor	Number of tools on UseGalaxy.be	Number of tools on UseGalaxy.cz	Number of tools on UseGalaxy.no	Number of tools on Viral Variant Visualizer (VVV)	Suite users (last 5 years) (usegalaxy.eu)	Suite users (usegalaxy.eu)	Suite runs (last 5 years) (usegalaxy.eu)	Suite runs (usegalaxy.eu)	Suite users (last 5 years) (usegalaxy.org)	Suite users (usegalaxy.org)	Suite runs (last 5 years) (usegalaxy.org)	Suite runs (usegalaxy.org)	Suite users (last 5 years) (usegalaxy.org.au)	Suite users (usegalaxy.org.au)	Suite runs (last 5 years) (usegalaxy.org.au)	Suite runs (usegalaxy.org.au)	Suite users (last 5 years) (usegalaxy.fr)	Suite users (usegalaxy.fr)	Suite runs (last 5 years) (usegalaxy.fr)	Suite runs (usegalaxy.fr)	Suite runs on main servers	Suite runs (last 5 years) on main servers	Suite users on main servers	Suite users (last 5 years) on main servers	Related Workflows	Related Tutorials	To keep	Deprecated
CRSConverter	crsconverter	xml, shp	Tools to transforms geographical vector data to a specified coordinate reference system.	2025-05-20	https://github.com/Morphy427/phylodiversity_workflow/CRSConverter	1.1	r-sf		To update	Ecology					ecology	https://github.com/galaxyecology/tools-ecology/tree/master/tools/Phylodiversity_workflow	https://github.com/galaxyecology/tools-ecology/tree/master/tools/CRSConverter					0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	47	47	0	0	0	0	0	0	0	0	0	0	0	0	47	47	3	3	https://usegalaxy.eu/published/workflow?id=89525918b2a32023	ecology/phylodiversity_workflow	True	False
EstimEndem	estimate_endem	shp	Tools to estimates the endemism of each cell in a spatial grid.	2025-05-20	https://github.com/Morphy427/phylodiversity_workflow/EstimEndem	0.1.1+galaxy0	r-phyloregion		To update	Ecology					ecology	https://github.com/galaxyecology/tools-ecology/tree/master/tools/Phylodiversity_workflow	https://github.com/galaxyecology/tools-ecology/tree/master/tools/EstimEndem					0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	40	40	0	0	0	0	0	0	0	0	0	0	0	0	40	40	3	3	https://usegalaxy.eu/published/workflow?id=89525918b2a32023	ecology/phylodiversity_workflow	True	False
Geometric means (Dead wood)	Map_shp, Mean_geom, bar_plot	pdf, csv, tabular	Tools to compute The evolution of the total volume of very large trees, standing dead wood and dead wood on the ground on an area and the rate of devolution of the volume of wood favorable to biodiversity by large ecological regions (France).	2023-11-10	https://github.com/PaulineSGN/Galaxy_tool_moyenne_geom	0.1.0+galaxy0	r-base		To update	Ecology					ecology	https://github.com/galaxyecology/tools-ecology/tree/master/tools/Geom_mean_workflow	https://github.com/galaxyecology/tools-ecology/tree/master/tools/Geom_mean_workflow					0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	60	163	163	0	0	0	0	0	0	0	0	2	2	20	20	183	183	62	62			True	False
PylOccuMatcher	phylogenetic_occupancy_matcher	newick, tabular	Tools to matches phylogenetic data with occupancy data.	2025-05-20	https://github.com/Morphy427/phylodiversity_workflow/PhylOccuMatcher	1.0	r-phyloregion		To update	Ecology					ecology	https://github.com/galaxyecology/tools-ecology/tree/master/tools/Phylodiversity_workflow	https://github.com/galaxyecology/tools-ecology/tree/master/tools/PhylOccuMatcher					0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	22	22	0	0	0	0	0	0	0	0	0	0	0	0	22	22	4	4	https://usegalaxy.eu/published/workflow?id=89525918b2a32023	ecology/phylodiversity_workflow	True	False
PyloIndex	phylo_index	tabular	Tools to computes the phylodiversity index.	2025-05-20	https://github.com/Morphy427/phylodiversity_workflow/PyloIndex	1.0	r-phyloregion		To update	Ecology					ecology	https://github.com/galaxyecology/tools-ecology/tree/master/tools/Phylodiversity_workflow	https://github.com/galaxyecology/tools-ecology/tree/master/tools/PhyloIndex					0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	18	18	0	0	0	0	0	0	0	0	0	0	0	0	18	18	5	5	https://usegalaxy.eu/published/workflow?id=89525918b2a32023	ecology/phylodiversity_workflow	True	False
WormsMeasurements	WormsMeasurements	tabular	This tool uses WoRMS (World Register of Marine Species) to add measurement values to a dataset based on scientific names.	2025-05-07	https://github.com/jeanlecras/tools-ecology	0.1.2	r-base		To update	Ecology					ecology	https://github.com/jeanlecras/tools-ecology/tree/master/tools/WormsMeasurements	https://github.com/galaxyecology/tools-ecology/tree/master/tools/WormsMeasurements					0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	97	97	0	0	0	0	0	0	0	0	0	0	0	0	97	97	4	4	https://usegalaxy.eu/published/workflow?id=749bb05ec8674bec	ecology/ecoregiolifetraits	True	False
abacas	abacas	tabular, fasta	Order and Orientate Contigs	2019-11-20	https://github.com/phac-nml/abacas	1.1	mummer	3.23	To update	Assembly					nml	https://github.com/phac-nml/abacas	https://github.com/phac-nml/galaxy_tools/tree/master/tools/abacas					0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	3	3	3	2	2			True	False
assemblystats	assemblystats	tabular, fasta, png	Summarise an assembly (e.g. N50 metrics)	2017-10-13	https://github.com/phac-nml/galaxy_tools	1.1.0	perl-bioperl	1.7.8	To update	Assembly					nml	https://github.com/phac-nml/galaxy_tools	https://github.com/phac-nml/galaxy_tools/tree/master/tools/assemblystats					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			True	True
blobtoolkit	blobtoolkit	tar.gz, svg	Identification and isolation non-target data in draft and publicly available genome assemblies.	2022-11-04	https://blobtoolkit.genomehubs.org/	4.5.3	blobtoolkit	4.5.3	Up-to-date	Sequence Analysis, Assembly	Genome assembly, Scaffolding, Visualisation, Data deposition, Data parsing	Genome assembly, Scaffolding, Visualisation	Sequence assembly, Model organisms, Workflows, Phylogenomics, Zoology, Biodiversity	Sequence assembly, Model organisms, Workflows, Phylogenomics, Zoology, Biodiversity	bgruening	https://github.com/bgruening/galaxytools/tree/master/tools/blobtoolkit	https://github.com/bgruening/galaxytools/tree/master/tools/blobtoolkit	BlobToolKit	BlobToolKit	BlobToolKit Viewer is a genome-scale dataset visualistion tool developed as part of the blobtoolkit project to allow browser-based identification and filtering of target and non-target data in genome assemblies.		1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	148	148	3084	3084	62	62	237	237	85	85	1022	1022	1	1	2	2	4345	4345	296	296	https://usegalaxy.eu/published/workflow?id=3069c17b52decab4, https://usegalaxy.eu/published/workflow?id=88f80a31e3ff8663, https://usegalaxy.eu/published/workflow?id=bc32937d505135ab, https://usegalaxy.eu/published/workflow?id=c9a8fba4c56f5c83, https://usegalaxy.org.au/published/workflow?id=0a3fb089674de144, https://workflowhub.eu/workflows/1103?version=3, https://workflowhub.eu/workflows/1104?version=2, https://workflowhub.eu/workflows/1641?version=1	assembly/ERGA-post-assembly-QC	True	False
braker3	braker3	gtf, gff3	BRAKER3 is a pipeline for fully automated prediction of protein coding gene structures with GeneMark-ES/ET and AUGUSTUS in novel eukaryotic genomes .	2023-06-13	https://github.com/Gaius-Augustus/BRAKER	3.0.8			To update	Genome annotation	Genome annotation, Gene prediction	Genome annotation, Gene prediction	RNA-Seq, Genomics, Structure prediction, Sequence analysis	RNA-Seq, Genomics, Structure prediction, Sequence analysis	genouest	https://github.com/genouest/galaxy-tools/tree/master/tools/braker	https://github.com/genouest/galaxy-tools/tree/master/tools/braker3	braker3	BRAKER3	BRAKER3 is a pipeline for fully automated prediction of protein coding gene structures with GeneMark-ES/ET and AUGUSTUS in novel eukaryotic genomes		1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	711	711	5354	5354	0	0	0	0	135	135	987	987	26	26	275	275	6616	6616	872	872	https://usegalaxy.org/published/workflow?id=c42c66d1b627c5a5, https://workflowhub.eu/workflows/1509?version=1, https://workflowhub.eu/workflows/1746?version=1, https://workflowhub.eu/workflows/2029?version=1	genome-annotation/braker3, genome-annotation/comparison-braker-helixer-annotation	True	False
