Suite ID	bio.tool name	EDAM operations	EDAM topics
abyss	ABySS	Genome assembly, De-novo assembly, Scaffolding	Sequence assembly
biotradis	biotradis	Sequence analysis	Mobile genetic elements, Workflows
bracken	Bracken	Statistical calculation	Metagenomics, Microbial ecology
braker3	BRAKER3	Genome annotation, Gene prediction	RNA-Seq, Genomics, Structure prediction, Sequence analysis
dada2	dada2	Variant calling, DNA barcoding	Sequencing, Genetic variation, Microbial ecology, Metagenomics
export2graphlan	export2graphlan	Conversion	Taxonomy, Metabolomics, Biomarkers
fairy	fairy	Read binning, Sequence assembly validation	Metagenomics
fastk	FASTK	k-mer counting, Sequence analysis	Genomics, Sequence analysis
funannotate	funannotate	Genome annotation	Genomics
getorganelle	GetOrganelle	De-novo assembly, Genome assembly, Mapping assembly, Mapping, Sequence trimming	Cell biology, Sequence assembly, Whole genome sequencing, Plant biology, Model organisms
graphlan	GraPhlAn	Phylogenetic inference, Phylogenetic tree visualisation, Phylogenetic tree editing, Taxonomic classification	Metagenomics, Phylogenetics, Phylogenomics, Cladistics
gtdb_to_taxdump	gtdb_to_taxdump	Data handling, Mapping, Generation	Computational biology
hapcut2	HapCUT2	Haplotype mapping, Variant classification	
hapog	Hapo-G	Genome assembly, Optimisation and refinement	Sequence assembly, Genomics
helixer	Helixer	Gene prediction, Genome annotation	Sequence analysis, Gene transcripts
hifiasm_meta	Hifiasm-meta	Sequence assembly	Sequence assembly, Metagenomics
hisat2	HISAT2	Sequence alignment	RNA-seq
hypo	HyPo	Optimisation and refinement, Genome assembly	Sequence assembly, Genomics
jellyfish	Jellyfish	k-mer counting	Sequence analysis, Genomics
kaiju	Kaiju	Taxonomic classification	Metagenomics
kraken2	kraken2	Taxonomic classification	Taxonomy, Metagenomics, Microbial ecology, Microbiology
links	LINKS	Scaffolding, Genome assembly, Read mapping, Read pre-processing, Sequence trimming	Sequence assembly, Mapping, Sequencing
lotus2	lotus2	Sequence feature detection, DNA barcoding	Metagenomics, Taxonomy, Microbial ecology
mapseq	MAPseq	k-mer counting	Functional, regulatory and non-coding RNA, Sequence analysis, Sequence sites, features and motifs
mash	Mash	Sequence distance matrix generation	Genomics, Metagenomics, Statistics and probability, Sequence analysis, DNA mutation
merqury	Merqury	Genome assembly, k-mer counting, Scaffolding, Phasing, De-novo assembly	Sequence assembly, Whole genome sequencing, Plant biology
metabuli	metabuli	Taxonomic classification	Taxonomy
metagenomeseq_normalization	metagenomeSeq	Sequence visualisation, Statistical calculation	Metagenomics, Sequencing
metawrapmg_binning	MetaWRAP	Read binning, Sequence assembly, Genome annotation, Sequence trimming, Demultiplexing	Whole genome sequencing, Metagenomic sequencing, Metagenomics
mg_toolkit	mg-toolkit	Data retrieval	Metagenomics
miniasm	miniasm	De-novo assembly	Genomics, Sequence assembly
mmseqs2	MMseqs2	Sequence similarity search, Sequence alignment, Sequence clustering, Taxonomic classification	Metagenomics, Sequence analysis, Proteins, Nucleic acids, Gene and protein families, Taxonomy
necat	NECAT	De-novo assembly	Sequence assembly
newick_utils	Newick Utilities	Phylogenetic tree generation, Phylogenetic tree analysis, Phylogenetic tree reconstruction	Phylogeny, Genomics, Computer science
nonpareil	nonpareil	Operation	
pharokka	Pharokka	Genome annotation, Antimicrobial resistance prediction, tRNA gene prediction, Formatting, Sequence assembly	Metagenomics, Sequence sites, features and motifs, Workflows, Functional, regulatory and non-coding RNA
prinseq	PRINSEQ	Read pre-processing, Sequence trimming, Sequence contamination filtering	Transcriptomics, Metagenomics, Genomics
purge_dups	purge_dups	Genome assembly, Read binning, Scaffolding	Sequence assembly
quast	QUAST	Visualisation, Sequence assembly validation	Sequence assembly
quickmerge	quickmerge	Genome assembly, Scaffolding, De-novo assembly, Genotyping	Structural variation, Sequence assembly, DNA polymorphism, Whole genome sequencing, Genotype and phenotype
ragtag	ragtag	Genome assembly	Sequence assembly
raven	Raven	De-novo assembly, Genome assembly, Read pre-processing	Sequence assembly, Whole genome sequencing, Genomics
repeatmodeler	RepeatModeler	Repeat sequence detection	Sequence composition, complexity and repeats, Sequence composition, complexity and repeats
rnaquast	rnaQUAST	De-novo assembly, Transcriptome assembly, Sequence assembly validation	Sequence assembly, Transcriptomics, RNA-Seq
salsa	SALSA	Genome assembly, De-novo assembly, Scaffolding	Sequence assembly, DNA binding sites, Mapping
shovill	shovill	Genome assembly	Genomics, Microbiology, Sequence assembly
smudgeplot	Smudgeplots	Sequence trimming, Genotyping, k-mer counting	Sequence assembly, Genetic variation, Mathematics
spades	SPAdes	Genome assembly	Sequence assembly
taxonomy_krona_chart	Krona	Visualisation	Metagenomics
trycycler	Trycycler	Genome assembly, Sequence trimming, Scaffold gap completion, Sequence assembly validation	Sequence assembly, DNA, Human biology, Whole genome sequencing, Genomics
tsebra	TSEBRA	Homology-based gene prediction, Alternative splicing prediction	Gene expression, RNA-Seq, Gene transcripts, Model organisms
unicycler	Unicycler	Genome assembly, Aggregation	Microbiology, Genomics, Sequencing, Sequence assembly
velvet	Velvet	Formatting, De-novo assembly	Sequence assembly
