Name	Source	ID	Link	Creators	Tags	Creation time	Update time	Latest version	Versions	Number of steps	Tools	EDAM operations	EDAM topics	License	DOI	Projects	To keep	Deprecated
Genome assembly workflow for nanopore reads, for TSI	WorkflowHub	1114	https://workflowhub.eu/workflows/1114?version=1	Anna Syme	tsi, genome_assembly, nanopore	2024-09-03	2024-09-03	1	1	10.0	porechop, bandage_image, nanofilt, fasta-stats, fastqc, split_file_to_collection, flye, collapse_dataset, bandage_info	Sequencing quality control, Genome assembly, De-novo assembly, Sequence assembly visualisation, Statistical calculation, Cross-assembly, Mapping assembly, Sequence composition calculation		GPL-3.0-or-later	10.48546/workflowhub.workflow.1114.1	Australian BioCommons, Galaxy Australia	True	False
ERGA-BGE Genome Report ANNOT analyses	WorkflowHub	1096	https://workflowhub.eu/workflows/1096?version=2	Diego De Panis	annotation, biodiversity, erga, genomics, qc	2025-02-05	2025-02-24	2	2	13.0	lftp, agat, tp_text_file_with_recurring_lines, busco, collapse_dataset, omark, pick_value	Data handling, Sequence assembly validation, Differential protein expression profiling, Genome annotation	Genomics	MIT		ERGA Annotation	True	False
ERGA Profiling Long Reads v2505 (WF1)	WorkflowHub	603	https://workflowhub.eu/workflows/603?version=2	Diego De Panis	erga, profiling	2024-09-18	2025-06-24	2	2	17.0	genomescope, Cut1, tp_find_and_replace, tp_grep_tool, tp_cut_tool, Add_a_column1, meryl, param_value_from_file, smudgeplot, Convert characters1	Sequence trimming, Genotyping, k-mer counting	Whole genome sequencing	MIT		ERGA Assembly	True	False
ERGA DataQC Illumina v2505 (WF0)	WorkflowHub	601	https://workflowhub.eu/workflows/601?version=2	Diego De Panis	dataqc, erga, illumina	2024-09-18	2025-06-01	2	2	7.0	seqkit_stats, fastp, fastqc, __FLATTEN__, multiqc, collapse_dataset	Sequencing quality control, Sequence contamination filtering, Validation, DNA transcription, Statistical calculation, Sequence conversion, Sequence trimming, Sequence composition calculation, DNA translation	Whole genome sequencing	MIT		ERGA Assembly	True	False
ERGA DataQC ONT v2505 (WF0)	WorkflowHub	697	https://workflowhub.eu/workflows/697?version=1	Diego De Panis	dataqc, erga, ont	2024-01-08	2025-06-01	1	1	3.0	seqkit_stats, nanoplot, collapse_dataset	Sequence trimming, Scatter plot plotting, DNA transcription, Box-Whisker plot plotting, Sequence conversion, DNA translation	Whole genome sequencing	MIT		ERGA Assembly	True	False
ERGA DataQC HiFi v2505 (WF0)	WorkflowHub	602	https://workflowhub.eu/workflows/602?version=2	Diego De Panis	dataqc, erga, hifi	2024-09-18	2025-06-01	2	2	5.0	seqkit_stats, cutadapt, fastqc, multiqc, collapse_dataset	Sequencing quality control, Validation, DNA transcription, Statistical calculation, Sequence conversion, Primer removal, Sequence trimming, Sequence composition calculation, Read pre-processing, DNA translation	Whole genome sequencing	MIT		ERGA Assembly	True	False
ERGA Long Reads PriAlt Purge+QC v2505 (WF3)	WorkflowHub	1163	https://workflowhub.eu/workflows/1163?version=2	Diego De Panis	assembly, erga, hifi, qc	2025-06-01	2025-06-01	2	2	25.0	cat1, gfa_to_fa, merqury, busco, purge_dups, minimap2, param_value_from_file, gfastats	Genome assembly, De-novo assembly, Phasing, Scaffolding, Read binning, Pairwise sequence alignment, Sequence assembly validation, Data handling, k-mer counting	Whole genome sequencing	MIT		ERGA Assembly	True	False
ERGA HiC Pri Scaffolding+QC YaHS v2505 (WF4)	WorkflowHub	1164	https://workflowhub.eu/workflows/1164?version=2	Diego De Panis	assembly, erga, hic, qc	2025-02-03	2025-06-01	2	2	33.0	gfa_to_fa, pairtools_parse, pairtools_split, merqury, pairtools_dedup, gfastats, param_value_from_file, sambamba_merge, __EXTRACT_DATASET__, pretext_snapshot, busco, bwa_mem2, pretext_map, Cut1, pairtools_sort, sambamba_flagstat, yahs, CONVERTER_fasta_to_fai, pick_value	Genome assembly, De-novo assembly, Data handling, Sequence assembly validation, Sequence alignment, Phasing, Scaffolding, k-mer counting	Whole genome sequencing	MIT		ERGA Assembly	True	False
ERGA Long reads-only Assembly+QC Hifiasm v2505 (WF2)	WorkflowHub	1162	https://workflowhub.eu/workflows/1162?version=2	Diego De Panis	assembly, erga, hifi, ont, qc	2025-05-30	2025-09-09	2	2	22.0	gfa_to_fa, hifiasm, merqury, busco, bandage_image, param_value_from_file, gfastats	Genome assembly, De-novo assembly, Data handling, Sequence assembly validation, Phasing, Scaffolding, Sequence assembly visualisation, k-mer counting	Whole genome sequencing	MIT		ERGA Assembly	True	False
ERGA-BGE Genome Report ASM analyses (one-asm HiFi + HiC)	WorkflowHub	1104	https://workflowhub.eu/workflows/1104?version=2	Diego De Panis	genome assembly, genomics, qc	2024-11-04	2024-12-05	2	2	45.0	blobtoolkit, datasets_download_genome, pairtools_parse, sambamba_flagstat, pairtools_split, hicexplorer_hicplotmatrix, merqury, tp_text_file_with_recurring_lines, bg_diamond, __FLATTEN__, meryl, smudgeplot, hicexplorer_hicmergematrixbins, pairtools_dedup, gfastats, sambamba_merge, bedtools_makewindowsbed, __EXTRACT_DATASET__, cooler_cload_tabix, busco, cooler_csort_tabix, fasterq_dump, genomescope, rseqc_bam_stat, cutadapt, sam_merge2, bwa_mem2, minimap2, Cut1, lftp, fastp, pairtools_sort, collapse_dataset, CONVERTER_fasta_to_fai, pick_value	Genome assembly, De-novo assembly, Sequencing quality control, Sequence alignment, Phasing, Sequence contamination filtering, Scaffolding, Data deposition, Primer removal, Visualisation, Sequence assembly validation, Data retrieval, Sequence alignment analysis, Genotyping, Mapping, Pairwise sequence alignment, Data handling, Sequence database search, Sequence trimming, Read pre-processing, Data parsing, k-mer counting	Genomics	MIT		ERGA Assembly	True	False
ERGA HiC Collapsed Scaffolding+QC YaHS v2311 (WF4)	WorkflowHub	702	https://workflowhub.eu/workflows/702?version=1	Diego De Panis	erga, hic, name:assembly+qc	2024-01-09	2024-01-09	1	1	16.0	gfastats, gfa_to_fa, merqury, bellerophon, pretext_snapshot, busco, bwa_mem2, yahs, param_value_from_file, pretext_map	Genome assembly, De-novo assembly, Data handling, Sequence assembly validation, Sequence alignment, Phasing, Scaffolding, k-mer counting	Whole genome sequencing	MIT		ERGA Assembly	True	False
ERGA ONT+Illumina Collapsed Purge+QC v2311 (WF3)	WorkflowHub	701	https://workflowhub.eu/workflows/701?version=1	Diego De Panis	erga, illumina, name:assembly+qc	2024-01-09	2024-01-09	1	1	14.0	gfa_to_fa, merqury, busco, purge_dups, minimap2, param_value_from_file, gfastats	Genome assembly, De-novo assembly, Phasing, Scaffolding, Read binning, Pairwise sequence alignment, Sequence assembly validation, Data handling, k-mer counting	Whole genome sequencing	MIT		ERGA Assembly	True	False
ERGA HiC Hap1Hap2 Scaffolding+QC YaHS v2309 (WF4)	WorkflowHub	608	https://workflowhub.eu/workflows/608?version=1	Diego De Panis	assembly+qc, erga, hi-c	2023-10-11	2024-03-13	1	1	30.0	gfastats, gfa_to_fa, merqury, bellerophon, pretext_snapshot, busco, bwa_mem2, yahs, param_value_from_file, pretext_map	Genome assembly, De-novo assembly, Data handling, Sequence assembly validation, Sequence alignment, Phasing, Scaffolding, k-mer counting	Whole genome sequencing	MIT	10.48546/workflowhub.workflow.608.1	ERGA Assembly	True	False
ERGA HiFi+HiC Assembly+QC Hifiasm v2309 (WF2)	WorkflowHub	605	https://workflowhub.eu/workflows/605?version=1	Diego De Panis	assembly+qc, erga, hi-c, hifi	2023-10-09	2024-03-13	1	1	21.0	gfa_to_fa, hifiasm, merqury, busco, bandage_image, param_value_from_file, gfastats	Genome assembly, De-novo assembly, Data handling, Sequence assembly validation, Phasing, Scaffolding, Sequence assembly visualisation, k-mer counting	Whole genome sequencing	MIT	10.48546/workflowhub.workflow.605.1	ERGA Assembly	True	False
Refining Genome Annotations with Apollo (prokaryotes)	WorkflowHub	749	https://workflowhub.eu/workflows/749?version=1	Anthony Bretaudeau	genome-annotation	2024-02-14	2025-07-31	1	1	5.0	jbrowse, create_account, iframe, create_or_update, list_organism	Genome visualisation		CC-BY-4.0		EuroScienceGateway	True	False
GigaScience_Peptide_Annotation_demonstration_STS26T_neoantigen_candidates_workflow	WorkflowHub	1790	https://workflowhub.eu/workflows/1790?version=1		gtn, galaxy, name:neoantigen	2025-07-07	2025-07-07	1	1	11.0	"converting colons to columns
Convert characters1, tab2fasta, converting pipes to columns
Convert characters1, pep_pointer, regexColumn1, query_tabular"			GPL-3.0-or-later		Galaxy Training Network	True	False
Workflow 'Biodiversity data exploration tuto'	WorkflowHub	1693	https://workflowhub.eu/workflows/1693?version=1		ecology, gtn, galaxy	2025-06-02	2025-06-02	1	1	6.0	ecology_homogeneity_normality, ecology_stat_presence_abs, ecology_beta_diversity, ecology_link_between_var, ecology_presence_abs_abund, tool_anonymization			CC-BY-4.0		Galaxy Training Network	True	False
