Galaxy wrapper id	Description	To keep	Deprecated
EMLassemblyline	Tools using EML Assembly Line R package to generate EML metadata from template metadata files and vice versa		
Ecoregionalization_workflow	Tools to compute ecoregionalization with BRT model predictions and clustering.		
Geom_mean_workflow	Tools to compute The evolution of the total volume of very large trees, standing dead wood and dead wood on the ground on an area and the rate of devolution of the volume of wood favorable to biodiversity by large ecological regions (France).		
PAMPA	Tools to compute and analyse biodiversity metrics		
TrimNs	TrimNs is used to trim and remove fake cut sites from bionano hybrid scaffold data in the VGP pipeline		
abacas	Order and Orientate Contigs		
abyss	Assembly By Short Sequences - a de novo, parallel, paired-end sequence assembler		
annotatemyids	annotateMyIDs: get annotation for a set of IDs using the Bioconductor annotation packages		
aquainfra_importer	A data source tool for downloading datasets via the AquaINFRA Interaction Platform.		
aquainfra_ogc_api_processes	Wrapper for OGC API Processes developed in the AquaINFRA project.		
argnorm	argNorm is a tool to normalize antibiotic resistance genes (ARGs) by mapping them to the antibiotic resistance ontology (ARO) created by the CARD database		
assembly-stats	Assembly metric visualisations to facilitate rapid assessment and comparison of assembly quality.		
assemblystats	Summarise an assembly (e.g. N50 metrics)		
bam2mappingstats	Generates mapping stats from a bam file.		
baseline_calculator	Toxicity prediction using QSAR models		
bionano	Bionano Solve is a set of tools for analyzing Bionano data		
biotradis	Bio-Tradis is a tool suite dedicated to essentiality analyses with TraDis data.		
biscot	Bionano scaffolding correction tool		
blast_to_scaffold	Generate DNA scaffold from blastn or tblastx alignments of Contigs		
blastparser_and_hits	Parse blast outputs and compile hits		
blastx_to_scaffold	Generate DNA scaffold from blastx alignment of Contigs		
blobtoolkit	Identification and isolation non-target data in draft and publicly available genome assemblies.		
braker	BRAKER is a pipeline for fully automated prediction of protein coding gene structures with GeneMark-ES/ET and AUGUSTUS in novel eukaryotic genomes .		
braker3	BRAKER3 is a pipeline for fully automated prediction of protein coding gene structures with GeneMark-ES/ET and AUGUSTUS in novel eukaryotic genomes .		
cap3	cap3 wrapper		
champ_blocs	Compute indicators for turnover boulders fields		
chipseeker	A tool for ChIP peak annotation and visualization		
circexplorer2	Comprehensive and integrative circular RNA analysis toolset.		
