Topic	Title	Link	EDAM topic	EDAM operation	Creation	Last modification	Version	Tutorial	Slides	Video	Workflows	Tools	Servers with precise tool versions	Servers with tool but different versions	Feedback number	Feedback mean note	Visitors	Page views	Visit duration	Video views
Assembly	Genome Assembly Quality Control	https://training.galaxyproject.org//topics/assembly/tutorials/assembly-quality-control/tutorial.html	Biodiversity, Sequence assembly, Data quality management	Sequence assembly validation, Phasing, De-novo assembly, Genome assembly, Scaffolding, k-mer counting, Visualisation	2022-08-26	2025-06-04	6	True	True	False	True	chromeister, busco, quast, meryl, merqury	UseGalaxy.be, UseGalaxy.eu, UseGalaxy.fr, UseGalaxy.org.au	UseGalaxy.cz	0		2521675	5416184	4.2	0
Assembly	Large genome assembly and polishing	https://training.galaxyproject.org//topics/assembly/tutorials/largegenome/tutorial.html	Genomics, Sequence assembly, Biodiversity	Sequence assembly visualisation, Sequence assembly, Variant calling, Genome assembly, Base-calling, Box-Whisker plot plotting, Visualisation, Sequence assembly validation, Sequence composition calculation, De-novo assembly, Scatter plot plotting, Statistical calculation, Validation, Cross-assembly, Pairwise sequence alignment, Mapping assembly, Sequence contamination filtering, Sequencing quality control	2023-03-06	2026-01-23	15	True	False	True	True	barchart_gnuplot, flye, racon, bandage_image, busco, fasta-stats, multiqc, nanoplot, genomescope, quast, fastqc, fastp, meryl, minimap2, medaka_consensus_pipeline	UseGalaxy.be, UseGalaxy.eu, UseGalaxy.org.au	UseGalaxy.cz	0		7882	10182	1.95	0
Assembly	ERGA post-assembly QC	https://training.galaxyproject.org//topics/assembly/tutorials/ERGA-post-assembly-QC/tutorial.html	Genomics, Sequence assembly, Biodiversity	Sequence assembly visualisation, Genotyping, Sequence alignment, Genome assembly, Scaffolding, Sequence assembly validation, k-mer counting, Data parsing, Data handling, Visualisation, Sequence alignment analysis, Sequence trimming, Data deposition, Pairwise sequence alignment, De-novo assembly, Phasing	2023-06-23	2025-06-04	8	True	False	True	True	samtools_stats, tp_find_and_replace, pretext_map, bandage_image, bg_diamond, interactive_tool_blobtoolkit, busco, bwa_mem2, blobtoolkit, minimap2, collapse_dataset, smudgeplot, bellerophon, meryl, gfastats, __EXTRACT_DATASET__, CONVERTER_gz_to_uncompressed, pretext_snapshot, genomescope, merqury	UseGalaxy.eu	UseGalaxy.org (Main), UseGalaxy.org.au	0		2149	2776	1.95	0
Assembly	Chloroplast genome assembly	https://training.galaxyproject.org//topics/assembly/tutorials/chloroplast-assembly/tutorial.html		Sequence assembly visualisation, Gene prediction, Sequence assembly, Genome visualisation, Genome assembly, Coding region prediction, Genome indexing, Analysis, Sequence alignment, Box-Whisker plot plotting, Read alignment, Generation, De-novo assembly, Scatter plot plotting, Read mapping, Cross-assembly, Genome annotation, Mapping assembly	2020-12-04	2026-01-23	22	True	False	True	True	flye, bandage_image, fasta-stats, prokka, nanoplot, upload1, bandage_info, pilon, bwa_mem, jbrowse	UseGalaxy.eu	UseGalaxy.be, UseGalaxy.cz, UseGalaxy.fr, UseGalaxy.no, UseGalaxy.org (Main)	0		8263	12800	2.7666666666666666	0
Assembly	Assembly of the mitochondrial genome from PacBio HiFi reads	https://training.galaxyproject.org//topics/assembly/tutorials/mitochondrion-assembly/tutorial.html	Genomics, Sequence assembly, Biodiversity, Mitochondria		2024-09-03	2025-06-04	4	True	False	True	True	compress_file, mitohifi	UseGalaxy.be, UseGalaxy.cz, UseGalaxy.eu, UseGalaxy.org (Main), UseGalaxy.org.au		0		1010	1215	1.65	0
Assembly	Decontamination of a genome assembly	https://training.galaxyproject.org//topics/assembly/tutorials/assembly-decontamination/tutorial.html	Genomics, Sequence assembly, Biodiversity	Data handling, Taxonomic classification	2024-09-04	2025-06-04	5	True	False	True	True	parse_mito_blast, tp_cat, kraken2, Filter1, ncbi_dustmasker_wrapper, tp_sed_tool, Cut1, gfastats, ncbi_blastn_wrapper	UseGalaxy.eu, UseGalaxy.org (Main), UseGalaxy.org.au	UseGalaxy.cz	0		1834	2251	2.316666666666667	0
Assembly	Unicycler Assembly	https://training.galaxyproject.org//topics/assembly/tutorials/unicycler-assembly/tutorial.html	Sequence assembly, Genomics, Microbiology	Gene prediction, Aggregation, Genome assembly, Coding region prediction, Sequence assembly validation, Sequence composition calculation, Statistical calculation, Validation, Genome annotation, Visualisation, Sequencing quality control	2017-10-11	2026-01-23	25	True	True	False	True	unicycler, multiqc, prokka, quast, fastqc	UseGalaxy.eu, UseGalaxy.org (Main), UseGalaxy.org.au	Galaxy@AuBi, GalaxyTrakr, MISSISSIPPI, UseGalaxy.be, UseGalaxy.cz, UseGalaxy.fr, UseGalaxy.no	0		3435202	8391989	4.25	0
Assembly	Unicycler assembly of SARS-CoV-2 genome with preprocessing to remove human genome reads	https://training.galaxyproject.org//topics/assembly/tutorials/assembly-with-preprocessing/tutorial.html		Sequence assembly visualisation, Aggregation, Genome assembly, Box-Whisker plot plotting, Sequence file editing, Sequence contamination filtering, Pairwise sequence alignment, Scatter plot plotting, Read mapping, Data handling, Validation, Sequencing quality control	2020-04-21	2025-05-15	14	True	True	True	True	fasta_filter_by_length, bandage_image, unicycler, multiqc, __ZIP_COLLECTION__, nanoplot, samtools_stats, bandage_info, bowtie2, fastp, seqtk_sample, minimap2, collapse_dataset, samtools_fastx, fasterq_dump, samtools_view	UseGalaxy.eu, UseGalaxy.org.au	Galaxy@AuBi, MISSISSIPPI, UseGalaxy.be, UseGalaxy.cz, UseGalaxy.fr, UseGalaxy.no, UseGalaxy.org (Main)	0		3428305	8379931	5.3	0
Assembly	Vertebrate genome assembly using HiFi, Bionano and Hi-C data - Step by Step	https://training.galaxyproject.org//topics/assembly/tutorials/vgp_genome_assembly/tutorial.html	Genomics, Sequence assembly, Biodiversity	Read pre-processing, Mapping, Genome assembly, Sequence alignment, Scaffolding, Sequence trimming, Sequence assembly validation, Phasing, De-novo assembly, Pairwise sequence alignment, Read binning, Data handling, k-mer counting, Visualisation, Primer removal	2021-06-04	2026-01-23	58	True	False	True	True	Add_a_column1, tp_grep_tool, hifiasm, salsa, tp_find_and_replace, pretext_map, collection_column_join, busco, bwa_mem2, bedtools_bamtobed, cat1, minimap2, collapse_dataset, tp_cut_tool, quast, bellerophon, sort1, meryl, gfastats, pretext_snapshot, Convert characters1, cutadapt, purge_dups, genomescope, yahs, gfa_to_fa, bionano_scaffold, merqury		UseGalaxy.cz	0		16630	24932	1.9666666666666666	0
Assembly	Genome assembly using PacBio data	https://training.galaxyproject.org//topics/assembly/tutorials/hifi-assembly/tutorial.html	Genomics, Sequence assembly, Biodiversity	Visualisation, Sequence assembly validation, De-novo assembly, Genome assembly, Cross-assembly, Mapping assembly	2021-11-29	2025-06-04	2	True	False	False	True	flye, fasta-stats, busco, hifiasm, quast, gfa_to_fa	UseGalaxy.eu, UseGalaxy.fr, UseGalaxy.org (Main), UseGalaxy.org.au	UseGalaxy.cz, UseGalaxy.no	0		1100	1318	1.75	0
