Suite ID	Suite owner	Description	To keep	Deprecated
CRSConverter	ecology	Tools to transforms geographical vector data to a specified coordinate reference system.		
EstimEndem	ecology	Tools to estimates the endemism of each cell in a spatial grid.		
Geometric means (Dead wood)	ecology	Tools to compute The evolution of the total volume of very large trees, standing dead wood and dead wood on the ground on an area and the rate of devolution of the volume of wood favorable to biodiversity by large ecological regions (France).		
Make data paper sketches from EML	ecology	This tool derived from the R Shiny App MetaShRIMPS <https://github.com/TanguyGen/metaCure> is made to produce draft of data paper from Ecological Metadata Language (EML) based metadata documents.		
PylOccuMatcher	ecology	Tools to matches phylogenetic data with occupancy data.		
PyloIndex	ecology	Tools to computes the phylodiversity index.		
WormsMeasurements	ecology	This tool uses WoRMS (World Register of Marine Species) to add measurement values to a dataset based on scientific names.		
aquainfra_importer	ecology	A data source tool for downloading datasets via the AquaINFRA Interaction Platform.		
aquainfra_ogc_api_processes	ecology	Wrapper for OGC API Processes developed in the AquaINFRA project.		
baseline_toxicity_calculator	mbernt	Toxicity prediction using QSAR models		
bgc_ocean	ecology	Process in-situ and biogechemical oceanographic Argo or Glider data for the Earth System		
c3s	climate	Copernicus Climate Change Service (C3S)		
cads	climate	Copernicus Atmosphere Data Store (ADS)		
cdo	climate	CDO (Climate Data Operators) is a collection of command line Operators to manipulate and analyse Climate and NWP model Data.Supported data formats are GRIB 1/2, netCDF 3/4, SERVICE, EXTRA and IEG. There are more than 600 operators available.		
cds_essential_variability	climate	Get Copernicus Essential Climate Variables for assessing climate variability		
cesm	climate	Community Earth System Model (CESM)		
champ_blocs	ecology	Compute indicators for turnover boulders fields		
climate_stripes	climate	Create climate stripes from a tabular input file		
ctsm_fates	climate	EMERALD version of the Functionally Assembled Terrestrial Ecosystem Simulator (FATES) with Community Terrestrial Systems Model as host model		
data_exploration	ecology	Explore data through multiple statistical tools		
dose_response_analysis_tool	ufz	A  tool for analyzing and visualizing the relationship between various doses and their corresponding biological responses		
earth	ecology	Access, process, visualise oceanographic data for the Earth System		
ecoregionalization	ecology	Tools to compute ecoregionalization with BRT model predictions and clustering.		
emlassemblyline	ecology	Tools using EML Assembly Line R package to generate EML metadata from template metadata files and vice versa		
eodie	climate	Earth Observation Data Information Extractor		
gdal	ecology	Geospatial Data Abstraction Library tools are all dedicated to manipulate raster and vector geospatial data formats.		
hirondelle_crim_ogc_api_processes	ecology	This tool is a wrapper for OGC API Processes coming from https://osf.io/gfbws/.		
interpolation	ecology	Run IDW interpolation based on a .csv and .geojson file		
marine_omics	ecology	The Sanntis tool identify biosynthetic gene clusters (BGCs) in genomic & metagenomic data		
mean_per_zone	climate	Creates a png image showing statistic over areas as defined in the vector file		
medenv	ecology	Retrieve environmental data from etopo, cmems and woa		
obisindicators	ecology	Compute biodiveristy indicators for marine data from obis		
ocean	ecology	Access, process, and visualise oceanographic data for the Earth System		
ocean_data_view_manager	ecology	The tool merges various datasets with a common vocabulary and creates a single generic ODV spreadsheet in an automatic way.		
ocean_neural_network	ecology	Robust Estimation of Open Ocean CO2 Variables and Nutrient Concentrations From T, S, and O2 Data Using Bayesian Neural Networks		
ogcProcess_otb_bandmath	ecology	Outputs a monoband image which is the result of a mathematical operation on several multi-band images.		
ogcProcess_otb_meanShiftSmoothing	ecology	This application smooths an image using the MeanShift algorithm.		
pampa	ecology	Tools to compute and analyse biodiversity metrics		
psy_maps	climate	Visualization of regular geographical data on a map with psyplot		
regionalgam	ecology			
retrieve_bold	ecology	Search a list of sequences in BOLD (Barcode of Life Data System) from specified taxa list and markers		
sdmpredictors	ecology	Terrestrial and marine predictors for species distribution modelling.		
shift_longitudes	climate	Shift longitudes ranging from 0. and 360 degrees to -180. and 180. degrees		
spocc_occ	ecology	Get species occurences data		
srs_tools	ecology	Compute biodiversity indicators for remote sensing data from Sentinel 2		
stoceps	ecology	Tools to analyse STOC data.		
terrabyte_ogc_api_processes	ecology	This tool is a wrapper for OGC API Processes (OTB) coming from terrabyte (https://docs.terrabyte.lrz.de/).		
vigiechiro	ecology	Tools created by the vigiechiro team to analyses and identify chiro sounds files.		
xarray	ecology	xarray (formerly xray) is an open source project and Python package that makes working withlabelled multi-dimensional arrays simple, efficient, and fun!xarray integrates with Dask to support parallel computations and streaming computation on datasetsthat don’t fit into memory.		
xarray_import_data	ecology	A data import tool for opening OPeNDAP datasets and storing as netCDF files.		
zoo_project_ogc_api_processes	ecology	This tool is a wrapper for OGC API Processes (OTB) coming from the Zoo Project (https://zoo-project.github.io/docs/intro.html) and was created using the OGC-API-Process2Galaxy tool (https://github.com/AquaINFRA/OGC-API-Process2Galaxy). Check the README in the repository for more information.		
