Link	Name	Source	Projects	Creators	Creation time	Update time	To keep	Deprecated
https://workflowhub.eu/workflows/758?version=1	Calculating and visualizing OBIS marine biodiversity indicators	WorkflowHub	EuroScienceGateway	Marie Josse	2024-02-15	2025-11-06	True	False
https://workflowhub.eu/workflows/756?version=1	Sentinel 5P volcanic data visualization	WorkflowHub	EuroScienceGateway	Marie Jossé	2024-02-15	2025-11-04	True	False
https://workflowhub.eu/workflows/1182?version=1	Ocean's variables 2.0	WorkflowHub	FAIR-EASE, usegalaxy-eu	Marie Jossé	2024-10-18	2024-10-18	True	False
https://workflowhub.eu/workflows/1113?version=1	Full Analyse Argo data	WorkflowHub	FAIR-EASE, usegalaxy-eu	Marie Jossé	2024-09-02	2024-09-02	True	False
https://workflowhub.eu/workflows/1105?version=1	Marine Omics identifying biosynthetic gene clusters	WorkflowHub	FAIR-EASE, usegalaxy-eu	Marie Jossé	2024-08-21	2024-08-21	True	False
https://workflowhub.eu/workflows/252?version=1	Pangeo 101 for everyone - introduction to Xarray	WorkflowHub	Galaxy Climate		2021-12-29	2023-01-16	True	False
https://workflowhub.eu/workflows/123?version=1	Compute daily and monthly mean from meteorological station measurements	WorkflowHub	Galaxy Climate		2021-05-23	2023-01-16	True	False
https://workflowhub.eu/workflows/46?version=1	Copernicus Essential Climate Variable - select and plot	WorkflowHub	Galaxy Climate		2020-07-23	2023-01-16	True	False
https://workflowhub.eu/workflows/1652?version=1	Xarray_Map_Plotting_Workflow	WorkflowHub	Galaxy Training Network		2025-06-02	2025-06-02	True	False
https://workflowhub.eu/workflows/1625?version=1	Retrieve climate data from Copernicus	WorkflowHub	Galaxy Training Network		2025-06-02	2025-06-02	True	False
https://workflowhub.eu/workflows/1441?version=1	Climate 101	WorkflowHub	Galaxy Training Network		2025-06-02	2025-06-02	True	False
https://workflowhub.eu/workflows/1432?version=1	GTN 'Pangeo 101 for everyone - Xarray'	WorkflowHub	Galaxy Training Network		2025-06-02	2025-06-09	True	False
https://workflowhub.eu/workflows/1427?version=1	CLM-FATES_ ALP1 simulation (5 years)	WorkflowHub	Galaxy Training Network		2025-06-02	2025-06-02	True	False
https://workflowhub.eu/workflows/1423?version=1	Pangeo Jupyter Notebook	WorkflowHub	Galaxy Training Network		2025-06-02	2025-06-02	True	False
https://workflowhub.eu/workflows/42?version=1	Climate - Climate 101	WorkflowHub	Galaxy Training Network	Anne Fouilloux	2020-06-29	2023-01-16	True	False
https://workflowhub.eu/workflows/1698?version=1	Marine Omics visualisation	WorkflowHub	Galaxy Training Network, EuroScienceGateway	Marie Jossé, Yvan Le Bras	2025-06-02	2025-11-04	True	False
https://workflowhub.eu/workflows/1663?version=1	Marine Omics identifying biosynthetic gene clusters	WorkflowHub	Galaxy Training Network, EuroScienceGateway	Marie Jossé	2025-06-02	2025-07-28	True	False
https://workflowhub.eu/workflows/1436?version=1	Analyse Argo data	WorkflowHub	Galaxy Training Network, EuroScienceGateway	Marie Jossé	2025-06-02	2025-07-28	True	False
https://workflowhub.eu/workflows/1445?version=1	Ocean's variables 2.0	WorkflowHub	Galaxy Training Network, EuroScienceGateway	Marie Jossé	2025-06-02	2025-07-28	True	False
https://usegalaxy.eu/published/workflow?id=83cf176da95eb014	NDVI with OpenEO	https://usegalaxy.eu		Marie Jossé	2023-12-31	2025-11-18	True	False
https://usegalaxy.eu/published/workflow?id=7aaa281c8e79d864	Sentinel5 volcanic data	https://usegalaxy.eu		Marie Jossé	2024-01-24	2025-11-18	True	False
https://usegalaxy.eu/published/workflow?id=44827462c065bae3	Argo-Glider Nitrate QCV 	https://usegalaxy.eu		Virginie Racapé	2025-06-12	2025-10-23	True	False
https://usegalaxy.eu/published/workflow?id=26fe6b0fb6ca2892	Ocean's variables 2.0	https://usegalaxy.eu		Marie Jossé	2024-08-07	2025-09-12	True	False
https://usegalaxy.eu/published/workflow?id=c5de0b794849e1b1	Ecoregionalization workflow (Part 1)	https://usegalaxy.eu		Seguineau Pauline	2024-11-05	2025-07-16	True	False
https://usegalaxy.eu/published/workflow?id=b727b64f37238fff	Ecoregionalization workflow (Part 2)	https://usegalaxy.eu		Seguineau Pauline	2024-11-18	2025-07-16	True	False
https://usegalaxy.eu/published/workflow?id=d3d9d1f173fd7bfe	BioGeoChemical QCV 	https://usegalaxy.eu			2025-06-10	2025-06-12	True	False
https://usegalaxy.eu/published/workflow?id=4f51080ffe7d57e0	Marine Omics visualisation	https://usegalaxy.eu		Marie Jossé	2024-01-26	2024-10-18	True	False
https://usegalaxy.eu/published/workflow?id=a80f9b926ba43892	Full Analyse Argo data 	https://usegalaxy.eu		Marie Jossé	2024-03-29	2024-08-30	True	False
https://usegalaxy.eu/published/workflow?id=b9c938d1af08124b	Marine Omics identifying biosynthetic gene clusters	https://usegalaxy.eu		Marie Jossé	2024-08-09	2024-08-09	True	False
https://usegalaxy.eu/published/workflow?id=1d2cd0af01a30a46	Satellite data for biodiversity	https://usegalaxy.eu		Marie Josse	2023-03-01	2024-05-27	True	False
https://usegalaxy.eu/published/workflow?id=fc33ea1679e5f1b7	Analyse Argo data 	https://usegalaxy.eu		Marie Jossé	2024-03-14	2024-03-27	True	False
https://usegalaxy.eu/published/workflow?id=8c868b087ef78bf9	Ocean's variables	https://usegalaxy.eu		Marie Jossé	2024-01-31	2024-03-25	True	False
https://usegalaxy.eu/published/workflow?id=d94460f342b70eb3	Xarray_Map_Plotting_Workflow	https://usegalaxy.eu		Soumya Jha	2022-06-07	2022-06-07	True	False
https://usegalaxy.eu/published/workflow?id=b4bfcbf8acee9cc3	Plotting of Geographical Map using climate Data	https://usegalaxy.eu			2022-04-15	2022-04-20	True	False
https://usegalaxy.eu/published/workflow?id=0c6dd9e75d9a2130	GTN 'Pangeo 101 for everyone - Xarray'	https://usegalaxy.eu		Anne Fouilloux	2021-12-28	2021-12-28	True	False
https://usegalaxy.eu/published/workflow?id=b2a26b300b596ff3	Pangeo Jupyter Notebook	https://usegalaxy.eu		Anne Fouilloux	2021-12-22	2021-12-23	True	False
https://usegalaxy.eu/published/workflow?id=7b50e72deb46c6e8	CLM-FATES_ ALP1 simulation (5 years)	https://usegalaxy.eu			2020-10-27	2021-06-15	True	False
https://usegalaxy.eu/published/workflow?id=b610849d70c1e225	Workflow for Climate tutorial	https://usegalaxy.eu			2021-06-11	2021-06-11	True	False
https://usegalaxy.eu/published/workflow?id=ac5b66c42681e7a8	Retrieve climate data from Copernicus	https://usegalaxy.eu			2021-06-11	2021-06-11	True	False
https://usegalaxy.eu/published/workflow?id=392a5d91ac221104	Workflow constructed from history 'climate 101'	https://usegalaxy.eu			2020-04-30	2020-04-30	True	False
