Suite ID	Homepage	Suite source
CRSConverter	https://github.com/Morphy427/phylodiversity_workflow/CRSConverter	https://github.com/galaxyecology/tools-ecology/tree/master/tools/Phylodiversity_workflow
Geometric means (Dead wood)	https://github.com/PaulineSGN/Galaxy_tool_moyenne_geom	https://github.com/galaxyecology/tools-ecology/tree/master/tools/Geom_mean_workflow
Make data paper sketches from EML	https://github.com/TanguyGen/emldown	https://github.com/galaxyecology/tools-ecology/tree/main/tools-ecology/tools/make_data_paper_sketches
PylOccuMatcher	https://github.com/Morphy427/phylodiversity_workflow/PhylOccuMatcher	https://github.com/galaxyecology/tools-ecology/tree/master/tools/Phylodiversity_workflow
PyloIndex	https://github.com/Morphy427/phylodiversity_workflow/PyloIndex	https://github.com/galaxyecology/tools-ecology/tree/master/tools/Phylodiversity_workflow
WormsMeasurements	https://github.com/jeanlecras/tools-ecology	https://github.com/jeanlecras/tools-ecology/tree/master/tools/WormsMeasurements
aquainfra_importer	https://github.com/AquaINFRA/galaxy	https://github.com/AquaINFRA/tools-ecology/tree/aquainfra_importer
aquainfra_ogc_api_processes	https://github.com/AquaINFRA/galaxy	https://github.com/AquaINFRA/tools-ecology/tree/master
bgc_ocean	https://github.com/Marie59/FE-ft-ESG/tree/main/ocean	https://github.com/galaxyecology/tools-ecology/tree/master/tools/bgc_ocean
c3s	https://cds.climate.copernicus.eu/cdsapp#!/search?type=dataset	https://github.com/NordicESMhub/galaxy-tools/tree/master/tools/c3s
cads	https://ads.atmosphere.copernicus.eu/#!/home	https://github.com/NordicESMhub/galaxy-tools/tree/master/tools/cads
cdo	https://code.mpimet.mpg.de/projects/cdo/	https://github.com/NordicESMhub/galaxy-tools/tree/master/tools/cdo
cds_essential_variability	https://cds.climate.copernicus.eu/cdsapp#!/dataset/ecv-for-climate-change?tab=overview	https://github.com/NordicESMhub/galaxy-tools/tree/master/tools/essential_climate_variables
cesm	https://www.cesm.ucar.edu/	https://github.com/ESCOMP/CESM
champ_blocs		https://github.com/Marie59/champ_blocs
climate_stripes	https://www.climate-lab-book.ac.uk/2018/warming-stripes/	https://github.com/NordicESMhub/galaxy-tools/tree/master/tools/climate-stripes
ctsm_fates	https://github.com/NordicESMhub/ctsm/blob/fates_emerald_api/README_fates_emerald_api	https://github.com/NordicESMhub/galaxy-tools/tree/master/tools/fates-emerald
data_exploration		https://github.com/Marie59/Data_explo_tools
earth	https://github.com/Marie59/FE-ft-ESG/tree/main/earth	https://github.com/galaxyecology/tools-ecology/tree/master/tools/earth
ecoregionalization	https://github.com/PaulineSGN/Workflow_Galaxy	https://github.com/galaxyecology/tools-ecology/tree/master/tools/Ecoregionalization_workflow
emlassemblyline	https://github.com/EDIorg/EMLassemblyline	https://github.com/galaxyecology/tools-ecology/tree/master/tools/EMLassemblyline
eodie	https://eodie.readthedocs.io/	https://gitlab.com/eetun-tiimi/EODIE
gdal	https://www.gdal.org	https://github.com/galaxyecology/tools-ecology/tree/master/tools/gdal
hirondelle_crim_ogc_api_processes	https://github.com/AquaINFRA/galaxy	https://github.com/galaxyecology/tools-ecology/tree/master/tools/ogc_api_processes_wrapper
interpolation	https://github.com/AquaINFRA/galaxy	https://github.com/galaxyecology/tools-ecology/tree/master/tools/interpolation
marine_omics	https://github.com/Finn-Lab/SanntiS	https://github.com/galaxyecology/tools-ecology/tree/master/tools/marine_omics
