Name	Source	ID	Link	Creators	Tags	Creation time	Update time	Latest version	Versions	Number of steps	Tools	EDAM operations	EDAM topics	License	DOI	Projects	To keep	Deprecated
Calculating and visualizing OBIS marine biodiversity indicators	WorkflowHub	758	https://workflowhub.eu/workflows/758?version=1	Marie Josse	earth-system, ecology	2024-02-15	2025-11-06	1	1	3.0	csv_to_tabular, obisindicators, tp_cut_tool			CC-BY-SA-4.0		EuroScienceGateway	True	False
Sentinel 5P volcanic data visualization	WorkflowHub	756	https://workflowhub.eu/workflows/756?version=1	Marie Jossé	climate	2024-02-15	2025-11-04	1	1	2.0	interactive_tool_copernicus_notebook, interactive_tool_panoply			CC-BY-4.0		EuroScienceGateway	True	False
Ocean's variables 2.0	WorkflowHub	1182	https://workflowhub.eu/workflows/1182?version=1	Marie Jossé	earth-system, ocean	2024-10-18	2024-10-18	1	1	5.0	Create a climatology (not interactively), Interactively subset you data., Final step to visualize in different way a ocean variable like the phosphate., Create a climatology interactively with notebooks			CC-BY-4.0		FAIR-EASE, usegalaxy-eu	True	False
Full Analyse Argo data	WorkflowHub	1113	https://workflowhub.eu/workflows/1113?version=1	Marie Jossé	earth-system, ocean, pangeo	2024-09-02	2024-09-02	1	1	10.0				CC-BY-4.0		FAIR-EASE, usegalaxy-eu	True	False
Marine Omics identifying biosynthetic gene clusters	WorkflowHub	1105	https://workflowhub.eu/workflows/1105?version=1	Marie Jossé	earth-system, ecology, marine omics, ocean	2024-08-21	2024-08-21	1	1	5.0	Create the protein fasta file, Remove useless * in the protein fasta file, Use of Sanntis, Create TSV file for Sanntis		Marine biology	CC-BY-4.0		FAIR-EASE, usegalaxy-eu	True	False
Pangeo 101 for everyone - introduction to Xarray	WorkflowHub	252	https://workflowhub.eu/workflows/252?version=1		climate, gtn, copernicus, pangeo	2021-12-29	2023-01-16	1	1	40.0				MIT		Galaxy Climate	True	False
Compute daily and monthly mean from meteorological station measurements	WorkflowHub	123	https://workflowhub.eu/workflows/123?version=1		climate, eosc-nordic, observation	2021-05-23	2023-01-16	1	1	12.0	"datamash_ops, climate_stripes, tp_awk_tool, collection_column_join, 
 Filter1, 
 csv_to_tabular, 
 barchart_gnuplot"			GPL-3.0		Galaxy Climate	True	False
Copernicus Essential Climate Variable - select and plot	WorkflowHub	46	https://workflowhub.eu/workflows/46?version=1		climate, galaxy, copernicus	2020-07-23	2023-01-16	1	1	7.0				Apache-2.0		Galaxy Climate	True	False
Xarray_Map_Plotting_Workflow	WorkflowHub	1652	https://workflowhub.eu/workflows/1652?version=1		climate, ecology, gtn, galaxy	2025-06-02	2025-06-02	1	1	7.0	xarray_coords_info, xarray_mapplot, cdo_operations, xarray_metadata_info			MIT		Galaxy Training Network	True	False
Retrieve climate data from Copernicus	WorkflowHub	1625	https://workflowhub.eu/workflows/1625?version=1		contributing, gtn, galaxy	2025-06-02	2025-06-02	1	1	1.0	c3s			CC-BY-4.0		Galaxy Training Network	True	False
Climate 101	WorkflowHub	1441	https://workflowhub.eu/workflows/1441?version=1		climate, gtn, galaxy	2025-06-02	2025-06-02	1	1	13.0	datamash_ops, climate_stripes, ggplot2_point, tp_awk_tool, cds_essential_variability, psy_maps, Grep1	Visualisation		MIT		Galaxy Training Network	True	False
GTN 'Pangeo 101 for everyone - Xarray'	WorkflowHub	1432	https://workflowhub.eu/workflows/1432?version=1		climate, gtn, galaxy, copernicus, pangeo	2025-06-02	2025-06-09	1	1	40.0	"xarray_mapplot, xarray_metadata_info, ggplot2_point, climate_stripes, graphicsmagick_image_montage, xarray_coords_info, regexColumn1, __EXTRACT_DATASET__, xarray_select, __MERGE_COLLECTION__, This step is used to extract time from all the coordinates.
__EXTRACT_DATASET__, xarray_netcdf2netcdf"	Visualisation		MIT		Galaxy Training Network	True	False
CLM-FATES_ ALP1 simulation (5 years)	WorkflowHub	1427	https://workflowhub.eu/workflows/1427?version=1		climate, gtn, galaxy	2025-06-02	2025-06-02	1	1	6.0	tp_find_and_replace, ctsm_fates, ggplot2_point, xarray_select, __EXTRACT_DATASET__, xarray_metadata_info	Visualisation		Apache-2.0		Galaxy Training Network	True	False
Pangeo Jupyter Notebook	WorkflowHub	1423	https://workflowhub.eu/workflows/1423?version=1		big-data, climate, gtn, galaxy, geosciences, pangeo	2025-06-02	2025-06-02	1	1	1.0	interactive_tool_pangeo_notebook			MIT		Galaxy Training Network	True	False
Climate - Climate 101	WorkflowHub	42	https://workflowhub.eu/workflows/42?version=1	Anne Fouilloux	climate, gtn	2020-06-29	2023-01-16	1	1	13.0				MIT		Galaxy Training Network	True	False
Marine Omics visualisation	WorkflowHub	1698	https://workflowhub.eu/workflows/1698?version=1	Marie Jossé, Yvan Le Bras	earth-system, gtn, galaxy, marineomics, ocean	2025-06-02	2025-11-04	1	1	3.0	obisindicators, tp_cut_tool, obis_data			CC-BY-4.0	10.48546/workflowhub.workflow.1698.1	Galaxy Training Network, EuroScienceGateway	True	False
Marine Omics identifying biosynthetic gene clusters	WorkflowHub	1663	https://workflowhub.eu/workflows/1663?version=1	Marie Jossé	earth-system, gtn, galaxy, marineomics, ocean	2025-06-02	2025-07-28	1	1	5.0	regex1, interproscan, prodigal, sanntis_marine	Protein feature detection, Sequence motif recognition, Genome annotation		CC-BY-4.0	10.48546/workflowhub.workflow.1663.1	Galaxy Training Network, EuroScienceGateway	True	False
Analyse Argo data	WorkflowHub	1436	https://workflowhub.eu/workflows/1436?version=1	Marie Jossé	earth-system, gtn, galaxy, ocean, pangeo	2025-06-02	2025-07-28	1	1	5.0	argo_getdata, interactive_tool_odv, xarray_coords_info, timeseries_extraction, xarray_metadata_info			CC-BY-4.0	10.48546/workflowhub.workflow.1436.1	Galaxy Training Network, EuroScienceGateway	True	False
Ocean's variables 2.0	WorkflowHub	1445	https://workflowhub.eu/workflows/1445?version=1	Marie Jossé	earth-system, gtn, galaxy, ocean	2025-06-02	2025-07-28	1	1	5.0	"divand_full_analysis, Interactively subset you data.
interactive_tool_odv, Final step to visualize in different way a ocean variable like the phosphate.
interactive_tool_odv, Create a climatology interactively with notebooks
interactive_tool_divand"			CC-BY-4.0	10.48546/workflowhub.workflow.1445.1	Galaxy Training Network, EuroScienceGateway	True	False
NDVI with OpenEO	https://usegalaxy.eu	83cf176da95eb014	https://usegalaxy.eu/published/workflow?id=83cf176da95eb014	Marie Jossé	earth-system, ndvi, satellitedata, landdegradation	2023-12-31	2025-11-18	4	4		interactive_tool_copernicus_notebook, interactive_tool_holoviz			CC-BY-4.0			True	False
Sentinel5 volcanic data	https://usegalaxy.eu	7aaa281c8e79d864	https://usegalaxy.eu/published/workflow?id=7aaa281c8e79d864	Marie Jossé	earth-system, volcano, atmosphere	2024-01-24	2025-11-18	1	1		interactive_tool_copernicus_notebook, interactive_tool_panoply			CC-BY-4.0			True	False
Argo-Glider Nitrate QCV 	https://usegalaxy.eu	44827462c065bae3	https://usegalaxy.eu/published/workflow?id=44827462c065bae3	Virginie Racapé	ocean, bgc, argo, earth-system	2025-06-12	2025-10-23	26	26		tool_odv_history, interactive_tool_odv, harmonize_insitu_to_netcdf, tool_biogeochemical_calibration, tool_odv			CC-BY-4.0			True	False
Ocean's variables 2.0	https://usegalaxy.eu	26fe6b0fb6ca2892	https://usegalaxy.eu/published/workflow?id=26fe6b0fb6ca2892	Marie Jossé	earth-system, ocean	2024-08-07	2025-09-12	19	19		divand_full_analysis, interactive_tool_divand, interactive_tool_odv			CC-BY-4.0			True	False
Ecoregionalization workflow (Part 1)	https://usegalaxy.eu	c5de0b794849e1b1	https://usegalaxy.eu/published/workflow?id=c5de0b794849e1b1	Seguineau Pauline	ecology, earth-system, ecology, name:ecology, name:occurencesdata	2024-11-05	2025-07-16	1	1		ecoregion_brt_analysis, ecoregion_taxa_seeker, regexColumn1, tp_cut_tool, interactive_tool_jupyter_notebook, ecoregion_GeoNearestNeighbor, unzip, ecoregion_cluster_estimate, mergeCols1, filter_tabular			CC-BY-4.0			True	False
Ecoregionalization workflow (Part 2)	https://usegalaxy.eu	b727b64f37238fff	https://usegalaxy.eu/published/workflow?id=b727b64f37238fff	Seguineau Pauline	name:ecology, ecology, earth-system, name:occurencesdata, ecology	2024-11-18	2025-07-16	2	2		ecoregion_eco_map, ecoregion_clara_cluster			CC-BY-4.0			True	False
BioGeoChemical QCV 	https://usegalaxy.eu	d3d9d1f173fd7bfe	https://usegalaxy.eu/published/workflow?id=d3d9d1f173fd7bfe		ocean, bgc, argo, earth-system	2025-06-10	2025-06-12	9	9		tool_odv_history, interactive_tool_odv, harmonize_insitu_to_netcdf, tool_biogeochemical_calibration, tool_odv			CC-BY-4.0			True	False
Marine Omics visualisation	https://usegalaxy.eu	4f51080ffe7d57e0	https://usegalaxy.eu/published/workflow?id=4f51080ffe7d57e0	Marie Jossé	ocean, marineomics, earth-system	2024-01-26	2024-10-18	8	8		obisindicators, tp_cut_tool, obis_data			CC-BY-4.0			True	False
Full Analyse Argo data 	https://usegalaxy.eu	a80f9b926ba43892	https://usegalaxy.eu/published/workflow?id=a80f9b926ba43892	Marie Jossé	ocean, pangeo, earth-system	2024-03-29	2024-08-30	15	15		argo_getdata, interactive_tool_odv, xarray_coords_info, timeseries_extraction, xarray_metadata_info			CC-BY-4.0			True	False
Marine Omics identifying biosynthetic gene clusters	https://usegalaxy.eu	b9c938d1af08124b	https://usegalaxy.eu/published/workflow?id=b9c938d1af08124b	Marie Jossé	earth-system, ocean, marineomics	2024-08-09	2024-08-09	5	5		regex1, interproscan, prodigal, sanntis_marine	Protein feature detection, Sequence motif recognition, Genome annotation		CC-BY-4.0			True	False
Satellite data for biodiversity	https://usegalaxy.eu	1d2cd0af01a30a46	https://usegalaxy.eu/published/workflow?id=1d2cd0af01a30a46	Marie Josse	ecology, earth-system, satellite	2023-03-01	2024-05-27	5	5		srs_diversity_maps, srs_global_indices, srs_spectral_indices, srs_preprocess_s2			MIT			True	False
Analyse Argo data 	https://usegalaxy.eu	fc33ea1679e5f1b7	https://usegalaxy.eu/published/workflow?id=fc33ea1679e5f1b7	Marie Jossé	ocean, pangeo, earth-system	2024-03-14	2024-03-27	8	8		argo_getdata, interactive_tool_odv, xarray_coords_info, timeseries_extraction, xarray_metadata_info			CC-BY-4.0			True	False
Ocean's variables	https://usegalaxy.eu	8c868b087ef78bf9	https://usegalaxy.eu/published/workflow?id=8c868b087ef78bf9	Marie Jossé	earth-system, ocean	2024-01-31	2024-03-25	2	2		interactive_tool_divand, interactive_tool_odv			CC-BY-4.0			True	False
Xarray_Map_Plotting_Workflow	https://usegalaxy.eu	d94460f342b70eb3	https://usegalaxy.eu/published/workflow?id=d94460f342b70eb3	Soumya Jha	ecology, climate	2022-06-07	2022-06-07	3	3		xarray_coords_info, xarray_mapplot, cdo_operations, xarray_metadata_info			MIT			True	False
Plotting of Geographical Map using climate Data	https://usegalaxy.eu	b4bfcbf8acee9cc3	https://usegalaxy.eu/published/workflow?id=b4bfcbf8acee9cc3			2022-04-15	2022-04-20	4	4		xarray_mapplot, xarray_metadata_info, cdo_operations, graphicsmagick_image_montage, xarray_coords_info, xarray_select, xarray_netcdf2netcdf						True	False
GTN 'Pangeo 101 for everyone - Xarray'	https://usegalaxy.eu	0c6dd9e75d9a2130	https://usegalaxy.eu/published/workflow?id=0c6dd9e75d9a2130	Anne Fouilloux	pangeo, climate, copernicus, gtn	2021-12-28	2021-12-28	83	83		xarray_mapplot, xarray_metadata_info, ggplot2_point, climate_stripes, graphicsmagick_image_montage, xarray_coords_info, regexColumn1, __EXTRACT_DATASET__, xarray_select, __MERGE_COLLECTION__, xarray_netcdf2netcdf	Visualisation		MIT			True	False
Pangeo Jupyter Notebook	https://usegalaxy.eu	b2a26b300b596ff3	https://usegalaxy.eu/published/workflow?id=b2a26b300b596ff3	Anne Fouilloux	pangeo, climate, big-data, geosciences	2021-12-22	2021-12-23	10	10		interactive_tool_pangeo_notebook			MIT			True	False
CLM-FATES_ ALP1 simulation (5 years)	https://usegalaxy.eu	7b50e72deb46c6e8	https://usegalaxy.eu/published/workflow?id=7b50e72deb46c6e8		climate, fates	2020-10-27	2021-06-15	5	5		tp_find_and_replace, ctsm_fates, ggplot2_point, xarray_select, __EXTRACT_DATASET__, xarray_metadata_info	Visualisation					True	False
Workflow for Climate tutorial	https://usegalaxy.eu	b610849d70c1e225	https://usegalaxy.eu/published/workflow?id=b610849d70c1e225		climate	2021-06-11	2021-06-11	2	2		c3s						True	False
Retrieve climate data from Copernicus	https://usegalaxy.eu	ac5b66c42681e7a8	https://usegalaxy.eu/published/workflow?id=ac5b66c42681e7a8		climate	2021-06-11	2021-06-11	2	2		c3s						True	False
Workflow constructed from history 'climate 101'	https://usegalaxy.eu	392a5d91ac221104	https://usegalaxy.eu/published/workflow?id=392a5d91ac221104			2020-04-30	2020-04-30	0	0		datamash_ops, climate_stripes, ggplot2_point, tp_awk_tool, cds_essential_variability, psy_maps, Grep1	Visualisation					True	False
