Topic	Title	Link	EDAM topic	EDAM operation	Creation	Last modification	Version	Tutorial	Slides	Video	Workflows	Tools	Servers with precise tool versions	Servers with tool but different versions	Feedback number	Feedback mean note	Visitors	Page views	Visit duration	Video views
Galaxy Server administration	Adding file-sources to Galaxy	https://training.galaxyproject.org//topics/admin/tutorials/file_sources/tutorial.html			2025-01-20	2025-01-20	1	True	False	False	False				0		73	91	4.616666666666666	0
Galaxy Server administration	Create a subdomain for your community on UseGalaxy.eu	https://training.galaxyproject.org//topics/admin/tutorials/subdomain/tutorial.html			2024-11-27	2024-12-13	2	True	False	False	False				0		70	79	6.55	0
Climate	Ocean's variables study	https://training.galaxyproject.org//topics/climate/tutorials/ocean-variables/tutorial.html			2023-11-29	2025-05-10	5	True	False	False	True	interactive_tool_divand, interactive_tool_odv, divand_full_analysis	UseGalaxy.eu		0		259	306	10.65	0
Climate	Nitrate DMQC for autonomous platforms such as Argo floats	https://training.galaxyproject.org//topics/climate/tutorials/ocean_qcv_analysis/tutorial.html			2025-08-08	2025-09-16	3	True	False	False	True	tool_odv_history, tool_odv, harmonize_insitu_to_netcdf, interactive_tool_odv, tool_biogeochemical_calibration	UseGalaxy.eu		0		87	100	11.133333333333333	0
Climate	Analyse Argo data	https://training.galaxyproject.org//topics/climate/tutorials/argo_pangeo/tutorial.html			2024-03-24	2025-05-10	2	True	False	False	True	timeseries_extraction, xarray_coords_info, interactive_tool_odv, xarray_metadata_info, argo_getdata	UseGalaxy.eu		0		352	414	9.05	0
Climate	Pangeo ecosystem 101 for everyone - Introduction to Xarray Galaxy Tools	https://training.galaxyproject.org//topics/climate/tutorials/pangeo/tutorial.html		Visualisation	2022-02-18	2025-05-10	6	True	True	True	True	ggplot2_point, regexColumn1, __EXTRACT_DATASET__, xarray_netcdf2netcdf, __MERGE_COLLECTION__, xarray_select, climate_stripes, xarray_mapplot, graphicsmagick_image_montage, xarray_coords_info, xarray_metadata_info	UseGalaxy.be, UseGalaxy.eu, UseGalaxy.org (Main)	UseGalaxy.cz	0		2914544	6506057	11.533333333333333	0
Climate	Pangeo Notebook in Galaxy - Introduction to Xarray	https://training.galaxyproject.org//topics/climate/tutorials/pangeo-notebook/tutorial.html			2022-02-18	2025-05-10	11	True	True	True	True	interactive_tool_pangeo_notebook	UseGalaxy.eu		0		2914817	6506627	8.75	0
Climate	Sentinel 5P data visualisation	https://training.galaxyproject.org//topics/climate/tutorials/sentinel5_data/tutorial.html			2024-01-26	2025-05-10	2	True	False	False	True	interactive_tool_copernicus_notebook, interactive_tool_copernicus, interactive_tool_panoply			0		353	401	5.083333333333333	0
Climate	Getting your hands-on earth data	https://training.galaxyproject.org//topics/climate/tutorials/earth_system/tutorial.html			2024-10-04	2025-05-10	2	True	False	False	False	obis_data, c3s, argo_getdata, spocc_occ	UseGalaxy.eu	UseGalaxy.be	0		150	184	9.95	0
Climate	Ocean Data View (ODV)	https://training.galaxyproject.org//topics/climate/tutorials/ocean-data-view/tutorial.html			2023-11-27	2025-05-10	2	True	False	False	False	interactive_tool_odv	UseGalaxy.eu, UseGalaxy.fr		0		476	571	4.533333333333333	0
Galaxy Community Building	Make your tools available on your subdomain	https://training.galaxyproject.org//topics/community/tutorials/tools_subdomains/tutorial.html			2024-12-03	2024-12-20	2	True	False	False	False				0		60	75	8.083333333333334	0
Ecology	From NDVI data with OpenEO to time series visualisation with Holoviews	https://training.galaxyproject.org//topics/ecology/tutorials/ndvi_openeo/tutorial.html			2024-01-24	2024-06-29	3	True	False	False	True	interactive_tool_copernicus_notebook, interactive_tool_holoviz	UseGalaxy.eu		0		252	292	6.666666666666667	0
Ecology	Visualization of Climate Data using  NetCDF xarray Map Plotting	https://training.galaxyproject.org//topics/ecology/tutorials/x-array-map-plot/tutorial.html			2022-10-26	2024-06-27	9	True	False	False	True	cdo_operations, xarray_mapplot, graphicsmagick_image_montage, xarray_coords_info, xarray_metadata_info	UseGalaxy.be, UseGalaxy.eu	UseGalaxy.cz	0		2468	2844	1.4833333333333334	0
Ecology	Marine Omics identifying biosynthetic gene clusters	https://training.galaxyproject.org//topics/ecology/tutorials/marine_omics_bgc/tutorial.html		Sequence motif recognition, Protein feature detection, Genome annotation	2024-08-19	2025-06-03	3	True	False	False	True	SanntiS_marine, regex1, sanntis_marine, prodigal, interproscan			0		240	279	11.533333333333333	0
Ecology	Ecoregionalization workflow tutorial	https://training.galaxyproject.org//topics/ecology/tutorials/Ecoregionalization_tutorial/tutorial.html			2024-09-16	2025-06-03	7	True	False	False	True	unzip, mergeCols1, regexColumn1, filter_tabular, ecoregion_eco_map, ecoregion_brt_analysis, ecoregion_GeoNearestNeighbor, ecoregion_taxa_seeker, tp_cut_tool, ecoregion_clara_cluster, ecoregion_cluster_estimate, interactive_tool_jupyter_notebook	UseGalaxy.eu		0		349	449	7.033333333333333	0
Ecology	Obis marine indicators	https://training.galaxyproject.org//topics/ecology/tutorials/obisindicators/tutorial.html	Biodiversity, Ecology, Data mining		2023-04-11	2025-06-03	9	True	False	False	True	obis_data, tp_cut_tool, obisindicators	UseGalaxy.eu	UseGalaxy.be	0		335	415	11.9	0
Ecology	QGIS Web Feature Services	https://training.galaxyproject.org//topics/ecology/tutorials/QGIS_Web_Feature_Services/tutorial.html			2023-10-11	2025-06-03	6	True	False	False	False	interactive_tool_qgis	UseGalaxy.eu		0		328	375	7.616666666666666	0
FAIR Data, Workflows, and Research	An earth-system RO-Crate	https://training.galaxyproject.org//topics/fair/tutorials/earth_system_rocrate/slides.html			2024-12-02	2024-12-02	1	False	True	True	False			UseGalaxy.eu, UseGalaxy.org, UseGalaxy.org.au, UseGalaxy.fr	0		1294318	2382585	1.4666666666666666	0
