Galaxy wrapper id	Description	To keep	Deprecated
10x_bamtofastq	Converts 10x Genomics BAM to FASTQ		
2d_auto_threshold	Automatic thresholding		
2d_feature_extraction	2D feature extraction		
2d_filter_segmentation_by_features	filter segmentation by rules		
2d_histogram_equalization	2d histogram equalization		
2d_simple_filter	2d simple filter		
AggregateAlignments	Aggregate and filter alignment metrics of individual clusters, like the output of graphclust_align_cluster.		
AlignCluster	Align predicted clusters of glob_report_no_align step with locarna and conservation analysis and visualizations.		
CMFinder	Determines consensus motives for sequences.		
CollectResults	Post-processing. Redundant clusters are merged and instances that belong to multiple clusters are assigned unambiguously. For every pair of clusters, the relative overlap (i.e. the fraction of instances that occur in both clusters) is computed and clusters are merged if the overlap exceeds 50%. instances that occur in both clusters) is computed and clusters are merged if the overlap exceeds 50%.		
CollectResultsNoAlign	Redundant GraphClust clusters are merged and instances that belong to multiple clusters are assigned unambiguously.		
EMLassemblyline	Tools using EML Assembly Line R package to generate EML metadata from template metadata files and vice versa		
Ecoregionalization_workflow	Tools to compute ecoregionalization with BRT model predictions and clustering.		
Ensembl-REST	A suite of Galaxy tools designed to work with Ensembl REST API.		
GAFA	Gene Align and Family Aggregator		
GSPAN	Second step of GraphClust		
Geom_mean_workflow	Tools to compute The evolution of the total volume of very large trees, standing dead wood and dead wood on the ground on an area and the rate of devolution of the volume of wood favorable to biodiversity by large ecological regions (France).		
LocARNAGraphClust	MLocARNA computes a multiple sequence-structure alignment of RNA sequences.		
NSPDK	Produces an explicit sparse feature encoding and copmutes global feature index and returns top dense sets.		
PAMPA	Tools to compute and analyse biodiversity metrics		
Plotting	Plotting results for GraphClust		
PrepareForMlocarna	This tool prepares files for locarna step.		
Preprocessing	Preprocessing input for GraphClust		
Structure_GSPAN	Convert RNA structure to GSPAN graphs		
ThermoRawFileParser	Thermo RAW file converter		
TreeBest	TreeBeST best		
TrimNs	TrimNs is used to trim and remove fake cut sites from bionano hybrid scaffold data in the VGP pipeline		
ab1_fastq	Tool to convert ab1 files into FASTQ files		
abacas	Order and Orientate Contigs		
abricate	Mass screening of contigs for antiobiotic resistance genes		
abritamr	A pipeline for running AMRfinderPlus and collating results into functional classes		
abyss	Assembly By Short Sequences - a de novo, parallel, paired-end sequence assembler		
adapter_removal	Removes residual adapter sequences from single-end (SE) or paired-end (PE) FASTQ reads.		
add_input_name_as_column	Add input name as column on an existing tabular file		
add_line_to_file	Adds a text line to the beginning or end of a file.		
add_value	Add a value as a new column.		
