Suite ID	Suite owner	Description	To keep	Deprecated
2d_auto_threshold	imgteam	Threshold image	True	False
2d_feature_extraction	imgteam	Image feature extraction	True	False
2d_filter_segmentation_by_features	imgteam	filter segmentation by rules	True	False
2d_histogram_equalization	imgteam	2d histogram equalization	True	False
2d_simple_filter	imgteam	2-D simple filter	True	False
Wound healing scratch assay image analysis	bgruening	Tool to automate quantification of wound healing in high-throughput microscopy scratch assays		
anisotropic_diffusion	imgteam	Anisotropic image diffusion	True	False
background_removal	imgteam	Background removal filters using scikit-image	True	False
bellavista	iuc	Open-Source Visualization for Imaging-Based Spatial Transcriptomics	True	
bfconvert	imgteam	Convert image	True	False
bia_download	bgruening	Tool to query ftp links for study from bioimage archive	True	False
biapy	iuc	Accessible deep learning workflows on bioimages using BiaPy	True	
binary2labelimage	imgteam	Binary 2 label image	True	False
binaryimage2points	imgteam	Binary Image to Points	True	False
bioformats2raw	imgteam	Convert image to OME-Zarr	True	False
bioimage_inference	bgruening	Load model from BioImage.IO and make inferences	True	False
cellpose	bgruening	Cellpose is an anatomical segmentation algorithm	True	False
cellposesam	bgruening	CellPose SAM	True	
cellprofiler	bgruening	cellProfiler wrapper	True	
cellprofiler4	bgruening	cellProfiler4 wrapper	True	
clip_image	imgteam	Applies intensity clipping to an image.		
color_deconvolution	imgteam	Color-deconvolution methods	True	False
colorize_labels	imgteam	Colorize label map	True	False
concat_channels	imgteam	Concatenate images	True	False
coordinates_of_roi	imgteam	Coordinates of ROI	True	False
count_objects	imgteam	Count Objects	True	False
crop_image	imgteam	Crop image	True	
curve_fitting	imgteam	Polynomial curve fitting to data points	True	False
detection_viz	imgteam	Detection Visualization	True	False
fileidentification	iuc	Tool to check multimedia files if they are corrupt or duplicated	True	False
galaxy_image_analysis	imgteam	Enables processing of DICOM datasets in Galaxy. Based on the highdicom Python package.		
galaxy_image_analysis	imgteam	LibCarna renders videos for visualization of 3-D image data.		
graphicsmagick	bgruening	Contains tools based on GraphicsMagick	True	
hyperstack_to_bleach_corrected_movie	lldelisle	Generate blach corrected movie from hyperstack	True	False
image_info	imgteam	Extracts image metadata	True	False
image_math	imgteam	Process images using arithmetic expressions	True	False
image_registration_affine	imgteam	Intensity-based Image Registration	True	False
imagecoordinates_flipaxis	imgteam	Flip coordinate axes	True	False
imagej2	imgteam	ImageJ2 is a new version of ImageJ for the next generation of multidimensionalimage data, with a focus on scientific imaging.	True	
imagemagick	bgruening	Contains tools based on ImageMagick	True	
incucyte_stack_and_upload_omero	lldelisle	Combine images to stack and upload to the omero server	True	
iscc_sum	imgteam	Generate ISCC hashes for content identification and similarity matching	True	
label_to_binary	imgteam	Convert label map to binary image	True	False
labelimage2points	imgteam	Label Image to Points	True	False
landmark_registration	imgteam	Landmark Registration	True	False
mahotas_features	imgteam	Compute image features using mahotas.	True	False
max_projections_stack_and_upload_omero	lldelisle	Combine images from max projections to stack and upload to the omero server	True	False
measure_gastruloids	lldelisle	Get the ROI coordinates around the gastruloids as well as measurements like Area, elongation index	False	False
mergeneighboursinlabelimage	imgteam	Merge Neighbours in Label Image	True	False
morphological_operations	imgteam	Apply morphological operations to images	True	False
omero_clean_rois_tables	lldelisle	Remove all ROIs and all tables on OMERO associated to an omero object and recursively up and down	True	False
omero_get_children_ids	lldelisle	Get omero id of children of an omero object id	True	False
omero_get_full_images	lldelisle	Get full images from omero	True	False
omero_hyperstack_to_fluo_measurements_on_gastruloid	lldelisle	Analyse Hyperstack on OMERO server to measure fluorescence levels	True	False
omero_hyperstack_to_gastruloid_measurements	lldelisle	Analyse Hyperstack on OMERO server to segment gastruloid and compute measurements	True	False
omero_upload	ufz	Interact with an OMERO.server using omero-py and ezomero.	True	False
orientationpy	imgteam	Compute image orientation	True	False
overlay_images	imgteam	Overlay two images	True	False
pdfimages	iuc	PDF image extractor.	True	
permutate_axis	imgteam	Permutates axes	True	False
plantseg	imgteam	Tool for cell instance aware segmentation in densely packed 3D volumetric images	True	False
points2labelimage	imgteam	Points to label image	True	False
points_association_nn	imgteam	Association of points in consecutive frames	True	False
projective_transformation	imgteam	Projective transformation	True	False
projective_transformation_points	imgteam	Projective transformation of ROIs defined by pixel (point) coordinates	True	False
qupath_roi_splitter	galaxyp	Split ROI coordinates of QuPath TMA annotation by cell type	True	False
repeat_channels	imgteam	Convert single-channel to multi-channel image	True	False
rfove	imgteam	Perform segmentation region-based fitting of overlapping ellipses	True	False
ridge_filter	imgteam	Ridge filter for images	True	
scale_image	imgteam	Scales an image by re-sampling the image data.	True	False
segmetrics	imgteam	Image segmentation and object detection performance measures	True	False
slice_image	imgteam	Slice image	True	False
split_image	imgteam	Split image along axes	True	
split_labelmap	imgteam	Split Labelmaps	True	False
spot_detection_2d	imgteam	Spot detection in 2D image sequence	True	False
spyboat	iuc	Wavelet analysis for 3d-image stacks	True	False
superdsm	imgteam	Globally optimal segmentation method based on superadditivity and deformable shape models for cell nuclei in fluorescence microscopy images	True	False
upload_roi_and_measures_to_omero	lldelisle	Upload the ROI coordinates and the measurements to the omero server	True	False
visceral_evaluatesegmentation	imgteam	Visceral Project - Evaluate Segmentation Tool	True	False
voronoi_tesselation	imgteam	Compute Voronoi tesselation	True	False
vpt	bgruening	Vizgen Post-processing Tool	True	
wsi_extract_top_view	imgteam	WSI Extract Top View	True	False
yolo	bgruening	tools for building yolo workflows.	True	
