Link	Name	Source	Projects	Creators	Creation time	Update time	To keep	Deprecated
https://workflowhub.eu/workflows/782?version=1	Wound Healing Scratch Assay Image Analysis	WorkflowHub	EMBL-Bioimage Analysis Support	Christian Tischer	2024-03-06	2025-12-19	True	False
https://workflowhub.eu/workflows/1811?version=1	YOLO training and segmentation	WorkflowHub	EMBL-Bioimage Analysis Support, BioImage Informatics and Analysis Workflows	Yi Sun, Arif Khan	2025-07-16	2025-07-16	True	False
https://workflowhub.eu/workflows/1381?version=2	EOSC4Cancer D2.2	WorkflowHub	EOSC4Cancer	Jeanne Chèneby, Hakim Achterberg, Dario Longo, Francesco Gammaraccio, Robin Navest	2025-10-21	2025-11-10	True	False
https://workflowhub.eu/workflows/1730?version=1	Voronoi segmentation for Astronomy on Legacy Survey data	WorkflowHub	EuroScienceGateway	Andrei Variu, Riccardo Massei, Even Moa  Myklebust 	2025-06-13	2025-07-11	True	False
https://workflowhub.eu/workflows/2108?version=1	2024_OMERO_Basic_Upload	WorkflowHub	Galaxy Training Network		2026-03-09	2026-03-09	True	False
https://workflowhub.eu/workflows/2107?version=1	Segmentation of Anatomical Structures in Medical Images	WorkflowHub	Galaxy Training Network		2026-03-09	2026-03-09	True	False
https://workflowhub.eu/workflows/2089?version=1	ISCC - image analysis workflow example	WorkflowHub	Galaxy Training Network		2026-02-16	2026-02-16	True	False
https://workflowhub.eu/workflows/2088?version=1	BiaPy	WorkflowHub	Galaxy Training Network		2026-02-16	2026-02-16	True	False
https://workflowhub.eu/workflows/1848?version=1	Electrophoresis-Gel-Bands-Image-Analysis	WorkflowHub	Galaxy Training Network		2025-08-11	2025-08-11	True	False
https://workflowhub.eu/workflows/1840?version=1	YOLO training and segmentation workflow	WorkflowHub	Galaxy Training Network		2025-07-28	2025-08-04	True	False
https://workflowhub.eu/workflows/1614?version=1	Ludwig - Image recognition model - MNIST	WorkflowHub	Galaxy Training Network		2025-06-02	2025-06-02	True	False
https://workflowhub.eu/workflows/1532?version=1	Workflow constructed from Tutorial 'Introduction to Image Analysis using Galaxy'	WorkflowHub	Galaxy Training Network		2025-06-02	2025-06-02	True	False
https://workflowhub.eu/workflows/1528?version=1	2025_2D_spot_detection	WorkflowHub	Galaxy Training Network		2025-06-02	2025-06-02	True	False
https://workflowhub.eu/workflows/1526?version=1	Image prediction with BioImage.IO model (imported from uploaded file)	WorkflowHub	Galaxy Training Network		2025-06-02	2025-06-02	True	False
https://workflowhub.eu/workflows/1522?version=1	Voronoi segmentation	WorkflowHub	Galaxy Training Network		2025-06-02	2025-06-02	True	False
https://workflowhub.eu/workflows/1517?version=1	Segmentation_Values_Testing	WorkflowHub	Galaxy Training Network		2025-06-02	2025-06-02	True	False
https://workflowhub.eu/workflows/1514?version=1	GTN_Exemplar_002_TMA_workflow_Feb2025	WorkflowHub	Galaxy Training Network		2025-06-02	2025-06-02	True	False
