Suite ID	bio.tool name	EDAM operations	EDAM topics
2d_auto_threshold	Galaxy Image Analysis	Image analysis	Imaging, Bioinformatics
2d_feature_extraction	scikit-image	Image analysis, Image annotation, Visualisation, Data handling	Imaging, Software engineering, Literature and language
2d_filter_segmentation_by_features	Galaxy Image Analysis	Image analysis	Imaging, Bioinformatics
2d_histogram_equalization	scikit-image	Image analysis, Image annotation, Visualisation, Data handling	Imaging, Software engineering, Literature and language
2d_simple_filter	Galaxy Image Analysis	Image analysis	Imaging, Bioinformatics
binary2labelimage	Galaxy Image Analysis	Image analysis	Imaging, Bioinformatics
binaryimage2points	Galaxy Image Analysis	Image analysis	Imaging, Bioinformatics
bioimage_inference	PyTorch		Machine learning, Computer science
cellprofiler	CellProfiler	Quantification, Image analysis, Parsing	Imaging, Microarray experiment, Genotype and phenotype
color_deconvolution	Galaxy Image Analysis	Image analysis	Imaging, Bioinformatics
concat_channels	Galaxy Image Analysis	Image analysis	Imaging, Bioinformatics
coordinates_of_roi	Galaxy Image Analysis	Image analysis	Imaging, Bioinformatics
count_objects	Galaxy Image Analysis	Image analysis	Imaging, Bioinformatics
crop_image	Galaxy Image Analysis	Image analysis	Imaging, Bioinformatics
curve_fitting	Galaxy Image Analysis	Image analysis	Imaging, Bioinformatics
detection_viz	Galaxy Image Analysis	Image analysis	Imaging, Bioinformatics
image_registration_affine	Galaxy Image Analysis	Image analysis	Imaging, Bioinformatics
imagecoordinates_flipaxis	Galaxy Image Analysis	Image analysis	Imaging, Bioinformatics
imagej2	ImageJ2	Image analysis, Image annotation, Visualisation	Imaging
label_to_binary	Galaxy Image Analysis	Image analysis	Imaging, Bioinformatics
labelimage2points	Galaxy Image Analysis	Image analysis	Imaging, Bioinformatics
landmark_registration	Galaxy Image Analysis	Image analysis	Imaging, Bioinformatics
mergeneighboursinlabelimage	Galaxy Image Analysis	Image analysis	Imaging, Bioinformatics
omero_upload	OMERO	Image analysis	Imaging, Data visualisation
overlay_images	Galaxy Image Analysis	Image analysis	Imaging, Bioinformatics
permutate_axis	Galaxy Image Analysis	Image analysis	Imaging, Bioinformatics
plantseg	PlantSeg	Network analysis, Quantification, Microscope image visualisation	Plant biology, Bioimaging, Light microscopy, Machine learning, Electron microscopy
points2labelimage	Galaxy Image Analysis	Image analysis	Imaging, Bioinformatics
points_association_nn	Galaxy Image Analysis	Image analysis	Imaging, Bioinformatics
projective_transformation	Galaxy Image Analysis	Image analysis	Imaging, Bioinformatics
projective_transformation_points	Galaxy Image Analysis	Image analysis	Imaging, Bioinformatics
repeat_channels	Galaxy Image Analysis	Image analysis	Imaging, Bioinformatics
rfove	RFOVE	Image analysis	Cell biology, Biomedical science, Imaging
ridge_filter	Galaxy Image Analysis	Image analysis	Imaging, Bioinformatics
scale_image	Galaxy Image Analysis	Image analysis	Imaging, Bioinformatics
segmetrics	SegMetrics	Image analysis	
slice_image	Galaxy Image Analysis	Image analysis	Imaging, Bioinformatics
split_image	Galaxy Image Analysis	Image analysis	Imaging, Bioinformatics
split_labelmap	Galaxy Image Analysis	Image analysis	Imaging, Bioinformatics
spot_detection_2d	Galaxy Image Analysis	Image analysis	Imaging, Bioinformatics
superdsm	SuperDSM	Image analysis	
voronoi_tesselation	scikit-image	Image analysis, Image annotation, Visualisation, Data handling	Imaging, Software engineering, Literature and language
