Suite ID	Homepage	Suite source
morphological_operations	https://github.com/bmcv	https://github.com/BMCV/galaxy-image-analysis/tree/master/tools/morphological_operations
omero_clean_rois_tables		https://github.com/lldelisle/tools-lldelisle/tree/master/tools/omero_clean_rois_tables
omero_get_children_ids		https://github.com/lldelisle/tools-lldelisle/tree/master/tools/omero_get_children_ids
omero_get_full_images		https://github.com/lldelisle/tools-lldelisle/tree/master/tools/omero_get_full_images
omero_hyperstack_to_fluo_measurements_on_gastruloid		https://github.com/lldelisle/tools-lldelisle/tree/master/tools/omero_hyperstack_to_fluo_measurements_on_gastruloid
omero_hyperstack_to_gastruloid_measurements		https://github.com/lldelisle/tools-lldelisle/tree/master/tools/omero_hyperstack_to_gastruloid_measurements
orientationpy	https://github.com/bmcv	https://github.com/BMCV/galaxy-image-analysis/tree/master/tools/orientationpy
pdfimages	https://gitlab.freedesktop.org/poppler/poppler/	https://github.com/galaxyproject/tools-iuc/tree/main/tools/pdfimages
qupath_roi_splitter	https://github.com/npinter/ROIsplitter	hhttps://github.com/npinter/ROIsplitter
spyboat	http://github.com/tensionhead/spyboat	https://github.com/galaxyproject/tools-iuc/tree/main/tools/spyboat
upload_roi_and_measures_to_omero		https://github.com/lldelisle/tools-lldelisle/tree/master/tools/upload_roi_and_measures_to_omero
visceral_evaluatesegmentation	https://github.com/bmcv	https://github.com/BMCV/galaxy-image-analysis/tree/master/tools/visceral-evaluatesegmentation
vpt	https://vizgen.github.io/vizgen-postprocessing/	https://github.com/bgruening/galaxytools/tree/master/tools/vpt
wsi_extract_top_view	https://github.com/bmcv	https://github.com/BMCV/galaxy-image-analysis/tree/master/tools/wsi_extract_top_view/
yolo	https://github.com/bgruening/galaxytools	https://github.com/bgruening/galaxytools/tree/master/tools
