Name	Source	ID	Link	Creators	Tags	Creation time	Update time	Latest version	Versions	Number of steps	Tools	EDAM operations	EDAM topics	License	DOI	Projects	To keep	Deprecated
EOSC4Cancer D2.2	WorkflowHub	1381	https://workflowhub.eu/workflows/1381?version=2	Jeanne Chèneby, Hakim Achterberg, Dario Longo, Francesco Gammaraccio, Robin Navest	eosc4cancer, galaxy, xnat, cbioportal, image processing, imaging	2025-10-21	2025-11-10	2	2	0.0			Imaging	CC-BY-4.0		EOSC4Cancer	True	False
Voronoi segmentation for Astronomy on Legacy Survey data	WorkflowHub	1730	https://workflowhub.eu/workflows/1730?version=1	Andrei Variu, Riccardo Massei, Even Moa  Myklebust 	segmentation, voronoi, astronomy, imageanaylsis	2025-06-13	2025-07-11	1	1	18.0	ip_binary_to_labelimage, image_math, colorize_labels, ip_filter_standard, ip_count_objects, ip_convertimage, ip_histogram_equalization, ip_threshold, __EXTRACT_DATASET__, astropy_fits2bitmap, desi_legacy_survey_astro_tool, ip_split_image, ip_overlay_images, voronoi_tessellation, ip_2d_feature_extraction, repeat_channels	Image annotation, Image analysis, Visualisation, Data handling	Physics	MIT	10.48546/workflowhub.workflow.1730.1	EuroScienceGateway	True	False
Ludwig - Image recognition model - MNIST	WorkflowHub	1614	https://workflowhub.eu/workflows/1614?version=1		gtn, galaxy, imagerecognition, ludwig, mnist	2025-06-02	2025-06-02	1	1	1.0	ludwig_experiment			AGPL-3.0-or-later		Galaxy Training Network	True	False
Workflow constructed from Tutorial 'Introduction to Image Analysis using Galaxy'	WorkflowHub	1532	https://workflowhub.eu/workflows/1532?version=1		gtn, galaxy, imaging	2025-06-02	2025-06-02	1	1	7.0	ip_binary_to_labelimage, ip_filter_standard, ip_count_objects, ip_histogram_equalization, ip_threshold, ip_overlay_images, ip_imageinfo	Image annotation, Image analysis, Visualisation, Data handling		MIT		Galaxy Training Network	True	False
2025_2D_spot_detection	WorkflowHub	1528	https://workflowhub.eu/workflows/1528?version=1		gtn, galaxy, idr, segmentation, smfish, bioimaging	2025-06-02	2025-06-02	1	1	6.0	unzip, idr_download_by_ids, ip_spot_detection_2d, ip_histogram_equalization, ip_points_to_label, ip_overlay_images	Image annotation, Image analysis, Visualisation, Data handling		MIT		Galaxy Training Network	True	False
Image prediction with BioImage.IO model (imported from uploaded file)	WorkflowHub	1526	https://workflowhub.eu/workflows/1526?version=1		gtn, galaxy, imaging	2025-06-02	2025-06-02	1	1	8.0	ip_binary_to_labelimage, image_math, ip_threshold, __EXTRACT_DATASET__, ip_split_image, ip_overlay_images, bioimage_inference	Image annotation, Image analysis, Visualisation, Data handling		CC-BY-4.0		Galaxy Training Network	True	False
Voronoi segmentation	WorkflowHub	1522	https://workflowhub.eu/workflows/1522?version=1		gtn, galaxy, segmentation, voronoi, imageanaylsis	2025-06-02	2025-06-02	1	1	11.0	ip_binary_to_labelimage, image_math, colorize_labels, ip_filter_standard, ip_count_objects, ip_convertimage, ip_threshold, ip_overlay_images, voronoi_tessellation, ip_2d_feature_extraction, repeat_channels	Image annotation, Image analysis, Visualisation, Data handling		MIT		Galaxy Training Network	True	False
Segmentation_Values_Testing	WorkflowHub	1517	https://workflowhub.eu/workflows/1517?version=1		gtn, galaxy, imaging	2025-06-02	2025-06-02	1	1	7.0	ip_filter_standard, collapse_dataset, ip_histogram_equalization, ip_threshold, tp_split_on_column, ip_segmetrics, param_value_from_file	Image annotation, Image analysis, Visualisation, Data handling		MIT		Galaxy Training Network	True	False
GTN_Exemplar_002_TMA_workflow_Feb2025	WorkflowHub	1514	https://workflowhub.eu/workflows/1514?version=1		gtn, galaxy, imaging	2025-06-02	2025-06-02	1	1	10.0	scimap_phenotyping, vitessce_spatial, ip_convertimage, basic_illumination, unet_coreograph, quantification, mesmer, ashlar, scimap_mcmicro_to_anndata, rename_tiff_channels			MIT		Galaxy Training Network	True	False
analyze_screen	WorkflowHub	1512	https://workflowhub.eu/workflows/1512?version=1		gtn, galaxy, imaging	2025-06-02	2025-06-02	1	1	2.0	, collapse_dataset			MIT		Galaxy Training Network	True	False
feature_extraction	WorkflowHub	1508	https://workflowhub.eu/workflows/1508?version=1		gtn, galaxy, imaging	2025-06-02	2025-06-02	1	1	6.0	ip_binary_to_labelimage, ip_filter_standard, ip_threshold, ip_2d_filter_segmentation_by_features, ip_2d_feature_extraction	Image annotation, Image analysis, Visualisation, Data handling		MIT		Galaxy Training Network	True	False
CP_pipeline_IDR_training	WorkflowHub	1505	https://workflowhub.eu/workflows/1505?version=1		cellprofiler, gtn, galaxy, imaging	2025-06-02	2025-06-02	1	1	25.0	cp_measure_object_size_shape, cp_cellprofiler, cp_export_to_spreadsheet, cp_identify_primary_objects, cp_measure_image_area_occupied, cp_common, cp_measure_granularity, cp_convert_objects_to_image, cp_mask_image, cp_measure_object_intensity, cp_gray_to_color, cp_save_images, cp_measure_texture, cp_enhance_or_suppress_features, cp_measure_image_quality, cp_measure_image_intensity, cp_relate_objects, idr_download_by_ids, cp_display_data_on_image, cp_image_math	Quantification, Image analysis, Parsing		CC-BY-4.0		Galaxy Training Network	True	False
CP_object_tracking_example	WorkflowHub	1503	https://workflowhub.eu/workflows/1503?version=1		cellprofiler, gtn, galaxy, imaging	2025-06-02	2025-06-02	1	1	12.0	cp_measure_object_size_shape, cp_cellprofiler, cp_common, unzip, cp_color_to_gray, cp_track_objects, cp_measure_object_intensity, cp_overlay_outlines, cp_save_images, cp_export_to_spreadsheet, cp_identify_primary_objects, cp_tile	Quantification, Image analysis, Parsing		CC-BY-4.0		Galaxy Training Network	True	False
Object tracking using CellProfiler	WorkflowHub	115	https://workflowhub.eu/workflows/115?version=1		cellprofiler, galaxy, image processing, imaging	2021-03-21	2023-07-03	1	1	12.0	cp_measure_object_size_shape, cp_cellprofiler, cp_common, unzip, cp_color_to_gray, cp_track_objects, cp_measure_object_intensity, cp_overlay_outlines, cp_save_images, cp_export_to_spreadsheet, cp_identify_primary_objects, cp_tile	Quantification, Image analysis, Parsing	Bioimaging, Imaging	Apache-2.0		IBISBA Workflows, Euro-BioImaging	True	False
Nucleoli segmentation using CellProfiler (EOSC-Life D6)	WorkflowHub	41	https://workflowhub.eu/workflows/41?version=2		cellprofiler, galaxy, image processing, imaging	2020-11-03	2023-07-03	2	1	25.0	cp_measure_object_size_shape, cp_cellprofiler, cp_export_to_spreadsheet, cp_identify_primary_objects, cp_measure_image_area_occupied, cp_common, cp_measure_granularity, cp_convert_objects_to_image, cp_mask_image, cp_measure_object_intensity, cp_gray_to_color, cp_save_images, cp_measure_texture, cp_enhance_or_suppress_features, cp_measure_image_quality, cp_measure_image_intensity, cp_relate_objects, idr_download_by_ids, cp_display_data_on_image, cp_image_math	Quantification, Image analysis, Parsing	Bioimaging, Imaging	Apache-2.0		IBISBA Workflows, Euro-BioImaging, EOSC-Life WP3	True	False
