Topic	Title	Link	EDAM topic	EDAM operation	Creation	Last modification	Version	Tutorial	Slides	Video	Workflows	Tools	Servers with precise tool versions	Servers with tool but different versions	Feedback number	Feedback mean note	Visitors	Page views	Visit duration	Video views
FAIR Data, Workflows, and Research	FAIR Bioimage Metadata	https://training.galaxyproject.org//topics/fair/tutorials/bioimage-metadata/tutorial.html			2023-09-13	2025-11-27	7	True	False	False	False			UseGalaxy.eu, UseGalaxy.org, UseGalaxy.org.au, UseGalaxy.fr	0		323	384	2.15	0
FAIR Data, Workflows, and Research	REMBI - Recommended Metadata for Biological Images – metadata guidelines for bioimaging data	https://training.galaxyproject.org//topics/fair/tutorials/bioimage-REMBI/tutorial.html			2023-09-13	2025-11-27	9	True	False	True	False			UseGalaxy.eu, UseGalaxy.org, UseGalaxy.org.au, UseGalaxy.fr	0		321	370	2.0833333333333335	0
Imaging	Using BioImage.IO models for image analysis in Galaxy	https://training.galaxyproject.org//topics/imaging/tutorials/process-image-bioimageio/tutorial.html		Image analysis	2025-04-09	2025-11-26	8	True	False	False	True	ip_overlay_images, ip_binary_to_labelimage, ip_split_image, __EXTRACT_DATASET__, ip_threshold, bioimage_inference, image_math	UseGalaxy.be, UseGalaxy.eu		0		217	256	2.95	0
Imaging	Overview of the Galaxy OMERO-suite - Upload images and metadata in OMERO using Galaxy	https://training.galaxyproject.org//topics/imaging/tutorials/omero-suite/tutorial.html		Image analysis	2024-12-04	2026-01-21	7	True	False	False	False	omero_get_value, omero_roi_import, omero_import, omero_metadata_import, omero_get_id, omero_filter			0		217	276	2.566666666666667	0
Imaging	Parameter tuning and optimization - Evaluating nuclei segmentation with Galaxy	https://training.galaxyproject.org//topics/imaging/tutorials/parameter-tuning/tutorial.html		Image annotation, Data handling, Visualisation, Image analysis	2025-04-28	2026-01-21	4	True	False	False	True	collapse_dataset, tp_split_on_column, param_value_from_file, ip_histogram_equalization, ip_threshold, ip_filter_standard, ip_segmetrics	UseGalaxy.be, UseGalaxy.eu	UseGalaxy.cz	0		115	129	1.35	0
Imaging	Quantification of single-molecule RNA fluorescence in situ hybridization (smFISH) in yeast cell lines	https://training.galaxyproject.org//topics/imaging/tutorials/2D-spot-detection/tutorial.html		Image annotation, Data handling, Visualisation, Image analysis	2025-03-20	2025-11-26	5	True	False	False	True	ip_overlay_images, idr_download_by_ids, ip_binary_to_labelimage, ip_points_to_label, __EXTRACT_DATASET__, ip_histogram_equalization, unzip, ip_spot_detection_2d	UseGalaxy.be, UseGalaxy.cz, UseGalaxy.eu		0		223	268	1.2	0
Imaging	Object tracking using CellProfiler	https://training.galaxyproject.org//topics/imaging/tutorials/object-tracking-using-cell-profiler/tutorial.html		Parsing, Quantification, Image analysis	2021-03-17	2025-11-26	11	True	False	False	True	cp_identify_primary_objects, cp_measure_object_size_shape, cp_tile, cp_common, cp_measure_object_intensity, cp_overlay_outlines, unzip, cp_export_to_spreadsheet, cp_cellprofiler, cp_color_to_gray, cp_track_objects, cp_save_images	UseGalaxy.be, UseGalaxy.eu, UseGalaxy.org.au	UseGalaxy.cz	0		2236	2778	1.0666666666666667	0
Imaging	Quantification of electrophoresis gel bands using QuPath and Galaxy imaging tools	https://training.galaxyproject.org//topics/imaging/tutorials/electrophoresis-gel-bands-image-analysis/tutorial.html		Image annotation, Data handling, Visualisation, Image analysis	2025-08-11	2025-11-26	3	True	False	False	True	graphicsmagick_image_convert, ip_points_to_label, ip_split_image, __EXTRACT_DATASET__, interactive_tool_qupath, ip_imageinfo, ip_2d_feature_extraction	UseGalaxy.eu		0		335	397	0.9833333333333333	0
Imaging	Nucleoli segmentation and feature extraction using CellProfiler	https://training.galaxyproject.org//topics/imaging/tutorials/tutorial-CP/tutorial.html		Parsing, Quantification, Image analysis	2020-07-01	2025-11-26	12	True	True	False	True	cp_mask_image, cp_common, cp_measure_image_intensity, cp_measure_image_quality, cp_measure_object_size_shape, cp_enhance_or_suppress_features, cp_measure_object_intensity, idr_download_by_ids, cp_gray_to_color, cp_measure_texture, cp_cellprofiler, cp_export_to_spreadsheet, cp_measure_image_area_occupied, cp_identify_primary_objects, cp_display_data_on_image, cp_relate_objects, cp_image_math, cp_measure_granularity, cp_convert_objects_to_image, cp_save_images	UseGalaxy.be, UseGalaxy.eu	Galaxy@AuBi, UseGalaxy.cz, UseGalaxy.fr, UseGalaxy.no, UseGalaxy.org.au	0		3285622	8220028	3.466666666666667	0
Imaging	Voronoi segmentation	https://training.galaxyproject.org//topics/imaging/tutorials/voronoi-segmentation/tutorial.html		Image annotation, Data handling, Visualisation, Image analysis	2025-05-13	2025-11-26	7	True	False	False	True	ip_overlay_images, colorize_labels, ip_binary_to_labelimage, repeat_channels, ip_threshold, unzip, ip_count_objects, ip_filter_standard, voronoi_tessellation, ip_convertimage, ip_imageinfo, image_math, ip_2d_feature_extraction	UseGalaxy.be, UseGalaxy.eu		0		333	480	3.183333333333333	0
