Suite ID	Suite owner	Description	To keep	Deprecated
agat	bgruening	GTF/GFF analysis toolkit	False	False
bg_statistical_hypothesis_testing	bgruening	Tool for computing statistical tests.	False	False
canonical_correlation_analysis	devteam	Canonical Correlation Analysis	False	False
categorize_elements_satisfying_criteria	devteam	Categorize Elements satisfying criteria.	False	False
compute_motif_frequencies_for_all_motifs	devteam	Compute Motif Frequencies For All Motifs, motif by motif.	False	False
compute_motifs_frequency	devteam	Compute Motif Frequencies in indel flanking regions.	False	False
compute_q_values	devteam	Compute q-values based on multiple simultaneous tests p-values	False	False
correlation	devteam	Correlation for numeric columns	False	False
draw_stacked_barplots	devteam	Draw Stacked Bar Plots for different categories and different criteria	False	False
dwt_cor_ava_perclass	devteam	Compute P-values and Correlation Coefficients for Feature Occurrences	False	False
dwt_cor_avb_all	devteam	Compute P-values and Correlation Coefficients for Occurrences of Two Set of Features	False	False
dwt_ivc_all	devteam	Compute P-values and Second Moments for Feature Occurrences	False	False
dwt_var_perclass	devteam	Compute P-values and Max Variances for Feature Occurrences	False	False
dwt_var_perfeature	devteam	Wavelet variance using Discrete Wavelet Transfoms	False	False
flexynesis	bgruening	This is a deep-learning based multi-omics bulk sequencing data integration suite with a focus on (pre-)clinical endpoint prediction.		
histogram	devteam	Histogram of a numeric column	False	False
kernel_canonical_correlation_analysis	devteam	Kernel Canonical Correlation Analysis	False	False
kernel_principal_component_analysis	devteam	Kernel Principal Component Analysis	False	False
lda_analysis	devteam	Perform Linear Discriminant Analysis	False	False
linear_regression	devteam	Perform Linear Regression	False	False
logistic_regression_vif	devteam	Perform Logistic Regression with vif	False	False
metilene	rnateam	Differential DNA methylation calling	False	False
numeric_clustering	bgruening	Clustering tool for numberic values	False	False
pandas_rolling_window	bgruening	Rolling window calculations	False	False
partialr_square	devteam	Compute partial R square	False	False
pearson_correlation	devteam	Pearson and apos Correlation between any two numeric columns	False	False
plot_from_lda	devteam	"Draw ROC plot on ""Perform LDA"" output"	False	False
poisson2test	devteam	Poisson two-sample test	False	False
principal_component_analysis	devteam	Principal Component Analysis	False	False
scatterplot	devteam	Scatterplot of two numeric columns	False	False
sklearn	bgruening	Machine Learning tool suite from Scikit-learn	False	False
snpfreq	devteam	snpFreq significant SNPs in case-control data	False	False
t_test_two_samples	devteam	T Test for Two Samples	False	False
xy_plot	devteam	Plotting tool for multiple series and graph types	False	False
