Galaxy wrapper id	Galaxy tool ids	Description	bio.tool id	bio.tool ids	biii	bio.tool name	bio.tool description	EDAM operation	EDAM topic	Status	Source	ToolShed categories	ToolShed id	Date of first commit of the suite	Galaxy wrapper owner	Galaxy wrapper source	Galaxy wrapper parsed folder	Galaxy wrapper version	Conda id	Conda version	EDAM operation (no superclasses)	EDAM topic (no superclasses)	Available on UseGalaxy.org (Main)	Available on UseGalaxy.org.au	Available on UseGalaxy.eu	Available on UseGalaxy.fr	Tools available on UseGalaxy.org (Main)	Tools available on UseGalaxy.org.au	Tools available on UseGalaxy.eu	Tools available on UseGalaxy.fr	Tools available on APOSTL	Tools available on ARGs-OAP	Tools available on CIRM-CFBP	Tools available on ChemFlow	Tools available on Coloc-stats	Tools available on CropGalaxy	Tools available on Dintor	Tools available on GASLINI	Tools available on Galaxy@AuBi	Tools available on Galaxy@Pasteur	Tools available on GalaxyTrakr	Tools available on Genomic Hyperbrowser	Tools available on GigaGalaxy	Tools available on HyPhy HIV NGS Tools	Tools available on IPK Galaxy Blast Suite	Tools available on ImmPort Galaxy	Tools available on InteractoMIX	Tools available on MISSISSIPPI	Tools available on Mandoiu Lab	Tools available on MiModD NacreousMap	Tools available on Oqtans	Tools available on Palfinder	Tools available on PepSimili	Tools available on PhagePromotor	Tools available on UseGalaxy.be	Tools available on UseGalaxy.cz	Tools available on UseGalaxy.no	Tools available on Viral Variant Visualizer (VVV)	No. of tool users (5 years) (usegalaxy.eu)	No. of tool users (all time) (usegalaxy.eu)	Tool usage (5 years) (usegalaxy.eu)	Tool usage (all time) (usegalaxy.eu)	No. of tool users (5 years) (usegalaxy.org)	No. of tool users (all time) (usegalaxy.org)	Tool usage (5 years) (usegalaxy.org)	Tool usage (all time) (usegalaxy.org)	No. of tool users (5 years) (usegalaxy.org.au)	No. of tool users (all time) (usegalaxy.org.au)	Tool usage (5 years) (usegalaxy.org.au)	Tool usage (all time) (usegalaxy.org.au)	No. of tool users (5 years) - all main servers	No. of tool users (all time) - all main servers	Tool usage (5 years) - all main servers	Tool usage (all time) - all main servers	Reviewed	Deprecated	To keep
agat	agat	GTF/GFF analysis toolkit	agat	agat		AGAT	Another Gff Analysis Toolkit (AGAT)Suite of tools to handle gene annotations in any GTF/GFF format.	Data handling, Genome annotation	Genomics	To update	https://github.com/NBISweden/AGAT	Convert Formats, Statistics, Fasta Manipulation	agat	2023-05-22	bgruening	https://github.com/bgruening/galaxytools/tree/master/tools/agat	https://github.com/bgruening/galaxytools/tree/master/tools/agat	1.4.0	agat	1.4.1	Data handling, Genome annotation	Genomics	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1436	1436	244	244	0	0	0	0	119	119	10	10	1555	1555	254	254	False		
ambertools	ambertools_acpype, acpype_Amber2Gromacs, ambertools_antechamber, mmpbsa_mmgbsa, ambertools_parmchk2, parmconv, tleap	Ambertools is a set of packages for preparing systems for molecular dynamics (MD) simulations and analyzing trajectories.								To update	http://ambermd.org/AmberTools.php	Molecular Dynamics, Computational chemistry	ambertools	2020-04-03	chemteam	https://github.com/galaxycomputationalchemistry/galaxy-tools-compchem/	https://github.com/galaxycomputationalchemistry/galaxy-tools-compchem/tree/master/tools/buildtools/ambertools	21.10	ambertools				7	2	7	0	7	2	7	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	5	0	41793	41881	510	511	1126	1126	159	159	1552	1552	85	85	44471	44559	754	755	False		
apoc	apoc	Large-scale structural comparison of protein pockets								To update	http://cssb.biology.gatech.edu/APoc	Computational chemistry	apoc	2017-07-04	earlhaminst	https://github.com/TGAC/earlham-galaxytools/tree/master/tools/apoc/	https://github.com/TGAC/earlham-galaxytools/tree/master/tools/apoc	1.0+galaxy1	apoc	1b16			1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	4	4	4	4	1	1	1	1	0	0	0	0	5	5	5	5	False		
b2btools	b2btools_single_sequence	This software suite provides structural predictions for protein sequences made by Bio2Byte group.About Bio2Byte: We investigate how the dynamics, conformational states, and available experimental data of proteins relate to their amino acid sequence.Underlying physical and chemical principles are computationally unraveled through data integration, analysis, and machine learning, so connecting themto biological events and improving our understanding of the way proteins work.	b2btools	b2btools		b2bTools	The bio2byte tools server (b2btools) offers the following single protein sequence based predictions:- Backbone and sidechain dynamics (DynaMine)- Helix, sheet, coil and polyproline-II propensity- Early folding propensity (EFoldMine)- Disorder (DisoMine)- Beta-sheet aggregation (Agmata)In addition, multiple sequence alignments (MSAs) can be uploaded to scan the 'biophysical limits' of a protein family as defined in the MSA	Protein disorder prediction, Protein secondary structure prediction, Protein feature detection		To update	https://bio2byte.be	Computational chemistry, Molecular Dynamics, Proteomics, Sequence Analysis, Synthetic Biology		2022-08-09	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/ucsc-tools/b2tools	https://github.com/galaxyproject/tools-iuc/tree/main/tools/b2btools	3.0.5+galaxy0	b2btools	3.0.7	Protein disorder prediction, Protein secondary structure prediction		0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	369	369	19	19	0	0	0	0	0	0	0	0	369	369	19	19	False		
bio3d	bio3d_dccm, bio3d_pca, bio3d_rmsd, bio3d_rmsf, bio3d_pca_visualize	Bio3d is a program that can be used to analyse molecular dynamics trajectories.								To update	http://thegrantlab.org/bio3d/index.php	Computational chemistry	bio3d	2018-10-03	chemteam	https://github.com/galaxycomputationalchemistry/galaxy-tools-compchem/tree/master/tools/bio3d	https://github.com/galaxycomputationalchemistry/galaxy-tools-compchem/tree/master/tools/bio3d	2.4_1	r-bio3d	2.3_3			5	4	5	0	5	4	5	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	5	0	10600	10729	1150	1159	1042	1042	255	255	2756	2756	215	215	14398	14527	1620	1629	False		
biomoldyn	biomd_neqgamma, fastpca, biomd_extract_clusters, biomd_rmsd_clustering	Tools for MD analysis								To update	https://github.com/moldyn/	Molecular Dynamics, Computational chemistry	biomoldyn	2020-01-30	chemteam	https://github.com/galaxycomputationalchemistry/galaxy-tools-compchem/	https://github.com/galaxycomputationalchemistry/galaxy-tools-compchem/tree/master/tools/biomoldyn	1.5.2	scipy				4	0	4	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	493	493	119	119	441	441	148	148	0	0	0	0	934	934	267	267	False		
biotransformer	biotransformer	BioTransformer is a tool for prediction of small molecule metabolism in mammals.	biotransformer	biotransformer		BioTransformer	BioTransformer is a freely available web server that supports accurate, rapid and comprehensive in silico metabolism prediction.	Metabolic pathway prediction, PTM site prediction, Natural product identification	Small molecules, Endocrinology and metabolism, Metabolomics, Carbohydrates, NMR	Up-to-date	https://bitbucket.org/djoumbou/biotransformerjar/src/master/	Metabolomics	biotransformer	2020-12-11	recetox	https://github.com/RECETOX/galaxytools/tree/master/tools/biotransformer	https://github.com/RECETOX/galaxytools/tree/master/tools/biotransformer	3.0.20230403	biotransformer	3.0.20230403	Metabolic pathway prediction, PTM site prediction, Natural product identification	Small molecules, Endocrinology and metabolism, Metabolomics, Carbohydrates, NMR	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	48	48	1	1	48	48	1	1	False		
camera	abims_CAMERA_annotateDiffreport, abims_CAMERA_combinexsAnnos									To update		Metabolomics	camera	2023-05-25	workflow4metabolomics		https://github.com/workflow4metabolomics/tools-metabolomics/tree/master/tools/camera	1.48.0	r-snow	0.4_1			1	2	2	2	1	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	677	787	114	120	60	60	30	30	734	746	26	26	1471	1593	170	176	False		
canonical_correlation_analysis	cca1	Canonical Correlation Analysis								To update		Statistics	canonical_correlation_analysis	2014-05-19	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/canonical_correlation_analysis	https://github.com/galaxyproject/tools-devteam/tree/main/tools/canonical_correlation_analysis	1.0.0	R				0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	66	75	16	18	141	505	31	147	0	0	0	0	207	580	47	165	False		
cardinal	cardinal_classification, cardinal_colocalization, cardinal_combine, cardinal_data_exporter, cardinal_filtering, cardinal_mz_images, cardinal_preprocessing, cardinal_quality_report, cardinal_segmentations, cardinal_single_ion_segmentation, cardinal_spectra_plots	Statistical and computational tools for analyzing mass spectrometry imaging datasets								Up-to-date	http://cardinalmsi.org	Proteomics, Metabolomics		2020-12-23	galaxyp	https://github.com/galaxyproteomics/tools-galaxyp/tree/master/tools/cardinal	https://github.com/galaxyproteomics/tools-galaxyp/tree/master/tools/cardinal	3.4.3	bioconductor-cardinal	3.4.3			0	9	11	11	0	9	11	11	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	9	11	9	0	41875	50702	663	713	12	12	1	1	7512	7512	231	231	49399	58226	895	945	False		
