Suite ID	Suite owner	Description	To keep	Deprecated
AMRFinderPlus	iuc	"""AMRFinderPlus is designed to find acquired antimicrobial resistance genes and point mutations in protein and/or assembled nucleotide sequences.It can also search ""plus"", stress, heat, and biocide resistance and virulence factors for some organisms."	True	False
Geometric means (Dead wood)	ecology	Tools to compute The evolution of the total volume of very large trees, standing dead wood and dead wood on the ground on an area and the rate of devolution of the volume of wood favorable to biodiversity by large ecological regions (France).	False	False
ISEScan	iuc	"""ISEScan is a pipeline to identify IS (Insertion Sequence) elements in genome and metagenomebased on profile hidden Markov models constructed from manually curated IS elements."""	True	False
MALDIquant	galaxyp	MALDIquant provides a complete analysis pipeline for MALDI-TOF and other 2D mass spectrometry data.	False	False
Make data paper sketches from EML	ecology	This tool derived from the R Shiny App MetaShRIMPS <https://github.com/TanguyGen/metaCure> is made to produce draft of data paper from Ecological Metadata Language (EML) based metadata documents.	False	False
WormsMeasurements	ecology	This tool uses WoRMS (World Register of Marine Species) to add measurement values to a dataset based on scientific names.		
abacas	nml	Order and Orientate Contigs	True	False
abricate	iuc	Mass screening of contigs for antiobiotic resistance genes	True	False
abritamr	iuc	A pipeline for running AMRfinderPlus and collating results into functional classes	True	False
abyss	iuc	Assembly By Short Sequences - a de novo, parallel, paired-end sequence assembler	True	False
adapter_removal	iuc	Removes residual adapter sequences from single-end (SE) or paired-end (PE) FASTQ reads.	False	False
aegean	iuc	AEGeAn toolkit wrappers	False	False
aldex2	iuc	Performs analysis Of differential abundance taking sample variation into account	True	False
align_back_trans	peterjc	Thread nucleotides onto a protein alignment (back-translation)	False	False
amplican	iuc	AmpliCan is an analysis tool for genome editing.	True	False
ampvis2	iuc	ampvis2	False	False
ancombc	iuc	Performs analysis of compositions of microbiomes with bias correction.	True	False
annotatemyids	iuc	annotateMyIDs: get annotation for a set of IDs using the Bioconductor annotation packages	False	False
antarna	rnateam	antaRNA uses ant colony optimization to solve the inverse folding problem in RNA research .	False	False
antismash	bgruening	Antismash allows the genome-wide identification, annotation and analysis of secondary metabolite biosynthesis gene clusters	True	False
aquainfra_importer	ecology	A data source tool for downloading datasets via the AquaINFRA Interaction Platform.	False	False
aquainfra_ogc_api_processes	ecology	Wrapper for OGC API Processes developed in the AquaINFRA project.	False	False
aresite2	rnateam	AREsite2 REST Interface	False	False
argnorm	iuc	argNorm is a tool to normalize antibiotic resistance genes (ARGs) by mapping them to the antibiotic resistance ontology (ARO) created by the CARD database	True	False
arriba	iuc	Arriba detects fusion genes in RNA-Seq data after running RNA-STAR	False	False
art	iuc	Simulator for Illumina, 454, and SOLiD sequencing data	False	False
artic	iuc	The artic pipeline is designed to help run the artic bioinformatics protocols;for example the nCoV-2019 novel coronavirus protocol.Features include: read filtering, primer trimming, amplicon coverage normalisation,variant calling and consensus building	True	False
assembly_stats	iuc	Assembly metric visualisations to facilitate rapid assessment and comparison of assembly quality.	True	True
assemblystats	nml	Summarise an assembly (e.g. N50 metrics)	True	False
astral	iuc	Tool for estimating an unrooted species tree given a set of unrooted gene trees	False	False
atlas_fastq_provider	ebi-gxa	Retrieval and download of FASTQ files from ENA and other repositories such as HCA.	False	False
augustus	bgruening	AUGUSTUS is a program that predicts genes in eukaryotic genomic sequences.	False	False
autobigs	iuc	Automated MLST typing from PubMLST and InstitutPasteur.	True	False
b2btools	iuc	This software suite provides structural predictions for protein sequences made by Bio2Byte group.About Bio2Byte: We investigate how the dynamics, conformational states, and available experimental data of proteins relate to their amino acid sequence.Underlying physical and chemical principles are computationally unraveled through data integration, analysis, and machine learning, so connecting themto biological events and improving our understanding of the way proteins work.	False	False
bakta	iuc	"""Bakta is a tool for the rapid & standardized annotation of bacterial genomes and plasmids from both isolates and MAGs.It provides dbxref-rich and sORF-including annotations in machine-readable JSON & bioinformatics standard file formats for automatic downstream analysis."""	True	False
bam2mappingstats	nml	Generates mapping stats from a bam file.	False	False
bamclipper	nml	Soft-clip gene-specific primers from BAM alignment file based on genomic coordinates of primer pairs in BEDPE format.	False	False
bamhash	bgruening	Hash BAM and FASTQ files to verify data integrity	False	False
bamparse	artbio	Generates hit count lists from bam alignments.	False	False
bamtools	iuc	Utility for filtering BAM files. It is based on the BAMtools suiteof tools by Derek Barnett.	False	False
bamtools	devteam	Operate on and transform BAM datasets in various ways using bamtools	True	False
bamtools_filter	devteam	Filter BAM datasets on various attributes using bamtools filter	False	False
bamutil	iuc	bamUtil is a repository that contains several programs that perform operations on SAM/BAM files.	False	False
bandage	iuc	Bandage - A Bioinformatics Application for Navigating De novo Assembly Graphs Easily	True	False
barcode_collapse	rnateam	Paired End randomer aware duplicate removal algorithm	False	False
baredsc	iuc	baredSC is a tool that uses a Monte-Carlo Markov Chain to estimate a confidence interval on the probability density function (PDF) of expression of one or two genes from single-cell RNA-seq data.	False	False
barrnap	iuc	Contains the Barrnap tool for finding ribosomal RNAs in FASTA sequences.	False	False
baseline_toxicity_calculator	mbernt	Toxicity prediction using QSAR models	False	False
bax2bam	iuc	BAX to BAM converter	False	False
bayescan	iuc	Detecting natural selection from population-based genetic data	True	False
bbtools	iuc	BBTools is a suite of fast, multithreaded bioinformatics tools designed for analysis of DNA and RNA sequence data.BBTools can handle common sequencing file formats such as fastq, fasta, sam, scarf, fasta+qual, compressed or raw,with autodetection of quality encoding and interleaving. It is written in Java and works on any platform supportingJava, including Linux, MacOS, and Microsoft Windows and Linux; there are no dependencies other than Java (version7 or higher). Program descriptions and options are shown when running the shell scripts with no parameters.	True	False
bctools	iuc	bctools is a set of tools for handling barcodes and UMIs in NGS data.bctools can be used to merge PCR duplicates according to unique molecular barcodes (UMIs),to extract barcodes from arbitrary positions relative to the read starts,to clean up readthroughs into UMIs with paired-end sequencing andhandles binary barcodes as used with uvCLAP and FLASH.License: Apache License 2.0	False	False
bed_to_protein_map	galaxyp	Converts a BED file to a tabular list of exon locations	False	False
bellerophon	iuc	Filter mapped reads where the mapping spans a junction, retaining the 5-prime read.	False	False
best_regression_subsets	devteam	Perform Best-subsets Regression	False	False
bgc_ocean	ecology	Process in-situ and biogechemical oceanographic Argo or Glider data for the Earth System	False	False
bigscape	iuc	Construct sequence similarity networks of BGCs and groups them into GCF	True	False
bigwig_outlier_bed	iuc	pybigtools and numpy code to find continuous runs above a high or below a low quantile cutpoint in bigwig files	False	False
binette	iuc	Binning refinement tool	True	False
binning_refiner	iuc	Reconciles the outputs of different binning programs with the aim to improve the quality of genome bins,especially with respect to contamination levels.	True	False
bio_hansel	iuc	Heidelberg and Enteritidis SNP Elucidation	True	False
bioconductor-msnbase	recetox	MSnbase provides infrastructure for manipulation, processing and visualisation of mass spectrometry and proteomics data, ranging from raw to quantitative and annotated data. 	False	False
bioconductor_scp	recetox	scp is a package for the single cell proteomics data processing.	False	False
biohansel	nml	Heidelberg and Enteritidis SNP Elucidation	True	False
bioinformatics_cafe	mbernt	Miscellanea of scripts for bioinformatics	False	False
biomformat	iuc	The biom-format package provides a command line interface and Python API for working with BIOM files.	True	False
bionano	bgruening	Bionano Solve is a set of tools for analyzing Bionano data	False	False
biotradis	iuc	Bio-Tradis is a tool suite dedicated to essentiality analyses with TraDis data.	True	False
biscot	iuc	Bionano scaffolding correction tool	False	False
bismark	bgruening	A tool to map bisulfite converted sequence reads and determine cytosine methylation states	False	False
blast2go	peterjc	Maps BLAST results to GO annotation terms	True	False
blast_parser	earlhaminst	Convert 12- or 24-column BLAST output into 3-column hcluster_sg input	False	False
blast_plus_remote_blastp	galaxyp	NCBI BLAST+ with -remote option	False	False
blast_rbh	peterjc	BLAST Reciprocal Best Hits (RBH) from two FASTA files	True	False
