Title	Year	Journal	Targeted organisms	Technical target	Methods	Topics
Comparative Identification of Rare Salmonella Serovars from Snakes in Poland Using Slide Agglutination and Genomic Analysis, Including a Putatively Novel Serovar IIIb 38:z10:z6	2025	Applied Sciences	Pathogen	Isolate, Variant, Comparative analysis	(Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Draft genome sequence of Pseudomonas aeruginosa Pa047c, a pan-resistant strain isolated from an ICU in Manaus, Amazonas	2025	Microbiology Resource Announcements	Bacteria	Isolate, AMR	(Meta)genomics	Health & Disease
Whole Genome Characterization of Borrelia bavariensis Strain KW3 Isolated from Ixodes Granulatus in South Korea.	2025	Vector borne and zoonotic diseases	Pathogen	Isolate, MAGs, Comparative analysis	(Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Natural variation in an NLR pair confers thermostable resistance to a devastating bacterial pathogen	2025	bioRxiv	Bacteria, Pathogen	AMR		Health & Disease
Distinct Virome and Bacteriome Profiles of Term and Preterm Placentas from African, Asian and European Women	2025	bioRxiv	Bacteria			
Identification of transposable elements and satellite DNA in the Neotropical species Drosophila amaguana from the Ecuadorian Andean Forests	2025	PLOS One	Eukaryote	MAGs	Metabarcoding, (Meta)genomics	
Impact of low and high lipopolysaccharide doses on the early expression of immune related genes and transcription factors in chicken macrophage-like HD11 cells	2025	Poultry Science	Virus			Ecosystem Dynamics & Biodiversity, Health & Disease
A Putative Interaction between the Transmembrane Domains of Streptococcus pyogenes Sortase A and Its Endogenous Substrate M Protein Revealed by Molecular Dynamics Simulations	2025	The Journal of Physical Chemistry. B	Bacteria	Isolate, Interactome, Variant		
In-silico design and evaluation of a novel mRNA vaccine against human bocavirus 1: A neglected viral pathogen.	2025	Computers in biology and medicine	Virus, Pathogen			Health & Disease
The Immune-Antioxidant Trade-Off Mediated by Actinobacteria Drives Niche Differentiation: Physiological and Gut Microbiota Responses of Two Cold-Adapted Brown Frog Species to Contrasting Peak Daily Habitat Temperatures	2025	Animals : an Open Access Journal from MDPI	Bacteria, Microbiome	Community (taxonomy) profiling		Ecosystem Dynamics & Biodiversity, Health & Disease
Genetic insights into antimicrobial resistance and virulence characteristics of Salmonella enterica isolated from Nile tilapia sourced from retail markets in Thailand	2025	BMC Microbiology		Isolate, Community (taxonomy) profiling, AMR	(Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
inDAGO: a user-friendly interface for seamless dual and bulk RNA-Seq analysis	2025	Frontiers in Bioinformatics	Pathogen	Interactome	(Meta)transcriptomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Environmental monitoring and equipment sanitation to mitigate Listeria risks in a soil-based controlled environment agriculture system	2025	Applied and Environmental Microbiology	Pathogen	Isolate	(Meta)genomics, (Meta)proteomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Comparative genomics reveals specialization and divergent virulence potential in Vibrio vulnificus, Vibrio navarrensis, and Vibrio cidicii	2025	Applied and Environmental Microbiology	Bacteria, Pathogen	Community (taxonomy) profiling, Functional analysis, Comparative analysis	(Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Nanopore sequencing in veterinary medicine: from concepts to clinical applications	2025	Frontiers in Cellular and Infection Microbiology	Bacteria, Pathogen	AMR	(Meta)genomics, Metagenomics	Health & Disease
Distribution of DNA gyrase cleavage sites across the Streptococcus pneumoniae genome: relation to transcription and methylation at GATC sites	2025	Nucleic Acids Research	Bacteria	Isolate, AMR	(Meta)genomics	Health & Disease
Life in the brine of Lunenburg, Germany: unveiling microorganisms associated with Zechstein salt deposits	2025	Frontiers in Microbiology	Bacteria, Archaea, Microbiome	Isolate, Community (taxonomy) profiling	Metabarcoding, (Meta)genomics, (Meta)proteomics	Ecosystem Dynamics & Biodiversity
