Name	Source	ID	Link	Creators	Tags	Creation time	Update time	Latest version	Versions	Number of steps	Tools	EDAM operations	EDAM topics	License	DOI	Projects	To keep	Deprecated
metagenomic-raw-reads-amr-analysis/main	WorkflowHub	2068	https://workflowhub.eu/workflows/2068?version=1	ABRomics None, Hugo Lefeuvre		2026-01-24	2026-01-25	1	1	20.0	"sylph_profile, deeparg_short_reads, collection_element_identifiers, Removal of the first line because it is not necessary for tooldistillator
Remove beginning1, fastq_paired_end_interlacer, table_pandas_rename_column, multiqc, groot, tp_text_file_with_recurring_lines, tooldistillator, Remove a collection level so that outputs can be taken into account by tooldistillator
__FLATTEN__, tooldistillator_summarize, Removal of the first argNorm line that causes a multiQC error
Remove beginning1, __RELABEL_FROM_FILE__, argnorm, __FILTER_FAILED_DATASETS__, __UNZIP_COLLECTION__"	Validation, Gene functional annotation, Sequencing quality control, Antimicrobial resistance prediction, Data parsing, Taxonomic classification		GPL-3.0-or-later		Intergalactic Workflow Commission (IWC)	True	False
cgmlst-bacterial-genome/main	WorkflowHub	2055	https://workflowhub.eu/workflows/2055?version=1	ABRomics None, Clea Siguret, Hugo Lefeuvre		2026-01-21	2026-01-25	1	1	3.0	coreprofiler_allele_calling, tooldistillator, tooldistillator_summarize	Data parsing, Multilocus sequence typing		GPL-3.0-or-later		Intergalactic Workflow Commission (IWC)	True	False
bacterial-quality-and-contamination-control-post-assembly/main	WorkflowHub	1882	https://workflowhub.eu/workflows/1882?version=3	ABRomics None, Pierre Marin, Clea Siguret		2025-12-04	2025-12-04	3	3	14.0	kraken2, collapse_dataset, pick_value, est_abundance, quast, tooldistillator, tooldistillator_summarize, recentrifuge, checkm2	Validation, Sequencing quality control, Sequence composition calculation, Data parsing, Taxonomic classification, Sequence assembly validation, Statistical calculation, Cross-assembly, Expression analysis, Visualisation		GPL-3.0-or-later		Intergalactic Workflow Commission (IWC)	True	False
sars-cov-2-pe-illumina-artic-ivar-analysis/SARS-COV-2-ILLUMINA-AMPLICON-IVAR-PANGOLIN-NEXTCLADE	WorkflowHub	155	https://workflowhub.eu/workflows/155?version=6	Peter van Heusden	virology	2025-07-31	2026-01-25	6	6	16.0	qualimap_bamqc, snpeff_sars_cov_2, multiqc, samtools_view, __FLATTEN__, ivar_consensus, fastp, nextclade, ivar_trim, pangolin, samtools_stats, bwa_mem, tp_sed_tool, tp_cat, ivar_variants	SNP detection, Validation, Tree-based sequence alignment, Sequencing quality control, Primer removal, Genome indexing, Read mapping, Variant calling, Generation, Sequence contamination filtering, Variant classification, Sequence alignment, Methylation analysis		MIT		Intergalactic Workflow Commission (IWC)	True	False
sars-cov-2-pe-illumina-wgs-variant-calling/COVID-19-PE-WGS-ILLUMINA	WorkflowHub	113	https://workflowhub.eu/workflows/113?version=4	Wolfgang Maier	virology, covid-19, covid19.galaxyproject.org, emergen_validated	2021-12-21	2025-12-12	4	4	11.0	snpeff_sars_cov_2, multiqc, samtools_view, picard_MarkDuplicates, fastp, lofreq_indelqual, lofreq_call, lofreq_viterbi, samtools_stats, bwa_mem, lofreq_filter	SNP detection, Formatting, Validation, Sequencing quality control, Genome indexing, Read mapping, Generation, Sequence contamination filtering, Sequence alignment		MIT		Intergalactic Workflow Commission (IWC)	True	False
generic-non-segmented-viral-variant-calling/main	WorkflowHub	1876	https://workflowhub.eu/workflows/1876?version=2	Peter van Heusden, Wolfgang Maier	virology	2025-12-05	2025-12-05	2	2	23.0	samtools_view, ivar_consensus, snpEff, ivar_trim, lofreq_viterbi, __FILTER_FAILED_DATASETS__, calculate_numeric_param, qualimap_bamqc, multiqc, pick_value, __FLATTEN__, map_param_value, fastp, bwa_mem, tp_find_and_replace, tp_cat, snpEff_build_gb, collapse_dataset, samtools_stats, tp_sed_tool, snpSift_extractFields, ivar_variants	Validation, Sequencing quality control, Primer removal, Genome indexing, Read mapping, Generation, Sequence contamination filtering, Sequence alignment		AGPL-3.0-or-later		Intergalactic Workflow Commission (IWC)	True	False
influenza-isolates-consensus-and-subtyping/main	WorkflowHub	1260	https://workflowhub.eu/workflows/1260?version=2	Viktoria Isabel Schwarz, Wolfgang Maier, Aaron Kolbecher, Saim Momin	virology	2025-05-14	2025-12-12	2	2	68.0	"seqtk_subseq, rbc_mafft, __FILTER_FROM_FILE__, samtools_view, ivar_consensus, bamtools_split_ref, wc_gnu, __HARMONIZELISTS__, This seemingly no-op transformation will remove samples with no remaining segment results (cases where vapor failed for  every segment).
__APPLY_RULES__, __FILTER_FAILED_DATASETS__, Cut1, qualimap_bamqc, collection_element_identifiers, __FLATTEN__, Grep1, fastp, tp_text_file_with_recurring_lines, __RELABEL_FROM_FILE__, snipit, bwa_mem, tp_find_and_replace, tp_cat, __MERGE_COLLECTION__, param_value_from_file, Filter1, iqtree, __DUPLICATE_FILE_TO_COLLECTION__, tp_easyjoin_tool, collapse_dataset, Show beginning1, Paste1, bwa mem will fail if no reference for any segment got suggested by vapor, i.e. the reference genome is empty. In that case, we need to skip further analysis of the sample.
__FILTER_FAILED_DATASETS__, __APPLY_RULES__, __UNZIP_COLLECTION__, vapor"	Sequence analysis, Multiple sequence alignment, Sequencing quality control, Primer removal, Base position variability plotting, Genome indexing, Read mapping, Generation, De-novo assembly, Data handling, Sequence contamination filtering, Sequence file editing, Phylogenetic analysis, Sequence alignment, Sequence alignment analysis, Data retrieval		AGPL-3.0-or-later		Intergalactic Workflow Commission (IWC)	True	False
pox-virus-amplicon/main	WorkflowHub	439	https://workflowhub.eu/workflows/439?version=4	Viktoria Isabel Schwarz, Wolfgang Maier	virology, pox	2025-10-11	2025-11-27	4	4	40.0	__ZIP_COLLECTION__, samtools_view, ivar_consensus, ivar_trim, __FILTER_FAILED_DATASETS__, Cut1, qualimap_bamqc, multiqc, collection_element_identifiers, datamash_ops, Grep1, __FLATTEN__, fastp, fasta_compute_length, bwa_mem, samtools_merge, tp_cat, param_value_from_file, split_file_to_collection, compose_text_param, EMBOSS: maskseq51, samtools_stats, tp_sed_tool, __APPLY_RULES__, __SORTLIST__	Validation, Sequence analysis, Sequencing quality control, Primer removal, Genome indexing, Read mapping, Generation, Global alignment, Sequence contamination filtering, Local alignment, Sequence alignment, Sequence alignment analysis		MIT		Intergalactic Workflow Commission (IWC)	True	False
allele-based-pathogen-identification/main	WorkflowHub	1063	https://workflowhub.eu/workflows/1063?version=5	Engy Nasr, Bérénice Batut, Paul Zierep		2025-03-26	2025-12-12	5	5	23.0	Cut1, Remove beginning1, collapse_dataset, Count1, bcftools_consensus, snpSift_extractFields, bcftools_norm, tp_cut_tool, CONVERTER_gz_to_uncompressed, table_compute, clair3, regexColumn1, samtools_coverage, minimap2, samtools_depth, tp_head_tool, Paste1, snpSift_filter	Pairwise sequence alignment, Variant calling		MIT		Intergalactic Workflow Commission (IWC)	True	False
mgnify-amplicon-pipeline-v5-complete/main	WorkflowHub	1274	https://workflowhub.eu/workflows/1274?version=2	Rand Zoabi, Paul Zierep		2025-03-26	2025-12-12	2	2	20.0	, __MERGE_COLLECTION__, tp_awk_tool, CONVERTER_gz_to_uncompressed, CONVERTER_uncompressed_to_gz, fastq_dl			Apache-2.0		Intergalactic Workflow Commission (IWC)	True	False
