Name	Source	ID	Link	Creators	Tags	Creation time	Update time	Latest version	Versions	Number of steps	Tools	EDAM operations	EDAM topics	License	DOI	Projects	To keep	Deprecated
bacterial-quality-and-contamination-control-post-assembly/main	WorkflowHub	1882	https://workflowhub.eu/workflows/1882?version=2	ABRomics None, Pierre Marin, Clea Siguret		2025-08-28	2025-08-28	2	2	14.0	collapse_dataset, recentrifuge, est_abundance, checkm2, tooldistillator_summarize, kraken2, quast, pick_value, tooldistillator	Statistical calculation, Sequencing quality control, Sequence assembly validation, Data parsing, Visualisation, Validation, Expression analysis, Cross-assembly, Taxonomic classification, Sequence composition calculation		GPL-3.0-or-later		Intergalactic Workflow Commission (IWC)	True	False
sars-cov-2-pe-illumina-artic-ivar-analysis/SARS-COV-2-ILLUMINA-AMPLICON-IVAR-PANGOLIN-NEXTCLADE	WorkflowHub	155	https://workflowhub.eu/workflows/155?version=6	Peter van Heusden	virology	2025-07-31	2025-08-19	6	6	16.0	bwa_mem, samtools_view, qualimap_bamqc, pangolin, tp_sed_tool, ivar_variants, samtools_stats, fastp, ivar_consensus, multiqc, snpeff_sars_cov_2, ivar_trim, nextclade, tp_cat, __FLATTEN__	Sequence contamination filtering, Genome indexing, Sequencing quality control, Variant calling, Validation, Variant classification, SNP detection, Tree-based sequence alignment, Generation, Methylation analysis, Sequence alignment, Primer removal, Read mapping		MIT		Intergalactic Workflow Commission (IWC)	True	False
sars-cov-2-pe-illumina-wgs-variant-calling/COVID-19-PE-WGS-ILLUMINA	WorkflowHub	113	https://workflowhub.eu/workflows/113?version=4	Wolfgang Maier	virology, covid-19, covid19.galaxyproject.org, emergen_validated	2021-12-21	2025-08-19	4	4	11.0	bwa_mem, samtools_view, lofreq_call, multiqc, samtools_stats, fastp, snpeff_sars_cov_2, lofreq_filter, lofreq_viterbi, lofreq_indelqual, picard_MarkDuplicates	Sequence contamination filtering, Genome indexing, Sequencing quality control, Validation, Formatting, Generation, Sequence alignment, SNP detection, Read mapping		MIT		Intergalactic Workflow Commission (IWC)	True	False
generic-non-segmented-viral-variant-calling/main	WorkflowHub	1876	https://workflowhub.eu/workflows/1876?version=1	Peter van Heusden, Wolfgang Maier	virology	2025-08-19	2025-08-19	1	1	23.0	bwa_mem, tp_sed_tool, ivar_variants, ivar_consensus, map_param_value, __FLATTEN__, collapse_dataset, samtools_view, qualimap_bamqc, snpSift_extractFields, lofreq_viterbi, snpEff, calculate_numeric_param, __FILTER_FAILED_DATASETS__, tp_cat, samtools_stats, tp_find_and_replace, ivar_trim, multiqc, fastp, snpEff_build_gb, pick_value	Sequence contamination filtering, Genome indexing, Sequencing quality control, Validation, Generation, Sequence alignment, Primer removal, Read mapping		AGPL-3.0-or-later		Intergalactic Workflow Commission (IWC)	True	False
influenza-isolates-consensus-and-subtyping/main	WorkflowHub	1260	https://workflowhub.eu/workflows/1260?version=2	Viktoria Isabel Schwarz, Wolfgang Maier, Aaron Kolbecher, Saim Momin	virology	2025-05-14	2025-08-19	2	2	41.0	bwa_mem, ivar_consensus, __DUPLICATE_FILE_TO_COLLECTION__, iqtree, collection_element_identifiers, map_param_value, collapse_dataset, samtools_view, qualimap_bamqc, __RELABEL_FROM_FILE__, param_value_from_file, __UNZIP_COLLECTION__, __EXTRACT_DATASET__, seqtk_subseq, tp_find_and_replace, snipit, wc_gnu, Paste1, Show beginning1, rbc_mafft, fastp, vapor, __APPLY_RULES__, Grep1, bamtools_split_ref, pick_value	Multiple sequence alignment, Sequence contamination filtering, Genome indexing, Sequencing quality control, Data handling, Sequence file editing, Sequence analysis, Base position variability plotting, Generation, Sequence alignment, De-novo assembly, Primer removal, Sequence alignment analysis, Phylogenetic analysis, Data retrieval, Read mapping		AGPL-3.0-or-later		Intergalactic Workflow Commission (IWC)	True	False
pox-virus-amplicon/main	WorkflowHub	439	https://workflowhub.eu/workflows/439?version=3	Viktoria Isabel Schwarz, Wolfgang Maier	virology, pox	2025-03-26	2025-08-18	3	3	40.0	"bwa_mem, tp_sed_tool, ivar_consensus, datamash_ops, 
 __SORTLIST__, collection_element_identifiers, samtools_view, qualimap_bamqc, split_file_to_collection, 
 __ZIP_COLLECTION__, 
 __FILTER_FAILED_DATASETS__, 
 __APPLY_RULES__, tp_cat, 
 param_value_from_file, 
 __FLATTEN__, samtools_stats, EMBOSS: maskseq51, 
 Cut1, ivar_trim, compose_text_param, 
 Grep1, multiqc, fastp, fasta_compute_length, samtools_merge"	Sequence contamination filtering, Genome indexing, Sequencing quality control, Local alignment, Validation, Sequence analysis, Generation, Sequence alignment, Primer removal, Sequence alignment analysis, Global alignment, Read mapping		MIT		Intergalactic Workflow Commission (IWC)	True	False
allele-based-pathogen-identification/main	WorkflowHub	1063	https://workflowhub.eu/workflows/1063?version=5	Engy Nasr, Bérénice Batut, Paul Zierep		2025-03-26	2025-08-18	5	5	23.0	minimap2, collapse_dataset, clair3, Paste1, Count1, table_compute, CONVERTER_gz_to_uncompressed, tp_cut_tool, snpSift_extractFields, snpSift_filter, Remove beginning1, bcftools_consensus, tp_head_tool, regexColumn1, samtools_depth, bcftools_norm, Cut1, samtools_coverage	Pairwise sequence alignment, Variant calling		MIT		Intergalactic Workflow Commission (IWC)	True	False
mgnify-amplicon-pipeline-v5-complete/main	WorkflowHub	1274	https://workflowhub.eu/workflows/1274?version=2	Rand Zoabi, Paul Zierep		2025-03-26	2025-08-18	2	2	20.0	, __MERGE_COLLECTION__, fastq_dl, CONVERTER_gz_to_uncompressed, tp_awk_tool, CONVERTER_uncompressed_to_gz			Apache-2.0		Intergalactic Workflow Commission (IWC)	True	False
mgnify-amplicon-pipeline-v5-its/main	WorkflowHub	1273	https://workflowhub.eu/workflows/1273?version=2	Rand Zoabi, Paul Zierep		2025-03-26	2025-08-18	2	2	30.0	, mapseq, tp_awk_tool, bedtools_maskfastabed, __FILTER_FROM_FILE__, collection_element_identifiers, biom_convert, taxonomy_krona_chart, __FILTER_EMPTY_DATASETS__	Visualisation, Formatting, Mapping, k-mer counting		Apache-2.0		Intergalactic Workflow Commission (IWC)	True	False
mgnify-amplicon-pipeline-v5-quality-control-paired-end/main	WorkflowHub	1272	https://workflowhub.eu/workflows/1272?version=2	Rand Zoabi, Paul Zierep		2025-03-26	2025-08-18	2	2	17.0	mgnify_seqprep, cshl_fasta_formatter, multiqc, __UNZIP_COLLECTION__, fastp, trimmomatic, tp_find_and_replace, prinseq, fastqc, fastq_filter, fastq_to_fasta_python	Sequence contamination filtering, Statistical calculation, Sequencing quality control, Sequence trimming, Read pre-processing, Validation, Sequence composition calculation, Nucleic acid design		Apache-2.0		Intergalactic Workflow Commission (IWC)	True	False
mgnify-amplicon-pipeline-v5-quality-control-single-end/main	WorkflowHub	1271	https://workflowhub.eu/workflows/1271?version=3	Rand Zoabi, Paul Zierep		2025-03-26	2025-08-18	3	3	14.0	cshl_fasta_formatter, multiqc, trimmomatic, tp_find_and_replace, prinseq, fastqc, fastq_filter, fastq_to_fasta_python	Sequence contamination filtering, Statistical calculation, Sequencing quality control, Sequence trimming, Sequence composition calculation, Read pre-processing, Validation		Apache-2.0		Intergalactic Workflow Commission (IWC)	True	False
mgnify-amplicon-pipeline-v5-rrna-prediction/main	WorkflowHub	1270	https://workflowhub.eu/workflows/1270?version=2	Rand Zoabi, Paul Zierep		2025-03-26	2025-08-18	2	2	47.0	, query_tabular, cshl_fasta_formatter, mapseq, tp_awk_tool, gops_concat_1, infernal_cmsearch, __FILTER_FROM_FILE__, bedtools_getfastabed, collection_element_identifiers, cmsearch_deoverlap, biom_convert, taxonomy_krona_chart, __FILTER_EMPTY_DATASETS__	Alignment, Comparison, Mapping, Nucleic acid feature detection, Formatting, Visualisation, k-mer counting		Apache-2.0		Intergalactic Workflow Commission (IWC)	True	False
mgnify-amplicon-taxonomic-summary-tables/main	WorkflowHub	1269	https://workflowhub.eu/workflows/1269?version=2	Rand Zoabi		2025-03-26	2025-08-18	2	2	10.0	query_tabular, collection_column_join, filter_tabular, tp_awk_tool, Grouping1			MIT		Intergalactic Workflow Commission (IWC)	True	False
clinicalmp-discovery/main	WorkflowHub	1225	https://workflowhub.eu/workflows/1225?version=1	Subina Mehta		2024-12-10	2025-08-18	1	1	24.0	Filter1, fasta_merge_files_and_filter_unique_sequences, fasta_cli, query_tabular, search_gui, dbbuilder, fasta2tab, peptide_shaker, filter_tabular, Grep1, Remove beginning1, msconvert, maxquant, Grouping1, ident_params, Cut1, tp_cat	Statistical calculation, Protein quantification, Heat map generation, Clustering, Visualisation, Principal component plotting, Filtering, Standardisation and normalisation, Imputation, Formatting		CC-BY-4.0		Intergalactic Workflow Commission (IWC)	True	False
clinicalmp-data-interpretation/main	WorkflowHub	1219	https://workflowhub.eu/workflows/1219?version=1	GalaxyP		2024-11-26	2025-08-18	1	1	6.0	Grep1, unipept, msstatstmt	Prediction and recognition, Visualisation		CC-BY-4.0		Intergalactic Workflow Commission (IWC)	True	False
clinicalmp-verification/main	WorkflowHub	1218	https://workflowhub.eu/workflows/1218?version=1	Pratik Jagtap		2024-11-26	2025-08-18	1	1	19.0	Filter1, collapse_dataset, fasta_merge_files_and_filter_unique_sequences, query_tabular, dbbuilder, uniprotxml_downloader, Remove beginning1, Grouping1, pepquery2, Cut1, tp_cat			CC-BY-4.0		Intergalactic Workflow Commission (IWC)	True	False
clinicalmp-database-generation/main	WorkflowHub	1216	https://workflowhub.eu/workflows/1216?version=1	Subina Mehta		2024-11-23	2025-08-18	1	1	3.0	fasta_merge_files_and_filter_unique_sequences, metanovo	Expression analysis, de Novo sequencing, Target-Decoy, Protein identification, Tag-based peptide identification		CC-BY-4.0		Intergalactic Workflow Commission (IWC)	True	False
clinicalmp-quantitation/main	WorkflowHub	1177	https://workflowhub.eu/workflows/1177?version=1	GalaxyP		2024-10-07	2025-08-18	1	1	7.0	"extract proteins
Cut1, Quantified-Peptides
Grouping1, extracting microbial Peptides
Grep1, extracting microbial Proteins
Grep1, maxquant, Quantified-Proteins
Grouping1, extract peptides
Cut1"	Statistical calculation, Protein quantification, Heat map generation, Clustering, Visualisation, Principal component plotting, Standardisation and normalisation, Imputation		CC-BY-4.0		Intergalactic Workflow Commission (IWC)	True	False
bacterial-genome-assembly/main	WorkflowHub	1043	https://workflowhub.eu/workflows/1043?version=11	Abromics None, Pierre Marin, Clea Siguret	abromics, assembly, fastq, genomics, bacterial-genomics, paired-end, quality	2025-08-19	2025-08-19	11	11	7.0	bandage_info, shovill, refseq_masher_matches, tooldistillator_summarize, quast, tooldistillator, bandage_image	Sequence assembly visualisation, Sequence assembly validation, Data parsing, Genome assembly, Visualisation		GPL-3.0-or-later		Intergalactic Workflow Commission (IWC)	True	False
quality-and-contamination-control/main	WorkflowHub	1052	https://workflowhub.eu/workflows/1052?version=11	ABRomics None, Pierre Marin, Clea Siguret	abromics, fastq, genomics, bacterial-genomics, paired-end, quality, taxonomy-assignment, trimming	2025-06-19	2025-08-18	11	11	6.0	recentrifuge, est_abundance, fastp, tooldistillator_summarize, kraken2, tooldistillator	Expression analysis, Statistical calculation, Cross-assembly, Sequence contamination filtering, Taxonomic classification, Sequencing quality control, Data parsing		GPL-3.0-or-later		Intergalactic Workflow Commission (IWC)	True	False
qiime2-III-VI-downsteam/QIIME2-III-V-Phylogeny-Rarefaction-Taxonomic-Analysis	WorkflowHub	1090	https://workflowhub.eu/workflows/1090?version=2	Debjyoti Ghosh		2024-11-26	2025-08-18	2	2	3.0	Rarefaction, Phylogenetic tree for diversity analysis, Taxonomic analysis			MIT		Intergalactic Workflow Commission (IWC)	True	False
gene-based-pathogen-identification/main	WorkflowHub	1062	https://workflowhub.eu/workflows/1062?version=1	Engy Nasr, Bérénice Batut, Paul Zierep		2024-06-26	2025-08-18	1	1	15.0	__BUILD_LIST__, fasta2tab, tab2fasta, split_file_to_collection, compose_text_param, tp_find_and_replace, collection_element_identifiers, bandage_image, flye, medaka_consensus_pipeline, abricate, param_value_from_file	Mapping assembly, Variant calling, Genome assembly, Sequence assembly, Sequence assembly visualisation, Cross-assembly, Antimicrobial resistance prediction, De-novo assembly, Base-calling		MIT	10.48546/workflowhub.workflow.1062.1	Intergalactic Workflow Commission (IWC)	True	False
pathogen-detection-pathogfair-samples-aggregation-and-visualisation/main	WorkflowHub	1060	https://workflowhub.eu/workflows/1060?version=1	Engy Nasr, Bérénice Batut, Paul Zierep		2024-06-26	2025-08-18	1	1	60.0	Count1, collection_column_join, tp_multijoin_tool, tp_sorted_uniq, newick_display, tp_replace_in_column, collapse_dataset, fasta_merge_files_and_filter_unique_sequences, regex1, __FILTER_EMPTY_DATASETS__, __FILTER_FAILED_DATASETS__, fasttree, tab2fasta, Remove beginning1, regexColumn1, bedtools_getfastabed, clustalw, Cut1, tp_split_on_column, ggplot2_heatmap, fasta2tab, Grouping1	Phylogenetic tree generation (from molecular sequences), Multiple sequence alignment, Phylogenetic tree analysis, Mapping, Phylogenetic tree generation (maximum likelihood and Bayesian methods), Phylogenetic tree generation, Visualisation, Phylogenetic tree reconstruction		MIT	10.48546/workflowhub.workflow.1060.1	Intergalactic Workflow Commission (IWC)	True	False
taxonomy-profiling-and-visualization-with-krona/main	WorkflowHub	1059	https://workflowhub.eu/workflows/1059?version=1	Engy Nasr, Bérénice Batut, Paul Zierep		2024-06-26	2025-08-18	1	1	3.0	krakentools_kreport2krona, taxonomy_krona_chart, kraken2	Visualisation, Taxonomic classification, Aggregation		MIT	10.48546/workflowhub.workflow.1059.1	Intergalactic Workflow Commission (IWC)	True	False
bacterial_genome_annotation/main	WorkflowHub	1050	https://workflowhub.eu/workflows/1050?version=12	ABRomics None, Pierre Marin, Clea Siguret	abromics, annotation, genomics, bacterial-genomics, fasta, genome-annotation	2025-07-31	2025-08-18	12	12	6.0	isescan, plasmidfinder, bakta, integron_finder, tooldistillator_summarize, tooldistillator	Scaffolding, Nucleic acid feature detection, Data parsing, Sequence motif recognition, Structural variation detection, Genome assembly, Genome annotation, Protein feature detection, Multilocus sequence typing		GPL-3.0-or-later		Intergalactic Workflow Commission (IWC)	True	False
amr_gene_detection/main	WorkflowHub	1049	https://workflowhub.eu/workflows/1049?version=7	ABRomics None, Pierre Marin, Clea Siguret	abromics, amr, amr-detection, genomics, antibiotic-resistance, antimicrobial resistance, antimicrobial-resistance-genes, bacterial-genomics, fasta	2024-10-26	2025-08-18	7	7	5.0	staramr_search, amrfinderplus, tooldistillator_summarize, tooldistillator, abricate	Data parsing, Antimicrobial resistance prediction		GPL-3.0-or-later		Intergalactic Workflow Commission (IWC)	True	False
dada2/main	WorkflowHub	790	https://workflowhub.eu/workflows/790?version=3	Matthias Bernt	name:amplicon	2025-03-26	2025-08-18	3	3	14.0	dada2_dada, dada2_learnErrors, dada2_plotQualityProfile, __UNZIP_COLLECTION__, dada2_mergePairs, __APPLY_RULES__, dada2_removeBimeraDenovo, dada2_makeSequenceTable, dada2_assignTaxonomyAddspecies, dada2_seqCounts, dada2_filterAndTrim	DNA barcoding, Variant calling		MIT		Intergalactic Workflow Commission (IWC)	True	False
Refining Genome Annotations with Apollo (prokaryotes)	WorkflowHub	749	https://workflowhub.eu/workflows/749?version=1	Anthony Bretaudeau	genome-annotation	2024-02-14	2025-07-31	1	1	5.0	create_or_update, iframe, jbrowse, list_organism, create_account	Genome visualisation		CC-BY-4.0		EuroScienceGateway	True	False
MGnify's amplicon pipeline v5.0 - ITS	WorkflowHub	1856	https://workflowhub.eu/workflows/1856?version=1		amplicon, gtn, galaxy, metagenomics, mgnify_amplicon, name:microgalaxy	2025-08-11	2025-08-11	1	1	30.0	, mapseq, tp_awk_tool, bedtools_maskfastabed, __FILTER_FROM_FILE__, collection_element_identifiers, biom_convert, taxonomy_krona_chart, __FILTER_EMPTY_DATASETS__	Visualisation, Formatting, Mapping, k-mer counting		Apache-2.0		Galaxy Training Network	True	False
MAPseq to ampvis2	WorkflowHub	1855	https://workflowhub.eu/workflows/1855?version=1		gtn, galaxy, microbiome	2025-08-11	2025-08-11	1	1	9.0	collapse_dataset, query_tabular, collection_column_join, tp_awk_tool, ampvis2_load	Visualisation, Analysis		MIT		Galaxy Training Network	True	False
MGnify's amplicon pipeline v5.0 - Quality control PE	WorkflowHub	1854	https://workflowhub.eu/workflows/1854?version=1		amplicon, gtn, galaxy, metagenomics, mgnify_amplicon, name:microgalaxy	2025-08-11	2025-08-11	1	1	17.0	mgnify_seqprep, cshl_fasta_formatter, multiqc, __UNZIP_COLLECTION__, fastp, trimmomatic, tp_find_and_replace, prinseq, fastqc, fastq_filter, fastq_to_fasta_python	Sequence contamination filtering, Statistical calculation, Sequencing quality control, Sequence trimming, Read pre-processing, Validation, Sequence composition calculation, Nucleic acid design		Apache-2.0		Galaxy Training Network	True	False
MGnify's amplicon pipeline v5.0	WorkflowHub	1853	https://workflowhub.eu/workflows/1853?version=1		amplicon, gtn, galaxy, metagenomics, mgnify_amplicon, name:microgalaxy	2025-08-11	2025-08-11	1	1	20.0	, __MERGE_COLLECTION__, fastq_dl, CONVERTER_gz_to_uncompressed, tp_awk_tool, CONVERTER_uncompressed_to_gz			Apache-2.0		Galaxy Training Network	True	False
MGnify amplicon summary tables	WorkflowHub	1851	https://workflowhub.eu/workflows/1851?version=1		amplicon, gtn, galaxy, metagenomics, mgnify_amplicon, name:microgalaxy	2025-08-11	2025-08-11	1	1	10.0	query_tabular, collection_column_join, filter_tabular, tp_awk_tool, Grouping1			MIT		Galaxy Training Network	True	False
MGnify's amplicon pipeline v5.0 - Quality control SE	WorkflowHub	1850	https://workflowhub.eu/workflows/1850?version=1		amplicon, gtn, galaxy, metagenomics, mgnify_amplicon, name:microgalaxy	2025-08-11	2025-08-11	1	1	14.0	cshl_fasta_formatter, multiqc, trimmomatic, tp_find_and_replace, prinseq, fastqc, fastq_filter, fastq_to_fasta_python	Sequence contamination filtering, Statistical calculation, Sequencing quality control, Sequence trimming, Sequence composition calculation, Read pre-processing, Validation		Apache-2.0		Galaxy Training Network	True	False
