Galaxy wrapper id	Description	To keep	Deprecated
AggregateAlignments	Aggregate and filter alignment metrics of individual clusters, like the output of graphclust_align_cluster.	False	False
AlignCluster	Align predicted clusters of glob_report_no_align step with locarna and conservation analysis and visualizations.	False	False
CMFinder	Determines consensus motives for sequences.	False	False
CollectResults	Post-processing. Redundant clusters are merged and instances that belong to multiple clusters are assigned unambiguously. For every pair of clusters, the relative overlap (i.e. the fraction of instances that occur in both clusters) is computed and clusters are merged if the overlap exceeds 50%. instances that occur in both clusters) is computed and clusters are merged if the overlap exceeds 50%.	False	False
CollectResultsNoAlign	Redundant GraphClust clusters are merged and instances that belong to multiple clusters are assigned unambiguously.	False	False
EMLassemblyline	Tools using EML Assembly Line R package to generate EML metadata from template metadata files and vice versa	False	False
Ecoregionalization_workflow	Tools to compute ecoregionalization with BRT model predictions and clustering.	False	False
GAFA	Gene Align and Family Aggregator	False	False
GSPAN	Second step of GraphClust	False	False
Geom_mean_workflow	Tools to compute The evolution of the total volume of very large trees, standing dead wood and dead wood on the ground on an area and the rate of devolution of the volume of wood favorable to biodiversity by large ecological regions (France).	False	False
LocARNAGraphClust	MLocARNA computes a multiple sequence-structure alignment of RNA sequences.	False	False
NSPDK	Produces an explicit sparse feature encoding and copmutes global feature index and returns top dense sets.	False	False
PAMPA	Tools to compute and analyse biodiversity metrics	True	False
Plotting	Plotting results for GraphClust	False	False
PrepareForMlocarna	This tool prepares files for locarna step.	False	False
Preprocessing	Preprocessing input for GraphClust	False	False
Structure_GSPAN	Convert RNA structure to GSPAN graphs	False	False
ThermoRawFileParser	Thermo RAW file converter	False	False
TreeBest	TreeBeST best	True	False
TrimNs	TrimNs is used to trim and remove fake cut sites from bionano hybrid scaffold data in the VGP pipeline	False	False
abacas	Order and Orientate Contigs	True	False
abricate	Mass screening of contigs for antiobiotic resistance genes	True	False
abritamr	A pipeline for running AMRfinderPlus and collating results into functional classes	True	False
abyss	Assembly By Short Sequences - a de novo, parallel, paired-end sequence assembler	True	False
adapter_removal	Removes residual adapter sequences from single-end (SE) or paired-end (PE) FASTQ reads.	False	False
aegean	AEGeAn toolkit wrappers	False	False
aldex2	Performs analysis Of differential abundance taking sample variation into account	True	False
align_back_trans	Thread nucleotides onto a protein alignment (back-translation)	False	False
amplican	AmpliCan is an analysis tool for genome editing.	True	False
ampvis2	ampvis2	False	False
amrfinderplus	"""AMRFinderPlus is designed to find acquired antimicrobial resistance genes and point mutations in protein and/or assembled nucleotide sequences.It can also search ""plus"", stress, heat, and biocide resistance and virulence factors for some organisms."	True	False
ancombc	Performs analysis of compositions of microbiomes with bias correction.	True	False
annotatemyids	annotateMyIDs: get annotation for a set of IDs using the Bioconductor annotation packages	False	False
