Link	Name	Source	Projects	Creators	Creation time	Update time	To keep	Deprecated
https://workflowhub.eu/workflows/694?version=11	fastq-to-matrix-10x/scrna-seq-fastq-to-matrix-10x-cellplex	WorkflowHub	Intergalactic Workflow Commission (IWC)	Lucille Delisle, Mehmet Tekman, Hans-Rudolf Hotz, Daniel Blankenberg, Wendi Bacon	2026-06-25	2026-06-25	True	False
https://workflowhub.eu/workflows/1574?version=1	scRNA Plant Analysis	WorkflowHub	Galaxy Training Network		2025-06-02	2025-06-02	True	False
https://workflowhub.eu/workflows/1570?version=1	Seurat Filter, Plot and Exlore tutorial	WorkflowHub	Galaxy Training Network		2025-06-02	2025-06-02	True	False
https://workflowhub.eu/workflows/1557?version=1	MuSiC: Deconvolution	WorkflowHub	Galaxy Training Network		2025-06-02	2025-06-02	True	False
https://workflowhub.eu/workflows/1556?version=1	Pseudobulk with decoupler and edgeR tutorial workflow	WorkflowHub	Galaxy Training Network		2025-06-02	2025-06-02	True	False
https://workflowhub.eu/workflows/1553?version=1	Music: Pre-grouping cell types	WorkflowHub	Galaxy Training Network		2025-06-02	2025-06-02	True	False
https://workflowhub.eu/workflows/1550?version=1	Cell Cycle Regression Workflow	WorkflowHub	Galaxy Training Network		2025-06-02	2025-06-02	True	False
https://workflowhub.eu/workflows/1551?version=1	Workflow - Standard processing of 10X single cell ATAC-seq data with SnapATAC2	WorkflowHub	Galaxy Training Network		2025-06-02	2025-06-02	True	False
https://workflowhub.eu/workflows/1546?version=1	GTN - Preprocessing of 10X scRNA-seq data	WorkflowHub	Galaxy Training Network		2025-06-02	2025-06-02	True	False
https://workflowhub.eu/workflows/1547?version=1	RaceID Workflow	WorkflowHub	Galaxy Training Network		2025-06-02	2025-06-02	True	False
https://workflowhub.eu/workflows/1543?version=1	LOCKED | Combining single cell datasets after pre-processing	WorkflowHub	Galaxy Training Network		2025-06-02	2025-06-02	True	False
https://workflowhub.eu/workflows/1537?version=1	LOCKED | Generating a single cell matrix using Alevin	WorkflowHub	Galaxy Training Network		2025-06-02	2025-06-02	True	False
https://workflowhub.eu/workflows/1533?version=1	Generating a single cell matrix using Alevin	WorkflowHub	Galaxy Training Network		2025-06-02	2025-06-02	True	False
https://workflowhub.eu/workflows/1511?version=1	Single-cell QC with scater	WorkflowHub	Galaxy Training Network		2025-06-02	2025-06-02	True	False
https://workflowhub.eu/workflows/1501?version=1	Filter plot and explore single-cell RNA-seq data with Scanpy (imported from uploaded file)	WorkflowHub	Galaxy Training Network		2025-06-02	2025-06-02	True	False
https://workflowhub.eu/workflows/1485?version=1	scRNA Plant Analysis	WorkflowHub	Galaxy Training Network		2025-06-02	2025-06-02	True	False
https://workflowhub.eu/workflows/2174?version=4	Galaxy EISTA spatialdata + updated squidpy	WorkflowHub	usegalaxy-eu	Amirhossein Naghsh Nilchi, Pavankumar Videm	2026-06-29	2026-06-29	True	False
https://workflowhub.eu/workflows/1078?version=1	Multisample Batch Correction with SnapATAC2 and Harmony	WorkflowHub	usegalaxy-eu		2024-07-17	2026-05-13	True	False
https://workflowhub.eu/workflows/1077?version=1	Workflow - Standard processing of 10X single cell ATAC-seq data with SnapATAC2	WorkflowHub	usegalaxy-eu	Timon Schlegel	2024-07-17	2026-05-13	True	False
https://usegalaxy.eu/published/workflow?id=04df470a38b10e94	Differential gene expression for single-cell data using pseudo-bulk counts with edgeR (release v0.1)	https://usegalaxy.eu		Diana Chiang Jurado, Pavankumar Videm, Pablo Moreno	2024-11-21	2025-04-25	True	False
https://usegalaxy.eu/published/workflow?id=c7b9fb6872444809	Differential gene expression for single-cell data using pseudo-bulk counts with edgeR (release v0.1.1)	https://usegalaxy.eu		Diana Chiang Jurado, Pavankumar Videm, Pablo Moreno	2024-11-28	2025-04-25	True	False
https://usegalaxy.eu/published/workflow?id=e472096116cbe392	Preprocessing and Clustering of single-cell RNA-seq data with Scanpy (release v0.1)	https://usegalaxy.eu		Pavankumar Videm, Hans-Rudolf Hotz, Mehmet Tekman, Bérénice Batut	2025-01-30	2025-04-25	True	False
https://usegalaxy.eu/published/workflow?id=4756053b2596b6cf	Filter plot and explore single-cell RNA-seq data with Scanpy	https://usegalaxy.eu		Wendi Bacon	2025-03-23	2025-03-26	True	False
https://usegalaxy.eu/published/workflow?id=d1a1e6070c0a36ca	Combining single cell datasets after pre-processing	https://usegalaxy.eu		Wendi Bacon	2025-03-23	2025-03-26	True	False
https://usegalaxy.eu/published/workflow?id=9a9bbd8046da7b19	Generating a single cell matrix using Alevin	https://usegalaxy.eu		Julia Jakiela, Wendi Bacon	2025-03-20	2025-03-26	True	False
https://usegalaxy.eu/published/workflow?id=e4e969e9943cdaa5	Standard processing of single cell ATAC-seq data with SnapATAC2	https://usegalaxy.eu		Timon Schlegel	2024-08-02	2024-08-08	True	False
https://usegalaxy.eu/published/workflow?id=e06934a35fc18f2c	Generating a single cell matrix using Alevin	https://usegalaxy.eu		Julia Jakiela, Wendi Bacon	2024-03-03	2024-03-03	True	False
https://usegalaxy.eu/published/workflow?id=c6adc3b665828a6f	Generating a single cell matrix using Alevin 1.9	https://usegalaxy.eu		Wendi Bacon, Julia Jakiela	2023-04-21	2024-03-03	True	False
https://usegalaxy.eu/published/workflow?id=171d6fca2c3339e2	Cell Cycle Regression Workflow	https://usegalaxy.eu			2022-11-07	2022-11-10	True	False
https://usegalaxy.eu/published/workflow?id=d70dc4cfeedb690b	scRNA Plant Analysis	https://usegalaxy.eu			2021-03-23	2021-04-24	True	False
https://usegalaxy.eu/published/workflow?id=d79309343e2a5d62	10X StarSolo Workflow	https://usegalaxy.eu			2020-05-24	2020-08-22	True	False
