Galaxy wrapper id	Galaxy tool ids	Description	bio.tool id	bio.tool ids	biii	bio.tool name	bio.tool description	EDAM operation	EDAM topic	Status	Source	ToolShed categories	ToolShed id	Date of first commit of the suite	Galaxy wrapper owner	Galaxy wrapper source	Galaxy wrapper parsed folder	Galaxy wrapper version	Conda id	Conda version	EDAM operation (no superclasses)	EDAM topic (no superclasses)	Available on UseGalaxy.org (Main)	Available on UseGalaxy.org.au	Available on UseGalaxy.eu	Available on UseGalaxy.fr	Tools available on UseGalaxy.org (Main)	Tools available on UseGalaxy.org.au	Tools available on UseGalaxy.eu	Tools available on UseGalaxy.fr	Tools available on APOSTL	Tools available on ARGs-OAP	Tools available on CIRM-CFBP	Tools available on ChemFlow	Tools available on Coloc-stats	Tools available on CoralSNP	Tools available on CropGalaxy	Tools available on Dintor	Tools available on GASLINI	Tools available on Galaxy@AuBi	Tools available on Galaxy@Pasteur	Tools available on GalaxyTrakr	Tools available on Genomic Hyperbrowser	Tools available on GigaGalaxy	Tools available on HyPhy HIV NGS Tools	Tools available on IPK Galaxy Blast Suite	Tools available on ImmPort Galaxy	Tools available on InteractoMIX	Tools available on MISSISSIPPI	Tools available on Mandoiu Lab	Tools available on MiModD NacreousMap	Tools available on Oqtans	Tools available on Palfinder	Tools available on PepSimili	Tools available on UseGalaxy.be	Tools available on UseGalaxy.cz	Tools available on UseGalaxy.no	Tools available on Viral Variant Visualizer (VVV)	No. of tool users (5 years) (usegalaxy.eu)	No. of tool users (all time) (usegalaxy.eu)	Tool usage (5 years) (usegalaxy.eu)	Tool usage (all time) (usegalaxy.eu)	No. of tool users (5 years) (usegalaxy.org)	No. of tool users (all time) (usegalaxy.org)	Tool usage (5 years) (usegalaxy.org)	Tool usage (all time) (usegalaxy.org)	No. of tool users (5 years) (usegalaxy.org.au)	No. of tool users (all time) (usegalaxy.org.au)	Tool usage (5 years) (usegalaxy.org.au)	Tool usage (all time) (usegalaxy.org.au)	No. of tool users (5 years) - all main servers	No. of tool users (all time) - all main servers	Tool usage (5 years) - all main servers	Tool usage (all time) - all main servers	Reviewed	Deprecated	To keep
anndata	anndata_export, anndata_import, anndata_inspect, anndata_manipulate, modify_loom	Import, Export, Inspect and Manipulate Anndata and Loom objects								To update	https://anndata.readthedocs.io	Single Cell, Spatial Omics	anndata	2020-10-09	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/anndata/	https://github.com/galaxyproject/tools-iuc/tree/main/tools/anndata	0.10.9	anndata	0.6.22.post1			5	5	5	0	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	5	0	43047	43139	1826	1827	17240	17240	878	878	9309	9309	298	298	69596	69688	3002	3003	False		
baredsc	baredsc_1d, baredsc_2d, baredsc_combine_1d, baredsc_combine_2d	baredSC is a tool that uses a Monte-Carlo Markov Chain to estimate a confidence interval on the probability density function (PDF) of expression of one or two genes from single-cell RNA-seq data.	baredsc	baredsc		baredSC	The baredSC (Bayesian Approach to Retreive Expression Distribution of Single Cell) is a tool that uses a Monte-Carlo Markov Chain to estimate a confidence interval on the probability density function (PDF) of expression of one or two genes from single-cell RNA-seq data.	Data retrieval, Expression correlation analysis, Differential gene expression profiling	RNA-Seq, Cytometry, Transcriptomics, Gene transcripts, Statistics and probability	Up-to-date	https://github.com/lldelisle/baredSC	Single Cell, Transcriptomics, Visualization	baredsc	2023-09-06	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/baredsc	https://github.com/galaxyproject/tools-iuc/tree/main/tools/baredsc	1.1.3	baredsc	1.1.3	Data retrieval, Expression correlation analysis, Differential gene expression profiling	RNA-Seq, Cytometry, Transcriptomics, Gene transcripts, Statistics and probability	4	4	4	0	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	111	111	8	8	29	29	10	10	21	21	4	4	161	161	22	22	False		
cite_seq_count	cite_seq_count	Count CMO/HTO	CITE-seq-Count	CITE-seq-Count		CITE-seq-Count	Tool for counting antibody TAGS from a CITE-seq and/or cell hashing experiment.	RNA-Seq quantification	Transcriptomics, Immunoproteins and antigens	To update	https://github.com/Hoohm/CITE-seq-Count	Single Cell, Transcriptomics, Proteomics	cite_seq_count	2023-01-18	iuc	https://github.com/galaxyproject/tools-iuc/tree/main/tools/cite_seq_count	https://github.com/galaxyproject/tools-iuc/tree/main/tools/cite_seq_count	1.4.4	cite-seq-count	1.4.5	RNA-Seq quantification	Transcriptomics, Immunoproteins and antigens	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	21	21	4	4	9	9	5	5	18	18	1	1	48	48	10	10	False		
cosg	cosg	Marker gene identification for single-cell sequencing data using COSG.								Up-to-date	https://github.com/genecell/COSG	Transcriptomics, Sequence Analysis, Single Cell	cosg	2024-05-29	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/cosg/	https://github.com/galaxyproject/tools-iuc/tree/main/tools/cosg	1.0.1	cosg	1.0.1			0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False		
dropletutils	dropletutils	DropletUtils - Utilities for handling droplet-based single-cell RNA-seq data	dropletutils	dropletutils		DropletUtils	Provides a number of utility functions for handling single-cell (RNA-seq) data from droplet technologies such as 10X Genomics. This includes data loading, identification of cells from empty droplets, removal of barcode-swapped pseudo-cells, and downsampling of the count matrix.	Loading, Community profiling	Gene expression, RNA-seq, Sequencing, Transcriptomics	To update	https://bioconductor.org/packages/devel/bioc/html/DropletUtils.html	Single Cell, Sequence Analysis	dropletutils	2019-09-02	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/dropletutils/	https://github.com/galaxyproject/tools-iuc/tree/main/tools/dropletutils	1.10.0	bioconductor-dropletutils	1.22.0		Sequencing, Transcriptomics	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	4413	4442	430	431	4403	4403	255	255	1816	1816	33	33	10632	10661	718	719	False		
episcanpy	episcanpy_build_matrix, episcanpy_cluster_embed, episcanpy_preprocess	EpiScanpy – Epigenomics single cell analysis in python	episcanpy	episcanpy		epiScanpy	Epigenomics Single Cell Analysis in Python.	Enrichment analysis, Imputation	Epigenomics, Cell biology, DNA	To update	https://github.com/colomemaria/epiScanpy	Single Cell, Epigenetics	episcanpy	2023-03-22	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/episcanpy/	https://github.com/galaxyproject/tools-iuc/tree/main/tools/episcanpy	0.3.2	episcanpy	0.4.0	Enrichment analysis, Imputation	Epigenomics, Cell biology, DNA	3	3	3	0	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	880	880	80	80	221	221	37	37	49	49	3	3	1150	1150	120	120	False		
raceid	raceid_clustering, raceid_filtnormconf, raceid_inspectclusters, raceid_inspecttrajectory, raceid_trajectory	RaceID3, StemID2, FateID - scRNA analysis								To update	https://github.com/dgrun/RaceID3_StemID2_package/	Single Cell, Transcriptomics		2021-04-14	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/raceid3	https://github.com/galaxyproject/tools-iuc/tree/main/tools/raceid	0.2.3	r-raceid	0.1.3			5	5	5	1	5	5	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	5	0	3077	4581	395	518	2856	2856	1093	1093	1977	1977	19	19	7910	9414	1507	1630	False		
scanpy	scanpy_cluster_reduce_dimension, scanpy_filter, scanpy_inspect, scanpy_normalize, scanpy_plot, scanpy_remove_confounders	Scanpy – Single-Cell Analysis in Python	scanpy	scanpy		SCANPY	Scalable toolkit for analyzing single-cell gene expression data. It includes preprocessing, visualization, clustering, pseudotime and trajectory inference and differential expression testing. The Python-based implementation efficiently deals with datasets of more than one million cells.	Differential gene expression analysis	Gene expression, Cell biology, Genetics	To update	https://scanpy.readthedocs.io	Single Cell, Spatial Omics, Transcriptomics	scanpy	2024-08-28	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/scanpy/	https://github.com/galaxyproject/tools-iuc/tree/main/tools/scanpy	1.10.2	scanpy	1.7.2	Differential gene expression analysis	Gene expression, Cell biology, Genetics	6	6	6	0	6	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	6	0	63789	64034	2543	2547	29962	29962	1185	1185	18028	18028	379	379	111779	112024	4107	4111	False		
scater	scater_create_qcmetric_ready_sce, scater_filter, scater_plot_dist_scatter, scater_plot_pca, scater_plot_tsne	Scater (Single-Cell Analysis Toolkit for gene Expression data in R) is acollection of tools for doing various analyses of single-cell RNA-seq geneexpression data, with a focus on quality control and visualization.	scater	scater		scater	Pre-processing, quality control, normalization and visualization of single-cell RNA-seq data.	Read pre-processing, Sequencing quality control, Sequence visualisation	RNA-seq, Quality affairs, Molecular genetics	To update	http://bioconductor.org/packages/scater/	Single Cell, Transcriptomics, Visualization		2019-07-18	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/scater	https://github.com/galaxyproject/tools-iuc/tree/main/tools/scater	1.22.0	bioconductor-scater	1.30.1	Read pre-processing, Sequence visualisation	Quality affairs, Molecular genetics	0	5	5	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	5	0	1345	1371	350	351	0	0	0	0	903	903	29	29	2248	2274	379	380	False		
sceasy	sceasy_convert	Converter between difference single-cell formats								Up-to-date	https://github.com/cellgeni/sceasy/	Single Cell, Spatial Omics, Convert Formats	sceasy_convert	2023-11-10	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/sceasy/	https://github.com/galaxyproject/tools-iuc/tree/main/tools/sceasy	0.0.7	r-sceasy	0.0.7			1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1059	1059	222	222	426	426	71	71	1	1	1	1	1486	1486	294	294	False		
schicexplorer	schicexplorer_schicadjustmatrix, schicexplorer_schiccluster, schicexplorer_schicclustercompartments, schicexplorer_schicclusterminhash, schicexplorer_schicclustersvl, schicexplorer_schicconsensusmatrices, schicexplorer_schiccorrectmatrices, schicexplorer_schiccreatebulkmatrix, schicexplorer_schicdemultiplex, schicexplorer_schicinfo, schicexplorer_schicmergematrixbins, schicexplorer_schicmergetoscool, schicexplorer_schicnormalize, schicexplorer_schicplotclusterprofiles, schicexplorer_schicplotconsensusmatrices, schicexplorer_schicqualitycontrol	scHiCExplorer: Set of programs to process, analyze and visualize scHi-C data.								To update	https://github.com/joachimwolff/schicexplorer	Sequence Analysis, Transcriptomics, Visualization, Single Cell	schicexplorer	2019-12-16	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/schicexplorer	https://github.com/galaxyproject/tools-iuc/tree/main/tools/schicexplorer	4	schicexplorer	7			16	16	16	0	16	16	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	16	16	0	809	809	78	78	3	3	2	2	105	105	16	16	917	917	96	96	False		
scpipe	scpipe	A flexible preprocessing pipeline for single-cell RNA-sequencing data	scpipe	scpipe		scPipe	A preprocessing pipeline for single cell RNA-seq data that starts from the fastq files and produces a gene count matrix with associated quality control information. It can process fastq data generated by CEL-seq, MARS-seq, Drop-seq, Chromium 10x and SMART-seq protocols.	Genome annotation, Validation, Alignment, Visualisation	Gene expression, RNA-Seq, Sequencing	To update	http://bioconductor.org/packages/release/bioc/html/scPipe.html	Transcriptomics, Single Cell	scpipe	2018-08-13	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/scpipe	https://github.com/galaxyproject/tools-iuc/tree/main/tools/scpipe	1.0.0+galaxy2	bioconductor-scpipe	2.2.0	Genome annotation, Validation, Alignment, Visualisation	Gene expression, RNA-Seq	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	284	632	34	38	786	786	61	61	1	1	1	1	1071	1419	96	100	False		
seurat	seurat_create, seurat_data, seurat_integrate, seurat_clustering, seurat_preprocessing, seurat_plot, seurat_reduce_dimension	Seurat - R toolkit for single cell genomics								To update	https://satijalab.org/seurat/	Single Cell, Transcriptomics, Sequence Analysis	seurat	2020-07-22	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/seurat_v5	https://github.com/galaxyproject/tools-iuc/tree/main/tools/seurat	5.0	r-seurat	3.0.2			1	1	7	1	1	1	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	121	121	11	11	32	32	5	5	0	0	0	0	153	153	16	16	False		
sinto	sinto_barcode, sinto_fragments	Sinto single-cell analysis tools								Up-to-date	https://github.com/timoast/sinto	Single Cell, Epigenetics		2023-04-12	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/sinto	https://github.com/galaxyproject/tools-iuc/tree/main/tools/sinto	0.10.1	sinto	0.10.1			2	2	2	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	284	284	70	70	165	165	38	38	14	14	2	2	463	463	110	110	False		
snapatac2	snapatac2_clustering, snapatac2_peaks_and_motif, snapatac2_plotting, snapatac2_preprocessing	SnapATAC2 – A Python/Rust package for single-cell epigenomics analysis								To update	https://kzhang.org/SnapATAC2/	Single Cell, Epigenetics	snapatac2	2024-05-16	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/snapatac2	https://github.com/galaxyproject/tools-iuc/tree/main/tools/snapatac2	2.6.4					4	4	4	0	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1817	1817	14	14	4	4	2	2	136	136	4	4	1957	1957	20	20	False		
spapros	spapros_evaluation, spapros_selection	Select and evaluate probe sets for targeted spatial transcriptomics.								Up-to-date	https://github.com/theislab/spapros	Single Cell, Transcriptomics, Sequence Analysis	spapros	2024-08-25	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/spapros/	https://github.com/galaxyproject/tools-iuc/tree/main/tools/spapros	0.1.5	spapros	0.1.5			0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False		
umi_tools	umi_tools_count, umi_tools_dedup, umi_tools_extract, umi_tools_group, umi_tools_whitelist	UMI-tools extract - Extract UMIs from fastq	umi-tools	umi-tools		UMI-tools	Tools for handling Unique Molecular Identifiers in NGS data sets.	Sequencing quality control	NGS, Sequence sites, features and motifs, Quality affairs	Up-to-date	https://github.com/CGATOxford/UMI-tools	Sequence Analysis, Transcriptomics, Single Cell		2021-07-15	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/umi_tools	https://github.com/galaxyproject/tools-iuc/tree/main/tools/umi_tools	1.1.5	umi_tools	1.1.5	Sequencing quality control	Sequence sites, features and motifs, Quality affairs	5	5	5	5	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	3	5	5	0	55050	68123	1090	1223	9001	9001	906	906	12444	12444	187	187	76495	89568	2183	2316	False		
velocyto	velocyto_cli	Velocyto is a library for the analysis of RNA velocity.								Up-to-date	http://velocyto.org/	Transcriptomics, Single Cell	velocyto	2021-04-30	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/velocyto	https://github.com/galaxyproject/tools-iuc/tree/main/tools/velocyto	0.17.17	velocyto.py	0.17.17			1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	7	7	4	4	22	22	6	6	16	16	1	1	45	45	11	11	False		
