Galaxy wrapper id	Description	To keep	Deprecated
aegean	AEGeAn toolkit wrappers	False	False
anndata	Import, Export, Inspect and Manipulate Anndata and Loom objects	True	False
arriba	Arriba detects fusion genes in RNA-Seq data after running RNA-STAR	False	False
askor	AskoR links EdgeR and AskOmics	False	False
bamparse	Generates hit count lists from bam alignments.	False	False
baredsc	baredSC is a tool that uses a Monte-Carlo Markov Chain to estimate a confidence interval on the probability density function (PDF) of expression of one or two genes from single-cell RNA-seq data.	True	False
bctools	bctools is a set of tools for handling barcodes and UMIs in NGS data.bctools can be used to merge PCR duplicates according to unique molecular barcodes (UMIs),to extract barcodes from arbitrary positions relative to the read starts,to clean up readthroughs into UMIs with paired-end sequencing andhandles binary barcodes as used with uvCLAP and FLASH.License: Apache License 2.0	False	False
brew3r_r	Extend 3' end of a GTF using another GTF as a template	False	False
cell-types-analysis	Tools for analysis of predictions from scRNAseq cell type classification tools, see https://github.com/ebi-gene-expression-group/cell-types-analysis	True	False
cemitool	Gene co-expression network analysis tool	True	False
cherri	Computational Help Evaluating RNA-RNA interactions	False	False
chira	Chimeric Read Annotator for RNA-RNA interactome data	False	False
cite_seq_count	Count CMO/HTO	True	False
cosg	Marker gene identification for single-cell sequencing data using COSG.	True	False
cpat	Coding-potential assessment tool using an alignment-free logistic regression model.	False	False
cpm_tpm_rpk	Generate CPM,TPM or RPK from raw counts	False	False
crosscontamination_barcode_filter	Barcode contamination discovery tool	True	False
cuffcompare	Galaxy wrappers for the Cuffcompare tool.	False	False
cuffdiff	Galaxy wrappers for the Cuffdiff tool.	False	False
cufflinks	Galaxy wrappers for the Cufflinks tool.	False	False
cuffmerge	Galaxy wrappers for the Cuffmerge tool.	False	False
cuffnorm	The Cuffnorm tool	False	False
cuffquant	The Cuffquant tool	False	False
data-hca	Tools for interacting with the Human Cell Atlas resource https://prod.data.humancellatlas.org/explore/projects	True	False
data-scxa	Tools for interacting with the EMBL-EBI Expression Atlas resource https://www.ebi.ac.uk/gxa/home https://www.ebi.ac.uk/gxa/sc/home	True	False
decoupler	decoupler - Ensemble of methods to infer biological activities	True	False
deg_annotate	Annotate DESeq2/DEXSeq output tables	True	False
deseq2	Differential gene expression analysis based on the negative binomial distribution	True	False
deseq2_normalization	Normalizes gene hitlists	True	False
dexseq	Inference of differential exon usage in RNA-Seq	True	False
dropletutils	De-composed DropletUtils functionality tools, based on https://github.com/ebi-gene-expression-group/dropletutils-scripts and DropletUtils 1.0.3	True	False
dropletutils	DropletUtils - Utilities for handling droplet-based single-cell RNA-seq data	True	False
edger	Perform RNA-Seq differential expression analysis using edgeR pipeline	True	False
egsea	This tool implements the Ensemble of Gene Set Enrichment Analyses (EGSEA) method for gene set testing	True	False
episcanpy	EpiScanpy – Epigenomics single cell analysis in python	True	False
fastq_provider	Retrieval and download of FASTQ files from ENA and other repositories such as HCA.	False	False
fastq_utils	Set of tools for handling fastq files	False	False
featurecounts	featureCounts counts the number of reads aligned to defined masked regions in a reference genome	False	False
fgsea	Perform gene set testing using fgsea	True	False
garnett	De-composed Garnett functionality tools, see https://github.com/ebi-gene-expression-group/garnett-cli and r-garnett 0.2.8	True	False
genomic_super_signature	Interpretation of RNAseq experiments through robust, efficient comparison to public databases	False	False
gffcompare	Galaxy wrappers for Geo Pertea's GffCompare package.	False	False
gsc_filter_cells	Filter single cell RNAseq data on libray depth and number of detected genes	True	False
gsc_filter_genes	Filter genes that are detected in less than a fraction of libraries in single cell RNAseq data	True	False
gsc_gene_expression_correlations	Compute single-cell paire-wise gene expressions correlations	True	False
gsc_high_dimensions_visualisation	Generates PCA, t-SNE and HCPC visualisation	True	False
gsc_mannwhitney_de	Perform a mann-whitney differential testing between two sets of gene expression data	True	False
gsc_scran_normalize	Normalize raw counts using scran	True	False
gsc_signature_score	Compute signature scores from single cell RNAseq data	True	False
heinz	An algorithm for identification of the optimal scoring subnetwork.	True	False
infercnv	Infer Copy Number Variation from Single-Cell RNA-Seq Data	True	False
isoformswitchanalyzer	Statistical identification of isoform switching from RNA-seq derived quantification of novel and/or annotated full-length isoforms.	False	False
kallisto	kallisto is a program for quantifying abundances of transcripts from RNA-Seqdata, or more generally of target sequences using high-throughput sequencingreads. It is based on the novel idea of pseudoalignment for rapidlydetermining the compatibility of reads with targets, without the need foralignment.	False	False
limma_voom	Perform RNA-Seq differential expression analysis using limma voom pipeline	False	False
masigpro	Identify significantly differential expression profiles in time-course microarray experiments	False	False
mircounts	Generates miRNA count lists from read alignments to mirBase.	False	False
monocle3	De-composed monocle3 functionality tools, based on https://github.com/ebi-gene-expression-group/monocle-scripts and monocle3 0.1.2.	True	False
multigsea	GSEA-based pathway enrichment analysis for multi-omics data	True	False
music_deconvolution	Multi-subject Single Cell deconvolution (MuSiC)	True	False
nugen_nudup	Marks/removes PCR introduced duplicate molecules based on the molecular tagging technology used in NuGEN products.	False	False
pathifier	pathifier	False	False
pizzly	Pizzly is a program for detecting gene fusions from RNA-Seq data of cancer samples.	False	False
psiclass	PsiCLASS is a reference-based transcriptome assembler for single or multiple RNA-seq samples.	False	False
pyscenic	PySCENIC scripts based on usage at https://pyscenic.readthedocs.io/	True	False
qualimap	Qualimap 2 is a platform-independent application written in Java andR that facilitates the quality control of alignment sequencing data and itsderivatives like feature counts.	False	False
raceid	RaceID3, StemID2, FateID - scRNA analysis	True	False
repenrich	Repeat element profiling	False	False
repenrich2	Repeat element profiling using bowtie2 aligner	False	False
rgrnastar	RNA STAR is an ultra fast universal RNA and scRNA-seq aligner and mapper	True	False
ribowaltz	Calculation of optimal P-site offsets, diagnostic analysis and visual inspection of ribosome profiling data	False	False
rsem	transcript quantification from RNA-Seq data	False	False
rseqc	an RNA-seq quality control package	False	False
ruvseq	Remove Unwanted Variation from RNA-Seq Data	False	False
salmon	Salmon is a wicked-fast program to produce a highly-accurate, transcript-level quantification estimates from RNA-seq and single-cell data.	True	False
sashimi_plot	Generates a sashimi plot from bam files.	False	False
sc3	De-composed SC3 functionality tools, based on https://github.com/ebi-gene-expression-group/bioconductor-sc3-scripts and SC3 1.8.0.	True	False
scanpy	scanpy-scripts, command-line wrapper scripts around Scanpy.	True	False
scanpy	Scanpy – Single-Cell Analysis in Python	True	False
scater	De-composed Scater functionality tools, based on https://github.com/ebi-gene-expression-group/bioconductor-scater-scripts and Scater 1.8.4.	True	False
scater	Scater (Single-Cell Analysis Toolkit for gene Expression data in R) is acollection of tools for doing various analyses of single-cell RNA-seq geneexpression data, with a focus on quality control and visualization.	True	False
sccaf	SCCAF: Single Cell Clustering Assessment Framework.	True	False
sceasy	Convert scRNA data object between popular formats	True	False
sceasy	Converter between difference single-cell formats	True	False
schicexplorer	scHiCExplorer: Set of programs to process, analyze and visualize scHi-C data.	True	False
scmap	De-composed scmap functionality tools, based on https://github.com/ebi-gene-expression-group/scmap-cli and scmap 1.6.0.	True	False
scpipe	A flexible preprocessing pipeline for single-cell RNA-sequencing data	True	False
scpred	De-composed scPred functionality tools, see https://github.com/ebi-gene-expression-group/scpred-cli and r-scPred 1.0	True	False
seurat	De-composed Seurat functionality tools, based on https://github.com/ebi-gene-expression-group/r-seurat-scripts and Seurat 2.3.1	True	False
seurat	Seurat - R toolkit for single cell genomics	True	False
sinto	Sinto single-cell analysis tools	True	False
slamdunk	Slamdunk maps and quantifies SLAMseq reads	False	False
sleuth	Sleuth is a program for differential analysis of RNA-Seq data.	False	False
snapatac2	SnapATAC2 – A Python/Rust package for single-cell epigenomics analysis	True	False
spapros	Select and evaluate probe sets for targeted spatial transcriptomics.	True	False
star_fusion	STAR Fusion detects fusion genes in RNA-Seq data after running RNA-STAR	False	False
stringtie	StringTie is a fast and highly efficient assembler of RNA-Seq alignments into potential transcripts.	False	False
tophat_fusion_post	Wrapper for Tophat-Fusion post step	False	False
transdecoder	TransDecoder finds coding regions within transcripts	False	False
trinity	Trinity represents a method for the efficient and robust de novo reconstruction of transcriptomes from RNA-seq datahttps://github.com/trinityrnaseq/trinityrnaseq	False	False
trinotate	Trinotate is a comprehensive annotation suite designed for automatic functional annotation of de novo transcriptomes.	False	False
tximport	Wrapper for the Bioconductor package tximport	False	False
ucsc-cell-browser	Python pipeline and Javascript scatter plot library for single-cell datasets	True	False
umi_tools	UMI-tools extract - Extract UMIs from fastq	True	False
velocyto	Velocyto is a library for the analysis of RNA velocity.	True	False
volcanoplot	Tool to create a Volcano Plot	True	False
