Topic	Title	Link	EDAM topic	EDAM operation	Creation	Last modification	Version	Tutorial	Slides	Video	Workflows	Tools	Servers with precise tool versions	Servers with tool but different versions	Feedback number	Feedback mean note	Visitors	Page views	Visit duration	Video views
Single Cell	Analysis of plant scRNA-Seq Data with Scanpy	https://training.galaxyproject.org//topics/single-cell/tutorials/scrna-plant/tutorial.html		Differential gene expression analysis, Expression profile clustering, Principal component visualisation	2021-04-08	2026-06-25	8	True	False	True	True	scanpy_cluster_reduce_dimension, anndata_import, scanpy_plot, scanpy_inspect, scanpy_remove_confounders, anndata_manipulate, scanpy_filter, scanpy_normalize	UseGalaxy.org.au, UseGalaxy.be, UseGalaxy.eu, UseGalaxy.org (Main)	UseGalaxy.cz, UseGalaxy.fr, UseGalaxy.no	0		3275	4069	6.133333333333334	0
Proteomics	Multiomics data analysis using MultiGSEA	https://training.galaxyproject.org//topics/proteomics/tutorials/multiGSEA-tutorial/tutorial.html		Aggregation, Gene-set enrichment analysis, Pathway analysis	2025-03-10	2025-03-11	2	True	False	False	True	Filter1, multigsea, tp_grep_tool	UseGalaxy.be, UseGalaxy.eu	UseGalaxy.org.au, UseGalaxy.cz	0		641	720	5.2	0
Single Cell	GO Enrichment Analysis on Single-Cell RNA-Seq Data	https://training.galaxyproject.org//topics/single-cell/tutorials/GO-enrichment/tutorial.html		Gene-set enrichment analysis	2024-09-17	2026-06-25	9	True	True	False	True	goenrichment, Cut1, gprofiler_gost, tp_split_on_column	UseGalaxy.be, UseGalaxy.cz, UseGalaxy.eu, UseGalaxy.no, UseGalaxy.org (Main)		0		1937637	3589805	5.666666666666667	0
Single Cell	Pre-processing of 10X Single-Cell RNA Datasets	https://training.galaxyproject.org//topics/single-cell/tutorials/scrna-preprocessing-tenx/tutorial.html		Validation, Sequence alignment, Sequencing quality control, Community profiling, Loading	2019-09-11	2025-04-29	13	True	False	True	True	dropletutils, multiqc, rna_starsolo	UseGalaxy.org.au, UseGalaxy.cz, UseGalaxy.eu, UseGalaxy.org (Main)	UseGalaxy.be, UseGalaxy.fr, UseGalaxy.no	0		14460	18694	5.783333333333333	0
Single Cell	Pre-processing of 10X Single-Cell ATAC-seq Datasets	https://training.galaxyproject.org//topics/single-cell/tutorials/scatac-preprocessing-tenx/tutorial.html		Statistical calculation, Visualisation, Genome indexing, Enrichment analysis, Expression profile clustering, Gene regulatory network analysis, Mapping, Principal component visualisation, Generation, Differential gene expression analysis, Imputation, Peak calling, Sequence composition calculation, Read mapping, Sequence alignment, Sequencing quality control	2023-04-24	2025-10-16	10	True	False	False	True	scanpy_plot, anndata_inspect, sinto_fragments, episcanpy_preprocess, tp_sorted_uniq, episcanpy_build_matrix, macs2_callpeak, fastqc, falco, bedtools_sortbed, sinto_barcode, bwa_mem	UseGalaxy.org.au, UseGalaxy.org (Main)	UseGalaxy.be, UseGalaxy.cz	0		6751	7954	2.433333333333333	0
Single Cell	Bulk RNA Deconvolution with MuSiC	https://training.galaxyproject.org//topics/single-cell/tutorials/bulk-music/tutorial.html			2022-02-11	2026-06-25	11	True	False	True	True	music_construct_eset, music_deconvolution, music_inspect_eset	UseGalaxy.org.au, UseGalaxy.be, UseGalaxy.cz, UseGalaxy.eu, UseGalaxy.org (Main)		0		4654	5782	4.016666666666667	0
Single Cell	Pseudobulk Analysis with Decoupler and EdgeR	https://training.galaxyproject.org//topics/single-cell/tutorials/pseudobulk-analysis/tutorial.html		Expression profile clustering, Differential gene expression analysis, Principal component visualisation	2025-02-12	2025-05-09	8	True	False	True	True	decoupler_pseudobulk, tp_replace_in_line, anndata_inspect, __EXTRACT_DATASET__, anndata_manipulate, edger, scanpy_filter, volcanoplot, column_remove_by_header, tp_replace_in_column, tp_awk_tool	UseGalaxy.org.au, UseGalaxy.be, UseGalaxy.eu, UseGalaxy.fr, UseGalaxy.org (Main)	UseGalaxy.cz	0		2539	2874	2.8333333333333335	0
Single Cell	Generating a single cell matrix using Alevin	https://training.galaxyproject.org//topics/single-cell/tutorials/scrna-case_alevin/tutorial.html		RNA-Seq quantification, Sequence composition calculation, Gene expression analysis	2021-03-03	2025-11-18	25	True	False	True	True	_dropletBarcodePlot, dropletutils_read_10x, _ensembl_gtf2gene_list, alevin, anndata_inspect, sceasy_convert, _salmon_kallisto_mtx_to_10x, anndata_manipulate, Cut1, dropletutils_empty_drops, join1	UseGalaxy.org.au, UseGalaxy.be, UseGalaxy.eu, UseGalaxy.fr, UseGalaxy.org (Main)		0		3969	5970	10.966666666666667	0
Single Cell	Generating a single cell matrix using Alevin and combining datasets (bash + R)	https://training.galaxyproject.org//topics/single-cell/tutorials/alevin-commandline/tutorial.html			2023-12-08	2025-04-22	5	True	False	False	False			UseGalaxy.eu, UseGalaxy.org, UseGalaxy.org.au, UseGalaxy.fr, UseGalaxy.ca	0		797	1051	9.916666666666666	0
Single Cell	Single-cell ATAC-seq standard processing with SnapATAC2	https://training.galaxyproject.org//topics/single-cell/tutorials/scatac-standard-processing-snapatac2/tutorial.html		Essential dynamics, Genome indexing, Expression profile clustering, Generation, Principal component visualisation, Gene expression profiling, Differential gene expression analysis, Sequence alignment, Read mapping, Dimensionality reduction	2024-07-11	2025-07-02	5	True	False	False	True	scanpy_plot, anndata_inspect, scanpy_inspect, snapatac2_clustering, snapatac2_peaks_and_motif, snapatac2_preprocessing, anndata_manipulate, scanpy_filter, Cut1, anndata_ops, scanpy_normalize, snapatac2_plotting, fasta_compute_length, replace_column_with_key_value_file, bwa_mem			0		2311	2703	3.0833333333333335	0
Single Cell	Removing the effects of the cell cycle	https://training.galaxyproject.org//topics/single-cell/tutorials/scrna-case_cell-cycle/tutorial.html		Differential gene expression analysis, Expression profile clustering, Principal component visualisation	2023-01-25	2026-06-25	16	True	False	False	True	sort1, scanpy_cluster_reduce_dimension, tp_easyjoin_tool, anndata_inspect, scanpy_inspect, scanpy_plot, cat1, table_compute, addValue, scanpy_regress_variable, anndata_manipulate			0		2450	2865	3.15	0
