Link	Name	Source	Projects	Creators	Creation time	Update time	To keep	Deprecated
https://workflowhub.eu/workflows/677?version=2	lcms-preprocessing/main	WorkflowHub	Intergalactic Workflow Commission (IWC)	workflow4metabolomics	2025-05-29	2026-05-14	True	False
https://workflowhub.eu/workflows/680?version=2	gcms-metams/main	WorkflowHub	Intergalactic Workflow Commission (IWC)	workflow4metabolomics	2025-05-20	2026-05-14	True	False
https://workflowhub.eu/workflows/1597?version=1	End-to-end EI+ mass spectra prediction workflow using QCxMS	WorkflowHub	Galaxy Training Network		2025-06-02	2025-06-02	True	False
https://workflowhub.eu/workflows/1593?version=1	MSI Workflow: spatial distribution	WorkflowHub	Galaxy Training Network		2025-06-02	2025-06-02	True	False
https://workflowhub.eu/workflows/1591?version=1	Molecular formula assignment and recalibration with MFAssignR package.	WorkflowHub	Galaxy Training Network		2025-06-02	2025-06-02	True	False
https://workflowhub.eu/workflows/1587?version=1	MSI Finding Diff Analytes	WorkflowHub	Galaxy Training Network		2025-06-02	2025-06-02	True	False
https://workflowhub.eu/workflows/1584?version=1	Workflow Constructed From History 'imported: testpourGCC'	WorkflowHub	Galaxy Training Network		2025-06-02	2025-06-02	True	False
https://workflowhub.eu/workflows/1582?version=1	GC MS using XCMS	WorkflowHub	Galaxy Training Network		2025-06-02	2025-06-02	True	False
https://workflowhub.eu/workflows/897?version=3	End-to-end EI+ mass spectra prediction workflow using QCxMS	WorkflowHub	RECETOX SpecDatRI, ELIXIR Metabolomics	Zargham Ahmad, Helge Hecht, Wudmir Rojas	2025-04-28	2026-05-13	True	False
https://workflowhub.eu/workflows/888?version=2	Theoretical fragment substructure generation and in silico mass spectral library high-resolution upcycling workflow	WorkflowHub	RECETOX SpecDatRI, ELIXIR Metabolomics	Zargham Ahmad, Helge Hecht, Elliott J. Price	2024-06-06	2026-06-25	True	False
https://usegalaxy.cz/published/workflow?id=bc8f2b3ecdad343e	GC-MS data processing (with XCMS, RAMClustR, RIAssigner, and matchms) - full workflow	https://usegalaxy.cz			2026-04-20	2026-04-20	True	False
https://usegalaxy.cz/published/workflow?id=1082e5b455f8f814	Metabolomics: LC-MS data preprocessing with XCMS	https://usegalaxy.cz			2026-03-27	2026-03-27	True	False
https://usegalaxy.eu/published/workflow?id=6704b925935564aa	Metabolomics: LC-MS data preprocessing with XCMS 	https://usegalaxy.eu			2026-03-26	2026-03-26	True	False
https://usegalaxy.eu/published/workflow?id=3086366b744e8da9	GC-EI-HRMS Data Processing Workflow	https://usegalaxy.eu		RECETOX	2024-09-08	2026-03-04	True	False
https://usegalaxy.eu/published/workflow?id=5ede4dcba9bf9c66	Mass spectrometry: GCMS with metaMS (release v0.2)	https://usegalaxy.eu		workflow4metabolomics	2025-10-16	2025-10-17	True	False
https://usegalaxy.eu/published/workflow?id=a3bbc1284efcd20c	Mass spectrometry: LC-MS preprocessing with XCMS (release v1.1)	https://usegalaxy.eu		workflow4metabolomics	2025-10-16	2025-10-16	True	False
https://usegalaxy.eu/published/workflow?id=3358c516f5412e92	Annotating GC-MS data with matchms	https://usegalaxy.eu		RECEOTX, Helge Hecht	2024-08-07	2025-05-15	True	False
https://usegalaxy.eu/published/workflow?id=2179ba1c33f77f7e	Mass spectrometry: GCMS with metaMS (release v0.1)	https://usegalaxy.eu		workflow4metabolomics	2024-10-17	2025-04-25	True	False
https://usegalaxy.eu/published/workflow?id=4e9a2e12467bc02e	End-to-end EI+ mass spectra prediction workflow using QCxMS	https://usegalaxy.eu		RECETOX SpecDat	2024-08-05	2024-08-12	True	False
https://usegalaxy.eu/published/workflow?id=5465916d9b51f411	End-to-end spectra predictions: multi atoms dataset	https://usegalaxy.eu		RECETOX SpecDat	2024-05-17	2024-06-06	True	False
https://usegalaxy.fr/published/workflow?id=bcd348178335a19b	Workflow XCMS_CAMERA_msPurity	https://usegalaxy.fr		yguitton	2022-03-14	2026-06-25	True	False
https://usegalaxy.fr/published/workflow?id=32f903738292a67f	Workflow first steps in  'GCMS'	https://usegalaxy.fr		yguitton	2021-10-07	2025-05-27	True	False
https://usegalaxy.fr/published/workflow?id=192ff9aa79217899	Workflow GC-MS_ESR_10_Exp_1	https://usegalaxy.fr			2024-06-05	2024-08-03	True	False
https://usegalaxy.fr/published/workflow?id=1407c1703f360f07	GC_MS_workflow_using_xcms (imported from URL)	https://usegalaxy.fr		RECETOX	2023-03-22	2023-03-24	True	False
https://usegalaxy.fr/published/workflow?id=cca13353d553319e	short_msPurity_coffee	https://usegalaxy.fr		yguitton	2023-03-23	2023-03-23	True	False
https://usegalaxy.fr/published/workflow?id=06fa7dd6eea42350	Mass spectrometry: LC-MS analysis (3.4)	https://usegalaxy.fr			2020-01-09	2021-04-23	True	False
https://usegalaxy.fr/published/workflow?id=6babfa7409467035	Workflow_QExactive_DDA_processing_POS	https://usegalaxy.fr			2020-12-08	2021-04-06	True	False
https://usegalaxy.fr/published/workflow?id=2ee479308227a926	Electrospray Ionization and heterogeneous matrix effects in Liquid Chromatography-Mass Spectrometry-based meta-metabolomics: a biomarker or a suppressed ion? - W4M Workflow and Parameters	https://usegalaxy.fr			2020-09-16	2020-09-24	True	False
https://usegalaxy.org/published/workflow?id=650f3eb7647b4508	Mass spectrometry: LC-MS preprocessing with XCMS (release v1.1)	https://usegalaxy.org		workflow4metabolomics	2025-05-29	2025-05-29	True	False
https://usegalaxy.org/published/workflow?id=b38215b4ba7a9793	Mass spectrometry: GCMS with metaMS (release v0.2)	https://usegalaxy.org		workflow4metabolomics	2025-05-22	2025-05-26	True	False
https://usegalaxy.org/published/workflow?id=aeeaf3e06a13bc22	Mass spectrometry: LC-MS preprocessing with XCMS (release v1.0)	https://usegalaxy.org		workflow4metabolomics	2024-09-19	2025-04-25	True	False
https://usegalaxy.org/published/workflow?id=3edd2957ecd26d6c	Mass spectrometry: GCMS with metaMS (release v0.1)	https://usegalaxy.org		workflow4metabolomics	2024-10-31	2025-04-25	True	False
https://usegalaxy.org.au/published/workflow?id=3678781bf7619a89	MSI Finding Diff Analytes	https://usegalaxy.org.au			2021-03-19	2021-03-19	True	False
https://usegalaxy.org.au/published/workflow?id=fa0243ff9b5ca997	Workflow Constructed From History 'imported: testpourGCC'	https://usegalaxy.org.au			2021-03-19	2021-03-19	True	False
https://usegalaxy.org.au/published/workflow?id=80cf8be8c8bf384a	MSI Workflow: spatial distribution	https://usegalaxy.org.au			2021-03-19	2021-03-19	True	False
https://usegalaxy.org.au/published/workflow?id=f9e5caaf08a450ec	LCMS Pre-Processing	https://usegalaxy.org.au			2019-10-30	2019-10-30	True	False
https://usegalaxy.org.au/published/workflow?id=43109e341a5bd307	LCMS-Data_Processing	https://usegalaxy.org.au			2019-10-30	2019-10-30	True	False
