Suite ID	Tool IDs	Tool output formats	Description	Suite first commit date	Homepage	Suite version	Suite conda package	Latest suite conda package version	Suite version status	ToolShed categories	EDAM operations	EDAM reduced operations	EDAM topics	EDAM reduced topics	Suite owner	Suite source	Suite parsed folder	bio.tool ID	bio.tool name	bio.tool description	biii ID	Related Workflows	Related Tutorials	Number of tools on UseGalaxy.org (Main)	Number of tools on UseGalaxy.org.au	Number of tools on UseGalaxy.eu	Number of tools on UseGalaxy.fr	Number of tools on APOSTL	Number of tools on MBAC Metabiome Portal	Number of tools on ChemFlow	Number of tools on CIRM-CFBP	Number of tools on Coloc-stats	Number of tools on GalaxyTrakr	Number of tools on Galaxy@AuBi	Number of tools on HyPhy HIV NGS Tools	Number of tools on ImmPort Galaxy	Number of tools on GASLINI	Number of tools on Galaxy@Pasteur	Number of tools on InteractoMIX	Number of tools on IPK Galaxy Blast Suite	Number of tools on Mandoiu Lab	Number of tools on Lebanese University Galaxy	Number of tools on MISSISSIPPI	Number of tools on Palfinder	Number of tools on Oqtans	Number of tools on PepSimili	Number of tools on PhagePromotor	Number of tools on UseGalaxy.cz	Number of tools on UseGalaxy.be	Number of tools on Viral Variant Visualizer (VVV)	Number of tools on UseGalaxy.no	Suite users (last 5 years) (usegalaxy.eu)	Suite users (usegalaxy.eu)	Suite runs (last 5 years) (usegalaxy.eu)	Suite runs (usegalaxy.eu)	Suite users (last 5 years) (usegalaxy.org)	Suite users (usegalaxy.org)	Suite runs (last 5 years) (usegalaxy.org)	Suite runs (usegalaxy.org)	Suite users (last 5 years) (usegalaxy.org.au)	Suite users (usegalaxy.org.au)	Suite runs (last 5 years) (usegalaxy.org.au)	Suite runs (usegalaxy.org.au)	Suite users (last 5 years) (usegalaxy.fr)	Suite users (usegalaxy.fr)	Suite runs (last 5 years) (usegalaxy.fr)	Suite runs (usegalaxy.fr)	Suite runs on main servers	Suite runs (last 5 years) on main servers	Suite users on main servers	Suite users (last 5 years) on main servers	To keep	Deprecated
MFAssignR	mfassignr_findRecalSeries, mfassignr_histnoise, mfassignr_isofiltr, mfassignr_kmdnoise, mfassignr_mfassign, mfassignr_mfassignCHO, mfassignr_recal, mfassignr_recallist, mfassignr_snplot	tabular, txt, png	The MFAssignR package was designed for multi-element molecular formula (MF) assignment of ultrahigh resolution mass spectrometry measurements	2024-08-02	https://github.com/RECETOX/MFAssignR	1.1.2	r-mfassignr	1.1.2	Up-to-date	Metabolomics	Visualisation, Mass spectra calibration, Deisotoping, Annotation	Visualisation, Mass spectra calibration, Deisotoping, Annotation	Proteomics experiment, Workflows, Metabolomics	Proteomics experiment, Workflows, Metabolomics	recetox	https://github.com/RECETOX/galaxytools/tree/master/tools/mfassignr	https://github.com/RECETOX/galaxytools/tree/master/tools/mfassignr	mfassignr	MFAssignR	Molecular formula assignment software for ultrahigh resolution mass spectrometry analysis of environmental complex mixtures.Ultrahigh resolution mass spectrometry is widely used for nontargeted analysis of complex environmental and biological mixtures, such as dissolved organic matter, due to its unparalleled ability to provide accurate mass measurements.		https://workflowhub.eu/workflows/1351?version=1, https://workflowhub.eu/workflows/1591?version=1	metabolomics/mfassignr	9	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	8	0	0	5	5	80	80	2	2	13	13	0	0	0	0	0	0	0	0	93	93	7	7	True	False
QCxMS	qcxms_getres, qcxms_neutral_run, qcxms_production_run	msp, txt	QCxMS is a quantum chemical (QC) based program that enables users to calculate mass spectra (MS) using Born-Oppenheimer Molecular Dynamics (MD).	2023-08-24	https://github.com/grimme-lab/QCxMS	5.2.1			To update	Computational chemistry, Molecular Dynamics					recetox	https://github.com/RECETOX/galaxytools/tree/master/tools/qcxms	https://github.com/RECETOX/galaxytools/tree/master/tools/qcxms					https://usegalaxy.eu/published/workflow?id=4e9a2e12467bc02e, https://usegalaxy.eu/published/workflow?id=5465916d9b51f411, https://workflowhub.eu/workflows/1350?version=3, https://workflowhub.eu/workflows/1597?version=1, https://workflowhub.eu/workflows/897?version=3	metabolomics/qcxms-predictions	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	12	12	45445	45445	2	2	155	155	2	2	780	780	0	0	0	0	46380	46380	16	16	True	False
bioconductor-msnbase	bioconductor_msnbase_centroid, bioconductor_msnbase_smooth_chromatogram, bioconductor_msnbase_smooth_mz	mzml	MSnbase provides infrastructure for manipulation, processing and visualisation of mass spectrometry and proteomics data, ranging from raw to quantitative and annotated data. 	2025-01-22	https://bioconductor.org/packages/release/bioc/html/MSnbase.html	2.32.0	bioconductor-msnbase	2.36.0	To update	Metabolomics, Proteomics	Data handling, Visualisation	Data handling, Visualisation	Proteomics, Proteomics experiment, Data management, Data visualisation	Proteomics, Proteomics experiment, Data visualisation	recetox	https://github.com/RECETOX/galaxytools/tree/master/tools/bioconductor-msnbase	https://github.com/RECETOX/galaxytools/tree/master/tools/bioconductor-msnbase	msnbase	MSnbase	Basic plotting, data manipulation and processing of MS-based Proteomics data.				0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	True	False
bioconductor_mzr	bioconductor_mzr_convert	mzml	Galaxy wrapper for the Bioconductor mzR package, enabling conversion between common mass spectrometry data formats (mzML, mzXML, netCDF) within Galaxy workflows.	2025-06-19	https://bioconductor.org/packages/mzR	@TOOL_VERSION@+galaxy@VERSION_SUFFIX@	bioconductor-mzr	2.44.0	To update	Proteomics, Metabolomics	Formatting	Formatting	Proteomics, Proteomics experiment, Data management	Proteomics, Proteomics experiment	recetox	https://github.com/RECETOX/galaxytools/tree/main/tools/bioconductor-mzR	https://github.com/RECETOX/galaxytools/tree/master/tools/bioconductor-mzR	mzr	mzR	Provides a unified API to the common file formats and parsers available for mass spectrometry data. It comes with a wrapper for the ISB random access parser for mass spectrometry mzXML, mzData and mzML files. The package contains the original code written by the ISB, and a subset of the proteowizard library for mzML and mzIdentML. The netCDF reading code has previously been used in XCMS.				0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	True	False
camera	abims_CAMERA_annotateDiffreport, abims_CAMERA_combinexsAnnos, CAMERA_findAdducts, CAMERA_findIsotopes, CAMERA_groupCorr, CAMERA_groupFWHM	tabular, rdata.camera.quick, zip, rdata		2023-05-25		1.48.0	r-snow	0.4_1	To update	Metabolomics					workflow4metabolomics		https://github.com/workflow4metabolomics/tools-metabolomics/tree/master/tools/camera					https://usegalaxy.cz/published/workflow?id=1082e5b455f8f814, https://usegalaxy.eu/published/workflow?id=6704b925935564aa, https://usegalaxy.eu/published/workflow?id=a3bbc1284efcd20c, https://usegalaxy.fr/published/workflow?id=06fa7dd6eea42350, https://usegalaxy.fr/published/workflow?id=15275ba7c23028ed, https://usegalaxy.fr/published/workflow?id=180744a2f8dca6eb, https://usegalaxy.fr/published/workflow?id=19e99a5c09c01bb7, https://usegalaxy.fr/published/workflow?id=1be1badc5e3bda9a, https://usegalaxy.fr/published/workflow?id=26a3e5741d66982a, https://usegalaxy.fr/published/workflow?id=26bdb32c017d798c, https://usegalaxy.fr/published/workflow?id=2ee479308227a926, https://usegalaxy.fr/published/workflow?id=3c41c4c5a6332c25, https://usegalaxy.fr/published/workflow?id=57748aa2cecf0405, https://usegalaxy.fr/published/workflow?id=5964606a3836cbdf, https://usegalaxy.fr/published/workflow?id=5a4b64e471571fee, https://usegalaxy.fr/published/workflow?id=5ec8a143f82a8c90, https://usegalaxy.fr/published/workflow?id=6895bf9cff915ba1, https://usegalaxy.fr/published/workflow?id=7a790b0acf8ba14d, https://usegalaxy.fr/published/workflow?id=7cc77d6cdd8de027, https://usegalaxy.fr/published/workflow?id=98bb6a831a2b399d, https://usegalaxy.fr/published/workflow?id=9c1665eeeaacaa5c, https://usegalaxy.fr/published/workflow?id=b6311795ae10032b, https://usegalaxy.fr/published/workflow?id=bb69fa998b900cb8, https://usegalaxy.fr/published/workflow?id=bcd348178335a19b, https://usegalaxy.fr/published/workflow?id=dc17a87057dec748, https://usegalaxy.fr/published/workflow?id=e6a55d00f1364794, https://usegalaxy.fr/published/workflow?id=e6f26a543c3e044a, https://usegalaxy.fr/published/workflow?id=f49e102f63d3e2bb, https://usegalaxy.org.au/published/workflow?id=f9e5caaf08a450ec, https://usegalaxy.org.au/published/workflow?id=fa0243ff9b5ca997, https://usegalaxy.org/published/workflow?id=650f3eb7647b4508, https://usegalaxy.org/published/workflow?id=aeeaf3e06a13bc22, https://workflowhub.eu/workflows/1584?version=1, https://workflowhub.eu/workflows/677?version=2	metabolomics/lcms, metabolomics/lcms-preprocessing	1	2	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	159	178	551	882	48	48	105	105	28	33	730	938	846	885	15960	16852	18777	17346	1144	1081	True	False
chatgpt_openai_api	chatgpt_openai_api	markdown	Using the OpenAI GPT models to generate text based on user input.	2024-08-12	https://github.com/bgruening/galaxytools/tree/master/tools/chatgpt	@TOOL_VERSION@+galaxy@VERSION_SUFFIX@	python		To update	Machine Learning					bgruening	https://github.com/bgruening/galaxytools/tree/master/tools/chatgpt	https://github.com/bgruening/galaxytools/tree/master/tools/chatgpt					https://usegalaxy.eu/published/workflow?id=a2284469005518e1		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	59	612	612	0	0	0	0	0	0	0	0	0	0	0	0	612	612	59	59	True	False
correlation_analysis	correlation_analysis	tabular	[Metabolomics][W4M] Metabolites Correlation Analysis	2020-12-08	http://workflow4metabolomics.org	1.0.1	r-batch	1.1_4	To update	Metabolomics					workflow4metabolomics	https://github.com/workflow4metabolomics/tools-metabolomics/blob/master/tools/correlation_analysis/	https://github.com/workflow4metabolomics/tools-metabolomics/tree/master/tools/correlation_analysis							0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	57	241	241	241	241	57	57	True	False
dimet	dimet_@EXECUTABLE@, dimet_@EXECUTABLE@, dimet_@EXECUTABLE@, dimet_@EXECUTABLE@, dimet_@EXECUTABLE@, dimet_@EXECUTABLE@, dimet_@EXECUTABLE@, dimet_@EXECUTABLE@, dimet_@EXECUTABLE@, dimet_@EXECUTABLE@		DIMet is a bioinformatics pipeline for differential analysis of isotopic targeted labeling data.	2023-07-19	https://github.com/cbib/DIMet	0.2.4	dimet	0.2.4	Up-to-date	Metabolomics					iuc	https://github.com/galaxyproject/tools-iuc/tree/main/tools/dimet	https://github.com/galaxyproject/tools-iuc/tree/master/tools/dimet							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	True	False
intensity_checks	intens_check	tabular, pdf	Statistical measures, number of missing values and mean fold change for metabolomics data.	2025-05-14	https://workflow4metabolomics.org/	@TOOL_VERSION@	r-base		To update	Metabolomics					melpetera	https://github.com/workflow4metabolomics/tools-metabolomics	https://github.com/workflow4metabolomics/tools-metabolomics/tree/master/tools/intensity_check					https://usegalaxy.eu/published/workflow?id=3e2718f1ba1a22be, https://usegalaxy.eu/published/workflow?id=a3bbc1284efcd20c, https://usegalaxy.fr/published/workflow?id=15275ba7c23028ed, https://usegalaxy.fr/published/workflow?id=180744a2f8dca6eb, https://usegalaxy.fr/published/workflow?id=18b2f77f2915adc7, https://usegalaxy.fr/published/workflow?id=26a3e5741d66982a, https://usegalaxy.fr/published/workflow?id=26bdb32c017d798c, https://usegalaxy.fr/published/workflow?id=3c41c4c5a6332c25, https://usegalaxy.fr/published/workflow?id=49e59327f299e9f7, https://usegalaxy.fr/published/workflow?id=57748aa2cecf0405, https://usegalaxy.fr/published/workflow?id=5964606a3836cbdf, https://usegalaxy.fr/published/workflow?id=5bfbe77fd6b37c45, https://usegalaxy.fr/published/workflow?id=6895bf9cff915ba1, https://usegalaxy.fr/published/workflow?id=7a790b0acf8ba14d, https://usegalaxy.fr/published/workflow?id=7cc77d6cdd8de027, https://usegalaxy.fr/published/workflow?id=7e9dcb13f95f9567, https://usegalaxy.fr/published/workflow?id=bb69fa998b900cb8, https://usegalaxy.fr/published/workflow?id=dc17a87057dec748, https://usegalaxy.fr/published/workflow?id=e3d00bdef9addd7c, https://usegalaxy.fr/published/workflow?id=e6f26a543c3e044a, https://usegalaxy.fr/published/workflow?id=f49e102f63d3e2bb, https://usegalaxy.org/published/workflow?id=650f3eb7647b4508, https://usegalaxy.org/published/workflow?id=aeeaf3e06a13bc22, https://workflowhub.eu/workflows/677?version=2	metabolomics/lcms-dataprocessing, metabolomics/lcms-preprocessing	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	43	46	229	233	22	22	76	76	0	0	0	0	372	376	8696	8857	9166	9001	444	437	True	False
llm_hub	llm_hub	markdown	LiteLLM - Call all LLM APIs using the OpenAI format.	2025-08-20	https://github.com/bgruening/galaxytools/tree/master/tools/llm_hub	2.41.1	python		To update	Machine Learning					bgruening	https://github.com/bgruening/galaxytools/tree/master/tools/llm_hub	https://github.com/bgruening/galaxytools/tree/master/tools/llm_hub					https://usegalaxy.cz/published/workflow?id=ff5044efdb2c4f18, https://usegalaxy.eu/published/workflow?id=5186e2fce80c518d, https://usegalaxy.eu/published/workflow?id=7a53f480dc002b40, https://usegalaxy.eu/published/workflow?id=87546e050916dd0e, https://usegalaxy.eu/published/workflow?id=cd5bae8c9bed36e2		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	8	8	37	37	0	0	0	0	0	0	0	0	0	0	0	0	37	37	8	8	True	False
