Suite ID	bio.tool name	EDAM operations	EDAM topics
MFAssignR	MFAssignR	Visualisation, Mass spectra calibration, Deisotoping, Annotation	Proteomics experiment, Workflows, Metabolomics
bioconductor-msnbase	MSnbase	Data handling, Visualisation	Proteomics, Proteomics experiment, Data management, Data visualisation
bioconductor_mzr	mzR	Formatting	Proteomics, Proteomics experiment, Data management
msmetaenhancer	MSMetaEnhancer	Annotation, Standardisation and normalisation	Metabolomics, Compound libraries and screening, Data submission, annotation and curation
mzspeclib	mzspeclib	Conversion, Format validation	Proteomics, Metabolomics
mztabm	jmztab-m		Ontology and terminology, Metabolomics
ramclustr	RAMClustR	Imputation, Standardisation and normalisation, Clustering, Correlation	Metabolomics
recetox-msfinder	recetox-msfinder	Annotation	Metabolomics
riassigner	RIAssigner	Standardisation and normalisation	Metabolomics, Compound libraries and screening, Data submission, annotation and curation
waveica	WaveICA	Standardisation and normalisation	Metabolomics
xcms	xcms	Mass spectrum visualisation, Chromatographic alignment, Label-free quantification, Validation, Data filtering, Peak detection, Chromatogram visualisation	Data visualisation, Metabolomics
