Topic	Title	Link	EDAM topic	EDAM operation	Creation	Last modification	Version	Tutorial	Slides	Video	Workflows	Tools	Servers with precise tool versions	Servers with tool but different versions	Feedback number	Feedback mean note	Visitors	Page views	Visit duration	Video views
Computational chemistry	Data management in Medicinal Chemistry	https://training.galaxyproject.org//topics/computational-chemistry/tutorials/med-chem-data/tutorial.html			2024-01-08	2024-09-13	4	True	False	True	True	openbabel_svg_depiction, ctb_silicos_qed, ctb_im_rxn_maker, chembl, openbabel_compound_convert, get_pdb, md_converter	UseGalaxy.org.au, UseGalaxy.cz, UseGalaxy.eu, UseGalaxy.org (Main)	UseGalaxy.be, UseGalaxy.no	0		673	789	13.283333333333333	0
Computational chemistry	Protein-ligand docking	https://training.galaxyproject.org//topics/computational-chemistry/tutorials/cheminformatics/tutorial.html			2019-10-19	2026-07-23	18	True	False	False	True	ctb_chemfp_butina_clustering, fpocket, collapse_dataset, ctb_chemfp_mol2fps, ctb_obgrep, tp_cat, sdf_to_tab, get_pdb, openbabel_compound_convert, ctb_remIons, ctb_filter, openbabel_svg_depiction, ctb_compound_convert, docking, ctb_np-likeness-calculator, tp_grep_tool, ctb_change_title, ctb_remDuplicates, ctb_online_data_fetch, chembl, prepare_receptor, prepare_box, ctb_chemfp_nxn_clustering, tp_find_and_replace		UseGalaxy.org (Main)	0		21511	35936	3.25	0
Contributing to the Galaxy Training Material	FAIR Galaxy Training Material	https://training.galaxyproject.org//topics/contributing/tutorials/fair-gtn/tutorial.html			2026-08-16	2026-08-16	0	True	False	False	False				0		2	2	0.0	0
Using Galaxy and Managing your Data	Automating Galaxy workflows using the command line	https://training.galaxyproject.org//topics/galaxy-interface/tutorials/workflow-automation/tutorial.html		Sequence contamination filtering, Visualisation, Validation, Tree-based sequence alignment, Read mapping, Sequencing quality control, Variant classification	2021-06-08	2025-12-18	11	True	False	True	True	fastp, pangolin, falco, bcftools_consensus, collapse_dataset, compose_text_param, snpSift_filter, multiqc	UseGalaxy.org.au, UseGalaxy.be, UseGalaxy.eu, UseGalaxy.org (Main)	GalaxyTrakr, UseGalaxy.cz, UseGalaxy.fr	0		3303	4099	9.15	0
Foundations of Data Science	Data Manipulation Olympics	https://training.galaxyproject.org//topics/data-science/tutorials/data-manipulation-olympics/tutorial.html			2026-08-16	2026-08-16	0	True	False	False	True	{{version_split}}, {{version_cut_columns}}, Cut1, Grouping1, {{version_count}}, {{version_paste}}, tp_cat, tp_sorted_uniq, tabular_to_csv, Count1, {{version_compute}}, {{version_remove_columns_by_header}}, {{version_replace_text_line}}, join1, Filter1, {{version_remove_beginning}}, cat1, datamash_ops, Add_a_column1, tp_split_on_column, {{version_cat}}, {{version_datamash}}, {{version_replace_text_column}}, {{version_join}}, {{version_sort}}, {{version_wc}}, upload1, {{version_filter}}, tp_sort_header_tool, {{version_select_first}}, wc_gnu, regexColumn1, Remove beginning1, {{version_unique}}, Show beginning1, {{version_cut_advanced}}			0		1	1	0.0	0
FAIR Data, Workflows, and Research	Making clinical datasets FAIR	https://training.galaxyproject.org//topics/fair/tutorials/fair-clinical/tutorial.html			2023-10-24	2024-09-13	5	True	False	True	False			UseGalaxy.eu, UseGalaxy.org, UseGalaxy.org.au, UseGalaxy.fr, UseGalaxy.ca	0		459	572	14.1	0
FAIR Data, Workflows, and Research	FAIR in a nutshell	https://training.galaxyproject.org//topics/fair/tutorials/fair-intro/tutorial.html			2023-05-30	2024-04-30	6	True	False	False	False			UseGalaxy.eu, UseGalaxy.org, UseGalaxy.org.au, UseGalaxy.fr, UseGalaxy.ca	0		1135	1419	10.116666666666667	0
FAIR Data, Workflows, and Research	FAIR and its Origins	https://training.galaxyproject.org//topics/fair/tutorials/fair-origin/tutorial.html			2024-03-26	2024-03-27	2	True	False	False	False			UseGalaxy.eu, UseGalaxy.org, UseGalaxy.org.au, UseGalaxy.fr, UseGalaxy.ca	0		258	284	7.966666666666667	0
FAIR Data, Workflows, and Research	Introduction to Data Management Plan (DMP) for Peatland Research and PeatDataHub	https://training.galaxyproject.org//topics/fair/tutorials/data-management-peatlands/tutorial.html			2024-09-13	2024-09-13	1	True	False	True	False			UseGalaxy.eu, UseGalaxy.org, UseGalaxy.org.au, UseGalaxy.fr, UseGalaxy.ca	0		169	203	7.333333333333333	0
FAIR Data, Workflows, and Research	DataPLANT ARCs	https://training.galaxyproject.org//topics/fair/tutorials/dataplant-arcs/tutorial.html			2024-10-22	2025-09-17	4	True	True	True	False			UseGalaxy.eu, UseGalaxy.org, UseGalaxy.org.au, UseGalaxy.fr, UseGalaxy.ca	0		2011393	3679660	13.916666666666666	0
FAIR Data, Workflows, and Research	FAIR data management solutions	https://training.galaxyproject.org//topics/fair/tutorials/data-management/tutorial.html			2023-05-30	2025-01-16	5	True	False	False	False			UseGalaxy.eu, UseGalaxy.org, UseGalaxy.org.au, UseGalaxy.fr, UseGalaxy.ca	0		501	595	14.15	0
FAIR Data, Workflows, and Research	Metadata	https://training.galaxyproject.org//topics/fair/tutorials/fair-metadata/tutorial.html			2024-03-26	2024-03-27	2	True	False	False	False			UseGalaxy.eu, UseGalaxy.org, UseGalaxy.org.au, UseGalaxy.fr, UseGalaxy.ca	0		342	391	11.2	0
FAIR Data, Workflows, and Research	Exporting Workflow Run RO-Crates from Galaxy	https://training.galaxyproject.org//topics/fair/tutorials/ro-crate-in-galaxy/tutorial.html			2023-05-11	2024-08-26	8	True	False	False	False			UseGalaxy.eu, UseGalaxy.org, UseGalaxy.org.au, UseGalaxy.fr, UseGalaxy.ca	0		402	477	14.083333333333334	0
FAIR Data, Workflows, and Research	FAIR Galaxy Training Material	https://training.galaxyproject.org//topics/fair/tutorials/fair-gtn/tutorial.html			2023-05-30	2024-03-27	5	True	False	False	False			UseGalaxy.eu, UseGalaxy.org, UseGalaxy.org.au, UseGalaxy.fr, UseGalaxy.ca	0		242	280	21.033333333333335	0
FAIR Data, Workflows, and Research	Data Registration	https://training.galaxyproject.org//topics/fair/tutorials/fair-data-registration/tutorial.html			2024-03-26	2024-09-27	3	True	False	False	False			UseGalaxy.eu, UseGalaxy.org, UseGalaxy.org.au, UseGalaxy.fr, UseGalaxy.ca	0		166	174	8.4	0
FAIR Data, Workflows, and Research	Access	https://training.galaxyproject.org//topics/fair/tutorials/fair-access/tutorial.html			2024-03-26	2024-03-27	2	True	False	False	False			UseGalaxy.eu, UseGalaxy.org, UseGalaxy.org.au, UseGalaxy.fr, UseGalaxy.ca	0		182	194	21.866666666666667	0
FAIR Data, Workflows, and Research	Persistent Identifiers	https://training.galaxyproject.org//topics/fair/tutorials/fair-persistent-identifiers/tutorial.html			2024-03-26	2024-03-27	2	True	False	False	False			UseGalaxy.eu, UseGalaxy.org, UseGalaxy.org.au, UseGalaxy.fr, UseGalaxy.ca	0		395	467	8.833333333333334	0
FAIR Data, Workflows, and Research	FAIRification of an RNAseq dataset	https://training.galaxyproject.org//topics/fair/tutorials/fair-rna/tutorial.html			2024-03-27	2026-05-28	2	True	False	False	False			UseGalaxy.eu, UseGalaxy.org, UseGalaxy.org.au, UseGalaxy.fr, UseGalaxy.ca	0		409	491	12.2	0
