Galaxy wrapper id,Description,bio.tool id,bio.tool name,bio.tool description,EDAM operation,EDAM topic,Status,Source,ToolShed categories,ToolShed id,Galaxy wrapper owner,Galaxy wrapper source,Galaxy wrapper version,Conda id,Conda version
abricate,Mass screening of contigs for antiobiotic resistance genes,,,,,,Up-to-date,https://github.com/tseemann/abricate,Sequence Analysis,abricate,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/abricate/,#REF!,abricate,#REF!
aldex2,Performs analysis Of differential abundance taking sample variation into account,,,,,,Up-to-date,https://github.com/ggloor/ALDEx_bioc,Metagenomics,aldex2,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/aldex2,,bioconductor-aldex2,
amplican,AmpliCan is an analysis tool for genome editing.,amplican,amplican,"It performs alignment of the amplicon reads, normalizes gathered data, calculates multiple statistics (e.g. cut rates, frameshifts) and presents results in form of aggregated reports. Data and statistics can be broken down by experiments, barcodes, user defined groups, guides and amplicons allowing for quick identification of potential problems.",,"PCR experiment, Statistics and probability",To update,https://github.com/valenlab/amplican,Sequence Analysis,amplican,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/amplican,,bioconductor-amplican,
ancombc,Performs analysis of compositions of microbiomes with bias correction.,,,,,,Up-to-date,https://github.com/FrederickHuangLin/ANCOMBC,Metagenomics,ancombc,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/ancombc,,bioconductor-ancombc,
antismash,"Antismash allows the genome-wide identification, annotation and analysis of secondary metabolite biosynthesis gene clusters",antismash,antiSMASH,"Rapid genome-wide identification, annotation and analysis of secondary metabolite biosynthesis gene clusters in bacterial and fungal genomes. It integrates and cross-links with a large number of in silico secondary metabolite analysis tools that have been published earlier.",,"Molecular interactions, pathways and networks, Gene and protein families",Up-to-date,https://antismash.secondarymetabolites.org,Sequence Analysis,antismash,bgruening,https://github.com/galaxyproject/tools-iuc/tree/master/tools/antismash,,antismash,
artic,"The artic pipeline is designed to help run the artic bioinformatics protocols;for example the nCoV-2019 novel coronavirus protocol.Features include: read filtering, primer trimming, amplicon coverage normalisation,variant calling and consensus building",artic,ARTIC,A bioinformatics pipeline for working with virus sequencing data sequenced with nanopore,,Genomics,To update,https://github.com/artic-network/fieldbioinformatics,Sequence Analysis,,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/artic,,artic,
augustus,AUGUSTUS is a program that predicts genes in eukaryotic genomic sequences.,augustus,AUGUSTUS,"AUGUSTUS is a eukaryotic gene prediction tool. It can integrate evidence, e.g. from RNA-Seq, ESTs, proteomics, but can also predict genes ab initio. The PPX extension to AUGUSTUS can take a protein sequence multiple sequence alignment as input to find new members of the family in a genome. It can be run through a web interface (see https://bio.tools/webaugustus), or downloaded and run locally.",,"Gene transcripts, Gene and protein families",To update,http://bioinf.uni-greifswald.de/augustus/,Sequence Analysis,augustus,bgruening,https://github.com/galaxyproject/tools-iuc/tree/master/tools/augustus,,augustus,
bakta,"""Bakta is a tool for the rapid & standardized annotation of bacterial genomes and plasmids from both isolates and MAGs.It provides dbxref-rich and sORF-including annotations in machine-readable JSON & bioinformatics standard file formats for automatic downstream analysis.""",,,,,,To update,https://github.com/oschwengers/bakta,Sequence Analysis,bakta,iuc,https://github.com/mesocentre-clermont-auvergne/galaxy-tools/tree/master/tools/bakta,1.6.1,bakta,1.7.0
bandage,Bandage - A Bioinformatics Application for Navigating De novo Assembly Graphs Easily,bandage,Bandage,"GUI program that allows users to interact with the assembly graphs made by de novo assemblers such as Velvet, SPAdes, MEGAHIT and others. It visualises assembly graphs, with connections, using graph layout algorithms.",,"Genomics, Sequence assembly",Up-to-date,https://github.com/rrwick/Bandage,Visualization,bandage,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/bandage,,bandage,
Detecting natural selection from population-based genetic data,,bayescan,BayeScan,"BAYEsian genome SCAN for outliers, aims at identifying candidate loci under natural selection from genetic data, using differences in allele frequencies between populations. It is based on the multinomial-Dirichlet model.",,"Genetics, Evolutionary biology, Statistics and probability, DNA polymorphism",To update,http://cmpg.unibe.ch/software/BayeScan/index.html,Sequence Analysis,bayescan,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/bayescan/,,bayescan,
binning_refiner,"Reconciles the outputs of different binning programs with the aim to improve the quality of genome bins,especially with respect to contamination levels.",,,,,,Up-to-date,https://github.com/songweizhi/Binning_refiner,Metagenomics,binning_refiner,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/binning_refiner/,,binning_refiner,
biohansel,Heidelberg and Enteritidis SNP Elucidation,,,,,,To update,https://github.com/phac-nml/biohansel,Sequence Analysis,biohansel,nml,https://github.com/phac-nml/biohansel,,bio_hansel,
biom_format,The biom-format package provides a command line interface and Python API for working with BIOM files.,,,,,,To update,https://github.com/biocore/biom-format,Metagenomics,,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/biom_format,,biom-format,
bracken,Bayesian Reestimation of Abundance with KrakEN,,,,,,To update,https://ccb.jhu.edu/software/bracken/,"Sequence Analysis, Metagenomics",bracken,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/bracken,,bracken,
busco,BUSCO assess genome and annotation completeness,busco,BUSCO,"Provides measures for quantitative assessment of genome assembly, gene set, and transcriptome completeness based on evolutionarily informed expectations of gene content from near-universal single-copy orthologs.",,"Sequence assembly, Genomics, Transcriptomics, Sequence analysis",To update,http://busco.ezlab.org/,Sequence Analysis,busco,iuc,,,busco,
