Topic	Title	Link	EDAM topic	EDAM operation	Creation	Last modification	Version	Tutorial	Slides	Video	Workflows	Tools	Servers with precise tool versions	Servers with tool but different versions	Feedback number	Feedback mean note	Visitors	Page views	Visit duration	Video views
Assembly	Genome Assembly of MRSA from Oxford Nanopore MinION data (and optionally Illumina data)	https://training.galaxyproject.org//topics/assembly/tutorials/mrsa-nanopore/tutorial.html	Sequence assembly, Whole genome sequencing, Public health and epidemiology, Genomics, Microbiology, Antimicrobial Resistance	Sequence assembly visualisation, Sequence composition calculation, Sequence alignment, Read mapping, Visualisation, Box-Whisker plot plotting, De-novo assembly, Statistical calculation, Sequencing error detection, Scatter plot plotting, Cross-assembly, Sequence assembly validation, Mapping assembly, Filtering, Sequence contamination filtering, Sequencing quality control, Genome assembly	2021-03-24	2024-03-13	14	True	False	False	True	porechop, CONVERTER_bz2_to_uncompressed, fastp, bandage_image, bwa_mem2, filtlong, upload1, nanoplot, quast, fastqc, polypolish, flye	UseGalaxy.eu	UseGalaxy.cz	0		6736	10407	3.433333333333333	0
Assembly	Assembly of metagenomic sequencing data	https://training.galaxyproject.org//topics/assembly/tutorials/metagenomics-assembly/tutorial.html	Metagenomics, Sequence assembly	Sequence assembly visualisation, Sequence composition calculation, Data handling, Read mapping, Read pre-processing, Visualisation, Sequence trimming, Local alignment, Sequence alignment analysis, Formatting, Statistical calculation, Variant calling, Sequence assembly validation, Sequence contamination filtering, Sequence file editing, Sequencing quality control, Primer removal, Genome assembly	2024-08-04	2024-08-04	0	True	False	False	True	megahit, collection_column_join, random_lines1, coverm_contig, ngsutils_bam_filter, bamtools, metaspades, bandage_info, bowtie2, tp_cat, bandage_image, cutadapt, filter_tabular, fastqc, quast, seqtk_subseq, bg_uniq, megahit_contig2fastg		UseGalaxy.cz, UseGalaxy.eu	0		0	0	0.0	681
Assembly	Making sense of a newly assembled genome	https://training.galaxyproject.org//topics/assembly/tutorials/ecoli_comparison/tutorial.html	Sequence assembly, Genomics, Microbiology	Genome visualisation, Mapping, Read mapping, Sequence visualisation, Sequence alignment	2018-06-14	2024-06-24	29	True	False	False	True	tp_sort_header_tool, tp_grep_tool, circos_aln_to_links, lastz_wrapper_2, tp_replace_in_line, collapse_dataset, random_lines1, tp_sed_tool, upload1, fasta_filter_by_length, Cut1, jbrowse, bedtools_intersectbed, addValue, join1, tp_replace_in_column, datamash_ops, fasta_compute_length, Filter1, tp_cat, bedtools_complementbed, mergeCols1, bedtools_sortbed, cat1, circos_interval_to_tiles, circos, Grep1			0		5917	12039	3.0166666666666666	0
Assembly	Genome Assembly of a bacterial genome (MRSA) sequenced using Illumina MiSeq Data	https://training.galaxyproject.org//topics/assembly/tutorials/mrsa-illumina/tutorial.html	Sequence assembly, Whole genome sequencing, Public health and epidemiology, Genomics, Microbiology	Sequence contamination filtering, Sequence assembly visualisation, Sequence composition calculation, Sequencing quality control, Sequence assembly validation, Visualisation, Statistical calculation, Genome assembly	2021-03-24	2024-03-13	14	True	False	False	True	fastp, bandage_info, bandage_image, upload1, quast, fastqc, shovill	UseGalaxy.cz, UseGalaxy.eu, UseGalaxy.fr, UseGalaxy.org (Main)	Galaxy@AuBi, GalaxyTrakr, UseGalaxy.no	0		6370	10281	3.7333333333333334	0
Assembly	Unicycler Assembly	https://training.galaxyproject.org//topics/assembly/tutorials/unicycler-assembly/tutorial.html	Sequence assembly, Genomics, Microbiology	Sequence composition calculation, Aggregation, Genome annotation, Sequence assembly validation, Visualisation, Gene prediction, Validation, Sequencing quality control, Coding region prediction, Statistical calculation, Genome assembly	2017-10-11	2024-03-13	23	True	True	False	True	multiqc, prokka, unicycler, quast, fastqc	UseGalaxy.eu, UseGalaxy.org (Main), UseGalaxy.org.au	GalaxyTrakr, HyPhy HIV NGS Tools, MISSISSIPPI, UseGalaxy.cz, UseGalaxy.fr, UseGalaxy.no	0		2056636	5704630	4.55	0
Ecology	Checking expected species and contamination in bacterial isolate	https://training.galaxyproject.org//topics/ecology/tutorials/bacterial-isolate-species-contamination-checking/tutorial.html	Whole genome sequencing, Genomics, Microbiology, Microbial ecology	Cross-assembly, Expression analysis, Taxonomic classification, Statistical calculation	2024-03-04	2024-06-27	4	True	False	False	True	upload1, recentrifuge, est_abundance, kraken2	UseGalaxy.eu, UseGalaxy.fr	Galaxy@AuBi, GalaxyTrakr, UseGalaxy.cz, UseGalaxy.org (Main)	0		218	290	4.166666666666667	0
Evolution	Identifying tuberculosis transmission links: from SNPs to transmission clusters	https://training.galaxyproject.org//topics/evolution/tutorials/mtb_transmission/tutorial.html	Genomics, Microbiology, Infectious disease, DNA polymorphism	Antimicrobial resistance prediction, Variant calling, Phylogenetic tree generation, Phylogenetic tree visualisation	2022-03-16	2024-07-12	12	True	False	False	True	collapse_dataset, __MERGE_COLLECTION__, samtools_view, snp_sites, tp_sed_tool, addName, tp_easyjoin_tool, tp_cat, bcftools_consensus, tb_variant_filter, snippy, trimmomatic, tp_grep_tool, upload1, tp_replace_in_line, snp_dists, Grep1, tb_profiler_profile	UseGalaxy.eu	UseGalaxy.cz, UseGalaxy.no, UseGalaxy.org (Main)	0		1506	2380	3.183333333333333	0
Evolution	Tree thinking for tuberculosis evolution and epidemiology	https://training.galaxyproject.org//topics/evolution/tutorials/mtb_phylogeny/tutorial.html	Genomics, Microbiology, Phylogeny, Infectious disease	Phylogenetic tree analysis, Sequence analysis	2022-03-16	2024-03-12	11	True	False	False	True	upload1, raxml, interactive_tool_rstudio	UseGalaxy.eu	UseGalaxy.fr, UseGalaxy.org (Main)	0		1289	1962	2.1666666666666665	0
Genome Annotation	Genome annotation with Prokka	https://training.galaxyproject.org//topics/genome-annotation/tutorials/annotation-with-prokka/tutorial.html	Genomics, Microbiology, Gene and protein families, Sequence analysis	Genome annotation, Genome visualisation, Gene prediction, Coding region prediction	2018-03-06	2024-06-14	24	True	True	True	True	prokka, jbrowse	UseGalaxy.eu, UseGalaxy.org (Main)	Galaxy@AuBi, GalaxyTrakr, MISSISSIPPI, UseGalaxy.cz, UseGalaxy.fr, UseGalaxy.no, UseGalaxy.org.au	0		2061200	5712474	4.333333333333333	832
Genome Annotation	Refining Genome Annotations with Apollo (prokaryotes)	https://training.galaxyproject.org//topics/genome-annotation/tutorials/apollo/tutorial.html	Genomics, Microbiology, Gene and protein families, Sequence analysis	Genome visualisation	2021-06-04	2024-06-14	20	True	True	True	True	list_organism, iframe, jbrowse, create_or_update, create_account		UseGalaxy.cz, UseGalaxy.eu, UseGalaxy.no	0		1818758	4907323	4.966666666666667	640
