,Galaxy wrapper id,count,Description
0,prokka,3233,Rapid annotation of prokaryotic genomes
1,kraken2,2367,Kraken is a taxonomic classification system using exact k-mer matches to achieve high accuracy and fast classification speeds. This classifier matches each k-mer within a query sequence to the lowest common ancestor (LCA) of all genomes containing the given k-mer. The k-mer assignments inform the classification algorithm.
2,spades,2309,"SPAdes is an assembly toolkit containing various assembly pipelines. It implements the following 4 stages: assembly graph construction, k-bimer adjustment, construction of paired assembly graph and contig construction."
3,jbrowse,2269,JBrowse Genome Browser integrated as a Galaxy Tool
4,nanoplot,2195,Plotting tool for long read sequencing data and alignments
5,busco,1804,BUSCO assess genome and annotation completeness
6,fastqe,1266,FASTQE
7,abricate,1257,Mass screening of contigs for antiobiotic resistance genes
8,goseq,1210,goseq does selection-unbiased testing for category enrichment amongst differentially expressed (DE) genes for RNA-seq data
9,snippy,1035,Contains the snippy tool for characterising microbial snps
10,salmon,746,"Salmon is a wicked-fast program to produce a highly-accurate, transcript-level quantification estimates from RNA-seq and single-cell data."
11,iqtree,681,Efficient phylogenomic software by maximum likelihood
12,interproscan,677,Interproscan queries the interpro database and provides annotations.
13,roary,656,Roary the pangenome pipeline
14,clustalw,651,ClustalW multiple sequence alignment program for DNA or proteins
15,filtlong,617,Filtlong - Filtering long reads by quality
16,mlst,570,Scan contig files against PubMLST typing schemes
17,megahit,548,An ultra-fast single-node solution for large and complex metagenomics assembly via succinct de Bruijn graph.
18,augustus,516,AUGUSTUS is a program that predicts genes in eukaryotic genomic sequences.
19,metaphlan,427,MetaPhlAn for Metagenomic Phylogenetic Analysis
20,maker,419,MAKER is a portable and easily configurable genome annotation pipeline.Its purpose is to allow smaller eukaryotic and prokaryotic genome projects to independently annotate their genomes and to create genome databases.
21,raxml,383,RAxML - A Maximum Likelihood based phylogenetic inference
22,fasttree,379,FastTree infers approximately-maximum-likelihood phylogenetic trees from alignments of nucleotide or protein sequences - GVL
23,kraken_taxonomy_report,354,Kraken taxonomy report
24,pycoqc,350,QC metrics for ONT Basecalling
25,goenrichment,321,Performs GO Enrichment analysis.
26,racon,309,Consensus module for raw de novo DNA assembly of long uncorrected reads.
27,antismash,279,"Antismash allows the genome-wide identification, annotation and analysis of secondary metabolite biosynthesis gene clusters"
28,pangolin,259,Phylogenetic Assignment of Named Global Outbreak LINeages
29,humann,247,HUMAnN for functionally profiling metagenomes and metatranscriptomes at species-level resolution
30,graphlan,247,GraPhlAn is a software tool for producing high-quality circular representations of taxonomic and phylogenetic trees
