Galaxy wrapper id	Total tool usage (usegalaxy.eu)	No. of tool users (2022-2023) (usegalaxy.eu)	Galaxy tool ids	Description	bio.tool id	bio.tool ids	biii	bio.tool name	bio.tool description	EDAM operation	EDAM topic	Status	Source	ToolShed categories	ToolShed id	Galaxy wrapper owner	Galaxy wrapper source	Galaxy wrapper parsed folder	Galaxy wrapper version	Conda id	Conda version	https://usegalaxy.org	https://usegalaxy.org.au	https://usegalaxy.eu	https://usegalaxy.fr
abacas			abacas	Order and Orientate Contigs								To update	https://github.com/phac-nml/abacas	Assembly	abacas	nml	https://github.com/phac-nml/abacas	https://github.com/phac-nml/galaxy_tools/tree/master/tools/abacas	1.1	mummer	3.23	(0/1)	(0/1)	(0/1)	(1/1)
assemblystats			assemblystats	Summarise an assembly (e.g. N50 metrics)								To update	https://github.com/phac-nml/galaxy_tools	Assembly	assemblystats	nml	https://github.com/phac-nml/galaxy_tools	https://github.com/phac-nml/galaxy_tools/tree/master/tools/assemblystats	1.1.0	perl-bioperl	1.7.8	(0/1)	(0/1)	(0/1)	(0/1)
bam2mappingstats			bam2mappingstats	Generates mapping stats from a bam file.								To update	https://github.com/phac-nml/galaxy_tools	Assembly	bam2mappingstats	nml	https://github.com/phac-nml/galaxy_tools	https://github.com/phac-nml/galaxy_tools/tree/master/tools/bam2mappingstats	1.1.0	perl		(0/1)	(0/1)	(0/1)	(0/1)
bamclipper			bamclipper	Soft-clip gene-specific primers from BAM alignment file based on genomic coordinates of primer pairs in BEDPE format.								Up-to-date	https://github.com/tommyau/bamclipper	Sequence Analysis	bamclipper	nml	https://github.com/tommyau/bamclipper	https://github.com/phac-nml/galaxy_tools/tree/master/tools/bamclipper	1.0.0	bamclipper	1.0.0	(0/1)	(0/1)	(0/1)	(0/1)
biohansel			biohansel	Heidelberg and Enteritidis SNP Elucidation								To update	https://github.com/phac-nml/biohansel	Sequence Analysis	biohansel	nml	https://github.com/phac-nml/biohansel	https://github.com/phac-nml/galaxy_tools/tree/master/tools/biohansel	2.4.0	bio_hansel	2.6.1	(0/1)	(0/1)	(0/1)	(0/1)
biohansel_bionumeric_converter			bionumeric_convert	Convert BioHansel output data to a Bionumerics friendly form								To update	https://github.com/phac-nml/galaxy_tools	Text Manipulation	biohansel_bionumeric_converter	nml		https://github.com/phac-nml/galaxy_tools/tree/master/tools/biohansel_bionumeric_converter	0.2.0	pandas		(0/1)	(0/1)	(0/1)	(0/1)
bundle_collections			bundle_collection	Tool to bundle up list collection into a single zip to be download								To update		Sequence Analysis	bundle_collections	nml		https://github.com/phac-nml/galaxy_tools/tree/master/tools/bundle_collections	1.3.0	perl-getopt-long	2.54	(0/1)	(1/1)	(0/1)	(1/1)
collapse_collection			collapse_dataset	Collection tool that collapses a list of files into a single datasset in order of appears in collection								To update		Sequence Analysis	collapse_collections	nml		https://github.com/phac-nml/galaxy_tools/tree/master/tools/collapse_collection	5.1.0	gawk		(1/1)	(1/1)	(1/1)	(1/1)
combineJSON			combine_json	JSON collection tool that takes multiple JSON data arrays and combines them into a single JSON array.								To update		Sequence Analysis	combine_json	nml		https://github.com/phac-nml/galaxy_tools/tree/master/tools/combineJSON	0.1			(0/1)	(0/1)	(0/1)	(0/1)
combine_assembly_stats			combine_stats	Combine multiple Assemblystats datasets into a single tabular report								To update	https://github.com/phac-nml/galaxy_tools	Assembly	combine_assemblystats	nml	https://github.com/phac-nml/galaxy_tools	https://github.com/phac-nml/galaxy_tools/tree/master/tools/combine_assembly_stats	1.0	perl-getopt-long	2.54	(0/1)	(0/1)	(0/1)	(0/1)
combine_tabular_collection			combine	Combine Tabular Collection into a single file								To update		Sequence Analysis	combine_tabular_collection	nml		https://github.com/phac-nml/galaxy_tools/tree/master/tools/combine_tabular_collection	0.1			(0/1)	(0/1)	(0/1)	(0/1)
concat_paired			concat_fastqs	Concatenate paired datasets								To update	https://github.com/phac-nml/concat	Text Manipulation	concat_paired	nml	https://github.com/phac-nml/concat	https://github.com/phac-nml/galaxy_tools/tree/master/tools/concat_paired	0.2			(0/1)	(0/1)	(0/1)	(0/1)
cryptogenotyper	8518.0	16.0	CryptoGenotyper	CryptoGenotyper is a standalone tool to *in-silico*  determine species and subtype based on SSU rRNA and gp60 markers.								Up-to-date	https://github.com/phac-nml/CryptoGenotyper	Sequence Analysis	cryptogenotyper	nml	https://github.com/phac-nml/CryptoGenotyper	https://github.com/phac-nml/galaxy_tools/tree/master/tools/cryptogenotyper	1.0	cryptogenotyper	1.0	(0/1)	(0/1)	(1/1)	(0/1)
csvtk			csvtk_awklike_filter, csvtk_awklike_mutate, csvtk_collapse, csvtk_concat, csvtk_convert, csvtk_correlation, csvtk_cut, csvtk_filter, csvtk_freq, csvtk_gather, csvtk_join, csvtk_mutate, csvtk_plot, csvtk_replace, csvtk_sample, csvtk_separate, csvtk_sort, csvtk_split, csvtk_summary, csvtk_uniq	Rapid data investigation and manipulation of csv/tsv files								To update	https://bioinf.shenwei.me/csvtk/	Text Manipulation	csvtk	nml	https://github.com/shenwei356/csvtk	https://github.com/phac-nml/galaxy_tools/tree/master/tools/csvtk	0.20.0	csvtk	0.30.0	(0/20)	(0/20)	(0/20)	(1/20)
ectyper	9907.0	53.0	ectyper	EC-Typer - in silico serotyping of Escherichia coli species								Up-to-date	https://github.com/phac-nml/ecoli_serotyping	Sequence Analysis	ectyper	nml	https://github.com/phac-nml/ecoli_serotyping	https://github.com/phac-nml/galaxy_tools/tree/master/tools/ectyper	1.0.0	ectyper	1.0.0	(0/1)	(0/1)	(1/1)	(0/1)
fasta2bed			fasta2bed	Convert multiple fasta file into tabular bed file format								To update	https://github.com/phac-nml/galaxy_tools	Sequence Analysis	fasta2bed	nml	https://github.com/phac-nml/galaxy_tools	https://github.com/phac-nml/galaxy_tools/tree/master/tools/fasta2bed	1.0.0	perl-bioperl	1.7.8	(0/1)	(0/1)	(0/1)	(0/1)
fasta_extract	10.0		fa-extract-sequence	extract single fasta from multiple fasta file								To update	https://toolshed.g2.bx.psu.edu/view/nml/fasta_extract	Sequence Analysis	fasta_extract	nml	https://toolshed.g2.bx.psu.edu/view/nml/fasta_extract	https://github.com/phac-nml/galaxy_tools/tree/master/tools/fasta_extract	1.1.0	perl-bioperl	1.7.8	(0/1)	(0/1)	(0/1)	(0/1)
