Galaxy wrapper id	https://usegalaxy.eu usage	Galaxy tool ids	Description	bio.tool id	bio.tool name	bio.tool description	EDAM operation	EDAM topic	Status	Source	ToolShed categories	ToolShed id	Galaxy wrapper owner	Galaxy wrapper source	Galaxy wrapper version	Conda id	Conda version	https://usegalaxy.org	https://usegalaxy.org.au	https://usegalaxy.eu
apoc	1	apoc	Large-scale structural comparison of protein pockets						To update	http://cssb.biology.gatech.edu/APoc	Computational chemistry	apoc	earlhaminst	https://github.com/TGAC/earlham-galaxytools/tree/master/tools/apoc/	1.0+galaxy1	apoc	1b16	(1/1)	(0/1)	(1/1)
blast_parser	27	blast_parser	Convert 12- or 24-column BLAST output into 3-column hcluster_sg input						To update	https://github.com/TGAC/earlham-galaxytools/	Phylogenetics	blast_parser	earlhaminst	https://github.com/TGAC/earlham-galaxytools/tree/master/tools/blast_parser	0.1.2			(0/1)	(0/1)	(1/1)
braker	17	braker	BRAKER is a pipeline for fully automated prediction of protein coding gene structures with GeneMark-ES/ET and AUGUSTUS in novel eukaryotic genomes .						To update	https://github.com/Gaius-Augustus/BRAKER	Genome annotation	braker	genouest	https://github.com/genouest/galaxy-tools/tree/master/tools/braker	2.1.6			(0/1)	(0/1)	(1/1)
braker3	10	braker3	BRAKER3 is a pipeline for fully automated prediction of protein coding gene structures with GeneMark-ES/ET and AUGUSTUS in novel eukaryotic genomes .						To update	https://github.com/Gaius-Augustus/BRAKER	Genome annotation	braker3	genouest	https://github.com/genouest/galaxy-tools/tree/master/tools/braker	3.0.6			(0/1)	(1/1)	(1/1)
curl_post	27	curl_post	Send file via cURL POST						To update	https://github.com/bmcv	Data Export, Web Services	curl_post	imgteam	https://github.com/BMCV/galaxy-image-analysis/tree/master/tools/curl_post	0.0.2	curl		(0/1)	(0/1)	(1/1)
ectyper	53	ectyper	EC-Typer - in silico serotyping of Escherichia coli species						Up-to-date	https://github.com/phac-nml/ecoli_serotyping	Sequence Analysis	ectyper	nml	https://github.com/phac-nml/ecoli_serotyping	1.0.0	ectyper	1.0.0	(0/1)	(0/1)	(1/1)
gstf_preparation	4	gstf_preparation	GeneSeqToFamily preparation converts data for the workflow						To update	https://github.com/TGAC/earlham-galaxytools/	Convert Formats	gstf_preparation	earlhaminst	https://github.com/TGAC/earlham-galaxytools/tree/master/tools/gstf_preparation	0.4.3	python		(0/1)	(0/1)	(1/1)
hcluster_sg	13	hcluster_sg	Hierarchically clustering on a sparse graph						To update	https://github.com/douglasgscofield/hcluster	Phylogenetics	hcluster_sg	earlhaminst	https://github.com/TGAC/earlham-galaxytools/tree/master/tools/hcluster_sg	0.5.1.1	hcluster_sg	0.5.1	(0/1)	(0/1)	(1/1)
hcluster_sg_parser	7	hcluster_sg_parser	Converts hcluster_sg 3-column output into lists of ids						To update	https://github.com/TGAC/earlham-galaxytools/	Phylogenetics	hcluster_sg_parser	earlhaminst	https://github.com/TGAC/earlham-galaxytools/tree/master/tools/hcluster_sg_parser	0.2.1			(0/1)	(0/1)	(1/1)
helixer	1	helixer	Gene calling with Deep Neural Networks						To update	https://github.com/weberlab-hhu/Helixer	Genome annotation	helixer	genouest	https://github.com/genouest/galaxy-tools/tree/master/tools/helixer	0.3.2			(0/1)	(0/1)	(1/1)
