name	url
ANASTASIA	http://motherbox.chemeng.ntua.gr/anastasia_dev/
APOSTL	http://apostl.moffitt.org/
ARGs-OAP	http://smile.hku.hk/SARGs
BF2I-MAP	http://bf2i-galaxy.insa-lyon.fr:8080/
BioBix	http://galaxy.ugent.be/
CIRM-CFBP	https://iris.angers.inra.fr/galaxypub-cfbp
Center for Phage Technology (CPT)	https://cpt.tamu.edu/galaxy-public/
ChemFlow	https://vm-chemflow-francegrille.eu/
Coloc-stats	https://hyperbrowser.uio.no/coloc-stats
CorGAT	http://corgat.cloud.ba.infn.it/galaxy
CropGalaxy	http://cropgalaxy.excellenceinbreeding.org/
Dintor	http://dintor.eurac.edu/
FreeBioinfo	http://www.freebioinfo.org/
GASLINI	http://igg.cloud.ba.infn.it/galaxy
Galaxy@AuBi	https://galaxy.mesocentre.uca.fr
Galaxy@Pasteur	https://galaxy.pasteur.fr/
GalaxyTrakr	https://galaxytrakr.org/
Genomic Hyperbrowser	http://hyperbrowser.uio.no/hb/
GigaGalaxy	http://gigagalaxy.net/
HyPhy HIV NGS Tools	https://galaxy.hyphy.org/
IPK Galaxy Blast Suite	https://galaxy-web.ipk-gatersleben.de
ImmPort Galaxy	https://www.immportgalaxy.org/
InteractoMIX	http://galaxy.interactomix.com/
MISSISSIPPI	https://mississippi.sorbonne-universite.fr
Mandoiu Lab	https://neo.engr.uconn.edu/
MiModD NacreousMap	http://mapping-by-sequencing.vm.uni-freiburg.de:8080/
Oqtans	http://galaxy.inf.ethz.ch
Palfinder	https://palfinder.ls.manchester.ac.uk/
PepSimili	http://pepsimili.e-nios.com:8080/
PhagePromotor	https://galaxy.bio.di.uminho.pt/
UseGalaxy.be	https://usegalaxy.be/
UseGalaxy.cz	https://usegalaxy.cz/
UseGalaxy.eu	https://usegalaxy.eu
UseGalaxy.fr	https://usegalaxy.fr/
UseGalaxy.no	https://usegalaxy.no/
UseGalaxy.org (Main)	https://usegalaxy.org
UseGalaxy.org.au	https://usegalaxy.org.au
