Galaxy tool ids,EDAM operation
lotus2,Sequence feature detection
antismash,"Sequence clustering, Gene prediction, Differential gene expression analysis"
combine_metaphlan_humann,Aggregation
compare_humann2_output,Comparison
format_metaphlan2_output,Formatting
itsx,Sequence feature detection
"rbc_mafft_add, rbc_mafft",Multiple sequence alignment
minipolish,"Localised reassembly, Read depth analysis"
nextdenovo,"De-novo assembly, Genome assembly"
pfamscan,Protein sequence analysis
racon,"Genome assembly, Mapping assembly, Sequence trimming"
"infernal_cmalign, infernal_cmbuild, infernal_cmpress, infernal_cmscan, infernal_cmsearch, infernal_cmstat",Nucleic acid feature detection
bg_sortmerna,"Sequence similarity search, Sequence alignment analysis"
trim_galore,Sequence trimming
wtdbg,"Genome assembly, De-novo assembly"
"abricate, abricate_list, abricate_summary",Antimicrobial resistance prediction
abyss-pe,"Genome assembly, De-novo assembly, Scaffolding"
aldex2,Statistical inference
amplican,"Alignment, Standardisation and normalisation"
amrfinderplus,Antimicrobial resistance prediction
ancombc,DNA barcoding
"artic_guppyplex, artic_minion",Sequence alignment
bakta,Genome annotation
"bandage_image, bandage_info",Sequence assembly visualisation
BayeScan,Statistical inference
bin_refiner,"Read binning, Sequence clustering"
est_abundance,Statistical calculation
busco,"Sequence assembly validation, Scaffolding, Genome assembly, Transcriptome assembly"
cd_hit,Sequence clustering
cemitool,"Enrichment analysis, Pathway or network analysis"
"checkm_analyze, checkm_lineage_set, checkm_lineage_wf, checkm_plot, checkm_qa, checkm_taxon_set, checkm_taxonomy_wf, checkm_tetra, checkm_tree, checkm_tree_qa",Operation
"concoct, concoct_coverage_table, concoct_cut_up_fasta, concoct_extract_fasta_bins, concoct_merge_cut_up_clustering","Sequence clustering, Read binning"
"coverm_contig, coverm_genome",Local alignment
cutadapt,Sequence trimming
"dada2_assignTaxonomyAddspecies, dada2_dada, dada2_filterAndTrim, dada2_learnErrors, dada2_makeSequenceTable, dada2_mergePairs, dada2_plotComplexity, dada2_plotQualityProfile, dada2_removeBimeraDenovo, dada2_seqCounts","Variant calling, DNA barcoding"
"Fasta_to_Contig2Bin, das_tool",Read binning
"bg_diamond, bg_diamond_makedb, bg_diamond_view",Sequence alignment analysis
disco,Protein sequence analysis
"drep_compare, drep_dereplicate",Genome comparison
fasttree,
fraggenescan,Gene prediction
"glimmer_acgt_content, glimmer_build_icm, glimmer_extract, glimmer_gbk_to_orf, glimmer_glimmer_to_gff, glimmer_long_orfs, glimmer_knowledge_based, glimmer_not_knowledge_based","Sequence analysis, Genetic variation analysis"
"goenrichment, goslimmer",Gene-set enrichment analysis
goseq,Gene functional annotation
gubbins,"Genotyping, Phylogenetic inference, Ancestral reconstruction"
bio_hansel,"Genotyping, SNP detection, Genome assembly"
"hmmer_alimask, hmmer_hmmalign, hmmer_hmmbuild, hmmer_hmmconvert, hmmer_hmmemit, hmmer_hmmfetch, hmmer_hmmscan, hmmer_hmmsearch, hmmer_jackhmmer, hmmer_nhmmer, hmmer_nhmmscan, hmmer_phmmer","Formatting, Multiple sequence alignment, Sequence profile generation, Format validation, Conversion, Data retrieval, Statistical calculation, Formatting, Probabilistic sequence generation, Statistical calculation, Statistical calculation, Sequence database search, Formatting, Sequence database search, Sequence database search"
"humann, humann_associate, humann_barplot, humann_join_tables, humann_reduce_table, humann_regroup_table, humann_rename_table, humann_renorm_table, humann_rna_dna_norm, humann_split_stratified_table, humann_split_table, humann_strain_profiler, humann_unpack_pathways","Species frequency estimation, Taxonomic classification, Phylogenetic analysis"
