Galaxy wrapper id	Galaxy tool ids	Description	bio.tool id	bio.tool ids	biii	bio.tool name	bio.tool description	EDAM operation	EDAM topic	Status	Source	ToolShed categories	ToolShed id	Galaxy wrapper owner	Galaxy wrapper source	Galaxy wrapper parsed folder	Galaxy wrapper version	Conda id	Conda version	EDAM operation (no superclasses)	EDAM topic (no superclasses)	Available on UseGalaxy.org (Main)	Available on UseGalaxy.org.au	Available on UseGalaxy.eu	Available on UseGalaxy.fr	Tools available on UseGalaxy.org (Main)	Tools available on UseGalaxy.org.au	Tools available on UseGalaxy.eu	Tools available on UseGalaxy.fr	Tools available on ANASTASIA	Tools available on APOSTL	Tools available on ARGs-OAP	Tools available on BF2I-MAP	Tools available on BioBix	Tools available on CIRM-CFBP	Tools available on Center for Phage Technology (CPT)	Tools available on ChemFlow	Tools available on Coloc-stats	Tools available on CorGAT	Tools available on CropGalaxy	Tools available on Dintor	Tools available on FreeBioinfo	Tools available on GASLINI	Tools available on Galaxy@AuBi	Tools available on Galaxy@Pasteur	Tools available on GalaxyTrakr	Tools available on Genomic Hyperbrowser	Tools available on GigaGalaxy	Tools available on HyPhy HIV NGS Tools	Tools available on IPK Galaxy Blast Suite	Tools available on ImmPort Galaxy	Tools available on InteractoMIX	Tools available on MISSISSIPPI	Tools available on Mandoiu Lab	Tools available on MiModD NacreousMap	Tools available on Oqtans	Tools available on Palfinder	Tools available on PepSimili	Tools available on PhagePromotor	Tools available on Protologger	Tools available on UseGalaxy.be	Tools available on UseGalaxy.cz	Tools available on UseGalaxy.no	No. of tool users (2022-2023) (usegalaxy.eu)	Total tool usage (usegalaxy.eu)	Reviewed	Deprecated	To keep
PAMPA	pampa_communitymetrics, pampa_presabs, pampa_glmcomm, pampa_glmsp, pampa_plotglm	Tools to compute and analyse biodiversity metrics								To update		Ecology	pampa	ecology	https://github.com/ColineRoyaux/PAMPA-Galaxy	https://github.com/galaxyecology/tools-ecology/tree/master/tools/PAMPA	0.0.2					0	5	5	5	0	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	73	1004	True	False	True
TreeBest	treebest_best	TreeBeST best	treebest	treebest		TreeBeST	TreeBeST, which stands for (gene) Tree Building guided by Species Tree, is a versatile program that builds, manipulates and displays phylogenetic trees. It is particularly designed for building gene trees with a known species tree and is highly efficient and accurate.TreeBeST is previously known as NJTREE. It has been largely used in the TreeFam database, Ensembl Compara and OPTIC database of Chris Ponting group.	Phylogenetic tree visualisation, Phylogenetic analysis, Phylogenetic inference (from molecular sequences)	Phylogenetics	To update	http://treesoft.sourceforge.net/treebest.shtml	Phylogenetics	treebest_best	earlhaminst	https://github.com/TGAC/earlham-galaxytools/tree/master/tools/TreeBest	https://github.com/TGAC/earlham-galaxytools/tree/master/tools/TreeBest	1.9.2.post0	treebest	1.9.2.post1	Phylogenetic tree visualisation, Phylogenetic inference (from molecular sequences)	Phylogenetics	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	23	984	True	False	True
abacas	abacas	Order and Orientate Contigs								To update	https://github.com/phac-nml/abacas	Assembly	abacas	nml	https://github.com/phac-nml/abacas	https://github.com/phac-nml/galaxy_tools/tree/master/tools/abacas	1.1	mummer	3.23			0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	True	False	True
abricate	abricate, abricate_list, abricate_summary	Mass screening of contigs for antiobiotic resistance genes	ABRicate	ABRicate		ABRicate	Mass screening of contigs for antimicrobial resistance or virulence genes.	Antimicrobial resistance prediction	Genomics, Microbiology	Up-to-date	https://github.com/tseemann/abricate	Sequence Analysis	abricate	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/abricate/	https://github.com/galaxyproject/tools-iuc/tree/main/tools/abricate	1.0.1	abricate	1.0.1	Antimicrobial resistance prediction	Genomics, Microbiology	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	1764	496717	True	False	True
abritamr	abritamr	A pipeline for running AMRfinderPlus and collating results into functional classes	abritamr	abritamr		abriTAMR	an AMR gene detection pipeline that runs AMRFinderPlus on a single (or list ) of given isolates and collates the results into a table, separating genes identified into functionally relevant groups.	Antimicrobial resistance prediction	Microbiology, Public health and epidemiology, Infectious disease	To update	https://zenodo.org/record/7370628	Sequence Analysis	abritamr	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/abritamr	https://github.com/galaxyproject/tools-iuc/tree/main/tools/abritamr	1.0.14	abritamr	1.0.18	Antimicrobial resistance prediction	Microbiology, Public health and epidemiology, Infectious disease	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	True	False	True
abyss	abyss-pe	Assembly By Short Sequences - a de novo, parallel, paired-end sequence assembler	abyss	abyss		ABySS	De novo genome sequence assembler using short reads.	Genome assembly, De-novo assembly, Scaffolding	Sequence assembly	Up-to-date	http://www.bcgsc.ca/platform/bioinfo/software/abyss	Assembly	abyss	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/abyss	https://github.com/galaxyproject/tools-iuc/tree/main/tools/abyss	2.3.7	abyss	2.3.7	Genome assembly, De-novo assembly, Scaffolding	Sequence assembly	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	391	4278	True	False	True
aldex2	aldex2	Performs analysis Of differential abundance taking sample variation into account	aldex2	aldex2		ALDEx2	A differential abundance analysis for the comparison of two or more conditions. It uses a Dirichlet-multinomial model to infer abundance from counts, that has been optimized for three or more experimental replicates. Infers sampling variation and calculates the expected FDR given the biological and sampling variation using the Wilcox rank test and Welches t-test, or the glm and Kruskal Wallis tests. Reports both P and fdr values calculated by the Benjamini Hochberg correction.	Statistical inference	Gene expression, Statistics and probability	To update	https://github.com/ggloor/ALDEx_bioc	Metagenomics	aldex2	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/aldex2	https://github.com/galaxyproject/tools-iuc/tree/main/tools/aldex2	1.26.0	bioconductor-aldex2	1.34.0	Statistical inference	Gene expression, Statistics and probability	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	13	129	True	False	True
amplican	amplican	AmpliCan is an analysis tool for genome editing.	amplican	amplican		amplican	It performs alignment of the amplicon reads, normalizes gathered data, calculates multiple statistics (e.g. cut rates, frameshifts) and presents results in form of aggregated reports. Data and statistics can be broken down by experiments, barcodes, user defined groups, guides and amplicons allowing for quick identification of potential problems.	Alignment, Standardisation and normalisation	PCR experiment, Statistics and probability	To update	https://github.com/valenlab/amplican	Sequence Analysis	amplican	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/amplican	https://github.com/galaxyproject/tools-iuc/tree/main/tools/amplican	1.14.0	bioconductor-amplican	1.24.0	Alignment, Standardisation and normalisation	PCR experiment, Statistics and probability	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	12	53	True	False	True
amrfinderplus	amrfinderplus	"""AMRFinderPlus is designed to find acquired antimicrobial resistance genes and point mutations in protein and/or assembled nucleotide sequences.It can also search ""plus"", stress, heat, and biocide resistance and virulence factors for some organisms."	amrfinderplus	amrfinderplus		AMRFinderPlus	"AMRFinderPlus is designed to find acquired antimicrobial resistance genes and point mutations in protein and/or assembled nucleotide sequences.It can also search ""plus"", stress, heat, and biocide resistance and virulence factors for some organisms"	Antimicrobial resistance prediction	Microbiology, Public health and epidemiology, Infectious disease	Up-to-date	https://github.com/ncbi/amr	Sequence Analysis	AMRFinderPlus	iuc	https://github.com/galaxyproject/tools-iuc/blob/master/tools/amrfinderplus	https://github.com/galaxyproject/tools-iuc/tree/main/tools/amrfinderplus	3.12.8	ncbi-amrfinderplus	3.12.8	Antimicrobial resistance prediction	Microbiology, Public health and epidemiology, Infectious disease	1	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	591	True	False	True
ancombc	ancombc	Performs analysis of compositions of microbiomes with bias correction.	ancombc	ancombc		ANCOMBC	Determine taxa whose absolute abundances, per unit volume, of the ecosystem (e.g. gut) are significantly different with changes in the covariate of interest (e.g. group). The current version of ancombc function implements Analysis of Compositions of Microbiomes with Bias Correction (ANCOM-BC) in cross-sectional data while allowing for covariate adjustment.	DNA barcoding	Microbial ecology, Metagenomics, Taxonomy	To update	https://github.com/FrederickHuangLin/ANCOMBC	Metagenomics	ancombc	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/ancombc	https://github.com/galaxyproject/tools-iuc/tree/main/tools/ancombc	1.4.0	bioconductor-ancombc	2.4.0	DNA barcoding	Microbial ecology, Metagenomics, Taxonomy	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	7	True	False	True
