Topic	Title	Link	EDAM topic	EDAM operation	Creation	Last modification	Version	Tutorial	Slides	Video	Workflows	Tools	Servers with precise tool versions	Servers with tool but different versions	Feedback number	Feedback mean note	Visitors	Page views	Visit duration	Video views
Assembly	Assembly of metagenomic sequencing data	https://training.galaxyproject.org//topics/assembly/tutorials/metagenomics-assembly/tutorial.html	Metagenomics, Sequence assembly	, Formatting, Genome assembly, Visualisation, Sequence composition calculation, Sequence assembly validation, Sequence trimming, Sequence alignment analysis, Variant calling, Local alignment, Statistical calculation, Sequencing quality control, Sequence contamination filtering, Read pre-processing, Data handling, Read mapping	2024-03-22	2024-03-22	0	True	False	False	True	random_lines1, text_processing, unique, bamtools, bowtie2, bowtie2, fastqc, bandage, bandage, collection_column_join, coverm_contig, filter_tabular, megahit, megahit_contig2fastg, megahit_contig2fastg, ngsutils_bam_filter, quast, quast, seqtk, cutadapt, metaspades		UseGalaxy.cz, UseGalaxy.eu	0		2	3	0.0	0
Assembly	Unicycler Assembly	https://training.galaxyproject.org//topics/assembly/tutorials/unicycler-assembly/tutorial.html	Sequence assembly, Genomics, Microbiology	Coding region prediction, Gene prediction, Aggregation, Genome assembly, Visualisation, Sequence assembly validation, Statistical calculation, Genome annotation, Sequencing quality control, Validation, Sequence composition calculation	2017-10-11	2024-03-11	61	True	True	False	True	prokka, fastqc, multiqc, quast, unicycler	UseGalaxy.be, UseGalaxy.eu, UseGalaxy.org (Main), UseGalaxy.org.au	GalaxyTrakr, HyPhy HIV NGS Tools, MISSISSIPPI, UseGalaxy.cz, UseGalaxy.fr, UseGalaxy.no	8	3.75	1860743	5232721	4.55	0
Assembly	Genome Assembly of a bacterial genome (MRSA) sequenced using Illumina MiSeq Data	https://training.galaxyproject.org//topics/assembly/tutorials/mrsa-illumina/tutorial.html	Sequence assembly, Whole genome sequencing, Public health and epidemiology, Genomics, Microbiology	Sequencing quality control, Sequence contamination filtering, Genome assembly, Sequence composition calculation, Visualisation, Sequence assembly validation, Statistical calculation	2021-03-24	2024-03-11	28	True	False	False	True	fastqc, bandage, bandage, fastp, quast, shovill, shovill, upload1	UseGalaxy.cz, UseGalaxy.eu, UseGalaxy.fr, UseGalaxy.org (Main)	Galaxy@AuBi, GalaxyTrakr, UseGalaxy.be, UseGalaxy.no	7	4.428571428571429	5464	8898	3.683333333333333	0
Assembly	Genome Assembly of MRSA from Oxford Nanopore MinION data (and optionally Illumina data)	https://training.galaxyproject.org//topics/assembly/tutorials/mrsa-nanopore/tutorial.html	Sequence assembly, Whole genome sequencing, Public health and epidemiology, Genomics, Microbiology, Antimicrobial Resistance	, Genome assembly, Visualisation, Sequence alignment, Sequence assembly validation, Filtering, Statistical calculation, Sequencing error detection, Sequencing quality control, Sequence contamination filtering, Box-Whisker plot plotting, Scatter plot plotting, Sequence composition calculation, Mapping assembly, Read mapping	2021-03-24	2024-03-13	35	True	False	False	True	CONVERTER_bz2_to_uncompressed, flye, fastqc, bandage, bwa_mem2, fastp, filtlong, filtlong, nanoplot, polypolish, porechop, quast, upload1	UseGalaxy.eu	UseGalaxy.cz	2	4.0	5721	8853	3.2666666666666666	0
Assembly	Making sense of a newly assembled genome	https://training.galaxyproject.org//topics/assembly/tutorials/ecoli_comparison/tutorial.html	Sequence assembly, Genomics, Microbiology	, Genome visualisation, Sequence visualisation	2018-06-14	2024-03-11	86	True	False	False	True	Cut1, Filter1, Grep1, cat1, join1, random_lines1, text_processing, text_processing, text_processing, text_processing, text_processing, text_processing, add_value, fasta_compute_length, fasta_filter_by_length, fasta_filter_by_length, lastz, merge_cols, bedtools, bedtools, bedtools, circos, circos, circos, datamash_ops, jbrowse, collapse_collections, collapse_collections, upload1			1	2.0	5664	11742	3.05	0
Ecology	Checking expected species and contamination in bacterial isolate	https://training.galaxyproject.org//topics/ecology/tutorials/bacterial-isolate-species-contamination-checking/tutorial.html	Whole genome sequencing, Genomics, Microbiology, Microbial ecology	Expression analysis, Cross-assembly, Taxonomic classification	2024-03-04	2024-03-11	2	True	False	False	True	bracken, bracken, kraken2, recentrifuge, upload1	UseGalaxy.eu	Galaxy@AuBi, GalaxyTrakr, UseGalaxy.cz, UseGalaxy.fr	0		34	49	17.083333333333332	0
Evolution	Identifying tuberculosis transmission links: from SNPs to transmission clusters	https://training.galaxyproject.org//topics/evolution/tutorials/mtb_transmission/tutorial.html	Genomics, Microbiology, Infectious disease, DNA polymorphism	, Phylogenetic tree generation, Phylogenetic tree visualisation, Variant calling	2022-03-16	2024-03-12	15	True	False	False	True	Grep1, __MERGE_COLLECTION__, text_processing, text_processing, text_processing, text_processing, text_processing, bcftools_consensus, bcftools_consensus, samtools_view, snippy, snippy, snp_dists, snp_dists, snp_sites, tb_variant_filter, tb_variant_filter, tb_variant_filter, tbprofiler, add_input_name_as_column, collapse_collections, trimmomatic, upload1	UseGalaxy.eu	UseGalaxy.cz, UseGalaxy.no, UseGalaxy.org (Main)	6	3.8333333333333335	1106	1819	2.7	0
Evolution	Tree thinking for tuberculosis evolution and epidemiology	https://training.galaxyproject.org//topics/evolution/tutorials/mtb_phylogeny/tutorial.html	Genomics, Microbiology, Phylogeny, Infectious disease	Sequence analysis, Phylogenetic tree analysis	2022-03-16	2024-03-12	18	True	False	False	True	interactive_tool_rstudio, raxml, raxml, upload1	UseGalaxy.eu	UseGalaxy.fr, UseGalaxy.org (Main)	4	4.75	983	1537	2.183333333333333	0
Genome Annotation	Genome annotation with Prokka	https://training.galaxyproject.org//topics/genome-annotation/tutorials/annotation-with-prokka/tutorial.html	Genomics, Microbiology, Gene and protein families, Sequence analysis	Coding region prediction, Gene prediction, Genome annotation, Genome visualisation	2018-03-06	2024-03-13	41	True	True	True	True	prokka, prokka, jbrowse, jbrowse	UseGalaxy.be, UseGalaxy.eu, UseGalaxy.org (Main)	Galaxy@AuBi, GalaxyTrakr, MISSISSIPPI, UseGalaxy.cz, UseGalaxy.fr, UseGalaxy.no, UseGalaxy.org.au	17	3.764705882352941	1864736	5239874	4.3	749
Genome Annotation	Identification of AMR genes in an assembled bacterial genome	https://training.galaxyproject.org//topics/genome-annotation/tutorials/amr-gene-detection/tutorial.html	Whole genome sequencing, Public health and epidemiology, Genomics, Microbiology, Sequence analysis, Infectious disease, Antimicrobial Resistance	, Genome annotation, Read mapping, Genome visualisation	2024-01-23	2024-03-13	9	True	False	False	True	Grep1, bowtie2, bakta, jbrowse, tbl2gff3, staramr, upload1	UseGalaxy.eu, UseGalaxy.fr	UseGalaxy.cz	0		261	368	1.8	0
