Galaxy wrapper id	Total tool usage (usegalaxy.eu)	No. of tool users (2022-2023) (usegalaxy.eu)	Galaxy tool ids	Description	bio.tool id	bio.tool ids	biii	bio.tool name	bio.tool description	EDAM operation	EDAM topic	Status	Source	ToolShed categories	ToolShed id	Galaxy wrapper owner	Galaxy wrapper source	Galaxy wrapper parsed folder	Galaxy wrapper version	Conda id	Conda version	https://usegalaxy.org	https://usegalaxy.org.au	https://usegalaxy.eu	https://usegalaxy.fr
add_value	33763.0	356.0	addValue	Add a value as a new column.								To update		Text Manipulation	add_value	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/add_value	https://github.com/galaxyproject/tools-devteam/tree/main/tools/add_value	1.0.1	perl		(1/1)	(1/1)	(1/1)	(1/1)
annotation_profiler	2.0		Annotation_Profiler_0	Profile Annotations for a set of genomic intervals								To update		Genomic Interval Operations	annotation_profiler	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/annotation_profiler	https://github.com/galaxyproject/tools-devteam/tree/main/tools/annotation_profiler	1.0.0	bx-python	0.11.0	(1/1)	(0/1)	(1/1)	(0/1)
best_regression_subsets	3.0		BestSubsetsRegression1	Perform Best-subsets Regression								To update		Sequence Analysis, Variant Analysis	best_regression_subsets	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/best_regression_subsets	https://github.com/galaxyproject/tools-devteam/tree/main/tools/best_regression_subsets	1.0.0	numpy		(1/1)	(0/1)	(1/1)	(1/1)
blat_coverage_report			generate_coverage_report	Polymorphism of the Reads								To update		Next Gen Mappers, Sequence Analysis	blat_coverage_report	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/blat_coverage_report	https://github.com/galaxyproject/tools-devteam/tree/main/tools/blat_coverage_report	1.0.0			(0/1)	(0/1)	(0/1)	(0/1)
blat_mapping			blat2wig	Coverage of the Reads in wiggle format								To update		Next Gen Mappers, Sequence Analysis	blat_mapping	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/blat_mapping	https://github.com/galaxyproject/tools-devteam/tree/main/tools/blat_mapping	1.0.0			(0/1)	(0/1)	(0/1)	(0/1)
bowtie_wrappers	22988.0	506.0	bowtie_wrapper	Galaxy wrappers for the Bowtie short read mapping tools.								To update	http://bowtie-bio.sourceforge.net/	Next Gen Mappers	bowtie_wrappers	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/bowtie_wrappers	https://github.com/galaxyproject/tools-devteam/tree/main/tools/bowtie_wrappers	1.2.0	bowtie	1.3.1	(0/1)	(1/1)	(1/1)	(0/1)
canonical_correlation_analysis	72.0	10.0	cca1	Canonical Correlation Analysis								To update		Statistics	canonical_correlation_analysis	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/canonical_correlation_analysis	https://github.com/galaxyproject/tools-devteam/tree/main/tools/canonical_correlation_analysis	1.0.0	R		(0/1)	(0/1)	(1/1)	(1/1)
categorize_elements_satisfying_criteria	40.0	1.0	categorize_elements_satisfying_criteria	Categorize Elements satisfying criteria.								To update		Statistics	categorize_elements_satisfying_criteria	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/categorize_elements_satisfying_criteria	https://github.com/galaxyproject/tools-devteam/tree/main/tools/categorize_elements_satisfying_criteria	1.0.0			(0/1)	(1/1)	(1/1)	(0/1)
ccat	165.0	15.0	peakcalling_ccat	Control-based ChIP-seq Analysis Tool								To update		ChIP-seq	ccat	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/ccat	https://github.com/galaxyproject/tools-devteam/tree/main/tools/ccat	0.0.2	ccat	3.0	(0/1)	(0/1)	(1/1)	(0/1)
cd_hit_dup			cd_hit_dup	simple tool for removing duplicates from sequencing reads								To update		Metagenomics, Sequence Analysis	cd_hit_dup	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/cd_hit_dup	https://github.com/galaxyproject/tools-devteam/tree/main/tools/cd_hit_dup	0.0.1	cd-hit-auxtools	4.8.1	(1/1)	(0/1)	(0/1)	(0/1)
change_case			ChangeCase	Convert column case.								To update		Text Manipulation	change_case	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/change_case	https://github.com/galaxyproject/tools-devteam/tree/main/tools/change_case	1.0.1	perl		(1/1)	(1/1)	(1/1)	(1/1)
compute_motif_frequencies_for_all_motifs	94.0	2.0	compute_motif_frequencies_for_all_motifs	Compute Motif Frequencies For All Motifs, motif by motif.								To update		Sequence Analysis, Statistics	compute_motif_frequencies_for_all_motifs	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/compute_motif_frequencies_for_all_motifs	https://github.com/galaxyproject/tools-devteam/tree/main/tools/compute_motif_frequencies_for_all_motifs	1.0.0			(0/1)	(1/1)	(1/1)	(0/1)
compute_motifs_frequency	65.0		compute_motifs_frequency	Compute Motif Frequencies in indel flanking regions.								To update		Sequence Analysis, Statistics	compute_motifs_frequency	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/compute_motifs_frequency	https://github.com/galaxyproject/tools-devteam/tree/main/tools/compute_motifs_frequency	1.0.0			(0/1)	(1/1)	(1/1)	(0/1)
compute_q_values	35.0		compute_q_values	Compute q-values based on multiple simultaneous tests p-values								To update		Statistics	compute_q_values	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/compute_q_values	https://github.com/galaxyproject/tools-devteam/tree/main/tools/compute_q_values	1.0.1	R		(0/1)	(0/1)	(0/1)	(0/1)
condense_characters			Condense characters1	Condense consecutive characters.								To update		Text Manipulation	condense_characters	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/condense_characters	https://github.com/galaxyproject/tools-devteam/tree/main/tools/condense_characters	1.0.0			(1/1)	(1/1)	(0/1)	(0/1)
convert_characters			Convert characters1	Convert delimiters to tab.								To update		Text Manipulation	convert_characters	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/convert_characters	https://github.com/galaxyproject/tools-devteam/tree/main/tools/convert_characters	1.0.1	python		(1/1)	(1/1)	(1/1)	(1/1)
convert_solid_color2nuc			color2nuc	Convert Color Space to Nucleotides								To update		Fasta Manipulation	convert_solid_color2nuc	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/convert_solid_color2nuc	https://github.com/galaxyproject/tools-devteam/tree/main/tools/convert_solid_color2nuc	1.0.0			(0/1)	(0/1)	(0/1)	(0/1)
correlation	809.0	47.0	cor2	Correlation for numeric columns								To update		Statistics	correlation	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/correlation	https://github.com/galaxyproject/tools-devteam/tree/main/tools/correlation	1.0.0	rpy		(0/1)	(1/1)	(1/1)	(1/1)
count_gff_features	271.0	49.0	count_gff_features	Count GFF Features								To update		Sequence Analysis	count_gff_features	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/count_gff_features	https://github.com/galaxyproject/tools-devteam/tree/main/tools/count_gff_features	0.2	galaxy-ops	1.1.0	(1/1)	(1/1)	(1/1)	(1/1)
ctd_batch	203.0	13.0	ctdBatch_1	CTD analysis of chemicals, diseases, or genes								To update		Sequence Analysis	ctd_batch	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/ctd_batch	https://github.com/galaxyproject/tools-devteam/tree/main/tools/ctd_batch	1.0.0			(0/1)	(0/1)	(1/1)	(0/1)
cummerbund	1782.0	31.0	cummeRbund	Wrapper for the Bioconductor cummeRbund library								To update	https://bioconductor.org/packages/release/bioc/html/cummeRbund.html	RNA, Visualization	cummerbund	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/cummerbund	https://github.com/galaxyproject/tools-devteam/tree/main/tools/cummerbund	2.16.0	fonts-conda-ecosystem		(1/1)	(1/1)	(1/1)	(0/1)
cummerbund_to_tabular	1204.0	13.0	cummerbund_to_cuffdiff	Regenerate the tabular files generated by cuffdiff from a cummeRbund SQLite database.								To update		Convert Formats, Next Gen Mappers	cummerbund_to_tabular	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/cummerbund_to_tabular	https://github.com/galaxyproject/tools-devteam/tree/main/tools/cummerbund_to_tabular	1.0.1			(1/1)	(0/1)	(1/1)	(0/1)
cut_columns			Cut1	Select columns from a dataset.								To update		Text Manipulation	cut_columns	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/cut_columns	https://github.com/galaxyproject/tools-devteam/tree/main/tools/cut_columns	1.0.2			(1/1)	(1/1)	(1/1)	(1/1)
delete_overlapping_indels	39.0	2.0	delete_overlapping_indels	Delete Overlapping Indels from a chromosome indels file								To update		Sequence Analysis	delete_overlapping_indels	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/delete_overlapping_indels	https://github.com/galaxyproject/tools-devteam/tree/main/tools/delete_overlapping_indels	1.0.0			(0/1)	(0/1)	(1/1)	(0/1)
dgidb_annotator	231.0	30.0	dgidb_annotate	Annotates a tabular file with information from the Drug-Gene Interaction Database (http://dgidb.genome.wustl.edu/)								To update		Systems Biology, Variant Analysis	dgidb_annotator	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/dgidb_annotator	https://github.com/galaxyproject/tools-devteam/tree/main/tools/dgidb_annotator	0.1			(0/1)	(0/1)	(1/1)	(0/1)
divide_pg_snp	31.0		dividePgSnp	Separate pgSnp alleles into columns								To update		Sequence Analysis	divide_pg_snp	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/divide_pg_snp	https://github.com/galaxyproject/tools-devteam/tree/main/tools/divide_pg_snp	1.0.0			(1/1)	(0/1)	(1/1)	(0/1)
draw_stacked_barplots	173.0	12.0	draw_stacked_barplots	Draw Stacked Bar Plots for different categories and different criteria								To update		Graphics, Statistics	draw_stacked_barplots	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/draw_stacked_barplots	https://github.com/galaxyproject/tools-devteam/tree/main/tools/draw_stacked_barplots	1.0.0	R		(0/1)	(1/1)	(1/1)	(1/1)
dwt_cor_ava_perclass			compute_p-values_correlation_coefficients_feature_occurrences_between_two_datasets_using_discrete_wavelet_transfom	Compute P-values and Correlation Coefficients for Feature Occurrences								To update		Statistics	dwt_cor_ava_perclass	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/dwt_cor_ava_perclass	https://github.com/galaxyproject/tools-devteam/tree/main/tools/dwt_cor_ava_perclass	1.0.1	r-waveslim	1.7.5	(0/1)	(1/1)	(0/1)	(0/1)
dwt_cor_avb_all			compute_p-values_correlation_coefficients_featureA_featureB_occurrences_between_two_datasets_using_discrete_wavelet_transfom	Compute P-values and Correlation Coefficients for Occurrences of Two Set of Features								To update		Statistics	dwt_cor_avb_all	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/dwt_cor_avb_all	https://github.com/galaxyproject/tools-devteam/tree/main/tools/dwt_cor_avb_all	1.0.1	r-waveslim	1.7.5	(0/1)	(1/1)	(0/1)	(0/1)
dwt_ivc_all			compute_p-values_second_moments_feature_occurrences_between_two_datasets_using_discrete_wavelet_transfom	Compute P-values and Second Moments for Feature Occurrences								To update		Statistics	dwt_ivc_all	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/dwt_ivc_all	https://github.com/galaxyproject/tools-devteam/tree/main/tools/dwt_ivc_all	1.0.1	r-waveslim	1.7.5	(0/1)	(1/1)	(0/1)	(0/1)
dwt_var_perclass			compute_p-values_max_variances_feature_occurrences_in_one_dataset_using_discrete_wavelet_transfom	Compute P-values and Max Variances for Feature Occurrences								To update		Statistics	dwt_var_perclass	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/dwt_var_perclass	https://github.com/galaxyproject/tools-devteam/tree/main/tools/dwt_var_perclass	1.0.1	r-waveslim	1.7.5	(0/1)	(1/1)	(0/1)	(0/1)
dwt_var_perfeature	36.0		dwt_var1	Wavelet variance using Discrete Wavelet Transfoms								To update		Statistics	dwt_var_perfeature	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/dwt_var_perfeature	https://github.com/galaxyproject/tools-devteam/tree/main/tools/dwt_var_perfeature	1.0.2	r-bitops		(1/1)	(1/1)	(1/1)	(1/1)
express	325.0	12.0	express	Quantify the abundances of a set of target sequences from sampled subsequences								To update		RNA	express	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/express	https://github.com/galaxyproject/tools-devteam/tree/main/tools/express	1.1.1	eXpress	1.5.1	(0/1)	(1/1)	(1/1)	(0/1)
fasta_compute_length	7758.0	380.0	fasta_compute_length	Compute sequence length								To update		Fasta Manipulation	fasta_compute_length	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/fasta_compute_length	https://github.com/galaxyproject/tools-devteam/tree/main/tools/fasta_compute_length	1.0.3	python		(1/1)	(1/1)	(1/1)	(1/1)
fasta_concatenate_by_species	35793.0	88.0	fasta_concatenate0	Concatenate FASTA alignment by species								To update		Fasta Manipulation	fasta_concatenate_by_species	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/fasta_concatenate_by_species	https://github.com/galaxyproject/tools-devteam/tree/main/tools/fasta_concatenate_by_species	0.0.1	bx-python	0.11.0	(1/1)	(1/1)	(1/1)	(1/1)
fasta_filter_by_length	48649.0	350.0	fasta_filter_by_length	Filter sequences by length								To update		Fasta Manipulation	fasta_filter_by_length	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/fasta_filter_by_length	https://github.com/galaxyproject/tools-devteam/tree/main/tools/fasta_filter_by_length	1.2	python		(1/1)	(1/1)	(1/1)	(1/1)
fasta_to_tabular	105841.0	622.0	fasta2tab	FASTA-to-Tabular converter								To update		Fasta Manipulation	fasta_to_tabular	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/fasta_to_tabular	https://github.com/galaxyproject/tools-devteam/tree/main/tools/fasta_to_tabular	1.1.1	python		(1/1)	(1/1)	(1/1)	(1/1)
fastq_trimmer_by_quality	5485.0	459.0	fastq_quality_trimmer	FASTQ Quality Trimmer by sliding window								Up-to-date		Fastq Manipulation	fastq_trimmer_by_quality	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/fastq_trimmer_by_quality	https://github.com/galaxyproject/tools-devteam/tree/main/tools/fastq_trimmer_by_quality	1.1.5	galaxy_sequence_utils	1.1.5	(1/1)	(1/1)	(1/1)	(1/1)
fastqsolexa_to_fasta_qual			fastqsolexa_to_fasta_qual	FASTQSOLEXA-to-FASTA-QUAL extracts sequences and quality scores from FASTQSOLEXA data								To update		Convert Formats, Fastq Manipulation	fastqsolexa_to_fasta_qual	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/fastqsolexa_to_fasta_qual	https://github.com/galaxyproject/tools-devteam/tree/main/tools/fastqsolexa_to_fasta_qual	1.0.0			(0/1)	(0/1)	(0/1)	(0/1)
featurecounter	22384.0	6.0	featureCoverage1	Feature coverage								To update		Sequence Analysis, Variant Analysis	featurecounter	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/featurecounter	https://github.com/galaxyproject/tools-devteam/tree/main/tools/featurecounter	2.0.0	bx-python	0.11.0	(1/1)	(0/1)	(1/1)	(0/1)
filter_transcripts_via_tracking	20.0	1.0	filter_combined_via_tracking	Filter Combined Transcripts								To update		RNA	filter_transcripts_via_tracking	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/filter_transcripts_via_tracking	https://github.com/galaxyproject/tools-devteam/tree/main/tools/filter_transcripts_via_tracking	0.1			(1/1)	(1/1)	(1/1)	(1/1)
