name	url
APOSTL	http://apostl.moffitt.org/
ChemFlow	https://vm-chemflow-francegrille.eu/
CIRM-CFBP	https://iris.angers.inra.fr/galaxypub-cfbp
Coloc-stats	https://hyperbrowser.uio.no/coloc-stats
Galaxy@AuBi	https://galaxy.mesocentre.uca.fr
Galaxy@Pasteur	https://galaxy.pasteur.fr/
GalaxyTrakr	https://galaxytrakr.org/
GASLINI	http://igg.cloud.ba.infn.it/galaxy
HyPhy HIV NGS Tools	https://galaxy.hyphy.org/
ImmPort Galaxy	https://www.immportgalaxy.org/
InteractoMIX	http://galaxy.interactomix.com/
IPK Galaxy Blast Suite	https://galaxy-web.ipk-gatersleben.de
Lebanese University Galaxy	http://galaxy.ul.edu.lb/
Mandoiu Lab	https://neo.engr.uconn.edu/
MISSISSIPPI	https://mississippi.sorbonne-universite.fr
Oqtans	http://galaxy.inf.ethz.ch
Palfinder	https://palfinder.ls.manchester.ac.uk/
PhagePromotor	https://galaxy.bio.di.uminho.pt/
UseGalaxy.org.au	https://usegalaxy.org.au
UseGalaxy.be	https://usegalaxy.be/
UseGalaxy.cz	https://usegalaxy.cz/
UseGalaxy.eu	https://usegalaxy.eu
UseGalaxy.fr	https://usegalaxy.fr/
UseGalaxy.no	https://usegalaxy.no/
UseGalaxy.org (Main)	https://usegalaxy.org
Viral Variant Visualizer (VVV)	https://viralvariant.anses.fr/
