tool_name,count
toolshed.g2.bx.psu.edu/repos/iuc/snpsift/snpSift_filter,3394539
__DATA_FETCH__,2965364
toolshed.g2.bx.psu.edu/repos/devteam/column_maker/Add_a_column1,2538327
toolshed.g2.bx.psu.edu/repos/bgruening/sdf_to_tab/sdf_to_tab,2165459
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_find_and_replace,2163843
Cut1,1957541
toolshed.g2.bx.psu.edu/repos/iuc/snpsift/snpSift_extractFields,1691155
toolshed.g2.bx.psu.edu/repos/iuc/lofreq_filter/lofreq_filter,1177118
Filter1,996794
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_replace_in_line,983499
toolshed.g2.bx.psu.edu/repos/iuc/lofreq_call/lofreq_call,978680
Grouping1,968537
toolshed.g2.bx.psu.edu/repos/devteam/vcfvcfintersect/vcfvcfintersect,968123
toolshed.g2.bx.psu.edu/repos/devteam/column_maker/Add_a_column1,962340
toolshed.g2.bx.psu.edu/repos/devteam/samtools_stats/samtools_stats,832421
toolshed.g2.bx.psu.edu/repos/iuc/lofreq_viterbi/lofreq_viterbi,764817
toolshed.g2.bx.psu.edu/repos/iuc/lofreq_indelqual/lofreq_indelqual,762289
toolshed.g2.bx.psu.edu/repos/iuc/snpeff_sars_cov_2/snpeff_sars_cov_2,760352
toolshed.g2.bx.psu.edu/repos/iuc/fastp/fastp,745736
toolshed.g2.bx.psu.edu/repos/iuc/samtools_view/samtools_view,711452
toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem,690614
toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc,686948
toolshed.g2.bx.psu.edu/repos/iuc/qualimap_bamqc/qualimap_bamqc,596604
toolshed.g2.bx.psu.edu/repos/bgruening/replace_column_by_key_value_file/replace_column_with_key_value_file,575809
toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed,567745
toolshed.g2.bx.psu.edu/repos/devteam/concat/gops_concat_1,564897
toolshed.g2.bx.psu.edu/repos/devteam/subtract/gops_subtract_1,563950
toolshed.g2.bx.psu.edu/repos/devteam/merge/gops_merge_1,563676
toolshed.g2.bx.psu.edu/repos/iuc/datamash_ops/datamash_ops,538882
toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc,511903
toolshed.g2.bx.psu.edu/repos/wolma/mimodd_main/mimodd_reheader,481328
toolshed.g2.bx.psu.edu/repos/iuc/abricate/abricate,461487
CONVERTER_gz_to_uncompressed,451451
toolshed.g2.bx.psu.edu/repos/iuc/bcftools_consensus/bcftools_consensus,410829
param_value_from_file,407478
toolshed.g2.bx.psu.edu/repos/bgruening/align_it/ctb_alignit,401585
toolshed.g2.bx.psu.edu/repos/devteam/intersect/gops_intersect_1,347433
toolshed.g2.bx.psu.edu/repos/iuc/lofreq_call/lofreq_call,345824
addValue,333404
toolshed.g2.bx.psu.edu/repos/devteam/join/gops_join_1,329173
toolshed.g2.bx.psu.edu/repos/devteam/get_flanks/get_flanks1,324373
toolshed.g2.bx.psu.edu/repos/iuc/bcftools_annotate/bcftools_annotate,318752
toolshed.g2.bx.psu.edu/repos/devteam/column_maker/Add_a_column1,289277
toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fasta/tab2fasta,288399
toolshed.g2.bx.psu.edu/repos/iuc/ivar_trim/ivar_trim,285517
toolshed.g2.bx.psu.edu/repos/iuc/ivar_removereads/ivar_removereads,281388
toolshed.g2.bx.psu.edu/repos/crs4/prokka/prokka,278588
toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates,274708
toolshed.g2.bx.psu.edu/repos/iuc/fastp/fastp,270583
toolshed.g2.bx.psu.edu/repos/peterjc/blastxml_to_top_descr/blastxml_to_top_descr,264327
toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem,233723
toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc,228979
toolshed.g2.bx.psu.edu/repos/iuc/featurecounts/featurecounts,208692
toolshed.g2.bx.psu.edu/repos/bgruening/align_it/ctb_alignit,201958
toolshed.g2.bx.psu.edu/repos/pjbriggs/trimmomatic/trimmomatic,199397
toolshed.g2.bx.psu.edu/repos/iuc/table_compute/table_compute,193110
toolshed.g2.bx.psu.edu/repos/iuc/featurecounts/featurecounts,191564
__SET_METADATA__,179859
toolshed.g2.bx.psu.edu/repos/iuc/ivar_trim/ivar_trim,172839
toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fasterq_dump,172066
cat1,171496
__FILTER_FAILED_DATASETS__,166122
toolshed.g2.bx.psu.edu/repos/bgruening/rdock_rbdock/rdock_rbdock,166117
__UNZIP_COLLECTION__,164984
toolshed.g2.bx.psu.edu/repos/devteam/fastqtofasta/fastq_to_fasta_python,157561
Grep1,156965
toolshed.g2.bx.psu.edu/repos/iuc/ivar_removereads/ivar_removereads,154539
toolshed.g2.bx.psu.edu/repos/iuc/ivar_trim/ivar_trim,151694
toolshed.g2.bx.psu.edu/repos/iuc/kraken2/kraken2,150473
toolshed.g2.bx.psu.edu/repos/bgruening/openbabel_compound_convert/openbabel_compound_convert,146431
toolshed.g2.bx.psu.edu/repos/iuc/porechop/porechop,145737
toolshed.g2.bx.psu.edu/repos/devteam/vcf2tsv/vcf2tsv,137889
Remove beginning1,137310
toolshed.g2.bx.psu.edu/repos/devteam/samtool_filter2/samtool_filter2,131235
toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2,128868
toolshed.g2.bx.psu.edu/repos/iuc/ivar_removereads/ivar_removereads,126695
toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2,126454
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_grep_tool,110874
sort1,109542
toolshed.g2.bx.psu.edu/repos/bgruening/trim_galore/trim_galore,108732
toolshed.g2.bx.psu.edu/repos/lparsons/htseq_count/htseq_count,101161
toolshed.g2.bx.psu.edu/repos/iuc/rgrnastar/rna_star,100574
toolshed.g2.bx.psu.edu/repos/bgruening/trim_galore/trim_galore,98789
toolshed.g2.bx.psu.edu/repos/iuc/rgrnastar/rna_star,98787
toolshed.g2.bx.psu.edu/repos/devteam/bamtools_filter/bamFilter,97043
toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2,97009
toolshed.g2.bx.psu.edu/repos/iuc/bcftools_consensus/bcftools_consensus,96438
toolshed.g2.bx.psu.edu/repos/iuc/filter_tabular/filter_tabular,89618
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_find_and_replace,86690
toolshed.g2.bx.psu.edu/repos/iuc/minimap2/minimap2,86026
toolshed.g2.bx.psu.edu/repos/bgruening/autodock_vina/docking,84140
CONVERTER_vcf_to_vcf_bgzip_0,83640
toolshed.g2.bx.psu.edu/repos/devteam/fastq_groomer/fastq_groomer,78330
toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2,77885
join1,76123
toolshed.g2.bx.psu.edu/repos/mvdbeek/add_input_name_as_column/addName,71245
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_awk_tool,71199
toolshed.g2.bx.psu.edu/repos/iuc/datamash_ops/datamash_ops,71157
toolshed.g2.bx.psu.edu/repos/pjbriggs/trimmomatic/trimmomatic,70854
toolshed.g2.bx.psu.edu/repos/devteam/column_maker/Add_a_column1,70667
toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff,69520
toolshed.g2.bx.psu.edu/repos/nml/mob_suite/mob_typer,69519
toolshed.g2.bx.psu.edu/repos/iuc/bcftools_consensus/bcftools_consensus,69023
CONVERTER_interval_to_bed_0,68823
toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes,65463
toolshed.g2.bx.psu.edu/repos/iuc/featurecounts/featurecounts,64956
toolshed.g2.bx.psu.edu/repos/iuc/minimap2/minimap2,64202
toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_blastn_wrapper,63485
toolshed.g2.bx.psu.edu/repos/bgruening/rxdock_rbdock/rxdock_rbdock,62979
toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft,62943
toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage,61391
toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_blastn_wrapper,61219
toolshed.g2.bx.psu.edu/repos/iuc/featurecounts/featurecounts,60815
toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_maskfastabed,60476
toolshed.g2.bx.psu.edu/repos/lparsons/cutadapt/cutadapt,60165
toolshed.g2.bx.psu.edu/repos/devteam/fasta_to_tabular/fasta2tab,59758
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sort_header_tool,59345
toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2,57730
toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie,57606
toolshed.g2.bx.psu.edu/repos/iuc/isescan/isescan,57581
toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft,56772
toolshed.g2.bx.psu.edu/repos/iuc/snippy/snippy,56420
toolshed.g2.bx.psu.edu/repos/iuc/fasttree/fasttree,55263
toolshed.g2.bx.psu.edu/repos/iuc/minimap2/minimap2,55127
toolshed.g2.bx.psu.edu/repos/devteam/samtools_rmdup/samtools_rmdup,54938
ebi_sra_main,54164
toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2,53678
toolshed.g2.bx.psu.edu/repos/iuc/rgrnastar/rna_star,53671
toolshed.g2.bx.psu.edu/repos/rnateam/graphclust_nspdk/nspdk_sparse,52861
toolshed.g2.bx.psu.edu/repos/iuc/integron_finder/integron_finder,52685
toolshed.g2.bx.psu.edu/repos/iuc/codeml/codeml,52110
toolshed.g2.bx.psu.edu/repos/iuc/qualimap_bamqc/qualimap_bamqc,49720
toolshed.g2.bx.psu.edu/repos/chemteam/gmx_sim/gmx_sim,48859
toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: geecee41,48517
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_cut_tool,46615
toolshed.g2.bx.psu.edu/repos/iuc/mitos2/mitos2,46177
toolshed.g2.bx.psu.edu/repos/devteam/fasta_to_tabular/fasta2tab,46083
toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc,45536
toolshed.g2.bx.psu.edu/repos/iuc/multiqc/multiqc,45202
toolshed.g2.bx.psu.edu/repos/iuc/datamash_transpose/datamash_transpose,45172
toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_callpeak,44124
toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix,43798
toolshed.g2.bx.psu.edu/repos/iuc/samtools_view/samtools_view,43354
toolshed.g2.bx.psu.edu/repos/bgruening/infernal/infernal_cmsearch,43020
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_easyjoin_tool,42954
toolshed.g2.bx.psu.edu/repos/crs4/muscle/muscle,42450
toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie,42422
toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2,42112
toolshed.g2.bx.psu.edu/repos/iuc/samtools_fastx/samtools_fastx,42075
toolshed.g2.bx.psu.edu/repos/iuc/featurecounts/featurecounts,41975
toolshed.g2.bx.psu.edu/repos/bgruening/rnaz/rnaz,41880
CONVERTER_fastq_to_fqtoc0,41782
toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_blastn_wrapper,41603
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_cat,41418
ucsc_table_direct1,41359
toolshed.g2.bx.psu.edu/repos/crs4/prokka/prokka,41232
toolshed.g2.bx.psu.edu/repos/bgruening/infernal/infernal_cmbuild,41028
toolshed.g2.bx.psu.edu/repos/iuc/multiqc/multiqc,40969
comp1,40864
toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap,40746
toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fasterq_dump,40575
toolshed.g2.bx.psu.edu/repos/ecology/ab1_fastq_converter/ab1_fastq_converter,40271
toolshed.g2.bx.psu.edu/repos/nilesh/rseqc/rseqc_infer_experiment,39609
toolshed.g2.bx.psu.edu/repos/galaxyp/regex_find_replace/regex1,39566
