tool_name,count
__DATA_FETCH__,6308
toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc,4469
toolshed.g2.bx.psu.edu/repos/iuc/multiqc/multiqc,2280
__SET_METADATA__,1910
upload1,1836
toolshed.g2.bx.psu.edu/repos/iuc/featurecounts/featurecounts,1583
toolshed.g2.bx.psu.edu/repos/lparsons/cutadapt/cutadapt,1581
toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2,1573
toolshed.g2.bx.psu.edu/repos/lecorguille/msnbase_readmsdata/msnbase_readmsdata,1374
CONVERTER_gz_to_uncompressed,1354
toolshed.g2.bx.psu.edu/repos/lecorguille/xcms_xcmsset/abims_xcms_xcmsSet,1310
toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2,1277
toolshed.g2.bx.psu.edu/repos/frogs/frogs/FROGS_preprocess,1268
toolshed.g2.bx.psu.edu/repos/lecorguille/xcms_group/abims_xcms_group,1224
toolshed.g2.bx.psu.edu/repos/frogs/frogs/FROGS_clustering,1217
toolshed.g2.bx.psu.edu/repos/lecorguille/xcms_merge/xcms_merge,1210
toolshed.g2.bx.psu.edu/repos/frogs/frogs/FROGS_remove_chimera,1141
toolshed.g2.bx.psu.edu/repos/lecorguille/xcms_plot_chromatogram/xcms_plot_chromatogram,1105
toolshed.g2.bx.psu.edu/repos/lecorguille/xcms_fillpeaks/abims_xcms_fillPeaks,1037
toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates,1021
toolshed.g2.bx.psu.edu/repos/iuc/rgrnastar/rna_star,1019
toolshed.g2.bx.psu.edu/repos/pjbriggs/trimmomatic/trimmomatic,1011
toolshed.g2.bx.psu.edu/repos/lecorguille/xcms_retcor/abims_xcms_retcor,984
Filter1,902
toolshed.g2.bx.psu.edu/repos/ethevenot/qualitymetrics/quality_metrics,902
toolshed.g2.bx.psu.edu/repos/iuc/collection_column_join/collection_column_join,892
toolshed.g2.bx.psu.edu/repos/lecorguille/camera_annotate/abims_CAMERA_annotateDiffreport,885
toolshed.g2.bx.psu.edu/repos/frogs/frogs/FROGS_clusters_stat,856
toolshed.g2.bx.psu.edu/repos/melpetera/generic_filter/generic_filter,850
toolshed.g2.bx.psu.edu/repos/ethevenot/multivariate/Multivariate,847
Cut1,825
toolshed.g2.bx.psu.edu/repos/iuc/deseq2/deseq2,824
toolshed.g2.bx.psu.edu/repos/nilesh/rseqc/rseqc_read_distribution,810
toolshed.g2.bx.psu.edu/repos/nilesh/rseqc/rseqc_infer_experiment,795
toolshed.g2.bx.psu.edu/repos/frogs/frogs/FROGS_OTU_filters,784
toolshed.g2.bx.psu.edu/repos/frogs/frogs/FROGS_affiliation_OTU,775
toolshed.g2.bx.psu.edu/repos/melpetera/batchcorrection/Batch_correction,751
CONVERTER_interval_to_bed12_0,743
toolshed.g2.bx.psu.edu/repos/frogs/frogs/FROGS_biom_to_tsv,708
toolshed.g2.bx.psu.edu/repos/lecorguille/xcms_export_samplemetadata/xcms_export_samplemetadata,693
toolshed.g2.bx.psu.edu/repos/frogs/frogs/FROGS_affiliations_stat,619
toolshed.g2.bx.psu.edu/repos/iuc/quast/quast,618
toolshed.g2.bx.psu.edu/repos/ethevenot/checkformat/checkFormat,610
toolshed.g2.bx.psu.edu/repos/frogs/frogs/FROGSSTAT_Phyloseq_Import_Data,600
toolshed.g2.bx.psu.edu/repos/ethevenot/univariate/Univariate,596
toolshed.g2.bx.psu.edu/repos/lparsons/htseq_count/htseq_count,555
toolshed.g2.bx.psu.edu/repos/devteam/bamtools_filter/bamFilter,523
toolshed.g2.bx.psu.edu/repos/frogs/frogs/FROGS_Tree,501
toolshed.g2.bx.psu.edu/repos/frogs/frogs/FROGSSTAT_Phyloseq_Composition_Visualisation,477
toolshed.g2.bx.psu.edu/repos/devteam/samtools_idxstats/samtools_idxstats,475
toolshed.g2.bx.psu.edu/repos/frogs/frogs/FROGS_cluster_filters,467
toolshed.g2.bx.psu.edu/repos/frogs/frogs/FROGS_taxonomic_affiliation,462
toolshed.g2.bx.psu.edu/repos/frogs/frogs/FROGSSTAT_Phyloseq_Beta_Diversity,442
toolshed.g2.bx.psu.edu/repos/frogs/frogs/FROGSSTAT_Phyloseq_Alpha_Diversity,428
toolshed.g2.bx.psu.edu/repos/crs4/prokka/prokka,424
toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_callpeak,423
join1,419
toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fasterq_dump,416
csv_to_tabular,413
toolshed.g2.bx.psu.edu/repos/frogs/frogs/FROGSSTAT_Phyloseq_Structure_Visualisation,405
toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff,403
__FLATTEN__,402
