tool_name,count
upload1,1762069
__DATA_FETCH__,1695191
toolshed.g2.bx.psu.edu/repos/iuc/abricate/abricate,556557
toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc,485637
toolshed.g2.bx.psu.edu/repos/crs4/prokka/prokka,199279
toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_blastn_wrapper,164597
toolshed.g2.bx.psu.edu/repos/pjbriggs/trimmomatic/trimmomatic,144168
CONVERTER_gz_to_uncompressed,144138
toolshed.g2.bx.psu.edu/repos/iuc/seqtk/seqtk_subseq,144065
Cut1,141636
toolshed.g2.bx.psu.edu/repos/iuc/fastp/fastp,99990
toolshed.g2.bx.psu.edu/repos/devteam/column_maker/Add_a_column1,98471
toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem,91175
toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2,88398
toolshed.g2.bx.psu.edu/repos/iuc/kraken2/kraken2,87806
toolshed.g2.bx.psu.edu/repos/lparsons/cutadapt/cutadapt,79748
toolshed.g2.bx.psu.edu/repos/iuc/featurecounts/featurecounts,79521
Filter1,74435
toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2,66910
toolshed.g2.bx.psu.edu/repos/devteam/samtools_stats/samtools_stats,62731
toolshed.g2.bx.psu.edu/repos/iuc/snippy/snippy,62679
toolshed.g2.bx.psu.edu/repos/iuc/samtools_view/samtools_view,59472
toolshed.g2.bx.psu.edu/repos/iuc/rgrnastar/rna_star,53560
Grep1,53137
toolshed.g2.bx.psu.edu/repos/iuc/snpsift/snpSift_filter,52231
toolshed.g2.bx.psu.edu/repos/iuc/multiqc/multiqc,49577
toolshed.g2.bx.psu.edu/repos/iuc/snpsift/snpSift_extractFields,49433
toolshed.g2.bx.psu.edu/repos/iuc/busco/busco,49227
cat1,49193
toolshed.g2.bx.psu.edu/repos/iuc/quast/quast,46644
toolshed.g2.bx.psu.edu/repos/iuc/porechop/porechop,46371
toolshed.g2.bx.psu.edu/repos/nml/spades/spades,45695
toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_blastp_wrapper,44461
toolshed.g2.bx.psu.edu/repos/nml/mob_suite/mob_recon,43790
__SET_METADATA__,39061
toolshed.g2.bx.psu.edu/repos/iuc/lofreq_call/lofreq_call,37875
toolshed.g2.bx.psu.edu/repos/bgruening/diamond/bg_diamond,37422
toolshed.g2.bx.psu.edu/repos/bgruening/trim_galore/trim_galore,36616
toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates,36001
toolshed.g2.bx.psu.edu/repos/iuc/lofreq_filter/lofreq_filter,35759
toolshed.g2.bx.psu.edu/repos/iuc/bcftools_consensus/bcftools_consensus,35421
toolshed.g2.bx.psu.edu/repos/iuc/qualimap_bamqc/qualimap_bamqc,34269
toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed,34256
toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fasta/tab2fasta,34115
toolshed.g2.bx.psu.edu/repos/iuc/bakta/bakta,33530
toolshed.g2.bx.psu.edu/repos/iuc/bwa_mem2/bwa_mem2,31047
toolshed.g2.bx.psu.edu/repos/iuc/snpeff_sars_cov_2/snpeff_sars_cov_2,30784
toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump,30418
toolshed.g2.bx.psu.edu/repos/iuc/shovill/shovill,30312
toolshed.g2.bx.psu.edu/repos/iuc/minimap2/minimap2,29827
toolshed.g2.bx.psu.edu/repos/bgruening/diamond/bg_diamond_makedb,27823
toolshed.g2.bx.psu.edu/repos/iuc/lofreq_viterbi/lofreq_viterbi,26659
toolshed.g2.bx.psu.edu/repos/iuc/lofreq_indelqual/lofreq_indelqual,26536
toolshed.g2.bx.psu.edu/repos/iuc/nanoplot/nanoplot,25741
toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie,25688
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_awk_tool,24680
toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fasterq_dump,24302
toolshed.g2.bx.psu.edu/repos/galaxyp/eggnog_mapper/eggnog_mapper,24276
toolshed.g2.bx.psu.edu/repos/devteam/fastx_collapser/cshl_fastx_collapser,23810
CONVERTER_fasta_to_tabular,23249
toolshed.g2.bx.psu.edu/repos/nml/mob_suite/mob_typer,22735
toolshed.g2.bx.psu.edu/repos/iuc/unicycler/unicycler,22717
toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft,22629
