tool_name,count
__DATA_FETCH__,21244
toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc,16002
upload1,7369
toolshed.g2.bx.psu.edu/repos/iuc/multiqc/multiqc,7040
toolshed.g2.bx.psu.edu/repos/pjbriggs/trimmomatic/trimmomatic,6132
CONVERTER_gz_to_uncompressed,5688
__SET_METADATA__,5533
toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2,5266
toolshed.g2.bx.psu.edu/repos/nml/spades/spades,5211
toolshed.g2.bx.psu.edu/repos/crs4/prokka/prokka,5094
toolshed.g2.bx.psu.edu/repos/iuc/quast/quast,4849
toolshed.g2.bx.psu.edu/repos/lparsons/cutadapt/cutadapt,4256
toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2,4158
toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump,3415
toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem,3413
toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fasterq_dump,3393
toolshed.g2.bx.psu.edu/repos/iuc/jbrowse/jbrowse,3208
toolshed.g2.bx.psu.edu/repos/iuc/bandage/bandage_image,3140
toolshed.g2.bx.psu.edu/repos/iuc/busco/busco,3096
Filter1,3094
toolshed.g2.bx.psu.edu/repos/iuc/fastp/fastp,3030
toolshed.g2.bx.psu.edu/repos/iuc/deseq2/deseq2,2980
Cut1,2962
toolshed.g2.bx.psu.edu/repos/iuc/nanoplot/nanoplot,2940
toolshed.g2.bx.psu.edu/repos/iuc/featurecounts/featurecounts,2872
toolshed.g2.bx.psu.edu/repos/iuc/datamash_ops/datamash_ops,2485
toolshed.g2.bx.psu.edu/repos/iuc/kraken2/kraken2,2412
toolshed.g2.bx.psu.edu/repos/iuc/unicycler/unicycler,2392
toolshed.g2.bx.psu.edu/repos/bgruening/flye/flye,2250
toolshed.g2.bx.psu.edu/repos/iuc/snippy/snippy,2223
toolshed.g2.bx.psu.edu/repos/iuc/fasta_stats/fasta-stats,2195
toolshed.g2.bx.psu.edu/repos/lparsons/htseq_count/htseq_count,2158
toolshed.g2.bx.psu.edu/repos/devteam/velvet/velveth,2097
csv_to_tabular,2005
toolshed.g2.bx.psu.edu/repos/crs4/taxonomy_krona_chart/taxonomy_krona_chart,2005
toolshed.g2.bx.psu.edu/repos/devteam/fastq_quality_filter/cshl_fastq_quality_filter,1994
toolshed.g2.bx.psu.edu/repos/devteam/velvet/velvetg,1938
toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes,1921
toolshed.g2.bx.psu.edu/repos/iuc/abricate/abricate,1867
Remove beginning1,1866
CONVERTER_fasta_to_tabular,1835
toolshed.g2.bx.psu.edu/repos/bgruening/trim_galore/trim_galore,1722
Grouping1,1677
testtoolshed.g2.bx.psu.edu/repos/jchung/generate_count_matrix/generate_count_matrix,1672
toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_interlacer/fastq_paired_end_interlacer,1649
sort1,1537
toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates,1462
toolshed.g2.bx.psu.edu/repos/iuc/rgrnastar/rna_star,1461
toolshed.g2.bx.psu.edu/repos/iuc/minimap2/minimap2,1454
toolshed.g2.bx.psu.edu/repos/iuc/mothur_unique_seqs/mothur_unique_seqs,1447
toolshed.g2.bx.psu.edu/repos/iuc/shovill/shovill,1425
toolshed.g2.bx.psu.edu/repos/iuc/mothur_align_seqs/mothur_align_seqs,1403
toolshed.g2.bx.psu.edu/repos/iuc/mothur_summary_seqs/mothur_summary_seqs,1399
toolshed.g2.bx.psu.edu/repos/iuc/mothur_screen_seqs/mothur_screen_seqs,1391
toolshed.g2.bx.psu.edu/repos/devteam/samtools_stats/samtools_stats,1371
toolshed.g2.bx.psu.edu/repos/iuc/porechop/porechop,1362
toolshed.g2.bx.psu.edu/repos/iuc/mothur_count_seqs/mothur_count_seqs,1349
cat1,1345
toolshed.g2.bx.psu.edu/repos/devteam/samtools_idxstats/samtools_idxstats,1344
toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_blastn_wrapper,1316
toolshed.g2.bx.psu.edu/repos/iuc/fastqe/fastqe,1316
toolshed.g2.bx.psu.edu/repos/iuc/ggplot2_point/ggplot2_point,1297
toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft,1279
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sorted_uniq,1273
toolshed.g2.bx.psu.edu/repos/iuc/annotatemyids/annotatemyids,1250
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sort_header_tool,1216
toolshed.g2.bx.psu.edu/repos/iuc/mothur_filter_seqs/mothur_filter_seqs,1213
toolshed.g2.bx.psu.edu/repos/iuc/mothur_pre_cluster/mothur_pre_cluster,1208
toolshed.g2.bx.psu.edu/repos/iuc/deg_annotate/deg_annotate,1207
toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff,1196
toolshed.g2.bx.psu.edu/repos/nml/staramr/staramr_search,1173
toolshed.g2.bx.psu.edu/repos/iuc/iqtree/iqtree,1165
CONVERTER_fastq_to_fqtoc0,1163
toolshed.g2.bx.psu.edu/repos/iuc/mothur_make_contigs/mothur_make_contigs,1159
ucsc_table_direct1,1154
toolshed.g2.bx.psu.edu/repos/iuc/ncbi_acc_download/ncbi_acc_download,1153
toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed,1153
toolshed.g2.bx.psu.edu/repos/iuc/mlst/mlst,1137
toolshed.g2.bx.psu.edu/repos/iuc/newick_utils/newick_display,1114
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_cut_tool,1105
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_cat,1102
toolshed.g2.bx.psu.edu/repos/devteam/column_maker/Add_a_column1,1099
toolshed.g2.bx.psu.edu/repos/iuc/mothur_classify_seqs/mothur_classify_seqs,1096
Grep1,1090
toolshed.g2.bx.psu.edu/repos/iuc/bwa_mem2/bwa_mem2,1058
tabular_to_csv,1047
CONVERTER_ref_to_seq_taxomony,1039
join1,1016
toolshed.g2.bx.psu.edu/repos/iuc/mothur_cluster_split/mothur_cluster_split,1014
toolshed.g2.bx.psu.edu/repos/iuc/mothur_make_shared/mothur_make_shared,1002
toolshed.g2.bx.psu.edu/repos/iuc/volcanoplot/volcanoplot,1001
toolshed.g2.bx.psu.edu/repos/iuc/mothur_classify_otu/mothur_classify_otu,988
toolshed.g2.bx.psu.edu/repos/iuc/pilon/pilon,985
toolshed.g2.bx.psu.edu/repos/nml/collapse_collections/collapse_dataset,972
toolshed.g2.bx.psu.edu/repos/iuc/samtools_view/samtools_view,961
toolshed.g2.bx.psu.edu/repos/devteam/samtools_flagstat/samtools_flagstat,931
toolshed.g2.bx.psu.edu/repos/iuc/edger/edger,928
