tool_name,count
__DATA_FETCH__,8035144
upload1,7849277
toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc,3950576
ucsc_table_direct1,1835279
toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2,1057729
toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2,1024724
toolshed.g2.bx.psu.edu/repos/pjbriggs/trimmomatic/trimmomatic,1020862
toolshed.g2.bx.psu.edu/repos/iuc/featurecounts/featurecounts,995817
Filter1,964158
Cut1,866777
CONVERTER_gz_to_uncompressed,797760
__SET_METADATA__,789775
toolshed.g2.bx.psu.edu/repos/devteam/fastq_groomer/fastq_groomer,781366
toolshed.g2.bx.psu.edu/repos/devteam/column_maker/Add_a_column1,601939
toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem,589610
Grouping1,584168
toolshed.g2.bx.psu.edu/repos/iuc/fastp/fastp,537410
join1,523068
toolshed.g2.bx.psu.edu/repos/crs4/prokka/prokka,506432
gops_intersect_1,501932
toolshed.g2.bx.psu.edu/repos/iuc/rgrnastar/rna_star,501167
toolshed.g2.bx.psu.edu/repos/lparsons/cutadapt/cutadapt,482165
toolshed.g2.bx.psu.edu/repos/lparsons/htseq_count/htseq_count,434409
toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie,422578
toolshed.g2.bx.psu.edu/repos/bgruening/trim_galore/trim_galore,418931
Grep1,414559
cat1,404986
toolshed.g2.bx.psu.edu/repos/iuc/abricate/abricate,398454
ebi_sra_main,386312
toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump,385366
toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fasterq_dump,371391
toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_blastp_wrapper,352048
toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2,345476
toolshed.g2.bx.psu.edu/repos/devteam/join/gops_join_1,344317
toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks,314558
toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage,309512
addValue,289709
toolshed.g2.bx.psu.edu/repos/devteam/intersect/gops_intersect_1,289166
toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates,287639
toolshed.g2.bx.psu.edu/repos/iuc/deseq2/deseq2,286575
toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix,260035
toolshed.g2.bx.psu.edu/repos/devteam/fastqtofasta/fastq_to_fasta_python,259843
toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_blastn_wrapper,253749
sort1,241170
toolshed.g2.bx.psu.edu/repos/iuc/multiqc/multiqc,238124
Extract genomic DNA 1,235823
comp1,234327
toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes,232276
toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed,230690
toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap,229110
toolshed.g2.bx.psu.edu/repos/iuc/kraken2/kraken2,224149
toolshed.g2.bx.psu.edu/repos/devteam/samtools_stats/samtools_stats,223431
toolshed.g2.bx.psu.edu/repos/bgruening/autodock_vina/docking,222617
