tool_name,count
__DATA_FETCH__,139624
toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc,101879
upload1,46597
toolshed.g2.bx.psu.edu/repos/pjbriggs/trimmomatic/trimmomatic,45190
__SET_METADATA__,34767
CONVERTER_gz_to_uncompressed,34469
toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2,34023
toolshed.g2.bx.psu.edu/repos/iuc/multiqc/multiqc,32237
toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2,28716
toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fasterq_dump,27873
toolshed.g2.bx.psu.edu/repos/iuc/deseq2/deseq2,27214
toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump,26885
toolshed.g2.bx.psu.edu/repos/iuc/featurecounts/featurecounts,26510
toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem,23003
toolshed.g2.bx.psu.edu/repos/lparsons/cutadapt/cutadapt,22476
Filter1,20062
toolshed.g2.bx.psu.edu/repos/iuc/rgrnastar/rna_star,17153
ucsc_table_direct1,16211
toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes,14740
toolshed.g2.bx.psu.edu/repos/crs4/prokka/prokka,14547
Cut1,14168
toolshed.g2.bx.psu.edu/repos/nml/spades/spades,14023
toolshed.g2.bx.psu.edu/repos/iuc/fastp/fastp,13972
toolshed.g2.bx.psu.edu/repos/bgruening/trim_galore/trim_galore,13276
toolshed.g2.bx.psu.edu/repos/iuc/quast/quast,13078
sra_source,12371
toolshed.g2.bx.psu.edu/repos/lparsons/htseq_count/htseq_count,11193
toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates,11191
join1,11147
toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa,9744
CONVERTER_bam_to_bigwig_0,9491
toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_callpeak,9434
toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff,9198
toolshed.g2.bx.psu.edu/repos/devteam/samtools_stats/samtools_stats,9122
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sort_header_tool,8936
Grouping1,8794
CONVERTER_fasta_to_tabular,8616
toolshed.g2.bx.psu.edu/repos/devteam/fastq_groomer/fastq_groomer,8079
toolshed.g2.bx.psu.edu/repos/devteam/samtools_idxstats/samtools_idxstats,8050
sort1,7973
csv_to_tabular,7902
cat1,7644
toolshed.g2.bx.psu.edu/repos/iuc/kraken2/kraken2,7561
toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed,7556
toolshed.g2.bx.psu.edu/repos/devteam/samtools_flagstat/samtools_flagstat,7536
toolshed.g2.bx.psu.edu/repos/iuc/jbrowse/jbrowse,7372
toolshed.g2.bx.psu.edu/repos/iuc/samtools_view/samtools_view,7171
CONVERTER_fastq_to_fqtoc0,7072
toolshed.g2.bx.psu.edu/repos/iuc/volcanoplot/volcanoplot,6962
toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie,6876
CONVERTER_interval_to_bed_0,6873
toolshed.g2.bx.psu.edu/repos/iuc/annotatemyids/annotatemyids,6704
toolshed.g2.bx.psu.edu/repos/devteam/column_maker/Add_a_column1,6681
toolshed.g2.bx.psu.edu/repos/iuc/deg_annotate/deg_annotate,6635
toolshed.g2.bx.psu.edu/repos/iuc/ggplot2_heatmap2/ggplot2_heatmap2,6555
toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage,6511
toolshed.g2.bx.psu.edu/repos/crs4/taxonomy_krona_chart/taxonomy_krona_chart,6438
toolshed.g2.bx.psu.edu/repos/devteam/join/gops_join_1,6315
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_cut_tool,6226
toolshed.g2.bx.psu.edu/repos/devteam/fastq_quality_filter/cshl_fastq_quality_filter,6202
CONVERTER_bed_gff_or_vcf_to_bigwig_0,6170
toolshed.g2.bx.psu.edu/repos/iuc/fastqe/fastqe,6143
toolshed.g2.bx.psu.edu/repos/iuc/edger/edger,6109
toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2,6082
toolshed.g2.bx.psu.edu/repos/devteam/samtools_sort/samtools_sort,6078
toolshed.g2.bx.psu.edu/repos/devteam/bamtools_filter/bamFilter,6066
tabular_to_csv,6053
Grep1,6026
toolshed.g2.bx.psu.edu/repos/devteam/bam_to_sam/bam_to_sam,6004
toolshed.g2.bx.psu.edu/repos/iuc/unicycler/unicycler,5770
CONVERTER_bam_to_coodinate_sorted_bam,5757
toolshed.g2.bx.psu.edu/repos/devteam/fastqtofasta/fastq_to_fasta_python,5714
__FLATTEN__,5641
toolshed.g2.bx.psu.edu/repos/iuc/minimap2/minimap2,5535
comp1,5509
toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks,5434
toolshed.g2.bx.psu.edu/repos/devteam/vcffilter/vcffilter2,5382
toolshed.g2.bx.psu.edu/repos/iuc/collection_column_join/collection_column_join,5333
toolshed.g2.bx.psu.edu/repos/iuc/limma_voom/limma_voom,5247
toolshed.g2.bx.psu.edu/repos/iuc/busco/busco,5194
toolshed.g2.bx.psu.edu/repos/iuc/datamash_ops/datamash_ops,5183
CONVERTER_uncompressed_to_gz,5174
toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sam_dump,5156
CONVERTER_interval_to_bedstrict_0,5095
toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_blastn_wrapper,5091
toolshed.g2.bx.psu.edu/repos/devteam/samtools_rmdup/samtools_rmdup,5030
toolshed.g2.bx.psu.edu/repos/devteam/samtools_mpileup/samtools_mpileup,4957
toolshed.g2.bx.psu.edu/repos/devteam/velvet/velveth,4951
toolshed.g2.bx.psu.edu/repos/iuc/shovill/shovill,4933
toolshed.g2.bx.psu.edu/repos/iuc/bwa_mem2/bwa_mem2,4910
toolshed.g2.bx.psu.edu/repos/iuc/nanoplot/nanoplot,4903
toolshed.g2.bx.psu.edu/repos/iuc/bandage/bandage_image,4846
toolshed.g2.bx.psu.edu/repos/iuc/lofreq_call/lofreq_call,4705
toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft,4659
toolshed.g2.bx.psu.edu/repos/iuc/ncbi_acc_download/ncbi_acc_download,4656
toolshed.g2.bx.psu.edu/repos/devteam/samtool_filter2/samtool_filter2,4603
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_cat,4587
Show beginning1,4485
Remove beginning1,4475
toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_interlacer/fastq_paired_end_interlacer,4447
toolshed.g2.bx.psu.edu/repos/devteam/fastx_quality_statistics/cshl_fastx_quality_statistics,4427
toolshed.g2.bx.psu.edu/repos/devteam/intersect/gops_intersect_1,4361
toolshed.g2.bx.psu.edu/repos/iuc/fasta_stats/fasta-stats,4298
toolshed.g2.bx.psu.edu/repos/nml/collapse_collections/collapse_dataset,4256
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_head_tool,4217
CONVERTER_fasta_to_fai,4184
toolshed.g2.bx.psu.edu/repos/bgruening/flye/flye,4110
toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix,4103
toolshed.g2.bx.psu.edu/repos/nilesh/rseqc/rseqc_infer_experiment,4079
toolshed.g2.bx.psu.edu/repos/iuc/snippy/snippy,4057
toolshed.g2.bx.psu.edu/repos/iuc/mothur_make_contigs/mothur_make_contigs,4027
toolshed.g2.bx.psu.edu/repos/devteam/clustalw/clustalw,3966
toolshed.g2.bx.psu.edu/repos/iuc/bcftools_mpileup/bcftools_mpileup,3943
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_replace_in_line,3940
toolshed.g2.bx.psu.edu/repos/iuc/charts/charts,3936
toolshed.g2.bx.psu.edu/repos/devteam/velvet/velvetg,3894
toolshed.g2.bx.psu.edu/repos/iuc/mothur_unique_seqs/mothur_unique_seqs,3891
toolshed.g2.bx.psu.edu/repos/iuc/gtftobed12/gtftobed12,3850
toolshed.g2.bx.psu.edu/repos/iuc/trinity/trinity,3769
toolshed.g2.bx.psu.edu/repos/devteam/cuffdiff/cuffdiff,3733
toolshed.g2.bx.psu.edu/repos/iuc/mothur_screen_seqs/mothur_screen_seqs,3727
toolshed.g2.bx.psu.edu/repos/iuc/mothur_summary_seqs/mothur_summary_seqs,3725
toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff_download,3692
toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie_merge,3652
toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_SortSam,3644
toolshed.g2.bx.psu.edu/repos/iuc/mothur_align_seqs/mothur_align_seqs,3614
toolshed.g2.bx.psu.edu/repos/iuc/qualimap_bamqc/qualimap_bamqc,3586
toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_bamtobed,3576
toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap,3533
toolshed.g2.bx.psu.edu/repos/iuc/goseq/goseq,3528
toolshed.g2.bx.psu.edu/repos/iuc/mothur_count_seqs/mothur_count_seqs,3460
CONVERTER_gff_to_bed_0,3411
toolshed.g2.bx.psu.edu/repos/iuc/abricate/abricate,3401
toolshed.g2.bx.psu.edu/repos/iuc/bcftools_call/bcftools_call,3387
toolshed.g2.bx.psu.edu/repos/bgruening/salmon/salmon,3368
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_replace_in_column,3361
toolshed.g2.bx.psu.edu/repos/iuc/snpsift/snpSift_extractFields,3160
toolshed.g2.bx.psu.edu/repos/iuc/porechop/porechop,3090
toolshed.g2.bx.psu.edu/repos/iuc/ncbi_datasets/datasets_download_genome,3022
toolshed.g2.bx.psu.edu/repos/devteam/fastq_to_fasta/cshl_fastq_to_fasta,3019
CONVERTER_vcf_bgzip_to_tabix_0,2998
CONVERTER_interval_to_bgzip_0,2989
toolshed.g2.bx.psu.edu/repos/devteam/fastq_trimmer_by_quality/fastq_quality_trimmer,2977
__EXPORT_HISTORY__,2955
toolshed.g2.bx.psu.edu/repos/devteam/gffread/gffread,2944
CONVERTER_interval_to_bed12_0,2927
toolshed.g2.bx.psu.edu/repos/iuc/fasttree/fasttree,2879
