tool_name,count
__DATA_FETCH__,61078
toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc,50192
upload1,33695
toolshed.g2.bx.psu.edu/repos/iuc/multiqc/multiqc,23093
__SET_METADATA__,21619
CONVERTER_gz_to_uncompressed,19455
toolshed.g2.bx.psu.edu/repos/pjbriggs/trimmomatic/trimmomatic,17716
toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2,14869
Cut1,14367
toolshed.g2.bx.psu.edu/repos/iuc/featurecounts/featurecounts,14160
toolshed.g2.bx.psu.edu/repos/lparsons/cutadapt/cutadapt,14098
toolshed.g2.bx.psu.edu/repos/iuc/deseq2/deseq2,13765
Filter1,13601
toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2,12102
toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem,11596
toolshed.g2.bx.psu.edu/repos/iuc/rgrnastar/rna_star,11573
toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fasterq_dump,11447
toolshed.g2.bx.psu.edu/repos/iuc/quast/quast,9298
toolshed.g2.bx.psu.edu/repos/crs4/prokka/prokka,8940
ucsc_table_direct1,8680
toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes,8458
join1,8376
toolshed.g2.bx.psu.edu/repos/iuc/fastp/fastp,8191
toolshed.g2.bx.psu.edu/repos/iuc/kraken2/kraken2,7500
CONVERTER_interval_to_bedstrict_0,7424
toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump,7106
toolshed.g2.bx.psu.edu/repos/bgruening/trim_galore/trim_galore,7088
toolshed.g2.bx.psu.edu/repos/nml/spades/spades,7086
cat1,6993
toolshed.g2.bx.psu.edu/repos/devteam/column_maker/Add_a_column1,6780
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sort_header_tool,6502
toolshed.g2.bx.psu.edu/repos/iuc/nanoplot/nanoplot,6460
toolshed.g2.bx.psu.edu/repos/iuc/jbrowse/jbrowse,6348
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_cat,6332
toolshed.g2.bx.psu.edu/repos/crs4/taxonomy_krona_chart/taxonomy_krona_chart,6170
CONVERTER_fasta_to_tabular,5853
toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff,5823
toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates,5775
CONVERTER_interval_to_bed_0,5699
sort1,5665
toolshed.g2.bx.psu.edu/repos/iuc/ggplot2_heatmap2/ggplot2_heatmap2,5657
toolshed.g2.bx.psu.edu/repos/devteam/samtools_stats/samtools_stats,5397
Grouping1,5339
Grep1,5336
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_replace_in_line,5100
toolshed.g2.bx.psu.edu/repos/devteam/samtools_idxstats/samtools_idxstats,5066
toolshed.g2.bx.psu.edu/repos/iuc/minimap2/minimap2,4934
toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed,4901
toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_callpeak,4810
toolshed.g2.bx.psu.edu/repos/lparsons/htseq_count/htseq_count,4730
toolshed.g2.bx.psu.edu/repos/nilesh/rseqc/rseqc_infer_experiment,4705
toolshed.g2.bx.psu.edu/repos/iuc/deg_annotate/deg_annotate,4695
toolshed.g2.bx.psu.edu/repos/iuc/collection_column_join/collection_column_join,4568
CONVERTER_fastq_to_fqtoc0,4564
toolshed.g2.bx.psu.edu/repos/devteam/fastq_quality_filter/cshl_fastq_quality_filter,4544
toolshed.g2.bx.psu.edu/repos/iuc/samtools_view/samtools_view,4529
toolshed.g2.bx.psu.edu/repos/iuc/busco/busco,4523
toolshed.g2.bx.psu.edu/repos/iuc/unicycler/unicycler,4473
csv_to_tabular,4446
toolshed.g2.bx.psu.edu/repos/iuc/bandage/bandage_image,4419
toolshed.g2.bx.psu.edu/repos/iuc/gtftobed12/gtftobed12,4280
toolshed.g2.bx.psu.edu/repos/iuc/volcanoplot/volcanoplot,4259
toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage,4210
Remove beginning1,4163
toolshed.g2.bx.psu.edu/repos/nml/collapse_collections/collapse_dataset,4151
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_cut_tool,4071
toolshed.g2.bx.psu.edu/repos/devteam/fastqtofasta/fastq_to_fasta_python,4060
toolshed.g2.bx.psu.edu/repos/devteam/samtools_rmdup/samtools_rmdup,4025
comp1,4014
toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_blastn_wrapper,3980
__FLATTEN__,3947
