tool_name,count
toolshed.g2.bx.psu.edu/repos/lecorguille/xcms_xcmsset/abims_xcms_xcmsSet,1184919
toolshed.g2.bx.psu.edu/repos/lecorguille/msnbase_readmsdata/msnbase_readmsdata,1106868
__DATA_FETCH__,963233
upload1,385886
toolshed.g2.bx.psu.edu/repos/lecorguille/xcms_summary/abims_xcms_summary,239428
toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc,145075
toolshed.g2.bx.psu.edu/repos/galaxyp/eggnog_mapper/eggnog_mapper,65214
toolshed.g2.bx.psu.edu/repos/lecorguille/xcms_group/abims_xcms_group,57278
toolshed.g2.bx.psu.edu/repos/ethevenot/multivariate/Multivariate,41232
toolshed.g2.bx.psu.edu/repos/melpetera/generic_filter/generic_filter,38047
toolshed.g2.bx.psu.edu/repos/lparsons/cutadapt/cutadapt,36413
toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2,33729
toolshed.g2.bx.psu.edu/repos/iuc/featurecounts/featurecounts,33407
toolshed.g2.bx.psu.edu/repos/iuc/multiqc/multiqc,30918
toolshed.g2.bx.psu.edu/repos/pjbriggs/trimmomatic/trimmomatic,29186
toolshed.g2.bx.psu.edu/repos/lecorguille/xcms_retcor/abims_xcms_retcor,27152
toolshed.g2.bx.psu.edu/repos/ethevenot/qualitymetrics/quality_metrics,25907
toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2,22790
toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates,22159
toolshed.g2.bx.psu.edu/repos/lecorguille/xcms_merge/xcms_merge,21316
toolshed.g2.bx.psu.edu/repos/nilesh/rseqc/rseqc_infer_experiment,21056
toolshed.g2.bx.psu.edu/repos/nilesh/rseqc/rseqc_read_distribution,20669
CONVERTER_gz_to_uncompressed,20606
toolshed.g2.bx.psu.edu/repos/iuc/fastp/fastp,18568
toolshed.g2.bx.psu.edu/repos/lecorguille/xcms_fillpeaks/abims_xcms_fillPeaks,17708
toolshed.g2.bx.psu.edu/repos/lecorguille/camera_annotate/abims_CAMERA_annotateDiffreport,14397
toolshed.g2.bx.psu.edu/repos/lecorguille/xcms_plot_chromatogram/xcms_plot_chromatogram,13962
toolshed.g2.bx.psu.edu/repos/frogs/frogs/FROGS_preprocess,12896
toolshed.g2.bx.psu.edu/repos/melpetera/batchcorrection/Batch_correction,12592
toolshed.g2.bx.psu.edu/repos/ethevenot/checkformat/checkFormat,12521
toolshed.g2.bx.psu.edu/repos/iuc/abricate/abricate,11525
Cut1,11187
