tool_name,count
__DATA_FETCH__,6563825
upload1,2665776
toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc,2501919
ucsc_table_direct1,1074057
toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2,715633
toolshed.g2.bx.psu.edu/repos/iuc/featurecounts/featurecounts,698749
toolshed.g2.bx.psu.edu/repos/pjbriggs/trimmomatic/trimmomatic,676874
CONVERTER_gz_to_uncompressed,609709
toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2,593568
toolshed.g2.bx.psu.edu/repos/iuc/fastp/fastp,466144
toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem,377977
toolshed.g2.bx.psu.edu/repos/crs4/prokka/prokka,377905
Cut1,362755
toolshed.g2.bx.psu.edu/repos/lparsons/cutadapt/cutadapt,359429
toolshed.g2.bx.psu.edu/repos/iuc/rgrnastar/rna_star,349798
toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_blastp_wrapper,340369
toolshed.g2.bx.psu.edu/repos/iuc/abricate/abricate,340010
Filter1,329293
toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fasterq_dump,327593
toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie,304092
toolshed.g2.bx.psu.edu/repos/devteam/column_maker/Add_a_column1,263706
toolshed.g2.bx.psu.edu/repos/bgruening/trim_galore/trim_galore,260025
__SET_METADATA__,259835
toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump,255943
toolshed.g2.bx.psu.edu/repos/lparsons/htseq_count/htseq_count,213121
toolshed.g2.bx.psu.edu/repos/bgruening/autodock_vina/docking,204823
toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_blastn_wrapper,201680
param_value_from_file,197498
toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates,196265
toolshed.g2.bx.psu.edu/repos/bgruening/align_it/ctb_alignit,195915
toolshed.g2.bx.psu.edu/repos/iuc/snpsift/snpSift_filter,192348
toolshed.g2.bx.psu.edu/repos/iuc/deseq2/deseq2,188764
toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage,187005
toolshed.g2.bx.psu.edu/repos/devteam/samtools_stats/samtools_stats,185961
toolshed.g2.bx.psu.edu/repos/iuc/multiqc/multiqc,182446
toolshed.g2.bx.psu.edu/repos/iuc/snpsift/snpSift_extractFields,177006
toolshed.g2.bx.psu.edu/repos/bgruening/sdf_to_tab/sdf_to_tab,175214
Grep1,170106
toolshed.g2.bx.psu.edu/repos/iuc/lofreq_call/lofreq_call,167627
toolshed.g2.bx.psu.edu/repos/iuc/kraken2/kraken2,167119
toolshed.g2.bx.psu.edu/repos/devteam/fastq_groomer/fastq_groomer,165562
toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix,165209
toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2,155305
toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap,150221
cat1,147210
toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed,141396
toolshed.g2.bx.psu.edu/repos/iuc/samtools_view/samtools_view,140365
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_find_and_replace,139616
toolshed.g2.bx.psu.edu/repos/devteam/fastqtofasta/fastq_to_fasta_python,139433
toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_callpeak,137321
join1,131926
toolshed.g2.bx.psu.edu/repos/iuc/minimap2/minimap2,127377
toolshed.g2.bx.psu.edu/repos/devteam/samtool_filter2/samtool_filter2,126142
toolshed.g2.bx.psu.edu/repos/devteam/fastx_trimmer/cshl_fastx_trimmer,125452
toolshed.g2.bx.psu.edu/repos/iuc/lofreq_viterbi/lofreq_viterbi,123141
toolshed.g2.bx.psu.edu/repos/iuc/lofreq_filter/lofreq_filter,120285
ebi_sra_main,114738
toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes,113236
sra_source,112712
toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft,112026
toolshed.g2.bx.psu.edu/repos/iuc/dada2_filterandtrim/dada2_filterAndTrim,110598
toolshed.g2.bx.psu.edu/repos/iuc/lofreq_indelqual/lofreq_indelqual,108974
toolshed.g2.bx.psu.edu/repos/iuc/snippy/snippy,107711
toolshed.g2.bx.psu.edu/repos/nml/spades/spades,106813
__UNZIP_COLLECTION__,101032
toolshed.g2.bx.psu.edu/repos/iuc/porechop/porechop,100549
toolshed.g2.bx.psu.edu/repos/devteam/bamtools_filter/bamFilter,98496
toolshed.g2.bx.psu.edu/repos/iuc/qualimap_bamqc/qualimap_bamqc,97852
toolshed.g2.bx.psu.edu/repos/iuc/snpeff_sars_cov_2/snpeff_sars_cov_2,97025
toolshed.g2.bx.psu.edu/repos/bgruening/salmon/salmon,93359
toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff,92919
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_cut_tool,87552
toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa,86935
Grouping1,85128
toolshed.g2.bx.psu.edu/repos/iuc/datamash_ops/datamash_ops,79944
toolshed.g2.bx.psu.edu/repos/devteam/samtools_idxstats/samtools_idxstats,79415
toolshed.g2.bx.psu.edu/repos/devteam/fastx_collapser/cshl_fastx_collapser,77689
toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2,75292
toolshed.g2.bx.psu.edu/repos/devteam/vcffilter/vcffilter2,74909
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_replace_in_line,72298
toolshed.g2.bx.psu.edu/repos/iuc/kallisto_quant/kallisto_quant,72246
CONVERTER_fastq_to_fqtoc0,72195
toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fasta/tab2fasta,69958
toolshed.g2.bx.psu.edu/repos/iuc/bcftools_consensus/bcftools_consensus,69207
toolshed.g2.bx.psu.edu/repos/iuc/seqtk/seqtk_subseq,68949
toolshed.g2.bx.psu.edu/repos/devteam/fasta_to_tabular/fasta2tab,68214
toolshed.g2.bx.psu.edu/repos/iuc/ggplot2_heatmap2/ggplot2_heatmap2,67874
toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed,66638
toolshed.g2.bx.psu.edu/repos/iuc/quast/quast,66080
toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks,65979
toolshed.g2.bx.psu.edu/repos/devteam/samtools_flagstat/samtools_flagstat,65936
toolshed.g2.bx.psu.edu/repos/devteam/vcfvcfintersect/vcfvcfintersect,65241
toolshed.g2.bx.psu.edu/repos/iuc/mitos2/mitos2,64232
toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_makeblastdb,63810
toolshed.g2.bx.psu.edu/repos/guerler/hhsuite/hhsearch,62274
toolshed.g2.bx.psu.edu/repos/iuc/unicycler/unicycler,61814
toolshed.g2.bx.psu.edu/repos/iuc/volcanoplot/volcanoplot,61543
toolshed.g2.bx.psu.edu/repos/iuc/annotatemyids/annotatemyids,60687
toolshed.g2.bx.psu.edu/repos/devteam/bamtools/bamtools,60638
toolshed.g2.bx.psu.edu/repos/devteam/samtools_sort/samtools_sort,57534
toolshed.g2.bx.psu.edu/repos/iuc/ivar_trim/ivar_trim,57423
sort1,57193
toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile,57158
toolshed.g2.bx.psu.edu/repos/iuc/dada2_mergepairs/dada2_mergePairs,56507
csv_to_tabular,55851
toolshed.g2.bx.psu.edu/repos/iuc/bwa_mem2/bwa_mem2,54684
toolshed.g2.bx.psu.edu/repos/devteam/samtools_rmdup/samtools_rmdup,54372
toolshed.g2.bx.psu.edu/repos/devteam/clustalw/clustalw,53695
CONVERTER_bam_to_bigwig_0,53612
toolshed.g2.bx.psu.edu/repos/iuc/mothur_unique_seqs/mothur_unique_seqs,53587
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_awk_tool,53385
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sort_header_tool,53073
toolshed.g2.bx.psu.edu/repos/devteam/fastq_combiner/fastq_combiner,52480
toolshed.g2.bx.psu.edu/repos/iuc/nanoplot/nanoplot,52272
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sed_tool,51715
toolshed.g2.bx.psu.edu/repos/galaxyp/filter_by_fasta_ids/filter_by_fasta_ids,50058
toolshed.g2.bx.psu.edu/repos/devteam/fasta_filter_by_length/fasta_filter_by_length,49515
toolshed.g2.bx.psu.edu/repos/iuc/bandage/bandage_image,49247
toolshed.g2.bx.psu.edu/repos/devteam/subtract/gops_subtract_1,49053
toolshed.g2.bx.psu.edu/repos/devteam/fastq_quality_filter/cshl_fastq_quality_filter,48714
toolshed.g2.bx.psu.edu/repos/iuc/shovill/shovill,48711
CONVERTER_interval_to_bed_0,48666
toolshed.g2.bx.psu.edu/repos/iuc/limma_voom/limma_voom,48656
toolshed.g2.bx.psu.edu/repos/bgruening/autodock_vina_prepare_box/prepare_box,48575
CONVERTER_bam_to_coodinate_sorted_bam,48202
toolshed.g2.bx.psu.edu/repos/devteam/join/gops_join_1,47410
toolshed.g2.bx.psu.edu/repos/iuc/mothur_summary_seqs/mothur_summary_seqs,47333
toolshed.g2.bx.psu.edu/repos/iuc/edger/edger,47124
toolshed.g2.bx.psu.edu/repos/nilesh/rseqc/rseqc_infer_experiment,46896
toolshed.g2.bx.psu.edu/repos/devteam/merge/gops_merge_1,46387
toolshed.g2.bx.psu.edu/repos/devteam/intersect/gops_intersect_1,46292
toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: sixpack90,45776
toolshed.g2.bx.psu.edu/repos/devteam/fastq_to_fasta/cshl_fastq_to_fasta,45571
toolshed.g2.bx.psu.edu/repos/devteam/fastx_barcode_splitter/cshl_fastx_barcode_splitter,44990
toolshed.g2.bx.psu.edu/repos/devteam/bam_to_sam/bam_to_sam,44220
toolshed.g2.bx.psu.edu/repos/devteam/concat/gops_concat_1,43601
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_cat,43206
toolshed.g2.bx.psu.edu/repos/iuc/busco/busco,43139
toolshed.g2.bx.psu.edu/repos/bgruening/replace_column_by_key_value_file/replace_column_with_key_value_file,42943
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_easyjoin_tool,42104
toolshed.g2.bx.psu.edu/repos/devteam/velvet/velveth,41749
toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_bamtobed,41620
tabular_to_csv,41389
toolshed.g2.bx.psu.edu/repos/lparsons/fastq_join/fastq_join,41283
comp1,41068
Remove beginning1,40935
toolshed.g2.bx.psu.edu/repos/iuc/mothur_make_contigs/mothur_make_contigs,38837
toolshed.g2.bx.psu.edu/repos/galaxyp/fasta_merge_files_and_filter_unique_sequences/fasta_merge_files_and_filter_unique_sequences,38138
toolshed.g2.bx.psu.edu/repos/iuc/mothur_screen_seqs/mothur_screen_seqs,37776
toolshed.g2.bx.psu.edu/repos/devteam/fastq_filter/fastq_filter,37231
toolshed.g2.bx.psu.edu/repos/iuc/deg_annotate/deg_annotate,37060
toolshed.g2.bx.psu.edu/repos/q2d2/qiime2_core__tools__import/qiime2_core__tools__import,36195
CONVERTER_bed_gff_or_vcf_to_bigwig_0,34921
toolshed.g2.bx.psu.edu/repos/devteam/freebayes/bamleftalign,34696
toolshed.g2.bx.psu.edu/repos/rnateam/chipseeker/chipseeker,34564
toolshed.g2.bx.psu.edu/repos/iuc/ivar_consensus/ivar_consensus,34123
toolshed.g2.bx.psu.edu/repos/iuc/filtlong/filtlong,34007
wig_to_bigWig,33492
toolshed.g2.bx.psu.edu/repos/iuc/fasta_stats/fasta-stats,32853
toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_getfastabed,31806
