tool_name,count
upload1,156245
toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc,145310
__DATA_FETCH__,115541
ucsc_table_direct1,73257
__SET_METADATA__,72505
toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2,55056
toolshed.g2.bx.psu.edu/repos/pjbriggs/trimmomatic/trimmomatic,54707
Filter1,41260
CONVERTER_gz_to_uncompressed,37999
Grouping1,37960
toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2,36924
sort1,36096
toolshed.g2.bx.psu.edu/repos/devteam/fastq_groomer/fastq_groomer,35312
toolshed.g2.bx.psu.edu/repos/iuc/deseq2/deseq2,34723
toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem,34093
toolshed.g2.bx.psu.edu/repos/iuc/multiqc/multiqc,32836
toolshed.g2.bx.psu.edu/repos/devteam/join/gops_join_1,32204
toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump,31946
Cut1,31725
join1,31578
toolshed.g2.bx.psu.edu/repos/iuc/featurecounts/featurecounts,30432
toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2,27686
toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fasterq_dump,26870
toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes,24075
toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks,23342
toolshed.g2.bx.psu.edu/repos/lparsons/cutadapt/cutadapt,22709
toolshed.g2.bx.psu.edu/repos/iuc/rgrnastar/rna_star,20022
comp1,19814
CONVERTER_bam_to_bigwig_0,19743
Show beginning1,19273
toolshed.g2.bx.psu.edu/repos/devteam/cuffdiff/cuffdiff,18156
toolshed.g2.bx.psu.edu/repos/bgruening/trim_galore/trim_galore,17960
CONVERTER_interval_to_bedstrict_0,17635
toolshed.g2.bx.psu.edu/repos/lparsons/htseq_count/htseq_count,17606
toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates,17366
toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa,16677
CONVERTER_bed_gff_or_vcf_to_bigwig_0,16462
ebi_sra_main,16352
cat1,15376
CONVERTER_fasta_to_tabular,14501
toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_callpeak,14389
toolshed.g2.bx.psu.edu/repos/devteam/samtools_flagstat/samtools_flagstat,14346
toolshed.g2.bx.psu.edu/repos/crs4/prokka/prokka,14164
CONVERTER_interval_to_bed_0,14054
toolshed.g2.bx.psu.edu/repos/devteam/bowtie_wrappers/bowtie_wrapper,13836
toolshed.g2.bx.psu.edu/repos/devteam/bam_to_sam/bam_to_sam,13610
toolshed.g2.bx.psu.edu/repos/devteam/cuffmerge/cuffmerge,12849
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_cut_tool,12844
Grep1,12759
toolshed.g2.bx.psu.edu/repos/devteam/sam_to_bam/sam_to_bam,12757
toolshed.g2.bx.psu.edu/repos/nml/spades/spades,12499
toolshed.g2.bx.psu.edu/repos/iuc/fastp/fastp,12428
CONVERTER_fastq_to_fqtoc0,12400
toolshed.g2.bx.psu.edu/repos/iuc/quast/quast,12385
toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff,12385
toolshed.g2.bx.psu.edu/repos/devteam/bwa_wrappers/bwa_wrapper,12282
toolshed.g2.bx.psu.edu/repos/devteam/samtools_mpileup/samtools_mpileup,11959
toolshed.g2.bx.psu.edu/repos/devteam/fastq_quality_filter/cshl_fastq_quality_filter,11843
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sort_header_tool,11522
toolshed.g2.bx.psu.edu/repos/devteam/samtools_stats/samtools_stats,11496
toolshed.g2.bx.psu.edu/repos/devteam/bamtools_filter/bamFilter,11234
toolshed.g2.bx.psu.edu/repos/devteam/fastqtofasta/fastq_to_fasta_python,11225
toolshed.g2.bx.psu.edu/repos/devteam/vcffilter/vcffilter2,11121
toolshed.g2.bx.psu.edu/repos/devteam/column_maker/Add_a_column1,11028
sra_source,10992
toolshed.g2.bx.psu.edu/repos/devteam/samtools_idxstats/samtools_idxstats,10891
toolshed.g2.bx.psu.edu/repos/devteam/samtool_filter2/samtool_filter2,10678
toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie,10575
toolshed.g2.bx.psu.edu/repos/devteam/samtools_sort/samtools_sort,10514
__EXPORT_HISTORY__,10338
toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage,10122
toolshed.g2.bx.psu.edu/repos/devteam/fastq_trimmer_by_quality/fastq_quality_trimmer,10095
fastq_groomer,10029
CONVERTER_bed_to_bgzip_0,9953
CONVERTER_bed_to_fli_0,9517
Extract genomic DNA 1,9477
toolshed.g2.bx.psu.edu/repos/devteam/intersect/gops_intersect_1,9468
CONVERTER_bam_to_coodinate_sorted_bam,9249
toolshed.g2.bx.psu.edu/repos/devteam/macs/peakcalling_macs,9116
toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed,8985
toolshed.g2.bx.psu.edu/repos/devteam/fastq_stats/fastq_stats,8914
Convert characters1,8875
Remove beginning1,8745
CONVERTER_sam_to_bam,8654
CONVERTER_vcf_bgzip_to_tabix_0,8647
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_head_tool,8622
CONVERTER_bed_to_tabix_0,8379
toolshed.g2.bx.psu.edu/repos/iuc/unicycler/unicycler,8063
toolshed.g2.bx.psu.edu/repos/iuc/edger/edger,7920
CONVERTER_vcf_to_vcf_bgzip_0,7836
toolshed.g2.bx.psu.edu/repos/devteam/samtools_rmdup/samtools_rmdup,7816
csv_to_tabular,7697
toolshed.g2.bx.psu.edu/repos/devteam/fastx_quality_statistics/cshl_fastx_quality_statistics,7564
toolshed.g2.bx.psu.edu/repos/iuc/ggplot2_heatmap2/ggplot2_heatmap2,7526
gops_join_1,7509
toolshed.g2.bx.psu.edu/repos/devteam/table_annovar/table_annovar,7461
toolshed.g2.bx.psu.edu/repos/devteam/fastq_filter/fastq_filter,7348
toolshed.g2.bx.psu.edu/repos/devteam/fastx_trimmer/cshl_fastx_trimmer,7338
Summary_Statistics1,7273
toolshed.g2.bx.psu.edu/repos/iuc/annotatemyids/annotatemyids,7241
CONVERTER_gff_to_bed_0,7051
Count1,7031
CONVERTER_gff_to_interval_index_0,6942
toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeSamFiles,6930
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_cat,6923
toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_AddOrReplaceReadGroups,6803
toolshed.g2.bx.psu.edu/repos/iuc/jbrowse/jbrowse,6771
toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sam_dump,6738
toolshed.g2.bx.psu.edu/repos/crs4/taxonomy_krona_chart/taxonomy_krona_chart,6644
toolshed.g2.bx.psu.edu/repos/iuc/samtools_view/samtools_view,6550
toolshed.g2.bx.psu.edu/repos/devteam/fastq_trimmer/fastq_trimmer,6500
