tool_name,count
__DATA_FETCH__,4596764
upload1,4149338
toolshed.g2.bx.psu.edu/repos/devteam/column_maker/Add_a_column1,3906009
toolshed.g2.bx.psu.edu/repos/iuc/snpsift/snpSift_filter,3429603
toolshed.g2.bx.psu.edu/repos/bgruening/sdf_to_tab/sdf_to_tab,2576611
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_find_and_replace,2273418
Cut1,2034965
toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc,1912667
toolshed.g2.bx.psu.edu/repos/iuc/snpsift/snpSift_extractFields,1701341
toolshed.g2.bx.psu.edu/repos/iuc/lofreq_call/lofreq_call,1376775
toolshed.g2.bx.psu.edu/repos/iuc/lofreq_filter/lofreq_filter,1200469
toolshed.g2.bx.psu.edu/repos/iuc/fastp/fastp,1127109
Filter1,1022729
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_replace_in_line,1000467
toolshed.g2.bx.psu.edu/repos/devteam/vcfvcfintersect/vcfvcfintersect,976933
Grouping1,973357
toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem,957297
toolshed.g2.bx.psu.edu/repos/devteam/samtools_stats/samtools_stats,889354
toolshed.g2.bx.psu.edu/repos/iuc/samtools_view/samtools_view,850227
toolshed.g2.bx.psu.edu/repos/iuc/lofreq_viterbi/lofreq_viterbi,806385
toolshed.g2.bx.psu.edu/repos/iuc/lofreq_indelqual/lofreq_indelqual,791115
toolshed.g2.bx.psu.edu/repos/iuc/featurecounts/featurecounts,770281
toolshed.g2.bx.psu.edu/repos/iuc/snpeff_sars_cov_2/snpeff_sars_cov_2,764895
toolshed.g2.bx.psu.edu/repos/iuc/qualimap_bamqc/qualimap_bamqc,673988
toolshed.g2.bx.psu.edu/repos/bgruening/align_it/ctb_alignit,647515
toolshed.g2.bx.psu.edu/repos/iuc/ivar_trim/ivar_trim,626399
toolshed.g2.bx.psu.edu/repos/iuc/datamash_ops/datamash_ops,625348
toolshed.g2.bx.psu.edu/repos/iuc/bcftools_consensus/bcftools_consensus,624311
toolshed.g2.bx.psu.edu/repos/iuc/abricate/abricate,616275
toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed,590783
toolshed.g2.bx.psu.edu/repos/bgruening/replace_column_by_key_value_file/replace_column_with_key_value_file,577312
toolshed.g2.bx.psu.edu/repos/devteam/concat/gops_concat_1,575438
toolshed.g2.bx.psu.edu/repos/devteam/subtract/gops_subtract_1,567119
toolshed.g2.bx.psu.edu/repos/devteam/merge/gops_merge_1,566630
toolshed.g2.bx.psu.edu/repos/iuc/ivar_removereads/ivar_removereads,566520
CONVERTER_gz_to_uncompressed,537386
toolshed.g2.bx.psu.edu/repos/wolma/mimodd_main/mimodd_reheader,481369
toolshed.g2.bx.psu.edu/repos/crs4/prokka/prokka,476554
toolshed.g2.bx.psu.edu/repos/iuc/rgrnastar/rna_star,464407
toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2,426831
param_value_from_file,425836
toolshed.g2.bx.psu.edu/repos/pjbriggs/trimmomatic/trimmomatic,383014
toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2,353495
toolshed.g2.bx.psu.edu/repos/devteam/intersect/gops_intersect_1,349454
toolshed.g2.bx.psu.edu/repos/iuc/minimap2/minimap2,349075
addValue,333791
toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fasta/tab2fasta,332957
toolshed.g2.bx.psu.edu/repos/devteam/join/gops_join_1,330742
toolshed.g2.bx.psu.edu/repos/iuc/bcftools_annotate/bcftools_annotate,329502
toolshed.g2.bx.psu.edu/repos/devteam/get_flanks/get_flanks1,324793
toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates,321647
toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fasterq_dump,293526
toolshed.g2.bx.psu.edu/repos/bgruening/trim_galore/trim_galore,274534
