tool_name,count
__DATA_FETCH__,50497
toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc,41344
upload1,29424
toolshed.g2.bx.psu.edu/repos/iuc/multiqc/multiqc,19342
__SET_METADATA__,17428
CONVERTER_gz_to_uncompressed,16523
toolshed.g2.bx.psu.edu/repos/pjbriggs/trimmomatic/trimmomatic,14547
toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2,12133
Cut1,11939
toolshed.g2.bx.psu.edu/repos/lparsons/cutadapt/cutadapt,11716
toolshed.g2.bx.psu.edu/repos/iuc/featurecounts/featurecounts,11698
toolshed.g2.bx.psu.edu/repos/iuc/deseq2/deseq2,11350
Filter1,10813
toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem,10144
toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fasterq_dump,10098
toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2,10045
toolshed.g2.bx.psu.edu/repos/iuc/rgrnastar/rna_star,9589
toolshed.g2.bx.psu.edu/repos/iuc/quast/quast,7787
toolshed.g2.bx.psu.edu/repos/crs4/prokka/prokka,7475
join1,6958
toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes,6911
toolshed.g2.bx.psu.edu/repos/iuc/fastp/fastp,6847
toolshed.g2.bx.psu.edu/repos/iuc/kraken2/kraken2,6384
ucsc_table_direct1,6356
CONVERTER_interval_to_bedstrict_0,5891
toolshed.g2.bx.psu.edu/repos/bgruening/trim_galore/trim_galore,5733
toolshed.g2.bx.psu.edu/repos/nml/spades/spades,5683
toolshed.g2.bx.psu.edu/repos/iuc/nanoplot/nanoplot,5671
toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump,5550
cat1,5473
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_cat,5433
toolshed.g2.bx.psu.edu/repos/devteam/column_maker/Add_a_column1,5422
toolshed.g2.bx.psu.edu/repos/iuc/jbrowse/jbrowse,5330
toolshed.g2.bx.psu.edu/repos/crs4/taxonomy_krona_chart/taxonomy_krona_chart,5257
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sort_header_tool,5171
toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates,4867
toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff,4821
CONVERTER_fasta_to_tabular,4810
toolshed.g2.bx.psu.edu/repos/iuc/ggplot2_heatmap2/ggplot2_heatmap2,4645
toolshed.g2.bx.psu.edu/repos/devteam/samtools_stats/samtools_stats,4643
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_replace_in_line,4425
toolshed.g2.bx.psu.edu/repos/iuc/minimap2/minimap2,4323
CONVERTER_interval_to_bed_0,4309
Grep1,4225
sort1,4180
Grouping1,4107
toolshed.g2.bx.psu.edu/repos/iuc/deg_annotate/deg_annotate,4084
toolshed.g2.bx.psu.edu/repos/devteam/samtools_idxstats/samtools_idxstats,4053
toolshed.g2.bx.psu.edu/repos/iuc/samtools_view/samtools_view,3940
