tool_name,count
__DATA_FETCH__,15623
toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc,15432
upload1,12382
toolshed.g2.bx.psu.edu/repos/pjbriggs/trimmomatic/trimmomatic,5975
toolshed.g2.bx.psu.edu/repos/iuc/multiqc/multiqc,5900
toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2,5695
__SET_METADATA__,5575
toolshed.g2.bx.psu.edu/repos/nml/spades/spades,5397
CONVERTER_gz_to_uncompressed,5143
toolshed.g2.bx.psu.edu/repos/crs4/prokka/prokka,4947
toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2,4271
toolshed.g2.bx.psu.edu/repos/iuc/quast/quast,4127
toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem,3898
toolshed.g2.bx.psu.edu/repos/iuc/jbrowse/jbrowse,3640
toolshed.g2.bx.psu.edu/repos/lparsons/cutadapt/cutadapt,3627
Filter1,3233
toolshed.g2.bx.psu.edu/repos/iuc/deseq2/deseq2,2905
toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump,2859
toolshed.g2.bx.psu.edu/repos/lparsons/htseq_count/htseq_count,2854
toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fasterq_dump,2842
Cut1,2572
toolshed.g2.bx.psu.edu/repos/iuc/busco/busco,2525
toolshed.g2.bx.psu.edu/repos/iuc/featurecounts/featurecounts,2463
toolshed.g2.bx.psu.edu/repos/iuc/bandage/bandage_image,2405
toolshed.g2.bx.psu.edu/repos/iuc/snippy/snippy,2391
toolshed.g2.bx.psu.edu/repos/iuc/fastp/fastp,2242
toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes,2226
toolshed.g2.bx.psu.edu/repos/iuc/nanoplot/nanoplot,2188
testtoolshed.g2.bx.psu.edu/repos/jchung/generate_count_matrix/generate_count_matrix,2139
toolshed.g2.bx.psu.edu/repos/iuc/unicycler/unicycler,2080
toolshed.g2.bx.psu.edu/repos/devteam/fastq_quality_filter/cshl_fastq_quality_filter,2043
toolshed.g2.bx.psu.edu/repos/iuc/fasta_stats/fasta-stats,1957
toolshed.g2.bx.psu.edu/repos/devteam/velvet/velveth,1882
toolshed.g2.bx.psu.edu/repos/iuc/datamash_ops/datamash_ops,1871
toolshed.g2.bx.psu.edu/repos/devteam/velvet/velvetg,1731
toolshed.g2.bx.psu.edu/repos/iuc/abricate/abricate,1697
CONVERTER_fasta_to_tabular,1682
toolshed.g2.bx.psu.edu/repos/iuc/kraken2/kraken2,1663
toolshed.g2.bx.psu.edu/repos/bgruening/flye/flye,1624
ucsc_table_direct1,1612
csv_to_tabular,1603
Remove beginning1,1598
toolshed.g2.bx.psu.edu/repos/crs4/taxonomy_krona_chart/taxonomy_krona_chart,1584
sort1,1581
toolshed.g2.bx.psu.edu/repos/iuc/mothur_unique_seqs/mothur_unique_seqs,1543
Grouping1,1539
toolshed.g2.bx.psu.edu/repos/bgruening/trim_galore/trim_galore,1527
toolshed.g2.bx.psu.edu/repos/iuc/mothur_summary_seqs/mothur_summary_seqs,1471
toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_interlacer/fastq_paired_end_interlacer,1442
toolshed.g2.bx.psu.edu/repos/iuc/mothur_align_seqs/mothur_align_seqs,1441
toolshed.g2.bx.psu.edu/repos/iuc/mothur_screen_seqs/mothur_screen_seqs,1437
toolshed.g2.bx.psu.edu/repos/iuc/mothur_count_seqs/mothur_count_seqs,1430
toolshed.g2.bx.psu.edu/repos/devteam/samtools_idxstats/samtools_idxstats,1419
toolshed.g2.bx.psu.edu/repos/iuc/rgrnastar/rna_star,1393
toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_blastn_wrapper,1387
toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates,1360
toolshed.g2.bx.psu.edu/repos/devteam/samtools_stats/samtools_stats,1348
CONVERTER_fastq_to_fqtoc0,1258
toolshed.g2.bx.psu.edu/repos/iuc/mothur_filter_seqs/mothur_filter_seqs,1255
toolshed.g2.bx.psu.edu/repos/devteam/samtools_flagstat/samtools_flagstat,1251
toolshed.g2.bx.psu.edu/repos/iuc/mothur_pre_cluster/mothur_pre_cluster,1246
toolshed.g2.bx.psu.edu/repos/simon-gladman/velvetoptimiser/velvetoptimiser,1230
toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff,1223
toolshed.g2.bx.psu.edu/repos/iuc/shovill/shovill,1199
toolshed.g2.bx.psu.edu/repos/iuc/minimap2/minimap2,1166
toolshed.g2.bx.psu.edu/repos/iuc/mothur_classify_seqs/mothur_classify_seqs,1165
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_cut_tool,1142
toolshed.g2.bx.psu.edu/repos/iuc/mothur_make_contigs/mothur_make_contigs,1118
toolshed.g2.bx.psu.edu/repos/iuc/mlst/mlst,1108
CONVERTER_ref_to_seq_taxomony,1107
toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft,1096
toolshed.g2.bx.psu.edu/repos/iuc/mothur_cluster_split/mothur_cluster_split,1091
toolshed.g2.bx.psu.edu/repos/devteam/fastq_groomer/fastq_groomer,1073
toolshed.g2.bx.psu.edu/repos/iuc/mothur_make_shared/mothur_make_shared,1067
toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa,1056
toolshed.g2.bx.psu.edu/repos/iuc/mothur_classify_otu/mothur_classify_otu,1054
toolshed.g2.bx.psu.edu/repos/iuc/annotatemyids/annotatemyids,1049
toolshed.g2.bx.psu.edu/repos/iuc/porechop/porechop,1037
toolshed.g2.bx.psu.edu/repos/devteam/bam_to_sam/bam_to_sam,1027
toolshed.g2.bx.psu.edu/repos/iuc/ggplot2_point/ggplot2_point,1022
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sorted_uniq,1020
toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2,1012
Grep1,1002
join1,997
toolshed.g2.bx.psu.edu/repos/iuc/iqtree/iqtree,992
toolshed.g2.bx.psu.edu/repos/iuc/fastqe/fastqe,991
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_cat,980
toolshed.g2.bx.psu.edu/repos/devteam/column_maker/Add_a_column1,974
toolshed.g2.bx.psu.edu/repos/iuc/ncbi_acc_download/ncbi_acc_download,972
toolshed.g2.bx.psu.edu/repos/iuc/mothur_taxonomy_to_krona/mothur_taxonomy_to_krona,950
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sort_header_tool,932
cat1,906
toolshed.g2.bx.psu.edu/repos/iuc/volcanoplot/volcanoplot,905
toolshed.g2.bx.psu.edu/repos/iuc/newick_utils/newick_display,899
toolshed.g2.bx.psu.edu/repos/iuc/edger/edger,892
CONVERTER_bam_to_bigwig_0,891
toolshed.g2.bx.psu.edu/repos/iuc/mothur_chimera_vsearch/mothur_chimera_vsearch,886
CONVERTER_interval_to_bed_0,868
toolshed.g2.bx.psu.edu/repos/nml/staramr/staramr_search,864
toolshed.g2.bx.psu.edu/repos/iuc/mothur_remove_seqs/mothur_remove_seqs,861
toolshed.g2.bx.psu.edu/repos/iuc/raxml/raxml,849
toolshed.g2.bx.psu.edu/repos/devteam/kraken_report/kraken-report,848
toolshed.g2.bx.psu.edu/repos/iuc/deg_annotate/deg_annotate,846
toolshed.g2.bx.psu.edu/repos/iuc/limma_voom/limma_voom,842
toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks,836
toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed,836
toolshed.g2.bx.psu.edu/repos/nml/collapse_collections/collapse_dataset,835
tabular_to_csv,787
toolshed.g2.bx.psu.edu/repos/iuc/trinity/trinity,784
toolshed.g2.bx.psu.edu/repos/iuc/mothur_remove_lineage/mothur_remove_lineage,782
toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken,764
CONVERTER_fasta_to_fai,762
toolshed.g2.bx.psu.edu/repos/iuc/maker/maker,752
toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_makeblastdb,746
toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie,744
toolshed.g2.bx.psu.edu/repos/iuc/pilon/pilon,741
toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: getorf42,737
toolshed.g2.bx.psu.edu/repos/devteam/gffread/gffread,732
CONVERTER_bam_to_coodinate_sorted_bam,729
toolshed.g2.bx.psu.edu/repos/devteam/clustalw/clustalw,728
toolshed.g2.bx.psu.edu/repos/iuc/qualimap_bamqc/qualimap_bamqc,726
toolshed.g2.bx.psu.edu/repos/iuc/ggplot2_heatmap2/ggplot2_heatmap2,724
toolshed.g2.bx.psu.edu/repos/iuc/bandage/bandage_info,716
__EXPORT_HISTORY__,714
toolshed.g2.bx.psu.edu/repos/iuc/bwa_mem2/bwa_mem2,713
toolshed.g2.bx.psu.edu/repos/iuc/samtools_view/samtools_view,705
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_replace_in_line,705
toolshed.g2.bx.psu.edu/repos/iuc/collection_column_join/collection_column_join,701
toolshed.g2.bx.psu.edu/repos/devteam/samtools_rmdup/samtools_rmdup,699
toolshed.g2.bx.psu.edu/repos/devteam/samtool_filter2/samtool_filter2,695
toolshed.g2.bx.psu.edu/repos/simon-gladman/fasta_stats/fasta-stats,693
toolshed.g2.bx.psu.edu/repos/iuc/mothur_merge_files/mothur_merge_files,692
toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage,691
toolshed.g2.bx.psu.edu/repos/iuc/mothur_count_groups/mothur_count_groups,688
toolshed.g2.bx.psu.edu/repos/iuc/fasttree/fasttree,681
comp1,679
toolshed.g2.bx.psu.edu/repos/devteam/fastqtofasta/fastq_to_fasta_python,679
toolshed.g2.bx.psu.edu/repos/iuc/mothur_sub_sample/mothur_sub_sample,665
toolshed.g2.bx.psu.edu/repos/devteam/samtools_sort/samtools_sort,648
toolshed.g2.bx.psu.edu/repos/saskia-hiltemann/krona_text/krona-text,648
toolshed.g2.bx.psu.edu/repos/iuc/mothur_make_group/mothur_make_group,638
toolshed.g2.bx.psu.edu/repos/iuc/lofreq_call/lofreq_call,636
toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_callpeak,624
toolshed.g2.bx.psu.edu/repos/devteam/cuffdiff/cuffdiff,616
toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff_download,614
toolshed.g2.bx.psu.edu/repos/devteam/fastq_to_fasta/cshl_fastq_to_fasta,609
toolshed.g2.bx.psu.edu/repos/iuc/mothur_rarefaction_single/mothur_rarefaction_single,608
toolshed.g2.bx.psu.edu/repos/devteam/samtools_mpileup/samtools_mpileup,607
CONVERTER_gff_to_bed_0,606
toolshed.g2.bx.psu.edu/repos/vipints/fml_gff3togtf/fml_gtf2gff,605
toolshed.g2.bx.psu.edu/repos/bgruening/interproscan/interproscan,595
toolshed.g2.bx.psu.edu/repos/iuc/fastqc/fastqc,594
__FLATTEN__,593
toolshed.g2.bx.psu.edu/repos/iuc/filtlong/filtlong,593
toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_SortSam,592
toolshed.g2.bx.psu.edu/repos/devteam/xy_plot/XY_Plot_1,590
toolshed.g2.bx.psu.edu/repos/bgruening/salmon/salmon,585
toolshed.g2.bx.psu.edu/repos/iuc/snippy/snippy_core,578
toolshed.g2.bx.psu.edu/repos/devteam/cuffmerge/cuffmerge,573
toolshed.g2.bx.psu.edu/repos/nilesh/rseqc/rseqc_infer_experiment,568
testtoolshed.g2.bx.psu.edu/repos/fubar/htseq_bams_to_count_matrix/htseqsams2mxlocal,567
toolshed.g2.bx.psu.edu/repos/devteam/intersect/gops_intersect_1,561
toolshed.g2.bx.psu.edu/repos/iuc/snpeff_sars_cov_2/snpeff_sars_cov_2,561
toolshed.g2.bx.psu.edu/repos/iuc/roary/roary,555
toolshed.g2.bx.psu.edu/repos/iuc/mothur_summary_single/mothur_summary_single,549
toolshed.g2.bx.psu.edu/repos/iuc/goseq/goseq,545
toolshed.g2.bx.psu.edu/repos/devteam/sam_pileup/sam_pileup,542
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_head_tool,539
CONVERTER_fasta_to_len,538
toolshed.g2.bx.psu.edu/repos/iuc/mothur_dist_shared/mothur_dist_shared,536
CONVERTER_interval_to_bedstrict_0,529
toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_blastp_wrapper,523
CONVERTER_len_to_linecount,522
toolshed.g2.bx.psu.edu/repos/iuc/mothur_heatmap_sim/mothur_heatmap_sim,519
toolshed.g2.bx.psu.edu/repos/iuc/mothur_venn/mothur_venn,516
toolshed.g2.bx.psu.edu/repos/iuc/mothur_remove_groups/mothur_remove_groups,511
toolshed.g2.bx.psu.edu/repos/iuc/gemini_load/gemini_load,505
toolshed.g2.bx.psu.edu/repos/devteam/bamtools_filter/bamFilter,497
toolshed.g2.bx.psu.edu/repos/iuc/mothur_tree_shared/mothur_tree_shared,494
CONVERTER_bed_gff_or_vcf_to_bigwig_0,489
toolshed.g2.bx.psu.edu/repos/iuc/mothur_make_biom/mothur_make_biom,483
toolshed.g2.bx.psu.edu/repos/devteam/varscan_version_2/varscan,482
toolshed.g2.bx.psu.edu/repos/iuc/lofreq_viterbi/lofreq_viterbi,478
CONVERTER_bz2_to_uncompressed,471
toolshed.g2.bx.psu.edu/repos/iuc/jcvi_gff_stats/jcvi_gff_stats,469
CONVERTER_uncompressed_to_gz,467
toolshed.g2.bx.psu.edu/repos/iuc/snpsift/snpSift_extractFields,456
CONVERTER_interval_to_bed12_0,455
Show beginning1,452
toolshed.g2.bx.psu.edu/repos/iuc/circos/circos,451
toolshed.g2.bx.psu.edu/repos/iuc/pycoqc/pycoqc,448
toolshed.g2.bx.psu.edu/repos/iuc/lofreq_indelqual/lofreq_indelqual,439
toolshed.g2.bx.psu.edu/repos/devteam/kraken2tax/Kraken2Tax,436
toolshed.g2.bx.psu.edu/repos/iuc/samtools_fastx/samtools_fastx,435
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_replace_in_column,433
toolshed.g2.bx.psu.edu/repos/mvdbeek/concatenate_multiple_datasets/cat_multiple,432
toolshed.g2.bx.psu.edu/repos/iuc/megahit/megahit,431
toolshed.g2.bx.psu.edu/repos/nml/metaspades/metaspades,424
toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie_merge,423
CONVERTER_vcf_to_vcf_bgzip_0,415
testtoolshed.g2.bx.psu.edu/repos/fubar/differential_count_models/rgdifferentialcount,410
toolshed.g2.bx.psu.edu/repos/iuc/mothur_dist_seqs/mothur_dist_seqs,410
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_grep_tool,401
toolshed.g2.bx.psu.edu/repos/iuc/metaphlan2/metaphlan2,393
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_find_and_replace,388
toolshed.g2.bx.psu.edu/repos/bgruening/canu/canu,385
toolshed.g2.bx.psu.edu/repos/iuc/bcftools_norm/bcftools_norm,383
toolshed.g2.bx.psu.edu/repos/iuc/mothur_cluster/mothur_cluster,381
toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_groups/mothur_get_groups,373
toolshed.g2.bx.psu.edu/repos/bgruening/augustus/augustus,369
toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sam_dump,367
toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_bamtobed,365
toolshed.g2.bx.psu.edu/repos/iuc/gemini_inheritance/gemini_inheritance,365
toolshed.g2.bx.psu.edu/repos/galaxyp/eggnog_mapper/eggnog_mapper,363
toolshed.g2.bx.psu.edu/repos/iuc/metaphlan2krona/metaphlan2krona,363
toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fasta/tab2fasta,360
CONVERTER_vcf_bgzip_to_tabix_0,356
toolshed.g2.bx.psu.edu/repos/devteam/bowtie_wrappers/bowtie_wrapper,351
toolshed.g2.bx.psu.edu/repos/devteam/freebayes/bamleftalign,345
toolshed.g2.bx.psu.edu/repos/iuc/gtftobed12/gtftobed12,344
toolshed.g2.bx.psu.edu/repos/iuc/transdecoder/transdecoder,344
toolshed.g2.bx.psu.edu/repos/iuc/mothur_seq_error/mothur_seq_error,343
toolshed.g2.bx.psu.edu/repos/simon-gladman/velvetoptimiser/velvet,342
