,Galaxy wrapper id,count,Description,bio.tool id,bio.tool name,bio.tool description,EDAM operation,EDAM topic,Status,Source,ToolShed categories,ToolShed id,Galaxy wrapper owner,Galaxy wrapper source,Galaxy wrapper version,Conda id,Conda version
0,abricate,1257,Mass screening of contigs for antiobiotic resistance genes,,,,,,Up-to-date,https://github.com/tseemann/abricate,Sequence Analysis,abricate,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/abricate/,#REF!,abricate,#REF!
1,aldex2,13,Performs analysis Of differential abundance taking sample variation into account,,,,,,Up-to-date,https://github.com/ggloor/ALDEx_bioc,Metagenomics,aldex2,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/aldex2,,bioconductor-aldex2,
2,amplican,12,AmpliCan is an analysis tool for genome editing.,amplican,amplican,"It performs alignment of the amplicon reads, normalizes gathered data, calculates multiple statistics (e.g. cut rates, frameshifts) and presents results in form of aggregated reports. Data and statistics can be broken down by experiments, barcodes, user defined groups, guides and amplicons allowing for quick identification of potential problems.",,"PCR experiment, Statistics and probability",To update,https://github.com/valenlab/amplican,Sequence Analysis,amplican,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/amplican,,bioconductor-amplican,
3,ancombc,4,Performs analysis of compositions of microbiomes with bias correction.,,,,,,Up-to-date,https://github.com/FrederickHuangLin/ANCOMBC,Metagenomics,ancombc,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/ancombc,,bioconductor-ancombc,
4,antismash,279,"Antismash allows the genome-wide identification, annotation and analysis of secondary metabolite biosynthesis gene clusters",antismash,antiSMASH,"Rapid genome-wide identification, annotation and analysis of secondary metabolite biosynthesis gene clusters in bacterial and fungal genomes. It integrates and cross-links with a large number of in silico secondary metabolite analysis tools that have been published earlier.",,"Molecular interactions, pathways and networks, Gene and protein families",Up-to-date,https://antismash.secondarymetabolites.org,Sequence Analysis,antismash,bgruening,https://github.com/galaxyproject/tools-iuc/tree/master/tools/antismash,,antismash,
5,augustus,516,AUGUSTUS is a program that predicts genes in eukaryotic genomic sequences.,augustus,AUGUSTUS,"AUGUSTUS is a eukaryotic gene prediction tool. It can integrate evidence, e.g. from RNA-Seq, ESTs, proteomics, but can also predict genes ab initio. The PPX extension to AUGUSTUS can take a protein sequence multiple sequence alignment as input to find new members of the family in a genome. It can be run through a web interface (see https://bio.tools/webaugustus), or downloaded and run locally.",,"Gene transcripts, Gene and protein families",To update,http://bioinf.uni-greifswald.de/augustus/,Sequence Analysis,augustus,bgruening,https://github.com/galaxyproject/tools-iuc/tree/master/tools/augustus,,augustus,
6,bakta,151,"""Bakta is a tool for the rapid & standardized annotation of bacterial genomes and plasmids from both isolates and MAGs.It provides dbxref-rich and sORF-including annotations in machine-readable JSON & bioinformatics standard file formats for automatic downstream analysis.""",,,,,,To update,https://github.com/oschwengers/bakta,Sequence Analysis,bakta,iuc,https://github.com/mesocentre-clermont-auvergne/galaxy-tools/tree/master/tools/bakta,1.6.1,bakta,1.7.0
7,busco,1804,BUSCO assess genome and annotation completeness,busco,BUSCO,"Provides measures for quantitative assessment of genome assembly, gene set, and transcriptome completeness based on evolutionarily informed expectations of gene content from near-universal single-copy orthologs.",,"Sequence assembly, Genomics, Transcriptomics, Sequence analysis",To update,http://busco.ezlab.org/,Sequence Analysis,busco,iuc,,,busco,
8,cemitool,9,Gene co-expression network analysis tool,,,,,,Up-to-date,https://www.bioconductor.org/packages/release/bioc/html/CEMiTool.html,"Transcriptomics, RNA, Statistics",cemitool,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/cemitool,,bioconductor-cemitool,
9,clustalw,651,ClustalW multiple sequence alignment program for DNA or proteins,,,,,,Up-to-date,http://www.clustal.org/clustal2/,"Phylogenetics, Sequence Analysis",clustalw,devteam,https://github.com/galaxyproject/tools-iuc/tree/master/tools/clustalw,,clustalw,
